BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,МагадЭн ап,MAGEP,1,1244.7,1.2447,1.2447,1.2447,1.2447,1.2447,1.2447,1000,,1.2163,,0,505980.9,0.0,,3,0.0
TQBR,2014-06-10,МагадЭн ап,MAGEP,0,0.0,,,,1.2447,,,0,,1.2163,,0,505980.9,0.0,,3,0.0
TQBR,2014-06-11,МагадЭн ап,MAGEP,0,0.0,,,,1.2447,,,0,,1.2163,,0,505980.9,0.0,,3,0.0
TQBR,2014-06-16,МагадЭн ап,MAGEP,3,3584.6,1.17,1.17,1.2446,1.2446,1.1949,1.2446,3000,,1.2161,,0,509565.5,0.0,,3,0.0
TQBR,2014-06-17,МагадЭн ап,MAGEP,0,0.0,,,,1.2446,,,0,,1.2161,,0,509565.5,0.0,,3,0.0
TQBR,2014-06-18,МагадЭн ап,MAGEP,0,0.0,,,,1.2446,,,0,,1.2161,,0,509565.5,0.0,,3,0.0
TQBR,2014-06-19,МагадЭн ап,MAGEP,0,0.0,,,,1.2446,,,0,,1.2161,,0,509565.5,0.0,,3,0.0
TQBR,2014-06-20,МагадЭн ап,MAGEP,0,0.0,,,,1.2446,,,0,,1.2161,,0,509565.5,0.0,,3,0.0
TQBR,2014-06-23,МагадЭн ап,MAGEP,0,0.0,,,,1.2446,,,0,,1.2161,,0,509565.5,0.0,,3,0.0
TQBR,2014-06-24,МагадЭн ап,MAGEP,0,0.0,,,,1.2446,,,0,,1.2161,,0,509565.5,0.0,,3,0.0
TQBR,2014-06-25,МагадЭн ап,MAGEP,1,1170.0,1.17,1.17,1.17,1.17,1.17,1.17,1000,,1.216,,0,510735.5,0.0,,3,0.0
TQBR,2014-06-26,МагадЭн ап,MAGEP,1,1235.9,1.2359,1.2359,1.2359,1.2359,1.2359,1.2359,1000,,1.2161,,0,511971.4,0.0,,3,0.0563247863247863
TQBR,2014-06-27,МагадЭн ап,MAGEP,0,0.0,,,,1.2359,,,0,,1.2161,,0,511971.4,0.0,,3,0.0
