BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,МагадЭн ао,MAGE,4,7229.4,1.78,1.75,1.9493,1.9493,1.8074,1.9493,4000,,1.8837,,0,510495.7,0.0,,3,0.0
TQBR,2014-06-10,МагадЭн ао,MAGE,0,0.0,,,,1.9493,,,0,,1.8837,,0,510495.7,0.0,,3,0.0
TQBR,2014-06-11,МагадЭн ао,MAGE,0,0.0,,,,1.9493,,,0,,1.8837,,0,510495.7,0.0,,3,0.0
TQBR,2014-06-16,МагадЭн ао,MAGE,3,5300.0,1.7,1.6618,1.9382,1.7667,1.7667,1.9382,3000,,1.8839,,0,501121.9,0.0,,3,0.0
TQBR,2014-06-17,МагадЭн ао,MAGE,0,0.0,,,,1.7667,,,0,,1.8839,,0,501121.9,0.0,,3,0.0
TQBR,2014-06-18,МагадЭн ао,MAGE,0,0.0,,,,1.7667,,,0,,1.8839,,0,501121.9,0.0,,3,0.0
TQBR,2014-06-19,МагадЭн ао,MAGE,0,0.0,,,,1.7667,,,0,,1.8839,,0,501121.9,0.0,,3,0.0
TQBR,2014-06-20,МагадЭн ао,MAGE,2,3587.8,1.6616,1.6616,1.9262,1.9262,1.7939,1.9262,2000,,1.8828,,0,500819.3,0.0,,3,0.0
TQBR,2014-06-23,МагадЭн ао,MAGE,0,0.0,,,,1.9262,,,0,,1.8828,,0,500819.3,0.0,,3,0.0
TQBR,2014-06-24,МагадЭн ао,MAGE,0,0.0,,,,1.9262,,,0,,1.8828,,0,500819.3,0.0,,3,0.0
TQBR,2014-06-25,МагадЭн ао,MAGE,1,1948.6,1.9486,1.9486,1.9486,1.9486,1.9486,1.9486,1000,,1.8826,,0,500768.3,0.0,,3,0.0
TQBR,2014-06-26,МагадЭн ао,MAGE,0,0.0,,,,1.9486,,,0,,1.8826,,0,500768.3,0.0,,3,0.0
TQBR,2014-06-27,МагадЭн ао,MAGE,3,8690.3,1.7001,1.7001,1.8899,1.8899,1.7381,1.8899,5000,,1.8814,,0,500458.0,0.0,,3,0.0
TQBR,2014-06-30,МагадЭн ао,MAGE,0,0.0,,,,1.8899,,,0,,1.8814,,0,500458.0,0.0,,3,0.0
TQBR,2014-07-01,МагадЭн ао,MAGE,0,0.0,,,,1.8899,,,0,,1.8814,,0,500458.0,0.0,,3,0.0
TQBR,2014-07-02,МагадЭн ао,MAGE,0,0.0,,,,1.8899,,,0,,1.8814,,0,500458.0,0.0,,3,0.0
TQBR,2014-07-03,МагадЭн ао,MAGE,0,0.0,,,,1.8899,,,0,,1.8814,,0,500458.0,0.0,,3,0.0
TQBR,2014-07-04,МагадЭн ао,MAGE,0,0.0,,,,1.8899,,,0,,1.8814,,0,500458.0,0.0,,3,0.0
TQBR,2014-07-07,МагадЭн ао,MAGE,5,30649.7,1.7499,1.7499,1.8998,1.8062,1.8029,1.8998,17000,,1.881,,0,500357.7,0.0,,3,0.0
TQBR,2014-07-08,МагадЭн ао,MAGE,0,0.0,,,,1.8062,,,0,,1.881,,0,500357.7,0.0,,3,0.0
TQBR,2014-07-09,МагадЭн ао,MAGE,0,0.0,,,,1.8062,,,0,,1.881,,0,500357.7,0.0,,3,0.0
TQBR,2014-07-10,МагадЭн ао,MAGE,5,30949.9,1.7001,1.7001,1.8998,1.8281,1.8206,1.8998,17000,,1.8787,,0,501617.5,0.0,,3,0.0
TQBR,2014-07-11,МагадЭн ао,MAGE,2,3542.5,1.7025,1.7025,1.84,1.84,1.7713,1.84,2000,,1.8785,,0,501560.0,0.0,,3,-0.0314769975786924
TQBR,2014-07-14,МагадЭн ао,MAGE,7,26755.3,1.6555,1.6555,1.8399,1.7928,1.7837,1.8399,15000,,1.8741,,0,509751.5,0.0,,3,-5.434782608695053e-05
TQBR,2014-07-15,МагадЭн ао,MAGE,3,4973.0,1.658,1.657,1.658,1.6577,1.6577,1.657,3000,,1.8717,,0,514724.5,0.0,,3,-0.0994075764987227
TQBR,2014-07-16,МагадЭн ао,MAGE,9,28061.8,1.81,1.7065,1.8997,1.7144,1.7539,1.7996,16000,,1.8692,,0,500936.4,0.0,,3,0.0860591430295715
TQBR,2014-07-17,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-18,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-21,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-22,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-23,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-24,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-25,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-28,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-29,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-30,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-07-31,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-08-01,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-08-04,МагадЭн ао,MAGE,0,0.0,,,,1.7144,,,0,,1.8692,,0,500936.4,0.0,,3,0.0
TQBR,2014-08-05,МагадЭн ао,MAGE,2,3649.3,1.8246,1.8246,1.8247,1.8247,1.8247,1.8247,2000,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-06,МагадЭн ао,MAGE,0,0.0,,,,1.8247,,,0,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-07,МагадЭн ао,MAGE,0,0.0,,,,1.8247,,,0,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-08,МагадЭн ао,MAGE,0,0.0,,,,1.8247,,,0,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-11,МагадЭн ао,MAGE,0,0.0,,,,1.8247,,,0,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-12,МагадЭн ао,MAGE,0,0.0,,,,1.8247,,,0,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-13,МагадЭн ао,MAGE,0,0.0,,,,1.8247,,,0,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-14,МагадЭн ао,MAGE,0,0.0,,,,1.8247,,,0,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-15,МагадЭн ао,MAGE,0,0.0,,,,1.8247,,,0,,1.869,,0,500885.7,0.0,,3,0.0
TQBR,2014-08-18,МагадЭн ао,MAGE,1,1580.8,1.5808,1.5808,1.5808,1.5808,1.5808,1.5808,1000,,1.8678,,0,500571.5,0.0,,3,0.0
TQBR,2014-08-19,МагадЭн ао,MAGE,2,3648.5,1.8245,1.824,1.8245,1.824,1.8243,1.824,2000,,1.8677,,0,502420.0,0.0,,3,0.1538461538461539
TQBR,2014-08-20,МагадЭн ао,MAGE,0,0.0,,,,1.824,,,0,,1.8677,,0,502420.0,0.0,,3,0.0
TQBR,2014-08-21,МагадЭн ао,MAGE,3,6924.7,1.7,1.7,1.8247,1.7416,1.7312,1.8247,4000,,1.8658,,0,503765.2,0.0,,3,0.0
TQBR,2014-08-22,МагадЭн ао,MAGE,0,0.0,,,,1.7416,,,0,,1.8658,,0,503765.2,0.0,,3,0.0
TQBR,2014-08-25,МагадЭн ао,MAGE,0,0.0,,,,1.7416,,,0,,1.8658,,0,503765.2,0.0,,3,0.0
TQBR,2014-08-26,МагадЭн ао,MAGE,0,0.0,,,,1.7416,,,0,,1.8658,,0,503765.2,0.0,,3,0.0
TQBR,2014-08-27,МагадЭн ао,MAGE,2,3406.7,1.582,1.582,1.8247,1.7034,1.7034,1.8247,2000,,1.8648,,0,501621.9,0.0,,3,0.0
TQBR,2014-08-28,МагадЭн ао,MAGE,13,69224.8,1.582,1.582,1.83,1.7403,1.7306,1.83,40000,,1.8458,,0,542652.7,0.0,,3,0.0029045870554064
TQBR,2014-08-29,МагадЭн ао,MAGE,14,42571.9,1.5832,1.5832,1.82,1.7937,1.7738,1.82,24000,,1.8362,,0,528823.4,0.0,,3,-0.0054644808743169
TQBR,2014-09-01,МагадЭн ао,MAGE,20,256127.8,1.5827,1.5674,1.8199,1.6067,1.6008,1.8199,160000,,1.6775,,0,501566.8,0.0,,3,-5.4945054945048894e-05
TQBR,2014-09-02,МагадЭн ао,MAGE,7,34108.9,1.66,1.66,1.8295,1.8027,1.7952,1.8295,19000,,1.6772,,0,504825.8,0.0,,3,0.0052750151107202
TQBR,2014-09-03,МагадЭн ао,MAGE,0,0.0,,,,1.8027,,,0,,1.6772,,0,504825.8,0.0,,3,0.0
TQBR,2014-09-04,МагадЭн ао,MAGE,1,1829.5,1.8295,1.8295,1.8295,1.8295,1.8295,1.8295,1000,,1.6777,,0,506655.3,0.0,,3,0.0
TQBR,2014-09-05,МагадЭн ао,MAGE,3,38759.5,1.8295,1.8295,2.0,1.8457,1.8457,2.0,21000,,1.6804,,0,505807.1,0.0,,3,0.0931948619841487
TQBR,2014-09-08,МагадЭн ао,MAGE,0,0.0,,,,1.8457,,,0,,1.6804,,0,505807.1,0.0,,3,0.0
TQBR,2014-09-09,МагадЭн ао,MAGE,0,0.0,,,,1.8457,,,0,,1.6804,,0,505807.1,0.0,,3,0.0
TQBR,2014-09-10,МагадЭн ао,MAGE,0,0.0,,,,1.8457,,,0,,1.6804,,0,505807.1,0.0,,3,0.0
TQBR,2014-09-11,МагадЭн ао,MAGE,0,0.0,,,,1.8457,,,0,,1.6804,,0,505807.1,0.0,,3,0.0
TQBR,2014-09-12,МагадЭн ао,MAGE,13,194434.9,1.75,1.75,2.2,2.0092,1.964,2.2,99000,,1.7598,,0,501536.7,0.0,,3,0.0
TQBR,2014-09-15,МагадЭн ао,MAGE,11,25096.9,2.39,1.8,2.39,1.9972,1.9305,1.998,13000,,1.7672,,0,526633.6,0.0,,3,-0.0918181818181819
TQBR,2014-09-16,МагадЭн ао,MAGE,3,6220.0,2.02,2.02,2.15,2.15,2.0733,2.15,3000,,1.7838,,0,501253.6,0.0,,3,0.076076076076076
TQBR,2014-09-17,МагадЭн ао,MAGE,7,13300.0,1.9,1.9,1.9,1.9,1.9,1.9,7000,,1.7874,,0,512986.2,0.0,,3,-0.1162790697674418
TQBR,2014-09-18,МагадЭн ао,MAGE,1,2001.0,2.001,2.001,2.001,1.9,2.001,2.001,1000,,1.7882,,0,514987.2,0.0,,3,0.0531578947368421
TQBR,2014-09-19,МагадЭн ао,MAGE,1,1980.0,1.98,1.98,1.98,1.98,1.98,1.98,1000,,1.7888,,0,516967.2,0.0,,3,-0.0104947526236881
TQBR,2014-09-22,МагадЭн ао,MAGE,0,0.0,,,,1.98,,,0,,1.7888,,0,516967.2,0.0,,3,0.0
TQBR,2014-09-23,МагадЭн ао,MAGE,5,8851.2,1.7007,1.7,1.8999,1.8999,1.7702,1.8999,5000,,1.7885,,0,525818.4,0.0,,3,0.0
TQBR,2014-09-24,МагадЭн ао,MAGE,0,0.0,,,,1.8999,,,0,,1.7885,,0,525818.4,0.0,,3,0.0
TQBR,2014-09-25,МагадЭн ао,MAGE,8,53609.0,1.879,1.879,1.98,1.9146,1.9146,1.98,28000,,1.7995,,0,579427.4,0.0,,3,0.0
TQBR,2014-09-26,МагадЭн ао,MAGE,0,0.0,,,,1.9146,,,0,,1.7995,,0,579427.4,0.0,,3,0.0
TQBR,2014-09-29,МагадЭн ао,MAGE,0,0.0,,,,1.9146,,,0,,1.7995,,0,579427.4,0.0,,3,0.0
TQBR,2014-09-30,МагадЭн ао,MAGE,0,0.0,,,,1.9146,,,0,,1.7995,,0,579427.4,0.0,,3,0.0
TQBR,2014-10-01,МагадЭн ао,MAGE,0,0.0,,,,1.915,,,0,,1.8,,0,579427.4,0.0,,3,0.0
TQBR,2014-10-02,МагадЭн ао,MAGE,0,0.0,,,,1.915,,,0,,1.8,,0,579427.4,0.0,,3,0.0
TQBR,2014-10-03,МагадЭн ао,MAGE,0,0.0,,,,1.915,,,0,,1.8,,0,579427.4,0.0,,3,0.0
TQBR,2014-10-06,МагадЭн ао,MAGE,0,0.0,,,,1.915,,,0,,1.8,,0,579427.4,0.0,,3,0.0
TQBR,2014-10-07,МагадЭн ао,MAGE,0,0.0,,,,1.915,,,0,,1.8,,0,579427.4,0.0,,3,0.0
TQBR,2014-10-08,МагадЭн ао,MAGE,5,1080305.0,1.85,1.85,1.985,1.98,1.98,1.985,545000,1.98,1.98,1.98,1133914,1099835.0,1133914.0,,3,0.0
