BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ММК,MAGN,2501,102050790.1,6.84,6.674,6.989,6.835,6.798,6.835,15012800,6.798,6.798,6.798,102050790.1,102050790.1,102050790.1,,3,0.0
TQBR,2014-06-10,ММК,MAGN,1069,35418846.6,6.843,6.72,6.857,6.762,6.773,6.762,5229600,6.773,6.773,6.773,35377788.6,35377788.6,35377788.6,,3,-0.010680321872714
TQBR,2014-06-11,ММК,MAGN,1119,20848875.4,6.796,6.731,6.843,6.77,6.761,6.77,3083500,6.761,6.761,6.761,20848875.4,20848875.4,20848875.4,,3,0.0011830819284235
TQBR,2014-06-16,ММК,MAGN,6081,176221207.1,6.755,6.671,6.979,6.848,6.868,6.848,25659900,6.868,6.868,6.868,176221207.1,176221207.1,176221207.1,,3,0.0115214180206795
TQBR,2014-06-17,ММК,MAGN,2052,59537238.8,6.519,6.519,6.955,6.857,6.857,6.857,8682700,6.857,6.857,6.857,59535283.1,59535283.1,59535283.1,,3,0.0013142523364486
TQBR,2014-06-18,ММК,MAGN,1294,31774542.7,6.857,6.774,6.917,6.8,6.854,6.8,4635900,6.854,6.854,6.854,31774542.7,31774542.7,31774542.7,,3,-0.0083126731806913
TQBR,2014-06-19,ММК,MAGN,1431,38327097.1,6.888,6.718,6.888,6.773,6.819,6.773,5620700,6.819,6.819,6.819,38292657.1,38292657.1,38292657.1,,3,-0.0039705882352941
TQBR,2014-06-20,ММК,MAGN,1385,44695955.0,6.786,6.658,6.786,6.728,6.703,6.728,6668400,6.703,6.703,6.703,44694597.8,44694597.8,44694597.8,,3,-0.0066440277572715
TQBR,2014-06-23,ММК,MAGN,1923,55573830.4,6.733,6.594,6.888,6.601,6.67,6.601,8332500,6.67,6.67,6.67,55573830.4,55573830.4,55573830.4,,3,-0.0188763376932223
TQBR,2014-06-24,ММК,MAGN,1392,38323051.5,6.601,6.59,6.699,6.699,6.65,6.699,5763000,6.65,6.65,6.65,38303248.5,38303248.5,38303248.5,,3,0.0148462354188759
TQBR,2014-06-25,ММК,MAGN,1766,37290740.6,6.671,6.545,6.671,6.56,6.597,6.56,5652900,6.597,6.597,6.597,37288072.2,37288072.2,37288072.2,,3,-0.0207493655769518
TQBR,2014-06-26,ММК,MAGN,1231,28862244.1,6.58,6.521,6.63,6.628,6.581,6.628,4385500,6.581,6.581,6.581,28856980.1,28856980.1,28856980.1,,3,0.0103658536585366
TQBR,2014-06-27,ММК,MAGN,828,23215404.4,6.65,6.63,6.72,6.67,6.667,6.67,3482000,6.667,6.667,6.667,23183484.4,23183484.4,23183484.4,,3,0.0063367531683765
TQBR,2014-06-30,ММК,MAGN,1222,42977875.8,6.7,6.649,6.799,6.693,6.697,6.693,6417200,6.697,6.697,6.697,42878715.8,42878715.8,42878715.8,,3,0.0034482758620689
TQBR,2014-07-01,ММК,MAGN,1276,46940373.9,6.684,6.665,6.765,6.679,6.725,6.679,6979500,6.725,6.725,6.725,46940373.9,46940373.9,46940373.9,,3,-0.0020917376363363
TQBR,2014-07-02,ММК,MAGN,1882,58623568.2,6.696,6.69,6.815,6.798,6.744,6.798,8693100,6.744,6.744,6.744,58619550.6,58619550.6,58619550.6,,3,0.0178170384788141
TQBR,2014-07-03,ММК,MAGN,1500,50798628.6,6.799,6.765,6.849,6.814,6.803,6.814,7467100,6.803,6.803,6.803,50763273.8,50763273.8,50763273.8,,3,0.0023536334215945
TQBR,2014-07-04,ММК,MAGN,1387,44194404.4,6.819,6.666,6.92,6.699,6.791,6.699,6507900,6.791,6.791,6.791,44188949.2,44188949.2,44188949.2,,3,-0.0168770179043146
TQBR,2014-07-07,ММК,MAGN,1266,48767847.1,6.73,6.7,6.85,6.775,6.784,6.775,7188500,6.784,6.784,6.784,48767847.1,48767847.1,48767847.1,,3,0.0113449768622183
