BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,Магнит ао,MGNT,4,387200.0,7040.0,7040.0,7040.0,7235.2,7040.0,7040.0,55,7193.8,7193.8,7193.8,509290138.2,509290138.2,509290138.2,,3,0.0
TQBR,2013-07-09,Магнит ао,MGNT,1,144800.0,7240.0,7240.0,7240.0,7249.5,7240.0,7240.0,20,7239.6,7239.6,7239.6,398252919.4,398252919.4,398252919.4,,3,0.0284090909090909
TQBR,2013-07-10,Магнит ао,MGNT,1,7100.0,7100.0,7100.0,7100.0,7127.0,7100.0,7100.0,1,7182.5,7182.5,7182.5,1006547285.8,1006547285.8,1006547285.8,,3,-0.0193370165745856
TQBR,2013-07-11,Магнит ао,MGNT,5,179317.0,7200.0,7080.0,7200.0,7228.3,7172.7,7175.8,25,7190.3,7190.3,7190.3,959396207.6,959396207.6,959396207.6,,3,0.0106760563380281
TQBR,2013-07-12,Магнит ао,MGNT,4,145860.0,7293.0,7293.0,7293.0,7408.4,7293.0,7293.0,20,7368.3,7368.3,7368.3,958095703.9,958095703.9,958095703.9,,3,0.0163326737088547
TQBR,2013-07-15,Магнит ао,MGNT,0,0.0,,,,7497.1,,,0,7443.1,7443.1,7443.1,787722537.6,787722537.6,787722537.6,,3,0.0
TQBR,2013-07-16,Магнит ао,MGNT,0,0.0,,,,7426.4,,,0,7490.0,7490.0,7490.0,805179491.8,805179491.8,805179491.8,,3,0.0
TQBR,2013-07-17,Магнит ао,MGNT,20,2157460.0,7400.0,7290.1,7470.0,7326.6,7363.3,7350.0,293,7352.3,7352.3,7352.3,876376040.1,876376040.1,876376040.1,,3,0.0
TQBR,2013-07-18,Магнит ао,MGNT,15,1323012.0,7362.0,7350.0,7362.0,7471.4,7350.1,7350.0,180,7371.1,7371.1,7371.1,610462928.2,610462928.2,610462928.2,,3,0.0
TQBR,2013-07-19,Магнит ао,MGNT,19,1467692.6,7520.0,7520.0,7650.1,7695.7,7644.2,7650.1,192,7579.6,7579.6,7579.6,605110491.1,605110491.1,605110491.1,,3,0.0408299319727891
TQBR,2013-07-22,Магнит ао,MGNT,7,117045.0,7800.0,7780.0,7815.0,7802.2,7803.0,7815.0,15,7771.7,7771.7,7771.7,504630130.3,504630130.3,504630130.3,,3,0.0215552737872707
TQBR,2013-07-23,Магнит ао,MGNT,12,257143.0,7980.0,7980.0,8100.0,8251.2,8035.7,8100.0,32,8114.4,8114.4,8114.4,1424540208.8,1424540208.8,1424540208.8,,3,0.036468330134357
TQBR,2013-07-24,Магнит ао,MGNT,13,250215.0,8050.0,7935.0,8100.0,7958.9,8071.5,7935.0,31,8044.3,8044.3,8044.3,799785059.6,799785059.6,799785059.6,,3,-0.0203703703703703
TQBR,2013-07-25,Магнит ао,MGNT,2,16025.0,8005.0,8005.0,8020.0,8054.1,8012.5,8020.0,2,7982.5,7982.5,7982.5,433977924.2,433977924.2,433977924.2,,3,0.0107120352867044
TQBR,2013-07-26,Магнит ао,MGNT,36,3064502.0,8100.0,8089.0,8250.0,8198.1,8193.9,8222.0,374,8168.6,8168.6,8168.6,554557406.0,554557406.0,554557406.0,,3,0.0251870324189526
TQBR,2013-07-29,Магнит ао,MGNT,3,200150.0,8010.0,8000.0,8010.0,8018.1,8006.0,8000.0,25,8124.0,8124.0,8124.0,592094480.5,592094480.5,592094480.5,,3,-0.0270007297494526
TQBR,2013-07-30,Магнит ао,MGNT,3,163300.0,8165.0,8165.0,8165.0,8138.0,8165.0,8165.0,20,8151.1,8151.1,8151.1,725782254.0,725782254.0,725782254.0,,3,0.020625
TQBR,2013-07-31,Магнит ао,MGNT,3,24300.0,8200.0,8050.0,8200.0,8024.7,8100.0,8050.0,3,8084.9,8084.9,8084.9,731483851.3,731483851.3,731483851.3,,3,-0.0140845070422535
TQBR,2013-08-01,Магнит ао,MGNT,8,121845.0,8109.0,8109.0,8130.0,8134.4,8123.0,8130.0,15,8117.8,8117.8,8117.8,551199049.1,551199049.1,551199049.1,,3,0.0099378881987577
TQBR,2013-08-02,Магнит ао,MGNT,3,97760.0,8200.0,8000.0,8200.0,7996.0,8146.7,8000.0,12,8057.4,8057.4,8057.4,529185204.2,529185204.2,529185204.2,,3,-0.015990159901599
TQBR,2013-08-05,Магнит ао,MGNT,0,0.0,,,,8102.9,,,0,8066.0,8066.0,8066.0,225912145.8,225912145.8,225912145.8,,3,0.0
TQBR,2013-08-06,Магнит ао,MGNT,43,8041525.0,8050.0,8035.0,8050.0,7996.1,8041.5,8040.0,1000,8043.6,8043.6,8043.6,476061935.3,476061935.3,476061935.3,,3,0.0
TQBR,2013-08-07,Магнит ао,MGNT,3,32030.0,7990.0,7990.0,8020.0,8022.9,8007.5,8020.0,4,8008.7,8008.7,8008.7,284924310.1,284924310.1,284924310.1,,3,-0.0024875621890547
TQBR,2013-08-08,Магнит ао,MGNT,0,0.0,,,,8084.3,,,0,8039.7,8039.7,8039.7,366722008.6,366722008.6,366722008.6,,3,0.0
TQBR,2013-08-09,Магнит ао,MGNT,0,0.0,,,,8099.4,,,0,8078.9,8078.9,8078.9,408840168.2,408840168.2,408840168.2,,3,0.0
TQBR,2013-08-12,Магнит ао,MGNT,0,0.0,,,,8081.2,,,0,8046.9,8046.9,8046.9,261579124.1,261579124.1,261579124.1,,3,0.0
TQBR,2013-08-13,Магнит ао,MGNT,0,0.0,,,,8112.5,,,0,8089.9,8089.9,8089.9,404121561.0,404121561.0,404121561.0,,3,0.0
