BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,СМЗ-ао,MGNZ,1,5700.5,5700.5,5700.5,5700.5,5700.5,5700.5,5700.5,1,,5898.5,,0.0,501376.3,0.0,,3,0.0
TQBR,2014-06-10,СМЗ-ао,MGNZ,1,5560.1,5560.1,5560.1,5560.1,5560.1,5560.1,5560.1,1,,5896.9,,0.0,501236.4,0.0,,3,-0.0246294184720637
TQBR,2014-06-11,СМЗ-ао,MGNZ,0,0.0,,,,5560.1,,,0,,5896.9,,0.0,501236.4,0.0,,3,0.0
TQBR,2014-06-16,СМЗ-ао,MGNZ,7,50061.1,5560.3,5560.2,5565.0,5565.0,5562.3,5565.0,9,,5878.7,,0.0,529078.5,0.0,,3,0.0
TQBR,2014-06-17,СМЗ-ао,MGNZ,2,11129.9,5564.9,5564.9,5565.0,5565.0,5565.0,5565.0,2,,5871.8,,0.0,540208.4,0.0,,3,0.0
TQBR,2014-06-18,СМЗ-ао,MGNZ,0,0.0,,,,5565.0,,,0,,5871.8,,0.0,540208.4,0.0,,3,0.0
TQBR,2014-06-19,СМЗ-ао,MGNZ,0,0.0,,,,5565.0,,,0,,5871.8,,0.0,540208.4,0.0,,3,0.0
TQBR,2014-06-20,СМЗ-ао,MGNZ,8,211156.4,5900.0,5300.0,5900.0,5300.8,5556.7,5300.0,38,,5777.5,,0.0,589308.3,0.0,,3,0.0
TQBR,2014-06-23,СМЗ-ао,MGNZ,3,59000.0,5900.0,5900.0,5900.0,5900.0,5900.0,5900.0,10,,5788.5,,0.0,648308.3,0.0,,3,0.1132075471698113
TQBR,2014-06-24,СМЗ-ао,MGNZ,5,297000.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,54,5560.4,5523.4,5560.4,567156.4,508156.4,567156.4,,3,-0.0677966101694915
