BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,МГТС-4ап,MGTSP,22,466666.0,611.97,600.01,625.0,619.99,614.03,619.99,760,,614.24,,0.0,522106.0,0.0,,3,0.0
TQBR,2014-06-10,МГТС-4ап,MGTSP,16,903125.2,619.97,619.97,625.0,623.0,622.84,623.0,1450,622.84,622.84,622.84,903125.2,903125.2,903125.2,,3,0.0048549170147905
TQBR,2014-06-11,МГТС-4ап,MGTSP,7,155744.9,623.0,622.5,623.0,623.0,622.98,623.0,250,622.86,624.31,622.86,1058870.1,518173.4,1058870.1,,3,0.0
TQBR,2014-06-16,МГТС-4ап,MGTSP,23,230587.9,629.97,629.97,649.6,649.6,640.52,649.6,360,,629.82,,0.0,655012.8,0.0,,3,0.0426966292134831
TQBR,2014-06-17,МГТС-4ап,MGTSP,19,318997.3,630.0,611.0,639.99,636.0,625.48,636.0,510,,631.68,,0.0,505341.7,0.0,,3,-0.020935960591133
TQBR,2014-06-18,МГТС-4ап,MGTSP,4,185978.0,649.0,640.0,649.0,640.0,641.3,640.0,290,631.22,631.22,631.22,504975.3,504975.3,504975.3,,3,0.0062893081761006
TQBR,2014-06-19,МГТС-4ап,MGTSP,5,32219.9,645.0,640.0,648.99,645.66,644.4,648.99,50,631.99,632.46,631.99,537195.2,512295.1,537195.2,,3,0.014046875
TQBR,2014-06-20,МГТС-4ап,MGTSP,20,228016.9,630.0,615.0,648.88,635.0,633.38,635.0,360,,637.28,,0.0,503454.8,0.0,,3,-0.0215565725203778
TQBR,2014-06-23,МГТС-4ап,MGTSP,16,610004.5,640.0,640.0,655.0,641.0,642.11,641.0,950,642.11,642.11,642.11,610004.5,610004.5,610004.5,,3,0.0094488188976377
TQBR,2014-06-24,МГТС-4ап,MGTSP,32,762945.1,644.9,644.9,665.0,665.0,657.71,665.0,1160,657.71,657.71,657.71,762945.1,762945.1,762945.1,,3,0.0374414976599064
TQBR,2014-06-25,МГТС-4ап,MGTSP,33,918668.9,667.9,655.01,670.0,669.88,665.7,669.88,1380,665.7,665.7,665.7,918668.9,918668.9,918668.9,,3,0.0073383458646616
TQBR,2014-06-26,МГТС-4ап,MGTSP,3,26817.2,678.0,660.72,678.0,660.72,670.43,660.72,40,665.84,663.67,665.84,945486.1,504388.0,945486.1,,3,-0.0136740908819489
TQBR,2014-06-27,МГТС-4ап,MGTSP,5,206150.1,665.0,665.0,665.01,665.0,665.0,665.0,310,665.69,662.47,665.69,1151636.2,543222.1,1151636.2,,3,0.0064777818137788
TQBR,2014-06-30,МГТС-4ап,MGTSP,4,26740.2,679.0,655.03,679.0,674.99,668.51,674.99,40,,662.75,,0.0,569962.3,0.0,,3,0.0150225563909774
TQBR,2014-07-01,МГТС-4ап,MGTSP,7,175000.0,670.0,670.0,675.0,675.0,673.08,675.0,260,,666.25,,0.0,539659.3,0.0,,3,1.4815034296790923e-05
TQBR,2014-07-02,МГТС-4ап,MGTSP,6,99218.9,659.99,659.99,669.98,661.46,661.46,661.46,150,,667.28,,0.0,500459.2,0.0,,3,-0.0200592592592592
TQBR,2014-07-03,МГТС-4ап,MGTSP,41,1173960.2,668.57,630.11,668.57,639.88,645.03,639.88,1820,645.03,645.03,645.03,1173960.2,1173960.2,1173960.2,,3,-0.0326247996855441
TQBR,2014-07-04,МГТС-4ап,MGTSP,86,1916465.9,650.0,634.0,651.0,645.0,645.27,645.0,2970,645.27,645.27,645.27,1916465.9,1916465.9,1916465.9,,3,0.0080015002813027
TQBR,2014-07-07,МГТС-4ап,MGTSP,64,727592.9,648.0,638.0,678.99,641.01,649.64,641.01,1120,649.64,649.64,649.64,727592.9,727592.9,727592.9,,3,-0.0061860465116279
TQBR,2014-07-08,МГТС-4ап,MGTSP,109,1431011.6,594.98,532.77,594.98,563.95,558.99,563.95,2560,557.98,557.98,557.98,1389363.0,1389363.0,1389363.0,,3,-0.120216533283412
TQBR,2014-07-09,МГТС-4ап,MGTSP,49,769992.4,558.99,558.99,568.97,562.91,562.04,559.2,1370,562.04,562.04,562.04,769992.4,769992.4,769992.4,,3,-0.0084227325117474
TQBR,2014-07-10,МГТС-4ап,MGTSP,25,464305.2,560.99,553.21,561.0,555.0,559.4,555.0,830,,560.97,,0.0,835847.2,0.0,,3,-0.0075107296137339
TQBR,2014-07-11,МГТС-4ап,MGTSP,30,206284.0,554.98,554.98,560.49,558.0,557.52,558.0,370,,558.1,,0.0,502289.7,0.0,,3,0.0054054054054054
TQBR,2014-07-14,МГТС-4ап,MGTSP,24,336229.4,550.02,549.99,563.95,563.95,551.2,563.95,610,,553.39,,0.0,503583.9,0.0,,3,0.010663082437276
TQBR,2014-07-15,МГТС-4ап,MGTSP,14,351488.5,555.0,552.0,560.0,557.0,557.92,557.0,630,,555.2,,0.0,610716.4,0.0,,3,-0.01232378756982
