BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,МГТС-5ао,MGTS,3,19499.9,490.0,485.0,490.0,489.99,487.5,489.99,40,,470.72,,0.0,522498.7,0.0,,3,0.0
TQBR,2014-06-10,МГТС-5ао,MGTS,4,83398.3,489.99,489.99,495.0,490.58,490.58,495.0,170,,472.8,,0.0,557903.0,0.0,,3,0.0102246984632339
TQBR,2014-06-11,МГТС-5ао,MGTS,2,53949.5,494.95,490.0,494.95,490.0,490.45,490.0,110,,473.12,,0.0,501510.0,0.0,,3,-0.0101010101010101
TQBR,2014-06-16,МГТС-5ао,MGTS,10,202584.3,467.0,467.0,498.5,498.35,494.11,498.35,410,,486.56,,0.0,540081.8,0.0,,3,0.0170408163265306
TQBR,2014-06-17,МГТС-5ао,MGTS,2,74990.0,498.5,498.5,520.0,498.35,499.93,520.0,150,,488.15,,0.0,615071.8,0.0,,3,0.043443363098224
TQBR,2014-06-18,МГТС-5ао,MGTS,1,5149.9,514.99,514.99,514.99,514.99,514.99,514.99,10,,488.36,,0.0,620221.7,0.0,,3,-0.0096346153846153
TQBR,2014-06-19,МГТС-5ао,MGTS,3,15599.0,529.9,500.0,530.0,515.0,519.97,530.0,30,,489.09,,0.0,635820.7,0.0,,3,0.0291461970135342
TQBR,2014-06-20,МГТС-5ао,MGTS,2,10549.0,525.0,525.0,529.9,527.45,527.45,529.9,20,,489.67,,0.0,646369.7,0.0,,3,-0.000188679245283
TQBR,2014-06-23,МГТС-5ао,MGTS,4,28080.0,530.0,530.0,628.0,561.6,561.6,628.0,50,,498.47,,0.0,503449.7,0.0,,3,0.1851292696735233
TQBR,2014-06-24,МГТС-5ао,MGTS,0,0.0,,,,561.6,,,0,,498.47,,0.0,503449.7,0.0,,3,0.0
TQBR,2014-06-25,МГТС-5ао,MGTS,51,779020.3,539.98,499.99,549.98,503.0,505.86,503.0,1540,505.86,505.86,505.86,779020.3,779020.3,779020.3,,3,0.0
TQBR,2014-06-26,МГТС-5ао,MGTS,4,1689089.9,510.0,510.0,530.0,503.0,510.3,530.0,3310,508.89,510.11,508.89,2468110.2,1729269.9,2468110.2,,3,0.0536779324055666
TQBR,2014-06-27,МГТС-5ао,MGTS,23,162852.5,385.01,385.01,510.0,509.98,440.14,509.98,370,510.04,510.04,510.04,1774940.4,1774940.4,1774940.4,,3,-0.0377735849056603
TQBR,2014-06-30,МГТС-5ао,MGTS,0,0.0,,,,509.98,,,0,510.04,510.04,510.04,1774940.4,1774940.4,1774940.4,,3,0.0
TQBR,2014-07-01,МГТС-5ао,MGTS,0,0.0,,,,509.98,,,0,508.76,510.04,508.76,2553960.7,1774940.4,2553960.7,,3,0.0
TQBR,2014-07-02,МГТС-5ао,MGTS,4,91769.4,509.0,509.0,510.0,510.0,509.83,510.0,180,510.03,510.03,510.03,1866709.8,1866709.8,1866709.8,,3,0.0
TQBR,2014-07-03,МГТС-5ао,MGTS,4,29899.6,475.0,475.0,509.99,509.99,498.33,509.99,60,,509.84,,0.0,1896609.4,0.0,,3,-1.9607843137237067e-05
TQBR,2014-07-04,МГТС-5ао,MGTS,0,0.0,,,,509.99,,,0,509.17,509.84,509.17,2703709.7,1896609.4,2703709.7,,3,0.0
TQBR,2014-07-07,МГТС-5ао,MGTS,0,0.0,,,,509.99,,,0,,509.84,,0.0,1896609.4,0.0,,3,0.0
TQBR,2014-07-08,МГТС-5ао,MGTS,0,0.0,,,,509.99,,,0,,509.84,,0.0,1896609.4,0.0,,3,0.0
TQBR,2014-07-09,МГТС-5ао,MGTS,1,24999.5,499.99,499.99,499.99,499.99,499.99,499.99,50,,509.71,,0.0,1921608.9,0.0,,3,0.0
TQBR,2014-07-10,МГТС-5ао,MGTS,0,0.0,,,,499.99,,,0,,509.71,,0.0,1921608.9,0.0,,3,0.0
TQBR,2014-07-11,МГТС-5ао,MGTS,0,0.0,,,,499.99,,,0,,509.71,,0.0,1921608.9,0.0,,3,0.0
TQBR,2014-07-14,МГТС-5ао,MGTS,1,4680.0,468.0,468.0,468.0,468.0,468.0,468.0,10,,509.6,,0.0,1926288.9,0.0,,3,0.0
TQBR,2014-07-15,МГТС-5ао,MGTS,0,0.0,,,,468.0,,,0,,509.6,,0.0,1926288.9,0.0,,3,0.0
