BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.6,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.6,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,ТНСэМаЭл-п,MISBP,1,2500.0,2.5,2.5,2.5,2.5,2.5,2.5,1000,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,ТНСэМаЭл-п,MISBP,0,0.0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
