BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТНСэнМарЭл,MISB,0,0,,,,2.91,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,ТНСэнМарЭл,MISB,0,0,,,,2.91,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,ТНСэнМарЭл,MISB,0,0,,,,2.91,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,ТНСэнМарЭл,MISB,0,0,,,,2.91,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,ТНСэнМарЭл,MISB,3,6007,1.752,1.752,2.5,2.5,2.002,2.5,3000,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-02,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-03,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-04,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-07,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-08,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-09,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-10,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-11,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-14,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-15,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-16,ТНСэнМарЭл,MISB,0,0,,,,2.5,,,0,,,,0,0,0.0,,3,0.0
