BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-09-02,РоссЦентр,MRKC,152,2696750.4,0.3444,0.3281,0.3444,0.3299,0.3357,0.33,8034000,0.3357,0.3357,0.3357,2696750.4,2696750.4,2696750.4,,3,0.0
TQBR,2013-09-03,РоссЦентр,MRKC,73,1174278.8,0.3297,0.3273,0.3349,0.33,0.3302,0.3296,3556000,0.3302,0.3302,0.3302,1174278.8,1174278.8,1174278.8,,3,-0.0012121212121212
TQBR,2013-09-04,РоссЦентр,MRKC,59,1092494.3,0.3202,0.3202,0.331,0.325,0.3293,0.325,3318000,0.3293,0.3293,0.3293,1092174.1,1092174.1,1092174.1,,3,-0.0139563106796116
TQBR,2013-09-05,РоссЦентр,MRKC,57,1947685.6,0.3247,0.3231,0.3251,0.324,0.3246,0.324,6001000,0.3246,0.3246,0.3246,1947685.6,1947685.6,1947685.6,,3,-0.003076923076923
TQBR,2013-09-06,РоссЦентр,MRKC,63,1192028.7,0.324,0.32,0.324,0.3201,0.3231,0.3201,3689000,0.3231,0.3231,0.3231,1191704.7,1191704.7,1191704.7,,3,-0.012037037037037
TQBR,2013-09-09,РоссЦентр,MRKC,100,2503625.2,0.3129,0.3129,0.3216,0.316,0.3164,0.316,7914000,0.3164,0.3164,0.3164,2503625.2,2503625.2,2503625.2,,3,-0.0128084973445797
TQBR,2013-09-10,РоссЦентр,MRKC,236,3240057.0,0.3155,0.313,0.318,0.314,0.3154,0.314,10274000,0.3154,0.3154,0.3154,3240057.0,3240057.0,3240057.0,,3,-0.0063291139240506
TQBR,2013-09-11,РоссЦентр,MRKC,380,7311990.8,0.3174,0.3099,0.3267,0.3099,0.3149,0.31,23220000,0.3149,0.3149,0.3149,7311990.8,7311990.8,7311990.8,,3,-0.0127388535031847
TQBR,2013-09-12,РоссЦентр,MRKC,106,1717072.3,0.2947,0.2947,0.3128,0.3058,0.3092,0.3058,5554000,0.3092,0.3092,0.3092,1716777.6,1716777.6,1716777.6,,3,-0.0135483870967741
TQBR,2013-09-13,РоссЦентр,MRKC,101,1631799.6,0.31,0.2999,0.31,0.3,0.3048,0.3,5354000,0.3048,0.3048,0.3048,1631799.6,1631799.6,1631799.6,,3,-0.0189666448659255
TQBR,2013-09-16,РоссЦентр,MRKC,164,2208984.5,0.3046,0.2968,0.3078,0.2986,0.2994,0.3,7378000,0.2994,0.2994,0.2994,2208984.5,2208984.5,2208984.5,,3,0.0
TQBR,2013-09-17,РоссЦентр,MRKC,225,4173465.2,0.2955,0.2822,0.2996,0.2894,0.2925,0.2875,14268000,0.2925,0.2925,0.2925,4173465.2,4173465.2,4173465.2,,3,-0.0416666666666667
TQBR,2013-09-18,РоссЦентр,MRKC,249,4304573.9,0.2826,0.2727,0.2896,0.2772,0.2807,0.2789,15335000,0.2807,0.2807,0.2807,4304573.9,4304573.9,4304573.9,,3,-0.0299130434782608
TQBR,2013-09-19,РоссЦентр,MRKC,468,7930321.9,0.2799,0.2674,0.284,0.2698,0.275,0.2697,28839000,0.275,0.275,0.275,7930321.9,7930321.9,7930321.9,,3,-0.032986733596271
TQBR,2013-09-20,РоссЦентр,MRKC,156,5602012.8,0.2699,0.2658,0.275,0.2734,0.2712,0.2735,20654000,0.2712,0.2712,0.2712,5602012.8,5602012.8,5602012.8,,3,0.014089729328884
TQBR,2013-09-23,РоссЦентр,MRKC,84,1212257.1,0.27,0.268,0.2799,0.269,0.2699,0.2689,4491000,0.2699,0.2699,0.2699,1212257.1,1212257.1,1212257.1,,3,-0.0168190127970751
TQBR,2013-09-24,РоссЦентр,MRKC,49,2192182.7,0.2683,0.2683,0.272,0.2713,0.2711,0.2701,8086000,0.2711,0.2711,0.2711,2192182.7,2192182.7,2192182.7,,3,0.0044626255113426
TQBR,2013-09-25,РоссЦентр,MRKC,49,1220483.9,0.2722,0.2689,0.2725,0.272,0.2719,0.272,4488000,0.2719,0.2719,0.2719,1220483.9,1220483.9,1220483.9,,3,0.0070344316919659
TQBR,2013-09-26,РоссЦентр,MRKC,97,1380412.3,0.2722,0.2678,0.2745,0.2682,0.2707,0.2706,5100000,0.2707,0.2707,0.2707,1380412.3,1380412.3,1380412.3,,3,-0.0051470588235294
TQBR,2013-09-27,РоссЦентр,MRKC,105,7082084.8,0.2706,0.267,0.2738,0.2695,0.2701,0.2694,26216000,0.2701,0.2701,0.2701,7082084.8,7082084.8,7082084.8,,3,-0.0044345898004435
TQBR,2013-09-30,РоссЦентр,MRKC,151,1841621.4,0.2693,0.2502,0.2693,0.26,0.2625,0.26,7016000,0.2625,0.2625,0.2625,1841352.1,1841352.1,1841352.1,,3,-0.0348923533778766
