BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Россети СК,MRKK,44,64773.6,18.03,17.91,18.4,18.05,17.99,18.06,3600,,17.96,,0.0,508493.9,0.0,,3,0.0
TQBR,2014-06-10,Россети СК,MRKK,45,22045.1,17.97,17.96,18.37,18.15,18.07,18.16,1220,,17.96,,0.0,530539.0,0.0,,3,0.0055370985603544
TQBR,2014-06-11,Россети СК,MRKK,153,144551.9,18.1,17.84,18.44,17.92,17.98,18.02,8040,,17.97,,0.0,510122.1,0.0,,3,-0.0077092511013216
TQBR,2014-06-16,Россети СК,MRKK,38,105793.4,18.49,17.77,18.49,17.82,17.84,17.82,5930,,17.94,,0.0,501900.7,0.0,,3,-0.0110987791342951
TQBR,2014-06-17,Россети СК,MRKK,91,329685.5,17.89,17.31,17.89,17.44,17.37,17.44,18980,,17.54,,0.0,502730.4,0.0,,3,-0.0213243546576879
TQBR,2014-06-18,Россети СК,MRKK,91,257090.6,17.65,17.3,17.9,17.31,17.45,17.33,14730,,17.4,,0.0,538235.4,0.0,,3,-0.0063073394495414
TQBR,2014-06-19,Россети СК,MRKK,144,257412.3,17.4,17.2,17.93,17.56,17.67,17.81,14570,,17.56,,0.0,506739.6,0.0,,3,0.0276976341604154
TQBR,2014-06-20,Россети СК,MRKK,71,80785.4,18.17,17.3,18.17,17.42,17.49,17.42,4620,,17.53,,0.0,527175.7,0.0,,3,-0.0218978102189779
TQBR,2014-06-23,Россети СК,MRKK,132,343276.9,17.18,16.91,17.39,17.17,17.03,17.17,20160,,17.2,,0.0,504215.5,0.0,,3,-0.0143513203214695
TQBR,2014-06-24,Россети СК,MRKK,84,82213.4,17.2,17.0,17.46,17.42,17.27,17.42,4760,,17.13,,0.0,501511.2,0.0,,3,0.0145602795573675
TQBR,2014-06-25,Россети СК,MRKK,92,92531.0,17.29,17.0,17.29,17.27,17.14,17.27,5400,,17.08,,0.0,504800.2,0.0,,3,-0.0086107921928818
TQBR,2014-06-26,Россети СК,MRKK,46,32114.1,17.22,17.05,17.35,17.21,17.17,17.23,1870,,17.09,,0.0,501368.4,0.0,,3,-0.0023161551823971
TQBR,2014-06-27,Россети СК,MRKK,54,22386.6,17.22,17.15,17.29,17.27,17.22,17.27,1300,,17.1,,0.0,505048.0,0.0,,3,0.0023215322112593
TQBR,2014-06-30,Россети СК,MRKK,34,71732.3,17.27,17.2,17.54,17.31,17.33,17.31,4140,,17.14,,0.0,525431.3,0.0,,3,0.0023161551823971
TQBR,2014-07-01,Россети СК,MRKK,47,25829.7,17.27,17.13,17.46,17.35,17.34,17.35,1490,,17.16,,0.0,508761.0,0.0,,3,0.002310803004044
TQBR,2014-07-02,Россети СК,MRKK,89,56763.0,17.17,16.91,17.25,17.14,17.1,17.14,3320,,17.16,,0.0,509275.4,0.0,,3,-0.0121037463976945
TQBR,2014-07-03,Россети СК,MRKK,173,302160.6,17.04,16.41,17.14,16.73,16.76,16.73,18030,,16.94,,0.0,501711.9,0.0,,3,-0.0239206534422403
TQBR,2014-07-04,Россети СК,MRKK,117,72898.1,16.7,16.37,16.92,16.87,16.68,16.87,4370,,16.86,,0.0,502529.7,0.0,,3,0.0083682008368201
TQBR,2014-07-07,Россети СК,MRKK,94,136908.2,16.88,16.88,17.74,17.41,17.26,17.41,7930,,16.88,,0.0,501108.2,0.0,,3,0.0320094842916419
TQBR,2014-07-08,Россети СК,MRKK,105,266280.8,17.31,17.0,17.66,17.35,17.21,17.35,15470,,17.11,,0.0,507915.3,0.0,,3,-0.0034462952326248
TQBR,2014-07-09,Россети СК,MRKK,160,178666.1,17.2,17.01,17.6,17.3,17.26,17.3,10350,,17.25,,0.0,500102.9,0.0,,3,-0.0028818443804034
TQBR,2014-07-10,Россети СК,MRKK,149,196097.4,16.54,16.43,17.48,16.52,16.73,16.52,11720,,17.08,,0.0,559393.1,0.0,,3,-0.0450867052023122
TQBR,2014-07-11,Россети СК,MRKK,143,204901.8,16.52,16.01,17.0,16.39,16.35,16.39,12530,,16.68,,0.0,505037.1,0.0,,3,-0.007869249394673
TQBR,2014-07-14,Россети СК,MRKK,23,42227.7,16.15,16.15,16.41,16.41,16.3,16.41,2590,,16.62,,0.0,522897.0,0.0,,3,0.0012202562538132
TQBR,2014-07-15,Россети СК,MRKK,82,108851.5,16.15,15.86,16.4,16.33,16.13,16.33,6750,,16.39,,0.0,500210.6,0.0,,3,-0.0048750761730653
TQBR,2014-07-16,Россети СК,MRKK,9,3593.0,16.34,16.24,16.38,16.25,16.33,16.24,220,,16.39,,0.0,501782.8,0.0,,3,-0.0055113288426209
TQBR,2014-07-17,Россети СК,MRKK,24,40622.3,16.07,15.97,16.27,16.02,16.18,15.97,2510,,16.37,,0.0,539880.6,0.0,,3,-0.0166256157635466
TQBR,2014-07-18,Россети СК,MRKK,35,171996.3,15.95,15.83,16.09,15.99,16.04,15.99,10720,,16.21,,0.0,501676.3,0.0,,3,0.0012523481527864
TQBR,2014-07-21,Россети СК,MRKK,61,191446.3,16.1,15.22,16.1,15.33,15.44,15.64,12400,,15.84,,0.0,500404.6,0.0,,3,-0.0218886804252657
TQBR,2014-07-22,Россети СК,MRKK,359,1129375.5,15.66,14.53,15.74,14.95,15.0,15.09,75300,15.0,15.0,15.0,1129375.5,1129375.5,1129375.5,,3,-0.0351662404092072
TQBR,2014-07-23,Россети СК,MRKK,75,280548.6,14.91,14.68,15.2,14.91,14.91,14.89,18810,,14.87,,0.0,544448.6,0.0,,3,-0.0132538104705102
TQBR,2014-07-24,Россети СК,MRKK,23,70500.9,14.77,14.73,15.16,14.97,14.91,14.88,4730,,14.92,,0.0,505744.6,0.0,,3,-0.0006715916722632
TQBR,2014-07-25,Россети СК,MRKK,31,57180.1,14.75,14.56,14.92,14.8,14.7,14.8,3890,,14.9,,0.0,508451.6,0.0,,3,-0.0053763440860215
TQBR,2014-07-28,Россети СК,MRKK,71,86135.5,14.56,14.54,14.89,14.75,14.67,14.75,5870,,14.85,,0.0,519454.4,0.0,,3,-0.0033783783783784
TQBR,2014-07-29,Россети СК,MRKK,68,44665.2,14.87,14.55,14.87,14.82,14.64,14.83,3050,,14.82,,0.0,511448.1,0.0,,3,0.0054237288135593
TQBR,2014-07-30,Россети СК,MRKK,58,74703.3,14.58,14.51,14.82,14.52,14.59,14.51,5120,,14.78,,0.0,530544.6,0.0,,3,-0.021577882670263
TQBR,2014-07-31,Россети СК,MRKK,70,92969.1,14.63,14.25,14.79,14.63,14.64,14.7,6350,,14.71,,0.0,507828.8,0.0,,3,0.0130944176430047
TQBR,2014-08-01,Россети СК,MRKK,40,37870.4,14.7,14.4,14.73,14.6,14.45,14.6,2620,,14.69,,0.0,518463.7,0.0,,3,-0.0068027210884353
TQBR,2014-08-04,Россети СК,MRKK,130,293212.5,14.86,14.77,15.72,15.19,15.35,15.19,19100,,15.03,,0.0,500086.3,0.0,,3,0.0404109589041095
TQBR,2014-08-05,Россети СК,MRKK,42,224307.4,14.9,14.9,15.39,15.25,15.02,15.25,14930,,15.22,,0.0,504842.6,0.0,,3,0.0039499670836076
TQBR,2014-08-06,Россети СК,MRKK,52,74210.6,15.0,14.71,15.3,15.13,14.99,15.15,4950,,15.18,,0.0,501474.4,0.0,,3,-0.0065573770491803
TQBR,2014-08-07,Россети СК,MRKK,121,106787.1,15.05,14.61,15.05,14.7,14.85,14.7,7190,,15.04,,0.0,509365.7,0.0,,3,-0.0297029702970297
TQBR,2014-08-08,Россети СК,MRKK,610,522984.8,14.7,14.41,15.11,15.0,14.69,15.0,35590,14.69,14.69,14.69,522984.8,522984.8,522984.8,,3,0.0204081632653061
TQBR,2014-08-11,Россети СК,MRKK,33,33448.6,15.13,14.99,15.15,15.13,15.14,15.13,2210,,14.72,,0.0,504415.4,0.0,,3,0.0086666666666667
TQBR,2014-08-12,Россети СК,MRKK,48,54488.2,15.05,14.93,15.13,15.05,15.01,15.13,3630,,14.77,,0.0,500367.5,0.0,,3,0.0
TQBR,2014-08-13,Россети СК,MRKK,224,605896.0,15.13,14.6,17.17,17.16,16.06,17.16,37730,16.06,16.06,16.06,605896.0,605896.0,605896.0,,3,0.1341705221414408
TQBR,2014-08-14,Россети СК,MRKK,142,599396.0,17.05,16.51,17.6,16.81,16.92,16.81,35430,16.92,16.92,16.92,599225.5,599225.5,599225.5,,3,-0.0203962703962704
TQBR,2014-08-15,Россети СК,MRKK,47,352045.4,16.82,16.66,17.25,17.05,17.09,17.11,20600,,17.1,,0.0,500261.6,0.0,,3,0.0178465199286139
TQBR,2014-08-18,Россети СК,MRKK,77,286377.8,17.04,16.59,17.04,16.76,16.79,16.82,17060,,16.95,,0.0,522825.5,0.0,,3,-0.0169491525423728
TQBR,2014-08-19,Россети СК,MRKK,129,482421.6,16.79,16.2,16.79,16.58,16.39,16.66,29430,,16.41,,0.0,507216.2,0.0,,3,-0.0095124851367419
TQBR,2014-08-20,Россети СК,MRKK,89,282860.6,16.39,16.03,16.53,16.14,16.28,16.14,17370,,16.31,,0.0,503872.3,0.0,,3,-0.0312124849939975
TQBR,2014-08-21,Россети СК,MRKK,53,73906.3,16.14,16.03,16.28,16.24,16.14,16.24,4580,,16.27,,0.0,500161.9,0.0,,3,0.0061957868649317
TQBR,2014-08-22,Россети СК,MRKK,32,45934.3,16.1,15.91,16.17,16.11,16.06,16.11,2860,,16.25,,0.0,503595.5,0.0,,3,-0.0080049261083743
TQBR,2014-08-25,Россети СК,MRKK,20,19485.1,16.06,15.95,16.2,16.07,16.1,16.1,1210,,16.25,,0.0,500217.6,0.0,,3,-0.0006207324643077
TQBR,2014-08-26,Россети СК,MRKK,30,36236.3,16.05,15.97,16.22,16.06,16.03,16.06,2260,,16.23,,0.0,504006.9,0.0,,3,-0.0024844720496896
TQBR,2014-08-27,Россети СК,MRKK,29,12829.8,15.99,15.99,16.45,16.16,16.24,16.16,790,,16.22,,0.0,500526.8,0.0,,3,0.0062266500622665
TQBR,2014-08-28,Россети СК,MRKK,4,795.0,15.96,15.83,16.03,16.03,15.9,16.03,50,,16.22,,0.0,501321.8,0.0,,3,-0.0080445544554454
TQBR,2014-08-29,Россети СК,MRKK,33,21410.7,15.75,15.74,16.4,16.25,15.98,16.25,1340,,16.21,,0.0,500286.5,0.0,,3,0.013724266999376
TQBR,2014-09-01,Россети СК,MRKK,70,64411.8,16.24,16.04,17.0,16.23,16.43,16.35,3920,,16.22,,0.0,519548.3,0.0,,3,0.0061538461538462
TQBR,2014-09-02,Россети СК,MRKK,59,569043.9,16.17,16.15,16.95,16.45,16.53,16.5,34420,16.53,16.53,16.53,569043.9,569043.9,569043.9,,3,0.0091743119266054
TQBR,2014-09-03,Россети СК,MRKK,253,2143187.5,16.19,15.98,17.96,17.16,17.19,17.15,124650,17.19,17.19,17.19,2143187.5,2143187.5,2143187.5,,3,0.0393939393939393
TQBR,2014-09-04,Россети СК,MRKK,48,320916.8,17.06,17.03,17.56,17.1,17.46,17.24,18380,,17.36,,0.0,513102.2,0.0,,3,0.0052478134110787
TQBR,2014-09-05,Россети СК,MRKK,17,9831.0,17.14,17.12,17.49,17.25,17.25,17.25,570,,17.36,,0.0,522933.2,0.0,,3,0.0005800464037123
TQBR,2014-09-08,Россети СК,MRKK,28,174890.1,17.16,17.01,17.29,17.18,17.15,17.26,10200,,17.35,,0.0,500458.6,0.0,,3,0.0005797101449276
TQBR,2014-09-09,Россети СК,MRKK,112,441557.3,17.47,17.25,18.3,18.3,17.86,18.3,24720,,17.72,,0.0,527044.5,0.0,,3,0.060254924681344
TQBR,2014-09-10,Россети СК,MRKK,23,49918.0,18.29,17.61,18.3,17.81,17.76,17.8,2810,,17.81,,0.0,519206.7,0.0,,3,-0.0273224043715847
TQBR,2014-09-11,Россети СК,MRKK,99,726119.5,17.89,17.89,18.61,18.29,18.43,18.29,39390,18.43,18.43,18.43,726119.5,726119.5,726119.5,,3,0.0275280898876403
TQBR,2014-09-12,Россети СК,MRKK,22,17227.1,17.82,17.82,18.03,17.91,17.94,17.91,960,,18.42,,0.0,653648.4,0.0,,3,-0.0207763805358118
TQBR,2014-09-15,Россети СК,MRKK,49,129109.2,17.96,17.45,18.03,17.45,17.71,17.45,7290,,18.21,,0.0,505576.3,0.0,,3,-0.0256839754327192
