BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-09-02,РСетиЦП ао,MRKP,78,799181.5,0.118,0.11513,0.11888,0.11774,0.11701,0.11774,6830000,0.11701,0.11701,0.11701,799181.5,799181.5,799181.5,,3,0.0
TQBR,2013-09-03,РСетиЦП ао,MRKP,31,388895.8,0.1165,0.11518,0.1165,0.11552,0.1154,0.11525,3370000,,0.11575,,0.0,517409.0,0.0,,3,-0.0211482928486495
TQBR,2013-09-04,РСетиЦП ао,MRKP,26,158592.8,0.11476,0.11402,0.1159,0.11409,0.11492,0.11402,1380000,,0.11516,,0.0,500965.3,0.0,,3,-0.0106724511930586
TQBR,2013-09-05,РСетиЦП ао,MRKP,28,1390494.1,0.1145,0.11439,0.1155,0.1155,0.11549,0.1155,12040000,0.11549,0.11549,0.11549,1390494.1,1390494.1,1390494.1,,3,0.0129801789159797
TQBR,2013-09-06,РСетиЦП ао,MRKP,14,172784.3,0.1154,0.11416,0.11548,0.115,0.11519,0.115,1500000,,0.11545,,0.0,981284.3,0.0,,3,-0.0043290043290043
TQBR,2013-09-09,РСетиЦП ао,MRKP,8,26516.7,0.11595,0.115,0.11596,0.115,0.11529,0.115,230000,,0.11544,,0.0,1007801.0,0.0,,3,0.0
TQBR,2013-09-10,РСетиЦП ао,MRKP,10,573723.0,0.11596,0.115,0.11597,0.115,0.1159,0.115,4950000,0.1159,0.1159,0.1159,573723.0,573723.0,573723.0,,3,0.0
TQBR,2013-09-11,РСетиЦП ао,MRKP,191,3151185.8,0.11594,0.1137,0.11597,0.11485,0.11492,0.11489,27420000,0.11492,0.11492,0.11492,3151185.8,3151185.8,3151185.8,,3,-0.0009565217391304
TQBR,2013-09-12,РСетиЦП ао,MRKP,101,778880.7,0.11403,0.11112,0.11483,0.11232,0.11321,0.11232,6880000,0.11321,0.11321,0.11321,778880.7,778880.7,778880.7,,3,-0.0223692227347898
TQBR,2013-09-13,РСетиЦП ао,MRKP,60,286915.1,0.1125,0.11113,0.11253,0.11221,0.11208,0.11221,2560000,,0.11219,,0.0,519434.4,0.0,,3,-0.0009793447293447
TQBR,2013-09-16,РСетиЦП ао,MRKP,249,2344587.6,0.1114,0.106,0.1114,0.10798,0.1088,0.10851,21550000,0.1088,0.1088,0.1088,2344587.6,2344587.6,2344587.6,,3,-0.0329738882452545
TQBR,2013-09-17,РСетиЦП ао,MRKP,223,4426010.1,0.10623,0.103,0.1087,0.105,0.10604,0.105,41740000,0.10604,0.10604,0.10604,4426010.1,4426010.1,4426010.1,,3,-0.0323472491014652
TQBR,2013-09-18,РСетиЦП ао,MRKP,175,2466073.0,0.1059,0.1006,0.10594,0.10199,0.10267,0.10196,24020000,0.10267,0.10267,0.10267,2466073.0,2466073.0,2466073.0,,3,-0.0289523809523809
TQBR,2013-09-19,РСетиЦП ао,MRKP,200,3092833.5,0.10297,0.09812,0.10406,0.101,0.10088,0.101,30660000,0.10088,0.10088,0.10088,3092833.5,3092833.5,3092833.5,,3,-0.0094154570419771
TQBR,2013-09-20,РСетиЦП ао,MRKP,369,2788431.9,0.09406,0.09406,0.10199,0.09699,0.09757,0.097,28580000,0.09763,0.09763,0.09763,2741401.9,2741401.9,2741401.9,,3,-0.0396039603960396
