BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,РсетСиб ао,MRKS,42,675428.2,0.06909,0.06909,0.075,0.07321,0.0731,0.075,9240000,0.0731,0.0731,0.0731,675428.2,675428.2,675428.2,,3,0.0
TQBR,2014-06-10,РсетСиб ао,MRKS,202,1509179.4,0.07032,0.045,0.07199,0.068,0.06195,0.068,24360000,0.06195,0.06195,0.06195,1509179.4,1509179.4,1509179.4,,3,-0.0933333333333332
TQBR,2014-06-11,РсетСиб ао,MRKS,18,703895.2,0.06799,0.06799,0.0685,0.068,0.06801,0.068,10350000,0.06801,0.06801,0.06801,703895.2,703895.2,703895.2,,3,0.0
TQBR,2014-06-16,РсетСиб ао,MRKS,29,388860.9,0.06105,0.06105,0.07,0.068,0.06798,0.068,5720000,,0.06799,,0.0,533700.9,0.0,,3,0.0
TQBR,2014-06-17,РсетСиб ао,MRKS,8,144363.4,0.06405,0.06402,0.06944,0.0685,0.06842,0.0685,2110000,0.0681,0.06818,0.0681,533224.3,505925.9,533224.3,,3,0.0073529411764705
TQBR,2014-06-18,РсетСиб ао,MRKS,3,36358.0,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,530000,,0.06816,,0.0,505083.8,0.0,,3,0.0014598540145983
TQBR,2014-06-19,РсетСиб ао,MRKS,3,10992.0,0.0687,0.0687,0.0687,0.0687,0.0687,0.0687,160000,,0.06817,,0.0,516075.8,0.0,,3,0.0014577259475219
TQBR,2014-06-20,РсетСиб ао,MRKS,7,25456.5,0.06881,0.0688,0.06881,0.0688,0.0688,0.0688,370000,,0.06822,,0.0,504809.9,0.0,,3,0.0014556040756914
TQBR,2014-06-23,РсетСиб ао,MRKS,6,32331.4,0.0691,0.069,0.07097,0.07097,0.07029,0.07097,460000,,0.06836,,0.0,500421.3,0.0,,3,0.0315406976744186
TQBR,2014-06-24,РсетСиб ао,MRKS,27,760120.5,0.0689,0.0689,0.07497,0.074,0.07489,0.074,10150000,0.07489,0.07489,0.07489,760120.5,760120.5,760120.5,,3,0.0426940960969422
TQBR,2014-06-25,РсетСиб ао,MRKS,5,32558.4,0.074,0.07305,0.07479,0.07392,0.074,0.07479,440000,0.07485,0.07491,0.07485,792678.9,626243.2,792678.9,,3,0.0106756756756756
TQBR,2014-06-26,РсетСиб ао,MRKS,28,324656.0,0.074,0.074,0.07604,0.0755,0.07533,0.0755,4310000,,0.07505,,0.0,950899.2,0.0,,3,0.0094932477603958
TQBR,2014-06-27,РсетСиб ао,MRKS,11,320721.6,0.07615,0.076,0.07615,0.076,0.076,0.076,4220000,,0.0758,,0.0,541936.7,0.0,,3,0.0066225165562913
TQBR,2014-06-30,РсетСиб ао,MRKS,14,50186.0,0.07687,0.07687,0.0777,0.077,0.07721,0.077,650000,,0.07591,,0.0,592122.7,0.0,,3,0.0131578947368421
TQBR,2014-07-01,РсетСиб ао,MRKS,17,146225.2,0.07769,0.07769,0.078,0.07777,0.07778,0.07777,1880000,,0.07662,,0.0,514091.2,0.0,,3,0.01
TQBR,2014-07-02,РсетСиб ао,MRKS,0,0.0,,,,0.07777,,,0,,0.07662,,0.0,514091.2,0.0,,3,0.0
TQBR,2014-07-03,РсетСиб ао,MRKS,33,262490.7,0.0789,0.0789,0.085,0.08499,0.08177,0.08499,3210000,,0.07959,,0.0,502221.9,0.0,,3,0.0
TQBR,2014-07-04,РсетСиб ао,MRKS,8,9017.4,0.08401,0.08152,0.08401,0.08152,0.08198,0.08152,110000,,0.07963,,0.0,511239.3,0.0,,3,-0.0408283327450288
TQBR,2014-07-07,РсетСиб ао,MRKS,9,17757.2,0.07,0.06552,0.087,0.08539,0.07399,0.087,240000,,0.07943,,0.0,528996.5,0.0,,3,0.0672227674190382
TQBR,2014-07-08,РсетСиб ао,MRKS,5,19588.7,0.08489,0.08489,0.08699,0.08699,0.08517,0.08699,230000,,0.07996,,0.0,502956.7,0.0,,3,-0.0001149425287355
TQBR,2014-07-09,РсетСиб ао,MRKS,16,4426909.9,0.08501,0.08,0.086,0.082,0.08596,0.082,51500000,0.08596,0.08596,0.08596,4426909.9,4426909.9,4426909.9,,3,-0.057362915277618
TQBR,2014-07-10,РсетСиб ао,MRKS,2,1680.2,0.08401,0.08401,0.08401,0.08401,0.08401,0.08401,20000,0.08596,0.08595,0.08596,4428590.1,1743010.5,4428590.1,,3,0.0245121951219511
TQBR,2014-07-11,РсетСиб ао,MRKS,4,8508.0,0.08508,0.08508,0.08508,0.08508,0.08508,0.08508,100000,0.08596,0.08594,0.08596,4437098.1,1751518.5,4437098.1,,3,0.012736578978693
TQBR,2014-07-14,РсетСиб ао,MRKS,6,155618.4,0.0855,0.0855,0.086,0.086,0.08598,0.086,1810000,,0.08595,,0.0,1907136.9,0.0,,3,0.010813352139163
TQBR,2014-07-15,РсетСиб ао,MRKS,12,10732.0,0.07607,0.07602,0.08601,0.08601,0.08255,0.08601,130000,,0.08593,,0.0,1917868.9,0.0,,3,0.0001162790697675
TQBR,2014-07-16,РсетСиб ао,MRKS,12,194020.5,0.08698,0.0865,0.0883,0.08811,0.08662,0.0883,2240000,,0.08599,,0.0,2111889.4,0.0,,3,0.0266248110684804
TQBR,2014-07-17,РсетСиб ао,MRKS,6,69695.8,0.086,0.086,0.08799,0.08798,0.08712,0.08799,800000,,0.08602,,0.0,2181585.2,0.0,,3,-0.0035107587768969
TQBR,2014-07-18,РсетСиб ао,MRKS,19,2035527.8,0.08691,0.0765,0.08888,0.0875,0.08751,0.0875,23260000,0.08751,0.08751,0.08751,2035527.8,2035527.8,2035527.8,,3,-0.005568814638027
TQBR,2014-07-21,РсетСиб ао,MRKS,2,8850.0,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,100000,0.08752,0.08887,0.08752,2044377.8,1086897.0,2044377.8,,3,0.0114285714285714
TQBR,2014-07-22,РсетСиб ао,MRKS,33,252299.8,0.0885,0.0885,0.09449,0.094,0.09043,0.094,2790000,,0.08917,,0.0,1329466.0,0.0,,3,0.0621468926553672
TQBR,2014-07-23,РсетСиб ао,MRKS,10,17605.2,0.0885,0.08501,0.09004,0.09004,0.08803,0.09004,200000,,0.08915,,0.0,1347071.2,0.0,,3,-0.0421276595744681
TQBR,2014-07-24,РсетСиб ао,MRKS,4,30356.7,0.09199,0.09199,0.09199,0.09199,0.09199,0.09199,330000,,0.08921,,0.0,1377427.9,0.0,,3,0.0216570413149712
TQBR,2014-07-25,РсетСиб ао,MRKS,12,318764.7,0.08757,0.08757,0.09199,0.08954,0.08954,0.0889,3560000,,0.09003,,0.0,541962.7,0.0,,3,-0.0335906076747472
TQBR,2014-07-28,РсетСиб ао,MRKS,11,281527.5,0.09001,0.08856,0.09001,0.08856,0.08994,0.08856,3130000,,0.08973,,0.0,550916.5,0.0,,3,-0.0038245219347582
TQBR,2014-07-29,РсетСиб ао,MRKS,2,100250.0,0.0896,0.0895,0.0896,0.08951,0.08951,0.0895,1120000,,0.08969,,0.0,651166.5,0.0,,3,0.0106142728093947
TQBR,2014-07-30,РсетСиб ао,MRKS,2,18209.8,0.091,0.091,0.09198,0.09198,0.09105,0.09198,200000,,0.08973,,0.0,669376.3,0.0,,3,0.027709497206704
TQBR,2014-07-31,РсетСиб ао,MRKS,20,188672.3,0.08008,0.07431,0.09196,0.089,0.08537,0.089,2210000,,0.08831,,0.0,560759.5,0.0,,3,-0.0323983474668407
TQBR,2014-08-01,РсетСиб ао,MRKS,15,27070.5,0.08001,0.08001,0.0885,0.0885,0.0846,0.0885,320000,,0.08788,,0.0,515830.0,0.0,,3,-0.0056179775280898
TQBR,2014-08-04,РсетСиб ао,MRKS,0,0.0,,,,0.0885,,,0,,0.08788,,0.0,515830.0,0.0,,3,0.0
