BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,РоссЮг ао,MRKY,54,414183.5,0.03359,0.03211,0.03369,0.03301,0.03329,0.03301,12440000,,0.03319,,0.0,669542.9,0.0,,3,0.0
TQBR,2014-06-10,РоссЮг ао,MRKY,92,694479.3,0.03381,0.03299,0.03389,0.03379,0.03355,0.03379,20700000,0.03355,0.03355,0.03355,694141.2,694141.2,694141.2,,3,0.0236292032717359
TQBR,2014-06-11,РоссЮг ао,MRKY,71,921706.6,0.03378,0.0335,0.03451,0.03451,0.03404,0.03451,27080000,0.03404,0.03404,0.03404,921706.6,921706.6,921706.6,,3,0.0213080793134062
TQBR,2014-06-16,РоссЮг ао,MRKY,78,518031.0,0.03559,0.0336,0.03559,0.03477,0.03426,0.0348,15120000,0.03426,0.03426,0.03426,517675.1,517675.1,517675.1,,3,0.0084033613445377
TQBR,2014-06-17,РоссЮг ао,MRKY,66,600913.0,0.03546,0.03391,0.03546,0.0347,0.03438,0.0347,17480000,0.03438,0.03438,0.03438,600558.4,600558.4,600558.4,,3,-0.0028735632183906
TQBR,2014-06-18,РоссЮг ао,MRKY,35,245332.9,0.03412,0.0341,0.03482,0.03458,0.03446,0.03458,7120000,,0.0343,,0.0,513878.2,0.0,,3,-0.0034582132564842
TQBR,2014-06-19,РоссЮг ао,MRKY,26,156829.8,0.03442,0.03432,0.03486,0.03433,0.03454,0.03433,4540000,,0.03437,,0.0,556176.3,0.0,,3,-0.0072296124927703
TQBR,2014-06-20,РоссЮг ао,MRKY,42,172023.5,0.03559,0.03313,0.03559,0.03477,0.034,0.03483,5060000,,0.0343,,0.0,504566.4,0.0,,3,0.0145645208272647
TQBR,2014-06-23,РоссЮг ао,MRKY,46,417317.4,0.03402,0.03401,0.0358,0.03571,0.03501,0.0358,11920000,,0.03484,,0.0,520472.5,0.0,,3,0.0278495549813378
TQBR,2014-06-24,РоссЮг ао,MRKY,50,152161.1,0.03595,0.03403,0.0362,0.0349,0.03482,0.0349,4370000,,0.03498,,0.0,510647.0,0.0,,3,-0.0251396648044692
TQBR,2014-06-25,РоссЮг ао,MRKY,72,243454.7,0.0349,0.0341,0.03613,0.03411,0.03544,0.0341,6870000,,0.03521,,0.0,500994.2,0.0,,3,-0.0229226361031519
TQBR,2014-06-26,РоссЮг ао,MRKY,56,122009.9,0.03459,0.03459,0.03583,0.03488,0.03557,0.03488,3430000,,0.03528,,0.0,500224.3,0.0,,3,0.0228739002932552
TQBR,2014-06-27,РоссЮг ао,MRKY,36,76621.5,0.03577,0.03517,0.03615,0.03591,0.03597,0.03591,2130000,,0.03538,,0.0,543114.6,0.0,,3,0.0295298165137613
TQBR,2014-06-30,РоссЮг ао,MRKY,49,375272.3,0.0359,0.0352,0.03653,0.03641,0.03574,0.03642,10500000,,0.03578,,0.0,501232.7,0.0,,3,0.014202172096909
TQBR,2014-07-01,РоссЮг ао,MRKY,24,264006.2,0.03588,0.03547,0.03636,0.03562,0.03553,0.03562,7430000,,0.03562,,0.0,503006.3,0.0,,3,-0.0219659527732015
TQBR,2014-07-02,РоссЮг ао,MRKY,52,651771.3,0.03572,0.0355,0.03631,0.03626,0.03565,0.03626,18280000,0.03565,0.03565,0.03565,651771.3,651771.3,651771.3,,3,0.0179674340258282
TQBR,2014-07-03,РоссЮг ао,MRKY,55,731955.1,0.03623,0.03584,0.03642,0.03642,0.03613,0.03642,20260000,0.03613,0.03613,0.03613,731955.1,731955.1,731955.1,,3,0.0044125758411472
TQBR,2014-07-04,РоссЮг ао,MRKY,44,287885.4,0.0367,0.0367,0.0387,0.03769,0.03719,0.03769,7740000,,0.03674,,0.0,500461.1,0.0,,3,0.0348709500274574
TQBR,2014-07-07,РоссЮг ао,MRKY,127,1342621.4,0.0377,0.03642,0.03849,0.03841,0.03737,0.03841,35930000,0.03737,0.03737,0.03737,1342621.4,1342621.4,1342621.4,,3,0.0191032104006367
TQBR,2014-07-08,РоссЮг ао,MRKY,75,1229417.5,0.03861,0.03701,0.03861,0.03713,0.03724,0.03713,33010000,0.03724,0.03724,0.03724,1229417.5,1229417.5,1229417.5,,3,-0.0333246550377504
TQBR,2014-07-09,РоссЮг ао,MRKY,68,1093521.8,0.03746,0.03538,0.03746,0.03701,0.03691,0.03701,29630000,0.03691,0.03691,0.03691,1093521.8,1093521.8,1093521.8,,3,-0.0032318879612173
TQBR,2014-07-10,РоссЮг ао,MRKY,43,309024.6,0.03669,0.0364,0.0375,0.03698,0.0371,0.03698,8330000,,0.03708,,0.0,504663.4,0.0,,3,-0.0008105917319643
TQBR,2014-07-11,РоссЮг ао,MRKY,13,18273.1,0.03759,0.03641,0.03759,0.0365,0.03655,0.0365,500000,,0.03706,,0.0,522936.5,0.0,,3,-0.0129799891833423
TQBR,2014-07-14,РоссЮг ао,MRKY,57,408705.9,0.03601,0.03601,0.03777,0.03679,0.03716,0.03634,11000000,,0.03715,,0.0,549459.8,0.0,,3,-0.0043835616438356
TQBR,2014-07-15,РоссЮг ао,MRKY,58,356973.6,0.03769,0.03673,0.03879,0.03813,0.03794,0.03813,9410000,,0.03782,,0.0,507858.2,0.0,,3,0.0492570170610897
TQBR,2014-07-16,РоссЮг ао,MRKY,23,186923.0,0.03869,0.03807,0.03931,0.03807,0.03878,0.03807,4820000,,0.03829,,0.0,503064.9,0.0,,3,-0.0015735641227379
TQBR,2014-07-17,РоссЮг ао,MRKY,67,568254.2,0.03929,0.03726,0.03953,0.03735,0.03866,0.03735,14700000,0.03866,0.03866,0.03866,568254.2,568254.2,568254.2,,3,-0.0189125295508273
TQBR,2014-07-18,РоссЮг ао,MRKY,70,880126.9,0.03686,0.03686,0.03989,0.03894,0.03894,0.03803,22600000,0.03895,0.03895,0.03895,875703.7,875703.7,875703.7,,3,0.0182061579651941
TQBR,2014-07-21,РоссЮг ао,MRKY,60,409049.9,0.03898,0.0381,0.03989,0.0396,0.03922,0.0396,10430000,,0.03933,,0.0,503766.9,0.0,,3,0.0412831974756771
TQBR,2014-07-22,РоссЮг ао,MRKY,76,510100.2,0.04047,0.03752,0.04047,0.03864,0.03827,0.03864,13330000,0.03827,0.03827,0.03827,509695.5,509695.5,509695.5,,3,-0.0242424242424243
