BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,МордЭнСб,MRSB,0,0.0,,,,0.10764,,,0,,0.10141,,0.0,500952.6,0.0,,3,0.0
TQBR,2014-06-10,МордЭнСб,MRSB,0,0.0,,,,0.10764,,,0,,0.10141,,0.0,500952.6,0.0,,3,0.0
TQBR,2014-06-11,МордЭнСб,MRSB,0,0.0,,,,0.10764,,,0,,0.10141,,0.0,500952.6,0.0,,3,0.0
TQBR,2014-06-16,МордЭнСб,MRSB,2,4120.2,0.10302,0.103,0.10302,0.103,0.10301,0.103,40000,,0.10143,,0.0,501076.8,0.0,,3,0.0
TQBR,2014-06-17,МордЭнСб,MRSB,5,8150.5,0.10302,0.1,0.10302,0.10188,0.10188,0.1,80000,,0.1015,,0.0,500374.7,0.0,,3,-0.0291262135922329
TQBR,2014-06-18,МордЭнСб,MRSB,0,0.0,,,,0.10188,,,0,,0.1015,,0.0,500374.7,0.0,,3,0.0
TQBR,2014-06-19,МордЭнСб,MRSB,2,11000.0,0.1,0.1,0.1,0.1,0.1,0.1,110000,,0.10153,,0.0,506636.2,0.0,,3,0.0
TQBR,2014-06-20,МордЭнСб,MRSB,3,6299.2,0.105,0.10498,0.105,0.10498,0.10499,0.10499,60000,,0.10169,,0.0,500326.2,0.0,,3,0.0498999999999999
TQBR,2014-06-23,МордЭнСб,MRSB,2,2105.0,0.105,0.105,0.1055,0.1055,0.10525,0.1055,20000,,0.10171,,0.0,502431.2,0.0,,3,0.0048576054862367
TQBR,2014-06-24,МордЭнСб,MRSB,3,4320.2,0.108,0.108,0.10801,0.10801,0.10801,0.10801,40000,,0.10176,,0.0,506751.4,0.0,,3,0.0237914691943127
TQBR,2014-06-25,МордЭнСб,MRSB,1,1000.2,0.10002,0.10002,0.10002,0.10002,0.10002,0.10002,10000,,0.10175,,0.0,507751.6,0.0,,3,-0.0739746319785204
TQBR,2014-06-26,МордЭнСб,MRSB,8,20828.8,0.10998,0.109,0.11,0.10901,0.10963,0.10901,190000,,0.10217,,0.0,509822.0,0.0,,3,0.0898820235952809
TQBR,2014-06-27,МордЭнСб,MRSB,11,20950.5,0.11002,0.10302,0.114,0.10826,0.11027,0.10302,190000,,0.1026,,0.0,505822.9,0.0,,3,-0.0549490872397027
TQBR,2014-06-30,МордЭнСб,MRSB,10,81980.8,0.10999,0.096,0.11001,0.09768,0.1051,0.096,780000,,0.10279,,0.0,545803.7,0.0,,3,-0.0681421083284798
TQBR,2014-07-01,МордЭнСб,MRSB,5,15978.9,0.10499,0.094,0.10499,0.09889,0.09987,0.09889,160000,,0.10245,,0.0,504032.6,0.0,,3,0.0301041666666667
