BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,+МосЭнерго,MSNG,0,0.0,,,,1.1021,,,0,1.1005,1.1005,1.1005,6871314.9,6871314.9,6871314.9,,3,0.0
TQBR,2013-07-09,+МосЭнерго,MSNG,0,0.0,,,,1.1111,,,0,1.1108,1.1108,1.1108,6923899.3,6923899.3,6923899.3,,3,0.0
TQBR,2013-07-10,+МосЭнерго,MSNG,0,0.0,,,,1.0814,,,0,1.0867,1.0867,1.0867,11469709.7,11469709.7,11469709.7,,3,0.0
TQBR,2013-07-11,+МосЭнерго,MSNG,0,0.0,,,,1.1187,,,0,1.1013,1.1013,1.1013,16614269.9,16614269.9,16614269.9,,3,0.0
TQBR,2013-07-12,+МосЭнерго,MSNG,0,0.0,,,,1.1578,,,0,1.1524,1.1524,1.1524,66654053.0,66654053.0,66654053.0,,3,0.0
TQBR,2013-07-15,+МосЭнерго,MSNG,0,0.0,,,,1.1632,,,0,1.1624,1.1624,1.1624,9352996.9,9352996.9,9352996.9,,3,0.0
TQBR,2013-07-16,+МосЭнерго,MSNG,0,0.0,,,,1.1525,,,0,1.1636,1.1636,1.1636,32398001.0,32398001.0,32398001.0,,3,0.0
TQBR,2013-07-17,+МосЭнерго,MSNG,0,0.0,,,,1.1886,,,0,1.1575,1.1575,1.1575,20703234.5,20703234.5,20703234.5,,3,0.0
TQBR,2013-07-18,+МосЭнерго,MSNG,0,0.0,,,,1.1671,,,0,1.18,1.18,1.18,24904986.3,24904986.3,24904986.3,,3,0.0
TQBR,2013-07-19,+МосЭнерго,MSNG,0,0.0,,,,1.1847,,,0,1.1781,1.1781,1.1781,16096597.6,16096597.6,16096597.6,,3,0.0
TQBR,2013-07-22,+МосЭнерго,MSNG,0,0.0,,,,1.1719,,,0,1.1716,1.1716,1.1716,6844460.9,6844460.9,6844460.9,,3,0.0
TQBR,2013-07-23,+МосЭнерго,MSNG,0,0.0,,,,1.1775,,,0,1.1809,1.1809,1.1809,28439030.3,28439030.3,28439030.3,,3,0.0
TQBR,2013-07-24,+МосЭнерго,MSNG,0,0.0,,,,1.1478,,,0,1.1628,1.1628,1.1628,14227788.2,14227788.2,14227788.2,,3,0.0
TQBR,2013-07-25,+МосЭнерго,MSNG,0,0.0,,,,1.1486,,,0,1.1525,1.1525,1.1525,7811452.0,7811452.0,7811452.0,,3,0.0
TQBR,2013-07-26,+МосЭнерго,MSNG,0,0.0,,,,1.1301,,,0,1.1375,1.1375,1.1375,8644235.8,8644235.8,8644235.8,,3,0.0
TQBR,2013-07-29,+МосЭнерго,MSNG,0,0.0,,,,1.1328,,,0,1.1341,1.1341,1.1341,8874040.4,8874040.4,8874040.4,,3,0.0
TQBR,2013-07-30,+МосЭнерго,MSNG,0,0.0,,,,1.1341,,,0,1.1403,1.1403,1.1403,8838212.7,8838212.7,8838212.7,,3,0.0
TQBR,2013-07-31,+МосЭнерго,MSNG,0,0.0,,,,1.1258,,,0,1.1323,1.1323,1.1323,12901760.3,12901760.3,12901760.3,,3,0.0
TQBR,2013-08-01,+МосЭнерго,MSNG,1,1001.0,1.001,1.001,1.001,1.1393,1.001,1.001,1000,1.1378,1.1378,1.1378,31965708.1,31965708.1,31965708.1,,3,0.0
TQBR,2013-08-02,+МосЭнерго,MSNG,0,0.0,,,,1.1363,,,0,1.1446,1.1446,1.1446,25164306.3,25164306.3,25164306.3,,3,0.0
TQBR,2013-08-05,+МосЭнерго,MSNG,0,0.0,,,,1.1269,,,0,1.1324,1.1324,1.1324,8562044.6,8562044.6,8562044.6,,3,0.0
TQBR,2013-08-06,+МосЭнерго,MSNG,0,0.0,,,,1.1095,,,0,1.1225,1.1225,1.1225,28568660.3,28568660.3,28568660.3,,3,0.0
TQBR,2013-08-07,+МосЭнерго,MSNG,0,0.0,,,,1.1118,,,0,1.1077,1.1077,1.1077,10315110.5,10315110.5,10315110.5,,3,0.0
TQBR,2013-08-08,+МосЭнерго,MSNG,0,0.0,,,,1.1373,,,0,1.1283,1.1283,1.1283,17467352.5,17467352.5,17467352.5,,3,0.0
TQBR,2013-08-09,+МосЭнерго,MSNG,0,0.0,,,,1.1461,,,0,1.143,1.143,1.143,13208899.8,13208899.8,13208899.8,,3,0.0
TQBR,2013-08-12,+МосЭнерго,MSNG,0,0.0,,,,1.1674,,,0,1.1645,1.1645,1.1645,17025681.3,17025681.3,17025681.3,,3,0.0
TQBR,2013-08-13,+МосЭнерго,MSNG,0,0.0,,,,1.1735,,,0,1.1819,1.1819,1.1819,14438735.6,14438735.6,14438735.6,,3,0.0
TQBR,2013-08-14,+МосЭнерго,MSNG,0,0.0,,,,1.1774,,,0,1.1769,1.1769,1.1769,11836821.5,11836821.5,11836821.5,,3,0.0
TQBR,2013-08-15,+МосЭнерго,MSNG,0,0.0,,,,1.1451,,,0,1.1605,1.1605,1.1605,13366732.9,13366732.9,13366732.9,,3,0.0
TQBR,2013-08-16,+МосЭнерго,MSNG,0,0.0,,,,1.1222,,,0,1.1348,1.1348,1.1348,14197661.4,14197661.4,14197661.4,,3,0.0
TQBR,2013-08-19,+МосЭнерго,MSNG,1,1000.5,1.0005,1.0005,1.0005,1.1172,1.0005,1.0005,1000,1.1175,1.1175,1.1175,14172676.5,14172676.5,14172676.5,,3,0.0
TQBR,2013-08-20,+МосЭнерго,MSNG,28,190324.8,1.1148,0.7811,1.1148,1.11,0.9913,1.1097,192000,1.1077,1.1077,1.1077,8015046.0,8015046.0,8015046.0,,3,0.1091454272863567
TQBR,2013-08-21,+МосЭнерго,MSNG,3,3900.1,1.4441,1.0119,1.4441,1.1154,1.3,1.4441,3000,1.1145,1.1145,1.1145,6583382.2,6583382.2,6583382.2,,3,0.3013427052356493
