BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,РСетиМР ао,MSRS,0,0.0,,,,1.2314,,,0,1.2302,1.2302,1.2302,596658.6,596658.6,596658.6,,3,0.0
TQBR,2013-07-09,РСетиМР ао,MSRS,0,0.0,,,,1.2286,,,0,1.2326,1.2326,1.2326,2185424.1,2185424.1,2185424.1,,3,0.0
TQBR,2013-07-10,РСетиМР ао,MSRS,0,0.0,,,,1.1751,,,0,1.1886,1.1886,1.1886,2314198.8,2314198.8,2314198.8,,3,0.0
TQBR,2013-07-11,РСетиМР ао,MSRS,0,0.0,,,,1.2047,,,0,1.2025,1.2025,1.2025,601258.3,601258.3,601258.3,,3,0.0
TQBR,2013-07-12,РСетиМР ао,MSRS,0,0.0,,,,1.2435,,,0,1.2394,1.2394,1.2394,1807011.2,1807011.2,1807011.2,,3,0.0
TQBR,2013-07-15,РСетиМР ао,MSRS,0,0.0,,,,1.2737,,,0,1.2769,1.2769,1.2769,886157.3,886157.3,886157.3,,3,0.0
TQBR,2013-07-16,РСетиМР ао,MSRS,0,0.0,,,,1.2971,,,0,1.293,1.293,1.293,2507096.7,2507096.7,2507096.7,,3,0.0
TQBR,2013-07-17,РСетиМР ао,MSRS,0,0.0,,,,1.316,,,0,1.2884,1.2884,1.2884,5336591.8,5336591.8,5336591.8,,3,0.0
TQBR,2013-07-18,РСетиМР ао,MSRS,0,0.0,,,,1.2704,,,0,1.2895,1.2895,1.2895,667939.4,667939.4,667939.4,,3,0.0
TQBR,2013-07-19,РСетиМР ао,MSRS,0,0.0,,,,1.2757,,,0,1.2766,1.2766,1.2766,2041353.8,2041353.8,2041353.8,,3,0.0
TQBR,2013-07-22,РСетиМР ао,MSRS,0,0.0,,,,1.2879,,,0,1.2789,1.2789,1.2789,1069186.6,1069186.6,1069186.6,,3,0.0
TQBR,2013-07-23,РСетиМР ао,MSRS,0,0.0,,,,1.291,,,0,1.2868,1.2868,1.2868,822268.3,822268.3,822268.3,,3,0.0
TQBR,2013-07-24,РСетиМР ао,MSRS,0,0.0,,,,1.2951,,,0,,1.2933,,0.0,503101.4,0.0,,3,0.0
TQBR,2013-07-25,РСетиМР ао,MSRS,0,0.0,,,,1.27,,,0,,1.2746,,0.0,500933.1,0.0,,3,0.0
TQBR,2013-07-26,РСетиМР ао,MSRS,0,0.0,,,,1.2632,,,0,,1.2671,,0.0,501752.4,0.0,,3,0.0
TQBR,2013-07-29,РСетиМР ао,MSRS,0,0.0,,,,1.2302,,,0,1.2469,1.2469,1.2469,852867.6,852867.6,852867.6,,3,0.0
TQBR,2013-07-30,РСетиМР ао,MSRS,0,0.0,,,,1.2499,,,0,1.2549,1.2549,1.2549,579764.7,579764.7,579764.7,,3,0.0
TQBR,2013-07-31,РСетиМР ао,MSRS,0,0.0,,,,1.2253,,,0,1.233,1.233,1.233,1274883.0,1274883.0,1274883.0,,3,0.0
TQBR,2013-08-01,РСетиМР ао,MSRS,0,0.0,,,,1.2562,,,0,1.2412,1.2412,1.2412,724847.9,724847.9,724847.9,,3,0.0
TQBR,2013-08-02,РСетиМР ао,MSRS,0,0.0,,,,1.2318,,,0,,1.2492,,0.0,515909.8,0.0,,3,0.0
TQBR,2013-08-05,РСетиМР ао,MSRS,0,0.0,,,,1.2255,,,0,,1.2265,,0.0,515122.8,0.0,,3,0.0
