BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Мостотрест,MSTT,506,18874584.1,109.52,109.0,113.69,110.48,111.87,110.48,168720,111.87,111.87,111.87,18874584.1,18874584.1,18874584.1,,3,0.0
TQBR,2014-06-10,Мостотрест,MSTT,391,13131128.4,111.69,108.84,112.47,109.03,110.32,109.63,119030,110.32,110.32,110.32,13131128.4,13131128.4,13131128.4,,3,-0.0076937002172339
TQBR,2014-06-11,Мостотрест,MSTT,1036,11391334.6,110.95,108.63,111.22,108.94,109.82,108.94,103730,109.82,109.82,109.82,11391334.6,11391334.6,11391334.6,,3,-0.0062938976557511
TQBR,2014-06-16,Мостотрест,MSTT,882,14697499.9,108.71,107.01,110.98,109.58,109.71,109.58,133970,109.71,109.71,109.71,14697499.9,14697499.9,14697499.9,,3,0.0058747934642922
TQBR,2014-06-17,Мостотрест,MSTT,85,994325.2,109.08,108.0,109.71,108.13,108.55,108.01,9160,108.55,108.55,108.55,994325.2,994325.2,994325.2,,3,-0.014327432013141
TQBR,2014-06-18,Мостотрест,MSTT,106,662515.2,108.91,108.69,109.74,108.76,108.79,108.8,6090,108.79,108.79,108.79,662515.2,662515.2,662515.2,,3,0.0073141375798536
TQBR,2014-06-19,Мостотрест,MSTT,234,3719509.6,108.2,108.04,109.5,108.11,108.73,108.11,34210,108.73,108.73,108.73,3719509.6,3719509.6,3719509.6,,3,-0.0063419117647058
TQBR,2014-06-20,Мостотрест,MSTT,244,5280081.0,108.36,105.0,108.44,105.51,106.82,106.99,49430,106.82,106.82,106.82,5280081.0,5280081.0,5280081.0,,3,-0.0103598187031727
TQBR,2014-06-23,Мостотрест,MSTT,84,2951571.3,106.97,105.75,106.97,106.51,106.32,106.51,27760,106.32,106.32,106.32,2951571.3,2951571.3,2951571.3,,3,-0.0044864005981866
TQBR,2014-06-24,Мостотрест,MSTT,231,6033811.7,107.1,105.87,107.99,107.01,107.4,107.01,56180,107.4,107.4,107.4,6033811.7,6033811.7,6033811.7,,3,0.0046943948924983
TQBR,2014-06-25,Мостотрест,MSTT,162,3117418.0,106.9,106.3,107.73,106.7,106.87,106.7,29170,106.87,106.87,106.87,3117418.0,3117418.0,3117418.0,,3,-0.0028969255209793
TQBR,2014-06-26,Мостотрест,MSTT,102,2481837.8,106.8,106.5,107.39,106.61,106.98,106.61,23200,106.98,106.98,106.98,2481837.8,2481837.8,2481837.8,,3,-0.0008434864104967
TQBR,2014-06-27,Мостотрест,MSTT,235,4195158.1,106.63,106.62,108.96,108.0,108.43,108.0,38690,108.43,108.43,108.43,4195158.1,4195158.1,4195158.1,,3,0.0130381765312822
TQBR,2014-06-30,Мостотрест,MSTT,173,5057608.0,108.0,107.7,109.38,109.38,108.44,109.38,46640,108.44,108.44,108.44,5057608.0,5057608.0,5057608.0,,3,0.0127777777777777
TQBR,2014-07-01,Мостотрест,MSTT,236,7229124.7,108.6,107.55,109.95,108.0,108.71,108.0,66500,108.71,108.71,108.71,7229124.7,7229124.7,7229124.7,,3,-0.0126165660998353
TQBR,2014-07-02,Мостотрест,MSTT,171,4921808.4,108.99,106.99,109.16,108.0,108.2,108.0,45490,108.2,108.2,108.2,4921808.4,4921808.4,4921808.4,,3,0.0
TQBR,2014-07-03,Мостотрест,MSTT,339,18220057.5,107.01,107.0,112.94,110.32,111.82,110.32,162940,111.82,111.82,111.82,18220057.5,18220057.5,18220057.5,,3,0.0214814814814814
TQBR,2014-07-04,Мостотрест,MSTT,528,13641997.9,110.35,110.1,114.49,113.21,112.78,113.21,120960,112.78,112.78,112.78,13641997.9,13641997.9,13641997.9,,3,0.0261965192168237
TQBR,2014-07-07,Мостотрест,MSTT,194,7024928.9,112.92,112.91,115.0,115.0,114.79,115.0,61200,114.79,114.79,114.79,7024928.9,7024928.9,7024928.9,,3,0.0158113240879781
TQBR,2014-07-08,Мостотрест,MSTT,254,22685256.6,115.01,114.49,116.0,115.3,115.04,115.3,197190,115.04,115.04,115.04,22681806.3,22681806.3,22681806.3,,3,0.0026086956521738
TQBR,2014-07-09,Мостотрест,MSTT,354,7308646.9,114.74,114.71,116.4,116.19,116.03,116.19,62990,116.03,116.03,116.03,7308646.9,7308646.9,7308646.9,,3,0.0077189939288811
TQBR,2014-07-10,Мостотрест,MSTT,731,13224898.0,116.6,112.0,118.67,114.43,115.56,114.43,114440,115.56,115.56,115.56,13224898.0,13224898.0,13224898.0,,3,-0.0151476030639469
TQBR,2014-07-11,Мостотрест,MSTT,316,6980492.4,114.49,112.54,116.42,114.47,114.55,114.47,60940,114.55,114.55,114.55,6962174.0,6962174.0,6962174.0,,3,0.0003495586821636
TQBR,2014-07-14,Мостотрест,MSTT,594,12362508.0,114.59,111.51,114.7,113.0,113.51,113.0,108910,113.51,113.51,113.51,12362508.0,12362508.0,12362508.0,,3,-0.0128417926094173
TQBR,2014-07-15,Мостотрест,MSTT,545,8269442.1,103.95,103.95,110.98,106.5,108.49,106.5,76220,108.5,108.5,108.5,8259047.1,8259047.1,8259047.1,,3,-0.0575221238938053
TQBR,2014-07-16,Мостотрест,MSTT,226,1107375.5,107.38,105.55,107.5,106.08,106.48,106.77,10400,106.48,106.48,106.48,1107375.5,1107375.5,1107375.5,,3,0.0025352112676055
TQBR,2014-07-17,Мостотрест,MSTT,360,6235009.7,105.7,102.57,109.5,105.35,106.76,105.5,58400,106.76,106.76,106.76,6235009.7,6235009.7,6235009.7,,3,-0.0118947269832349
TQBR,2014-07-18,Мостотрест,MSTT,407,20035242.3,105.08,101.01,105.08,103.15,101.76,103.15,196890,101.76,101.76,101.76,20035242.3,20035242.3,20035242.3,,3,-0.0222748815165876
TQBR,2014-07-21,Мостотрест,MSTT,262,6256434.3,102.99,101.21,104.99,101.25,103.48,101.25,60460,103.48,103.48,103.48,6256434.3,6256434.3,6256434.3,,3,-0.0184197770237518
TQBR,2014-07-22,Мостотрест,MSTT,379,6242366.7,101.96,101.96,104.49,102.91,103.73,102.99,60180,103.73,103.73,103.73,6242366.7,6242366.7,6242366.7,,3,0.0171851851851851
TQBR,2014-07-23,Мостотрест,MSTT,693,7243590.3,101.51,98.14,103.55,102.23,100.12,102.42,72350,100.12,100.12,100.12,7243590.3,7243590.3,7243590.3,,3,-0.0055345179143605
TQBR,2014-07-24,Мостотрест,MSTT,365,5718563.1,102.91,102.36,107.0,103.74,104.51,103.74,54720,104.51,104.51,104.51,5718563.1,5718563.1,5718563.1,,3,0.0128881077914469
TQBR,2014-07-25,Мостотрест,MSTT,108,554396.7,102.63,100.53,103.48,100.55,101.72,100.55,5450,101.72,101.72,101.72,554396.7,554396.7,554396.7,,3,-0.0307499518025833
TQBR,2014-07-28,Мостотрест,MSTT,183,1019578.6,101.31,97.1,101.31,97.1,98.61,97.1,10340,98.61,98.61,98.61,1019578.6,1019578.6,1019578.6,,3,-0.0343112879164595
TQBR,2014-07-29,Мостотрест,MSTT,1620,15109860.6,96.0,95.76,97.85,96.63,96.7,96.99,156260,96.7,96.7,96.7,15109860.6,15109860.6,15109860.6,,3,-0.0011328527291452
TQBR,2014-07-30,Мостотрест,MSTT,338,6826319.1,96.9,96.69,99.5,97.31,98.18,97.31,69530,98.18,98.18,98.18,6826319.1,6826319.1,6826319.1,,3,0.0032993092071348
TQBR,2014-07-31,Мостотрест,MSTT,142,515558.0,98.43,97.04,98.46,97.27,97.64,97.27,5280,97.64,97.64,97.64,515558.0,515558.0,515558.0,,3,-0.000411057445278
TQBR,2014-08-01,Мостотрест,MSTT,260,1432336.0,97.05,93.82,97.9,95.0,95.05,95.0,15070,95.05,95.05,95.05,1432336.0,1432336.0,1432336.0,,3,-0.0233371029094273
TQBR,2014-08-04,Мостотрест,MSTT,345,1622467.4,95.9,93.66,96.7,94.41,94.99,94.8,17080,94.99,94.99,94.99,1620549.4,1620549.4,1620549.4,,3,-0.0021052631578947
TQBR,2014-08-05,Мостотрест,MSTT,518,4157843.4,94.64,93.01,95.4,93.02,94.09,93.02,44190,94.09,94.09,94.09,4157843.4,4157843.4,4157843.4,,3,-0.0187763713080168
TQBR,2014-08-06,Мостотрест,MSTT,510,12806960.6,93.97,90.96,93.97,90.96,91.78,90.96,139540,91.78,91.78,91.78,12806960.6,12806960.6,12806960.6,,3,-0.0221457751021286
TQBR,2014-08-07,Мостотрест,MSTT,536,3463597.9,90.9,87.47,90.9,89.67,89.22,89.91,38820,89.22,89.22,89.22,3462688.9,3462688.9,3462688.9,,3,-0.0115435356200527
TQBR,2014-08-08,Мостотрест,MSTT,923,12180054.7,90.6,89.5,93.37,91.06,92.4,91.06,131820,92.4,92.4,92.4,12180054.7,12180054.7,12180054.7,,3,0.0127905683461239
TQBR,2014-08-11,Мостотрест,MSTT,131,2011663.0,93.68,91.91,93.68,92.88,92.83,92.89,21670,92.83,92.83,92.83,2011663.0,2011663.0,2011663.0,,3,0.0200966395783
TQBR,2014-08-12,Мостотрест,MSTT,167,1368503.0,93.9,91.91,93.98,92.26,92.65,92.26,14770,92.65,92.65,92.65,1368503.0,1368503.0,1368503.0,,3,-0.0067822155237377
TQBR,2014-08-13,Мостотрест,MSTT,376,4110695.7,92.0,90.8,93.0,91.06,91.92,91.06,44720,91.92,91.92,91.92,4110695.7,4110695.7,4110695.7,,3,-0.0130067201387383
TQBR,2014-08-14,Мостотрест,MSTT,243,2305943.9,90.22,90.22,91.79,91.0,91.11,91.0,25310,91.11,91.11,91.11,2305943.9,2305943.9,2305943.9,,3,-0.0006589062156819
TQBR,2014-08-15,Мостотрест,MSTT,230,2350794.1,90.66,90.38,92.48,92.0,91.83,92.0,25600,91.83,91.83,91.83,2350794.1,2350794.1,2350794.1,,3,0.0109890109890109
TQBR,2014-08-18,Мостотрест,MSTT,201,2990144.1,92.59,90.82,92.59,91.31,91.5,91.31,32680,91.5,91.5,91.5,2990144.1,2990144.1,2990144.1,,3,-0.0074999999999999
TQBR,2014-08-19,Мостотрест,MSTT,488,31072663.0,98.05,90.85,98.05,94.8,92.45,94.8,336110,92.45,92.45,92.45,31062858.0,31062858.0,31062858.0,,3,0.038221443434454
TQBR,2014-08-20,Мостотрест,MSTT,222,3300702.4,94.78,94.36,95.95,95.86,95.48,95.86,34570,95.48,95.48,95.48,3300702.4,3300702.4,3300702.4,,3,0.0111814345991561
TQBR,2014-08-21,Мостотрест,MSTT,343,6591596.0,96.26,93.37,97.78,93.4,95.61,93.4,68940,95.61,95.61,95.61,6591596.0,6591596.0,6591596.0,,3,-0.0256624243688712
TQBR,2014-08-22,Мостотрест,MSTT,288,5206338.0,93.03,92.65,94.45,93.33,93.57,93.33,55640,93.57,93.57,93.57,5206338.0,5206338.0,5206338.0,,3,-0.0007494646680942
TQBR,2014-08-25,Мостотрест,MSTT,194,41972180.3,93.48,93.47,95.51,94.35,94.96,94.35,441980,94.96,94.96,94.96,41972180.3,41972180.3,41972180.3,,3,0.0109289617486338
TQBR,2014-08-26,Мостотрест,MSTT,161,2755199.2,94.71,92.6,94.71,92.7,93.94,92.7,29330,93.94,93.94,93.94,2755199.2,2755199.2,2755199.2,,3,-0.0174880763116056
TQBR,2014-08-27,Мостотрест,MSTT,359,6880956.9,94.75,92.8,94.75,92.99,93.02,92.99,73970,93.02,93.02,93.02,6864849.4,6864849.4,6864849.4,,3,0.003128371089536
TQBR,2014-08-28,Мостотрест,MSTT,585,9650117.5,93.79,88.88,93.79,88.96,90.94,88.96,106120,90.94,90.94,90.94,9650117.5,9650117.5,9650117.5,,3,-0.0433379933326164
TQBR,2014-08-29,Мостотрест,MSTT,647,15473131.8,89.43,85.71,89.44,86.0,87.05,86.0,177750,87.05,87.05,87.05,15473131.8,15473131.8,15473131.8,,3,-0.0332733812949639
TQBR,2014-09-01,Мостотрест,MSTT,349,6902677.7,88.52,85.25,88.84,85.48,86.33,85.48,79960,86.32,86.32,86.32,6874351.3,6874351.3,6874351.3,,3,-0.0060465116279069
TQBR,2014-09-02,Мостотрест,MSTT,467,4958332.4,85.96,83.53,85.96,84.2,84.3,84.2,58820,84.3,84.3,84.3,4958332.4,4958332.4,4958332.4,,3,-0.0149742629854936
TQBR,2014-09-03,Мостотрест,MSTT,878,46636801.9,84.3,83.87,85.9,85.22,85.29,85.22,546810,85.29,85.29,85.29,46636801.9,46636801.9,46636801.9,,3,0.0121140142517814
TQBR,2014-09-04,Мостотрест,MSTT,640,12267589.4,85.41,84.05,85.6,84.11,84.42,84.11,145310,84.42,84.42,84.42,12267589.4,12267589.4,12267589.4,,3,-0.0130251114761792
TQBR,2014-09-05,Мостотрест,MSTT,327,6576375.2,84.0,83.98,84.87,84.21,84.33,84.21,77980,84.33,84.33,84.33,6576375.2,6576375.2,6576375.2,,3,0.0011889192723813
TQBR,2014-09-08,Мостотрест,MSTT,265,4990922.9,84.75,83.7,85.01,83.99,84.16,83.99,59300,84.16,84.16,84.16,4990075.4,4990075.4,4990075.4,,3,-0.002612516328227
TQBR,2014-09-09,Мостотрест,MSTT,467,7661233.7,84.12,83.8,84.69,84.2,84.0,84.2,91210,84.0,84.0,84.0,7661233.7,7661233.7,7661233.7,,3,0.0025002976544827
TQBR,2014-09-10,Мостотрест,MSTT,1124,7421354.0,83.99,83.7,84.99,84.4,84.19,84.4,88150,84.19,84.19,84.19,7369280.2,7369280.2,7369280.2,,3,0.002375296912114
TQBR,2014-09-11,Мостотрест,MSTT,567,15004717.7,84.36,84.19,86.55,85.31,85.53,85.31,175430,85.53,85.53,85.53,15004717.7,15004717.7,15004717.7,,3,0.0107819905213269
TQBR,2014-09-12,Мостотрест,MSTT,414,7922199.2,85.25,84.25,85.33,84.7,84.79,84.7,93430,84.79,84.79,84.79,7922199.2,7922199.2,7922199.2,,3,-0.0071503926854999
TQBR,2014-09-15,Мостотрест,MSTT,2003,7923677.4,84.8,83.5,84.98,83.99,83.93,83.99,94410,83.93,83.93,83.93,7923677.4,7923677.4,7923677.4,,3,-0.0083825265643448
TQBR,2014-09-16,Мостотрест,MSTT,238,4197670.4,84.39,84.0,84.79,84.01,84.21,84.1,49850,84.21,84.21,84.21,4197670.4,4197670.4,4197670.4,,3,0.0013096797237766
TQBR,2014-09-17,Мостотрест,MSTT,379,9980514.7,84.49,82.97,85.01,83.0,83.83,83.0,119050,83.83,83.83,83.83,9980514.7,9980514.7,9980514.7,,3,-0.0130796670630201
TQBR,2014-09-18,Мостотрест,MSTT,266,3242024.4,83.64,82.77,84.01,83.81,83.43,83.7,38860,83.43,83.43,83.43,3242024.4,3242024.4,3242024.4,,3,0.008433734939759
TQBR,2014-09-19,Мостотрест,MSTT,389,3312780.2,83.65,82.3,84.44,82.94,83.36,82.94,39740,83.36,83.36,83.36,3312780.2,3312780.2,3312780.2,,3,-0.0090800477897252
TQBR,2014-09-22,Мостотрест,MSTT,120,1929132.4,83.43,82.61,83.98,83.04,83.01,83.0,23240,83.01,83.01,83.01,1929132.4,1929132.4,1929132.4,,3,0.0007234145165179
TQBR,2014-09-23,Мостотрест,MSTT,439,5445011.5,81.79,81.79,84.4,84.38,83.65,84.38,65090,83.66,83.66,83.66,5436832.5,5436832.5,5436832.5,,3,0.0166265060240963
TQBR,2014-09-24,Мостотрест,MSTT,718,12749132.5,84.15,84.15,87.8,86.5,86.02,86.5,148210,86.02,86.02,86.02,12749132.5,12749132.5,12749132.5,,3,0.0251244370703958
TQBR,2014-09-25,Мостотрест,MSTT,862,18189645.5,86.5,86.5,90.44,88.58,88.31,88.58,205970,88.31,88.31,88.31,18189645.5,18189645.5,18189645.5,,3,0.0240462427745664
TQBR,2014-09-26,Мостотрест,MSTT,230,6969648.3,88.01,87.63,88.68,88.65,88.44,88.65,78810,88.44,88.44,88.44,6969648.3,6969648.3,6969648.3,,3,0.0007902461052157
TQBR,2014-09-29,Мостотрест,MSTT,955,15171569.0,89.0,88.0,92.98,88.78,90.6,89.17,167450,90.6,90.6,90.6,15171569.0,15171569.0,15171569.0,,3,0.0058657642413987
TQBR,2014-09-30,Мостотрест,MSTT,417,4426814.6,89.04,88.0,90.7,89.92,89.34,89.92,49550,89.34,89.34,89.34,4426814.6,4426814.6,4426814.6,,3,0.0084109005270831
TQBR,2014-10-01,Мостотрест,MSTT,229,6282082.0,89.8,88.5,90.6,89.4,88.9,89.4,70670,88.9,88.9,88.9,6282082.0,6282082.0,6282082.0,,3,-0.0057829181494661
TQBR,2014-10-02,Мостотрест,MSTT,527,4757139.0,88.2,87.1,89.9,88.0,88.4,88.0,53810,88.4,88.4,88.4,4757139.0,4757139.0,4757139.0,,3,-0.0156599552572707
TQBR,2014-10-03,Мостотрест,MSTT,282,4526295.0,88.3,87.5,88.5,88.3,88.0,88.3,51440,88.0,88.0,88.0,4526295.0,4526295.0,4526295.0,,3,0.0034090909090908
TQBR,2014-10-06,Мостотрест,MSTT,511,4252023.0,88.8,86.1,89.8,86.5,87.0,86.5,48850,87.0,87.0,87.0,4252023.0,4252023.0,4252023.0,,3,-0.0203850509626273
TQBR,2014-10-07,Мостотрест,MSTT,205,2969299.0,86.5,86.4,87.0,86.7,86.6,86.7,34270,86.6,86.6,86.6,2969299.0,2969299.0,2969299.0,,3,0.0023121387283237
TQBR,2014-10-08,Мостотрест,MSTT,312,2315783.0,86.6,84.5,86.9,84.8,85.7,84.8,27010,85.7,85.7,85.7,2315783.0,2315783.0,2315783.0,,3,-0.0219146482122261
TQBR,2014-10-09,Мостотрест,MSTT,682,7676378.0,84.8,83.6,86.7,84.8,84.5,84.8,90870,84.5,84.5,84.5,7674682.0,7674682.0,7674682.0,,3,0.0
TQBR,2014-10-10,Мостотрест,MSTT,281,1732722.0,83.2,82.9,84.7,83.3,83.8,83.3,20670,83.8,83.8,83.8,1732722.0,1732722.0,1732722.0,,3,-0.017688679245283
TQBR,2014-10-13,Мостотрест,MSTT,658,7451070.0,83.2,81.5,83.9,83.6,82.6,83.6,90160,82.6,82.6,82.6,7451070.0,7451070.0,7451070.0,,3,0.0036014405762304
TQBR,2014-10-14,Мостотрест,MSTT,390,10046725.0,83.3,82.5,84.5,84.1,83.3,84.1,120640,83.3,83.3,83.3,10046725.0,10046725.0,10046725.0,,3,0.0059808612440191
TQBR,2014-10-15,Мостотрест,MSTT,246,4718243.0,84.2,81.8,84.2,81.9,83.6,81.9,56460,83.6,83.6,83.6,4718243.0,4718243.0,4718243.0,,3,-0.0261593341260402
TQBR,2014-10-16,Мостотрест,MSTT,264,5048146.0,82.2,82.1,83.0,82.6,82.5,82.8,61180,82.5,82.5,82.5,5048146.0,5048146.0,5048146.0,,3,0.0109890109890108
TQBR,2014-10-17,Мостотрест,MSTT,290,10074822.0,82.8,82.8,84.2,84.2,83.1,84.2,121190,83.1,83.1,83.1,10074822.0,10074822.0,10074822.0,,3,0.0169082125603865
TQBR,2014-10-20,Мостотрест,MSTT,121,556434.0,84.1,83.6,85.4,84.2,84.4,84.2,6590,84.4,84.4,84.4,556434.0,556434.0,556434.0,,3,0.0
TQBR,2014-10-21,Мостотрест,MSTT,229,1856946.0,84.0,82.3,84.6,83.4,83.3,83.4,22290,83.3,83.3,83.3,1856946.0,1856946.0,1856946.0,,3,-0.009501187648456
TQBR,2014-10-22,Мостотрест,MSTT,270,4769603.0,86.4,83.5,86.4,84.5,85.1,84.5,56030,85.1,85.1,85.1,4760963.0,4760963.0,4760963.0,,3,0.0131894484412469
TQBR,2014-10-23,Мостотрест,MSTT,145,2079700.0,84.5,83.2,84.8,83.2,83.8,83.5,24830,83.8,83.8,83.8,2079700.0,2079700.0,2079700.0,,3,-0.0118343195266272
TQBR,2014-10-24,Мостотрест,MSTT,295,3518455.0,83.3,82.0,85.2,85.0,83.6,85.0,42080,83.6,83.6,83.6,3518455.0,3518455.0,3518455.0,,3,0.0179640718562874
TQBR,2014-10-27,Мостотрест,MSTT,197,4768439.0,85.0,84.6,86.8,85.4,85.4,85.2,55860,85.4,85.4,85.4,4768439.0,4768439.0,4768439.0,,3,0.0023529411764706
TQBR,2014-10-28,Мостотрест,MSTT,309,4830134.0,86.0,83.6,86.0,83.6,84.7,83.8,57030,84.7,84.7,84.7,4830134.0,4830134.0,4830134.0,,3,-0.0164319248826291
TQBR,2014-10-29,Мостотрест,MSTT,197,5751785.0,83.5,82.9,84.4,84.2,83.6,84.2,68770,83.6,83.6,83.6,5751785.0,5751785.0,5751785.0,,3,0.0047732696897375
TQBR,2014-10-30,Мостотрест,MSTT,346,4114479.0,84.1,83.8,87.4,87.4,86.0,87.4,47830,86.0,86.0,86.0,4114479.0,4114479.0,4114479.0,,3,0.0380047505938242
TQBR,2014-10-31,Мостотрест,MSTT,521,3738339.0,87.2,85.9,87.7,87.5,87.0,87.5,42950,87.0,87.0,87.0,3738339.0,3738339.0,3738339.0,,3,0.0011441647597253
TQBR,2014-11-03,Мостотрест,MSTT,172,1563721.0,86.7,86.0,87.5,86.1,86.7,86.3,18040,86.7,86.7,86.7,1563721.0,1563721.0,1563721.0,,3,-0.0137142857142857
TQBR,2014-11-05,Мостотрест,MSTT,679,5342395.0,85.3,85.1,87.1,87.0,86.3,87.0,61870,86.3,86.3,86.3,5342395.0,5342395.0,5342395.0,,3,0.0081112398609502
TQBR,2014-11-06,Мостотрест,MSTT,247,3574212.0,87.2,86.4,88.3,88.1,87.5,88.1,40870,87.5,87.5,87.5,3574212.0,3574212.0,3574212.0,,3,0.0126436781609194
TQBR,2014-11-07,Мостотрест,MSTT,151,2462372.0,87.4,86.5,88.2,86.8,87.0,86.8,28300,87.0,87.0,87.0,2462372.0,2462372.0,2462372.0,,3,-0.0147559591373438
TQBR,2014-11-10,Мостотрест,MSTT,147,1832186.0,86.9,85.7,87.0,86.3,86.3,86.3,21240,86.3,86.3,86.3,1832186.0,1832186.0,1832186.0,,3,-0.0057603686635944
TQBR,2014-11-11,Мостотрест,MSTT,141,1399364.0,86.5,86.0,87.2,87.0,86.6,87.0,16160,86.6,86.6,86.6,1399364.0,1399364.0,1399364.0,,3,0.0081112398609502
TQBR,2014-11-12,Мостотрест,MSTT,135,2965423.0,86.9,86.2,87.2,87.1,86.7,87.1,34220,86.7,86.7,86.7,2965423.0,2965423.0,2965423.0,,3,0.0011494252873562
TQBR,2014-11-13,Мостотрест,MSTT,301,4813019.0,86.8,82.5,87.0,83.7,84.3,83.7,57070,84.3,84.3,84.3,4813019.0,4813019.0,4813019.0,,3,-0.0390355912743971
