BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,М.видео,MVID,532,16373111.6,259.5,245.11,262.7,254.45,256.55,254.45,63820,256.55,256.55,256.55,16373111.6,16373111.6,16373111.6,,3,0.0
TQBR,2014-06-10,М.видео,MVID,769,18453277.8,255.99,251.51,260.0,256.0,255.87,256.0,72120,255.87,255.87,255.87,18453277.8,18453277.8,18453277.8,,3,0.0060915700530556
TQBR,2014-06-11,М.видео,MVID,809,20511923.3,258.42,253.0,258.83,258.64,256.08,258.64,80100,256.08,256.08,256.08,20511923.3,20511923.3,20511923.3,,3,0.0103124999999999
TQBR,2014-06-16,М.видео,MVID,4127,78152684.9,259.99,253.0,272.12,265.0,264.92,265.0,295000,264.92,264.92,264.92,78152684.9,78152684.9,78152684.9,,3,0.0245901639344262
TQBR,2014-06-17,М.видео,MVID,860,15192947.0,265.99,260.0,270.0,263.2,262.9,263.2,57790,262.9,262.9,262.9,15192947.0,15192947.0,15192947.0,,3,-0.0067924528301887
TQBR,2014-06-18,М.видео,MVID,1634,52238436.1,260.77,260.61,285.0,270.0,270.15,270.0,193370,270.15,270.15,270.15,52235828.4,52235828.4,52235828.4,,3,0.0258358662613982
TQBR,2014-06-19,М.видео,MVID,1423,19001885.8,274.89,269.5,278.0,274.6,272.86,274.6,69640,272.86,272.86,272.86,19001885.8,19001885.8,19001885.8,,3,0.0170370370370371
TQBR,2014-06-20,М.видео,MVID,3064,40159929.9,276.41,272.17,278.0,273.8,274.75,273.8,146170,274.75,274.75,274.75,40159929.9,40159929.9,40159929.9,,3,-0.0029133284777859
TQBR,2014-06-23,М.видео,MVID,312,6182145.0,275.09,269.3,275.3,270.4,272.46,270.4,22690,272.46,272.46,272.46,6182145.0,6182145.0,6182145.0,,3,-0.0124178232286341
TQBR,2014-06-24,М.видео,MVID,1211,18941393.0,263.64,263.64,278.89,269.99,269.9,269.99,70180,269.9,269.9,269.9,18936120.2,18936120.2,18936120.2,,3,-0.0015162721893489
TQBR,2014-06-25,М.видео,MVID,592,13273870.9,271.81,265.01,272.96,268.0,268.97,268.0,49350,268.97,268.97,268.97,13273870.9,13273870.9,13273870.9,,3,-0.0073706433571614
TQBR,2014-06-26,М.видео,MVID,254,12652574.8,268.62,268.19,270.9,269.13,269.49,269.13,46950,269.49,269.49,269.49,12652574.8,12652574.8,12652574.8,,3,0.0042164179104477
TQBR,2014-06-27,М.видео,MVID,1536,18780122.7,270.74,266.0,270.74,266.84,267.33,266.84,70250,267.33,267.33,267.33,18780122.7,18780122.7,18780122.7,,3,-0.0085088990450712
TQBR,2014-06-30,М.видео,MVID,1256,23184641.6,266.84,261.71,272.46,269.92,264.03,269.92,87810,264.03,264.03,264.03,23184641.6,23184641.6,23184641.6,,3,0.0115424973767052
TQBR,2014-07-01,М.видео,MVID,1348,34206228.7,265.01,263.03,268.8,267.0,266.57,267.0,128320,266.58,266.58,266.58,34036622.3,34036622.3,34036622.3,,3,-0.0108180201541197
