BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,iНПОНаука,NAUK,0,0.0,,,,142.34,,,0,,101.51,,0.0,1128814.4,0.0,,3,0.0
TQBR,2014-06-10,iНПОНаука,NAUK,0,0.0,,,,142.34,,,0,,101.51,,0.0,1128814.4,0.0,,3,0.0
TQBR,2014-06-11,iНПОНаука,NAUK,0,0.0,,,,142.34,,,0,,101.51,,0.0,1128814.4,0.0,,3,0.0
TQBR,2014-06-16,iНПОНаука,NAUK,0,0.0,,,,142.34,,,0,,101.51,,0.0,1128814.4,0.0,,3,0.0
TQBR,2014-06-17,iНПОНаука,NAUK,0,0.0,,,,142.34,,,0,,101.51,,0.0,1128814.4,0.0,,3,0.0
TQBR,2014-06-18,iНПОНаука,NAUK,0,0.0,,,,142.34,,,0,,101.51,,0.0,1128814.4,0.0,,3,0.0
TQBR,2014-06-19,iНПОНаука,NAUK,1,2089.9,208.99,208.99,208.99,208.99,208.99,208.99,10,,101.61,,0.0,1130904.3,0.0,,3,0.0
TQBR,2014-06-20,iНПОНаука,NAUK,0,0.0,,,,208.99,,,0,,101.61,,0.0,1130904.3,0.0,,3,0.0
TQBR,2014-06-23,iНПОНаука,NAUK,0,0.0,,,,208.99,,,0,,101.61,,0.0,1130904.3,0.0,,3,0.0
TQBR,2014-06-24,iНПОНаука,NAUK,0,0.0,,,,208.99,,,0,,101.61,,0.0,1130904.3,0.0,,3,0.0
TQBR,2014-06-25,iНПОНаука,NAUK,0,0.0,,,,208.99,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-26,iНПОНаука,NAUK,0,0.0,,,,208.99,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-27,iНПОНаука,NAUK,0,0.0,,,,208.99,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-30,iНПОНаука,NAUK,0,0.0,,,,208.99,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-01,iНПОНаука,NAUK,55,1062261.8,206.0,140.0,231.0,154.0,179.44,154.0,5920,179.44,179.44,179.44,1062261.8,1062261.8,1062261.8,,3,0.0
TQBR,2014-07-02,iНПОНаука,NAUK,8,21600.6,152.0,148.0,175.55,153.19,154.29,175.5,140,178.86,164.5,178.86,1083862.4,511601.7,1083862.4,,3,0.1396103896103896
