BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,НЕФАЗ,NFAZ,0,0,,,,128.0,,,0,,116.16,,0,508760.1,0.0,,3,0.0
TQBR,2014-06-10,НЕФАЗ,NFAZ,0,0,,,,128.0,,,0,,116.16,,0,508760.1,0.0,,3,0.0
TQBR,2014-06-11,НЕФАЗ,NFAZ,0,0,,,,128.0,,,0,,116.16,,0,508760.1,0.0,,3,0.0
TQBR,2014-06-16,НЕФАЗ,NFAZ,2,11900,119.0,119.0,119.0,119.0,119.0,119.0,100,,116.22,,0,520660.1,0.0,,3,0.0
TQBR,2014-06-17,НЕФАЗ,NFAZ,0,0,,,,119.0,,,0,,116.22,,0,520660.1,0.0,,3,0.0
TQBR,2014-06-18,НЕФАЗ,NFAZ,0,0,,,,119.0,,,0,,116.22,,0,520660.1,0.0,,3,0.0
TQBR,2014-06-19,НЕФАЗ,NFAZ,0,0,,,,119.0,,,0,,116.22,,0,520660.1,0.0,,3,0.0
TQBR,2014-06-20,НЕФАЗ,NFAZ,1,24000,120.0,120.0,120.0,120.0,120.0,120.0,200,,116.69,,0,509940.1,0.0,,3,0.0
TQBR,2014-06-23,НЕФАЗ,NFAZ,0,0,,,,120.0,,,0,,116.69,,0,509940.1,0.0,,3,0.0
TQBR,2014-06-24,НЕФАЗ,NFAZ,0,0,,,,120.0,,,0,,116.69,,0,509940.1,0.0,,3,0.0
TQBR,2014-06-25,НЕФАЗ,NFAZ,0,0,,,,120.0,,,0,,116.69,,0,509940.1,0.0,,3,0.0
TQBR,2014-06-26,НЕФАЗ,NFAZ,3,38700,129.0,129.0,129.0,129.0,129.0,129.0,300,,118.0,,0,503840.1,0.0,,3,0.0
TQBR,2014-06-27,НЕФАЗ,NFAZ,2,39000,130.0,130.0,130.0,130.0,130.0,130.0,300,,118.95,,0,530520.2,0.0,,3,0.0077519379844961
TQBR,2014-06-30,НЕФАЗ,NFAZ,0,0,,,,130.0,,,0,,118.95,,0,530520.2,0.0,,3,0.0
TQBR,2014-07-01,НЕФАЗ,NFAZ,0,0,,,,130.0,,,0,,118.95,,0,530520.2,0.0,,3,0.0
TQBR,2014-07-02,НЕФАЗ,NFAZ,0,0,,,,130.0,,,0,,118.95,,0,530520.2,0.0,,3,0.0
TQBR,2014-07-03,НЕФАЗ,NFAZ,2,29480,134.0,134.0,134.0,134.0,134.0,134.0,220,,120.2,,0,525280.2,0.0,,3,0.0
TQBR,2014-07-04,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.2,,0,525280.2,0.0,,3,0.0
TQBR,2014-07-07,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.2,,0,525280.2,0.0,,3,0.0
TQBR,2014-07-08,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.2,,0,525280.2,0.0,,3,0.0
TQBR,2014-07-09,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.2,,0,525280.2,0.0,,3,0.0
TQBR,2014-07-10,НЕФАЗ,NFAZ,1,2680,134.0,134.0,134.0,134.0,134.0,134.0,20,,120.26,,0,527960.2,0.0,,3,0.0
TQBR,2014-07-11,НЕФАЗ,NFAZ,1,13400,134.0,134.0,134.0,134.0,134.0,134.0,100,,120.57,,0,541360.2,0.0,,3,0.0
TQBR,2014-07-14,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.57,,0,541360.2,0.0,,3,0.0
TQBR,2014-07-15,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.57,,0,541360.2,0.0,,3,0.0
TQBR,2014-07-16,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.57,,0,541360.2,0.0,,3,0.0
TQBR,2014-07-17,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.57,,0,541360.2,0.0,,3,0.0
TQBR,2014-07-18,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.57,,0,541360.2,0.0,,3,0.0
TQBR,2014-07-21,НЕФАЗ,NFAZ,0,0,,,,134.0,,,0,,120.57,,0,541360.2,0.0,,3,0.0
TQBR,2014-07-22,НЕФАЗ,NFAZ,1,13300,133.0,133.0,133.0,133.0,133.0,133.0,100,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-07-23,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-07-24,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-07-25,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-07-28,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-07-29,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-07-30,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-07-31,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-01,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-04,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-05,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-06,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-07,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-08,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-11,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-12,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-13,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-14,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-15,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-18,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-19,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,120.84,,0,554660.2,0.0,,3,0.0
TQBR,2014-08-20,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-08-21,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-08-22,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-08-25,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-08-26,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-08-27,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-08-28,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-08-29,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-01,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-02,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-03,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-04,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-05,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-08,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-09,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-10,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-11,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-12,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-15,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-16,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-17,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-18,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-19,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-22,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-23,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-24,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-25,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-26,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-29,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-30,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-01,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-02,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-03,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-06,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-07,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-08,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-09,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-10,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-13,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-14,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-15,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-16,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-17,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-20,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-21,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-22,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-23,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-24,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-27,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-28,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-29,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-30,НЕФАЗ,NFAZ,0,0,,,,133.0,,,0,,,,0,0.0,0.0,,3,0.0
