BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2015-11-17,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-18,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-19,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-20,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-23,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-24,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-25,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-26,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-27,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-11-30,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-01,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-02,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-03,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-04,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-07,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-08,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-09,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-10,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-11,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-14,НКХП ао,NKHP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2015-12-15,НКХП ао,NKHP,86,13760181.8,525.0,440.5,525.0,459.0,494.97,459.0,27800,494.97,494.97,494.97,13760181.8,13760181.8,13760181.8,,3,0.0
TQBR,2015-12-16,НКХП ао,NKHP,56,2372485.8,460.0,441.02,460.0,451.0,472.83,458.97,5270,450.19,450.19,450.19,2372485.8,2372485.8,2372485.8,,3,-6.535947712412356e-05
TQBR,2015-12-17,НКХП ао,NKHP,41,3304474.6,450.0,440.0,460.0,457.0,489.38,457.0,7250,455.79,455.79,455.79,3304474.6,3304474.6,3304474.6,,3,-0.0042922195350459
TQBR,2015-12-18,НКХП ао,NKHP,86,25685242.8,440.2,440.18,515.0,515.0,497.86,515.0,51370,500.0,500.0,500.0,25685242.8,25685242.8,25685242.8,,3,0.1269146608315098
TQBR,2015-12-21,НКХП ао,NKHP,102,308267654.8,513.5,500.0,720.0,514.95,514.19,514.95,598990,514.65,514.65,514.65,308267654.8,308267654.8,308267654.8,,3,-9.70873786406884e-05
TQBR,2015-12-22,НКХП ао,NKHP,26,196197.6,490.51,490.51,515.01,493.16,503.07,491.05,390,,514.25,,0.0,124217551.8,0.0,,3,-0.0464122730362171
TQBR,2015-12-23,НКХП ао,NKHP,44,807523.4,490.0,485.0,510.0,493.43,492.39,509.99,1640,492.39,492.39,492.39,807523.4,807523.4,807523.4,,3,0.0385704103451786
TQBR,2015-12-24,НКХП ао,NKHP,33,705008390.3,500.01,490.0,518.0,490.0,517.84,490.0,1361120,517.96,517.96,517.96,705008390.3,705008390.3,705008390.3,,3,-0.0391968469969999
TQBR,2015-12-25,НКХП ао,NKHP,29,1116017.3,494.99,466.0,525.0,468.86,511.93,466.0,2180,511.93,511.93,511.93,1116017.3,1116017.3,1116017.3,,3,-0.0489795918367346
TQBR,2015-12-28,НКХП ао,NKHP,32,244859.8,470.0,450.0,487.0,450.0,453.44,450.0,540,,499.29,,0.0,1223249.5,0.0,,3,-0.0343347639484978
TQBR,2015-12-29,НКХП ао,NKHP,120,1501968534.5,450.0,441.14,515.8,458.77,515.67,458.0,2912630,515.67,515.67,515.67,1501968534.5,1501968534.5,1501968534.5,,3,0.0177777777777777
TQBR,2015-12-30,НКХП ао,NKHP,47,2482992.0,450.0,445.99,469.99,458.99,447.39,458.99,5550,447.39,447.39,447.39,2482992.0,2482992.0,2482992.0,,3,0.0021615720524017
TQBR,2016-01-04,НКХП ао,NKHP,8,41265.2,468.0,445.55,468.99,446.0,458.5,446.0,90,447.56,448.45,446.0,2524257.2,533650.2,2524257.2,,3,-0.0283012701801782
TQBR,2016-01-05,НКХП ао,NKHP,16,106630.5,465.99,440.0,465.99,464.0,444.29,464.0,240,,447.75,464.0,0.0,640280.7,0.0,,3,0.0403587443946188
TQBR,2016-01-06,НКХП ао,NKHP,65,561009.9,458.8,446.0,500.0,446.75,463.64,446.75,1210,463.64,463.64,446.75,561009.9,561009.9,561009.9,,3,-0.037176724137931
TQBR,2016-01-11,НКХП ао,NKHP,36,1106475.0,463.99,430.04,464.0,430.04,451.62,430.04,2450,451.62,451.62,430.04,1106475.0,1106475.0,1106475.0,,3,-0.0374034695019585
TQBR,2016-01-12,НКХП ао,NKHP,67,2041199.3,439.99,388.88,440.0,403.63,397.89,403.63,5130,397.89,397.89,403.63,2041199.3,2041199.3,2041199.3,,3,-0.0614128918240164
TQBR,2016-01-13,НКХП ао,NKHP,196,2948623.1,398.0,342.0,404.99,350.0,368.58,350.0,8000,368.58,368.58,350.0,2948623.1,2948623.1,2948623.1,,3,-0.1328692119019894
TQBR,2016-01-14,НКХП ао,NKHP,31,149016.6,350.01,332.9,350.01,340.0,338.67,340.0,440,,346.01,340.0,0.0,508639.8,0.0,,3,-0.0285714285714285
TQBR,2016-01-15,НКХП ао,NKHP,22,259244.2,346.25,310.01,346.25,334.99,332.36,334.99,780,,337.71,334.99,0.0,543720.7,0.0,,3,-0.014735294117647
TQBR,2016-01-18,НКХП ао,NKHP,22,159722.1,326.29,305.29,338.02,334.52,319.44,338.02,500,,329.17,334.52,0.0,506916.5,0.0,,3,0.0090450461207796
TQBR,2016-01-19,НКХП ао,NKHP,40,472914.2,335.0,335.0,352.07,345.0,337.8,345.0,1400,,336.45,345.0,0.0,548421.0,0.0,,3,0.0206496657002544
TQBR,2016-01-20,НКХП ао,NKHP,21,1739299.6,349.0,333.11,350.0,348.95,349.26,348.95,4980,349.26,349.26,348.95,1739299.6,1739299.6,1739299.6,,3,0.0114492753623188
TQBR,2016-01-21,НКХП ао,NKHP,14,120529.3,348.94,330.0,348.95,348.93,334.8,348.93,360,,345.83,348.93,0.0,567167.6,0.0,,3,-5.731480154744752e-05
TQBR,2016-01-22,НКХП ао,NKHP,23,1170944.4,348.95,348.95,362.0,355.0,355.91,355.0,3290,355.91,355.91,355.0,1170944.4,1170944.4,1170944.4,,3,0.0173960393202074
TQBR,2016-01-25,НКХП ао,NKHP,16,1649873.0,366.37,346.0,366.37,346.09,349.55,346.0,4720,349.55,349.55,346.09,1649873.0,1649873.0,1649873.0,,3,-0.0253521126760563
TQBR,2016-01-26,НКХП ао,NKHP,5,307723.3,346.0,346.0,350.01,350.0,349.69,350.01,880,349.57,347.12,350.0,1957596.3,1006653.2,1957596.3,,3,0.0115895953757225
TQBR,2016-01-27,НКХП ао,NKHP,14,196538.4,350.0,343.0,367.99,355.0,357.34,355.0,550,,352.63,355.0,0.0,504261.7,0.0,,3,0.0142567355218422
TQBR,2016-01-28,НКХП ао,NKHP,9,698226.2,355.0,355.0,375.0,370.0,373.38,370.0,1870,369.74,373.19,370.0,894764.6,705326.2,894764.6,,3,0.0422535211267605
TQBR,2016-01-29,НКХП ао,NKHP,16,343527.5,362.0,362.0,385.0,380.0,377.5,385.0,910,,376.0,380.0,0.0,834727.5,0.0,,3,0.0405405405405405
TQBR,2016-02-01,НКХП ао,NKHP,17,2150750.0,385.0,375.0,395.0,387.0,380.0,387.0,5660,380.0,380.0,387.0,2150750.0,2150750.0,2150750.0,,3,0.0051948051948051
