BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,НКНХ ап,NKNCP,50,1052332.4,15.0,14.801,15.062,15.031,14.948,15.031,70400,14.948,14.948,14.948,1052332.4,1052332.4,1052332.4,,3,0.0
TQBR,2014-06-10,НКНХ ап,NKNCP,77,327546.7,15.003,14.84,15.034,14.996,14.956,15.0,21900,,14.954,,0.0,1170924.2,0.0,,3,-0.0020624043643137
TQBR,2014-06-11,НКНХ ап,NKNCP,103,633778.5,14.98,14.98,15.07,15.014,15.018,15.0,42200,15.018,15.018,15.018,633778.5,633778.5,633778.5,,3,0.0
TQBR,2014-06-16,НКНХ ап,NKNCP,83,1009594.9,14.99,14.9,15.145,15.055,15.046,15.138,67100,15.046,15.046,15.046,1009594.9,1009594.9,1009594.9,,3,0.0091999999999999
TQBR,2014-06-17,НКНХ ап,NKNCP,77,804306.0,15.167,14.955,15.169,14.956,15.006,14.956,53600,15.006,15.006,15.006,804306.0,804306.0,804306.0,,3,-0.0120227242700489
TQBR,2014-06-18,НКНХ ап,NKNCP,77,782228.5,14.957,14.901,15.049,15.015,14.985,15.015,52200,14.985,14.985,14.985,782228.5,782228.5,782228.5,,3,0.0039449050548275
TQBR,2014-06-19,НКНХ ап,NKNCP,74,865119.1,15.048,14.99,15.1,15.012,15.019,15.048,57600,15.019,15.019,15.019,865119.1,865119.1,865119.1,,3,0.0021978021978021
TQBR,2014-06-20,НКНХ ап,NKNCP,80,825124.2,15.05,14.903,15.091,14.932,15.002,14.903,55000,15.002,15.002,15.002,825124.2,825124.2,825124.2,,3,-0.009635832004253
TQBR,2014-06-23,НКНХ ап,NKNCP,50,382498.3,14.903,14.82,14.903,14.9,14.883,14.9,25700,,14.899,,0.0,503577.2,0.0,,3,-0.0002013017513252
TQBR,2014-06-24,НКНХ ап,NKNCP,45,613740.6,14.903,14.865,14.903,14.903,14.897,14.903,41200,14.897,14.897,14.897,613740.6,613740.6,613740.6,,3,0.0002013422818792
TQBR,2014-06-25,НКНХ ап,NKNCP,46,767236.9,14.917,14.86,14.917,14.903,14.898,14.903,51500,14.897,14.897,14.897,747844.8,747844.8,747844.8,,3,0.0
TQBR,2014-06-26,НКНХ ап,NKNCP,139,1492029.0,14.801,14.696,14.903,14.72,14.817,14.72,100700,14.817,14.817,14.817,1432825.0,1432825.0,1432825.0,,3,-0.0122794068308394
TQBR,2014-06-27,НКНХ ап,NKNCP,81,466416.7,14.722,14.668,14.799,14.668,14.713,14.668,31700,,14.713,,0.0,523784.7,0.0,,3,-0.0035326086956522
TQBR,2014-06-30,НКНХ ап,NKNCP,150,981259.8,14.699,14.452,14.7,14.499,14.559,14.499,67400,14.559,14.559,14.559,981259.8,981259.8,981259.8,,3,-0.0115216798472865
TQBR,2014-07-01,НКНХ ап,NKNCP,89,1271723.3,14.501,14.324,14.65,14.614,14.435,14.65,88100,14.435,14.435,14.435,1271723.3,1271723.3,1271723.3,,3,0.01041451134561
TQBR,2014-07-02,НКНХ ап,NKNCP,63,854536.2,14.7,14.662,14.797,14.727,14.683,14.73,58200,14.683,14.683,14.683,854536.2,854536.2,854536.2,,3,0.0054607508532423
TQBR,2014-07-03,НКНХ ап,NKNCP,68,383590.9,14.794,14.667,14.866,14.7,14.753,14.7,26000,,14.736,,0.0,501019.9,0.0,,3,-0.0020366598778004
TQBR,2014-07-04,НКНХ ап,NKNCP,100,1390622.1,14.7,14.5,14.769,14.6,14.607,14.6,95200,14.607,14.607,14.607,1390622.1,1390622.1,1390622.1,,3,-0.0068027210884353
TQBR,2014-07-07,НКНХ ап,NKNCP,44,394332.1,14.77,14.575,14.792,14.697,14.605,14.698,27000,,14.604,,0.0,511132.1,0.0,,3,0.0067123287671233
TQBR,2014-07-08,НКНХ ап,NKNCP,26,117723.0,14.776,14.634,14.778,14.767,14.715,14.767,8000,,14.627,,0.0,501702.9,0.0,,3,0.0046945162607156
TQBR,2014-07-09,НКНХ ап,NKNCP,69,1324781.1,14.76,14.5,14.76,14.599,14.606,14.599,90700,14.606,14.606,14.606,1324781.1,1324781.1,1324781.1,,3,-0.011376718358502
TQBR,2014-07-10,НКНХ ап,NKNCP,36,191238.9,14.603,14.522,14.697,14.6,14.598,14.6,13100,,14.591,,0.0,501918.8,0.0,,3,6.849784231792902e-05
TQBR,2014-07-11,НКНХ ап,NKNCP,34,370311.5,14.6,14.526,14.602,14.6,14.579,14.6,25400,,14.586,,0.0,503203.4,0.0,,3,0.0
TQBR,2014-07-14,НКНХ ап,NKNCP,40,419986.4,14.696,14.553,14.97,14.7,14.736,14.7,28500,,14.714,,0.0,500286.4,0.0,,3,0.0068493150684931
TQBR,2014-07-15,НКНХ ап,NKNCP,22,149346.4,14.703,14.685,14.917,14.72,14.787,14.72,10100,,14.756,,0.0,507603.3,0.0,,3,0.0013605442176871
TQBR,2014-07-16,НКНХ ап,NKNCP,95,802880.3,14.867,14.651,14.88,14.699,14.786,14.683,54300,14.786,14.786,14.786,802880.3,802880.3,802880.3,,3,-0.0025135869565217
TQBR,2014-07-17,НКНХ ап,NKNCP,67,606540.2,14.682,14.575,14.992,14.617,14.686,14.699,41300,14.686,14.686,14.686,606540.2,606540.2,606540.2,,3,0.0010896955663011
TQBR,2014-07-18,НКНХ ап,NKNCP,40,557920.0,14.699,14.571,14.699,14.605,14.644,14.59,38100,14.644,14.644,14.644,557920.0,557920.0,557920.0,,3,-0.0074154704401659
TQBR,2014-07-21,НКНХ ап,NKNCP,71,572289.1,14.591,14.46,14.635,14.574,14.525,14.574,39400,14.525,14.525,14.525,572289.1,572289.1,572289.1,,3,-0.0010966415352981
TQBR,2014-07-22,НКНХ ап,NKNCP,56,459584.5,14.574,14.5,14.677,14.587,14.544,14.588,31600,,14.545,,0.0,549809.3,0.0,,3,0.0009606147934677
TQBR,2014-07-23,НКНХ ап,NKNCP,61,627899.1,14.548,14.451,14.582,14.541,14.501,14.541,43300,14.501,14.501,14.501,627899.1,627899.1,627899.1,,3,-0.0032218261584863
TQBR,2014-07-24,НКНХ ап,NKNCP,206,6090194.6,14.541,14.205,14.9,14.726,14.658,14.894,415500,14.658,14.658,14.658,6090194.6,6090194.6,6090194.6,,3,0.024276184581528
TQBR,2014-07-25,НКНХ ап,NKNCP,52,496683.6,14.9,14.601,14.97,14.612,14.695,14.659,33800,,14.699,,0.0,508598.8,0.0,,3,-0.0157781657043104
TQBR,2014-07-28,НКНХ ап,NKNCP,64,385643.9,14.563,14.451,14.781,14.493,14.553,14.493,26500,,14.578,,0.0,504396.7,0.0,,3,-0.0113241012347363
TQBR,2014-07-29,НКНХ ап,NKNCP,46,488435.0,14.433,14.305,14.59,14.587,14.408,14.588,33900,,14.413,,0.0,536153.1,0.0,,3,0.0065548885668942
TQBR,2014-07-30,НКНХ ап,NKNCP,25,303819.4,14.581,14.414,14.581,14.501,14.537,14.5,20900,,14.487,,0.0,540372.6,0.0,,3,-0.0060323553605702
TQBR,2014-07-31,НКНХ ап,NKNCP,52,559553.9,14.5,14.399,14.52,14.43,14.421,14.43,38800,14.421,14.421,14.421,559553.9,559553.9,559553.9,,3,-0.0048275862068965
TQBR,2014-08-01,НКНХ ап,NKNCP,137,2405023.7,14.496,14.1,14.496,14.2,14.222,14.2,169100,14.222,14.222,14.222,2405023.7,2405023.7,2405023.7,,3,-0.0159390159390159
TQBR,2014-08-04,НКНХ ап,NKNCP,64,2199480.0,14.151,14.081,14.3,14.216,14.236,14.248,154500,14.236,14.236,14.236,2199480.0,2199480.0,2199480.0,,3,0.0033802816901408
TQBR,2014-08-05,НКНХ ап,NKNCP,52,1150591.2,14.3,14.145,14.49,14.23,14.17,14.23,81200,14.17,14.17,14.17,1150591.2,1150591.2,1150591.2,,3,-0.0012633352049409
TQBR,2014-08-06,НКНХ ап,NKNCP,48,506920.2,14.233,14.1,14.25,14.14,14.16,14.14,35800,14.16,14.16,14.16,506920.2,506920.2,506920.2,,3,-0.0063246661981728
TQBR,2014-08-07,НКНХ ап,NKNCP,129,1438357.6,14.152,13.873,14.16,13.928,13.978,13.999,102900,13.978,13.978,13.978,1438357.6,1438357.6,1438357.6,,3,-0.0099717114568599
TQBR,2014-08-08,НКНХ ап,NKNCP,52,416181.1,13.901,13.875,14.198,13.999,13.966,13.999,29800,,13.96,,0.0,506757.2,0.0,,3,0.0
TQBR,2014-08-11,НКНХ ап,NKNCP,66,734119.3,14.14,13.95,14.143,14.045,14.037,14.045,52300,14.037,14.037,14.037,734119.3,734119.3,734119.3,,3,0.0032859489963568
TQBR,2014-08-12,НКНХ ап,NKNCP,47,619967.0,14.105,14.07,14.295,14.295,14.154,14.295,43800,14.154,14.154,14.154,619967.0,619967.0,619967.0,,3,0.0177999288002848
TQBR,2014-08-13,НКНХ ап,NKNCP,59,409742.9,14.329,14.001,14.329,14.276,14.129,14.276,29000,,14.148,,0.0,554601.5,0.0,,3,-0.0013291360615599
TQBR,2014-08-14,НКНХ ап,NKNCP,32,612658.0,14.104,14.079,14.194,14.19,14.117,14.19,43400,14.117,14.117,14.117,612658.0,612658.0,612658.0,,3,-0.0060240963855421
TQBR,2014-08-15,НКНХ ап,NKNCP,63,687471.4,14.095,14.081,14.59,14.324,14.322,14.32,48000,14.322,14.322,14.322,687471.4,687471.4,687471.4,,3,0.0091613812544045
TQBR,2014-08-18,НКНХ ап,NKNCP,46,1946831.9,14.169,14.165,14.48,14.32,14.336,14.32,135800,14.336,14.336,14.336,1946831.9,1946831.9,1946831.9,,3,0.0
TQBR,2014-08-19,НКНХ ап,NKNCP,16,243298.4,14.393,14.29,14.394,14.3,14.312,14.3,17000,,14.304,,0.0,627962.4,0.0,,3,-0.0013966480446927
TQBR,2014-08-20,НКНХ ап,NKNCP,36,356203.3,14.354,14.28,14.594,14.464,14.421,14.507,24700,,14.382,,0.0,520642.3,0.0,,3,0.0144755244755244
TQBR,2014-08-21,НКНХ ап,NKNCP,69,1062155.8,14.51,14.25,14.58,14.574,14.412,14.574,73700,14.412,14.412,14.412,1062155.8,1062155.8,1062155.8,,3,0.0046184600537671
TQBR,2014-08-22,НКНХ ап,NKNCP,10,33018.4,14.453,14.306,14.453,14.367,14.356,14.369,2300,,14.426,,0.0,536648.3,0.0,,3,-0.0140661451900645
TQBR,2014-08-25,НКНХ ап,NKNCP,33,212424.4,14.451,14.33,14.451,14.35,14.353,14.35,14800,,14.408,,0.0,511497.2,0.0,,3,-0.001322291043218
TQBR,2014-08-26,НКНХ ап,NKNCP,63,1028867.8,14.231,14.2,14.428,14.402,14.27,14.428,72100,14.27,14.27,14.27,1028867.8,1028867.8,1028867.8,,3,0.0054355400696864
TQBR,2014-08-27,НКНХ ап,NKNCP,144,3577307.6,14.219,13.999,14.429,14.157,14.045,14.157,254700,14.045,14.045,14.045,3577307.6,3577307.6,3577307.6,,3,-0.0187829220959246
TQBR,2014-08-28,НКНХ ап,NKNCP,98,1110964.4,14.2,13.999,14.229,14.074,14.027,14.069,79200,14.027,14.027,14.027,1110964.4,1110964.4,1110964.4,,3,-0.0062160062160061
TQBR,2014-08-29,НКНХ ап,NKNCP,50,402808.3,14.05,13.997,14.1,14.042,14.035,14.096,28700,,14.02,,0.0,729023.0,0.0,,3,0.0019191129433505
TQBR,2014-09-01,НКНХ ап,NKNCP,18,81513.9,14.051,14.001,14.097,14.04,14.054,14.04,5800,,14.037,,0.0,513736.9,0.0,,3,-0.0039727582292849
TQBR,2014-09-02,НКНХ ап,NKNCP,24,723223.0,14.025,14.01,14.1,14.043,14.07,14.097,51400,14.07,14.07,14.07,723223.0,723223.0,723223.0,,3,0.004059829059829
TQBR,2014-09-03,НКНХ ап,NKNCP,47,342448.0,14.055,14.044,14.198,14.19,14.093,14.19,24300,,14.089,,0.0,767865.3,0.0,,3,0.0065971483294317
TQBR,2014-09-04,НКНХ ап,NKNCP,13,197647.9,14.192,14.1,14.192,14.184,14.118,14.184,14000,,14.1,,0.0,501957.1,0.0,,3,-0.0004228329809725
TQBR,2014-09-05,НКНХ ап,NKNCP,42,416721.4,14.196,14.1,14.253,14.1,14.174,14.1,29400,,14.157,,0.0,571946.2,0.0,,3,-0.0059221658206429
TQBR,2014-09-08,НКНХ ап,NKNCP,89,927003.1,14.2,14.012,14.38,14.25,14.131,14.25,65600,14.131,14.131,14.131,927003.1,927003.1,927003.1,,3,0.0106382978723404
TQBR,2014-09-09,НКНХ ап,NKNCP,15,91313.6,14.25,14.197,14.339,14.338,14.268,14.339,6400,,14.235,,0.0,506758.4,0.0,,3,0.0062456140350877
TQBR,2014-09-10,НКНХ ап,NKNCP,18,149774.8,14.279,14.201,14.3,14.286,14.264,14.286,10500,,14.271,,0.0,506627.7,0.0,,3,-0.0036962131250436
TQBR,2014-09-11,НКНХ ап,NKNCP,73,996454.5,14.317,14.153,14.498,14.258,14.317,14.259,69600,14.317,14.317,14.317,996454.5,996454.5,996454.5,,3,-0.0018899622007559
TQBR,2014-09-12,НКНХ ап,NKNCP,30,157266.8,14.216,14.215,14.383,14.344,14.297,14.25,11000,,14.257,,0.0,583102.3,0.0,,3,-0.0006311803071744
TQBR,2014-09-15,НКНХ ап,NKNCP,57,475713.5,14.206,14.058,14.477,14.324,14.243,14.447,33400,,14.249,,0.0,500133.3,0.0,,3,0.0138245614035087
