BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,НКНХ ао,NKNC,48,1505378.8,23.234,21.515,23.234,22.0,22.138,22.0,68000,22.138,22.138,22.138,1505378.8,1505378.8,1505378.8,,3,0.0
TQBR,2014-06-10,НКНХ ао,NKNC,84,1748604.0,21.697,21.499,22.0,21.969,21.535,21.969,81200,21.535,21.535,21.535,1748604.0,1748604.0,1748604.0,,3,-0.0014090909090908
TQBR,2014-06-11,НКНХ ао,NKNC,57,1075208.5,21.9,21.501,22.101,22.101,21.765,22.101,49400,21.765,21.765,21.765,1075208.5,1075208.5,1075208.5,,3,0.006008466475488
TQBR,2014-06-16,НКНХ ао,NKNC,13,61460.4,21.715,21.712,22.187,21.919,21.95,22.168,2800,,22.082,,0.0,501267.4,0.0,,3,0.0030315370345233
TQBR,2014-06-17,НКНХ ао,NKNC,36,351681.0,21.756,21.501,22.17,22.001,21.98,22.001,16000,,22.005,,0.0,541327.2,0.0,,3,-0.0075333814507397
TQBR,2014-06-18,НКНХ ао,NKNC,17,370779.0,22.745,22.745,22.76,22.747,22.747,22.747,16300,,22.536,,0.0,543116.3,0.0,,3,0.0339075496568337
TQBR,2014-06-19,НКНХ ао,NKNC,22,143925.5,22.719,22.452,22.997,22.46,22.845,22.46,6300,,22.775,,0.0,505606.4,0.0,,3,-0.012617048401987
TQBR,2014-06-20,НКНХ ао,NKNC,15,391462.1,22.995,22.611,22.997,22.713,22.893,22.611,17100,,22.881,,0.0,503383.3,0.0,,3,0.0067230632235084
TQBR,2014-06-23,НКНХ ао,NKNC,9,37695.1,22.231,21.985,22.231,21.992,22.174,21.992,1700,,22.82,,0.0,508887.8,0.0,,3,-0.0273760559019945
TQBR,2014-06-24,НКНХ ао,NKNC,34,674138.0,22.941,21.751,22.941,22.737,22.176,22.737,30400,22.176,22.176,22.176,674138.0,674138.0,674138.0,,3,0.0338759548926881
TQBR,2014-06-25,НКНХ ао,NKNC,36,1213812.9,22.64,21.982,22.64,22.1,22.11,22.1,54900,22.11,22.11,22.11,1213812.9,1213812.9,1213812.9,,3,-0.0280160091480844
TQBR,2014-06-26,НКНХ ао,NKNC,32,556373.2,21.899,21.516,22.495,21.663,21.819,21.516,25500,21.819,21.819,21.819,556373.2,556373.2,556373.2,,3,-0.0264253393665159
