BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,НЛМК ао,NLMK,3275,86054426.2,49.59,49.09,49.74,49.42,49.44,49.42,1740420,49.44,49.44,49.44,85971115.0,85971115.0,85971115.0,,3,0.0
TQBR,2014-06-10,НЛМК ао,NLMK,5341,138071962.4,49.35,47.78,49.35,48.6,48.31,48.6,2858080,48.31,48.31,48.31,138071962.4,138071962.4,138071962.4,,3,-0.0165924726831242
TQBR,2014-06-11,НЛМК ао,NLMK,4227,84979937.3,48.56,48.2,49.25,48.33,48.62,48.33,1747920,48.62,48.62,48.62,84979937.3,84979937.3,84979937.3,,3,-0.0055555555555556
TQBR,2014-06-16,НЛМК ао,NLMK,11135,253609125.8,47.9,46.83,48.94,48.3,48.25,48.3,5256360,48.25,48.25,48.25,253577032.8,253577032.8,253577032.8,,3,-0.0006207324643079
TQBR,2014-06-17,НЛМК ао,NLMK,4507,123654745.4,48.3,47.61,48.89,48.39,48.2,48.39,2565250,48.2,48.2,48.2,123652813.4,123652813.4,123652813.4,,3,0.0018633540372671
TQBR,2014-06-18,НЛМК ао,NLMK,5174,119872092.3,48.53,48.2,49.5,49.17,48.93,49.17,2450060,48.93,48.93,48.93,119849283.2,119849283.2,119849283.2,,3,0.0161190328580285
TQBR,2014-06-19,НЛМК ао,NLMK,4796,118912778.3,49.6,48.7,50.3,48.97,49.65,48.97,2394930,49.65,49.65,49.65,118866650.3,118866650.3,118866650.3,,3,-0.0040675208460443
TQBR,2014-06-20,НЛМК ао,NLMK,3186,85715620.3,49.17,47.8,49.17,47.8,48.19,47.8,1778640,48.19,48.19,48.19,85715128.6,85715128.6,85715128.6,,3,-0.0238921788850316
TQBR,2014-06-23,НЛМК ао,NLMK,4397,119840777.5,48.0,46.29,48.32,46.85,47.11,46.85,2543640,47.11,47.11,47.11,119690537.5,119690537.5,119690537.5,,3,-0.0198744769874476
TQBR,2014-06-24,НЛМК ао,NLMK,4522,126005768.4,47.02,46.81,47.6,47.46,47.12,47.46,2674080,47.12,47.12,47.12,125982258.4,125982258.4,125982258.4,,3,0.0130202774813233
TQBR,2014-06-25,НЛМК ао,NLMK,4413,98376206.5,47.32,45.65,47.32,45.8,46.41,45.8,2119910,46.41,46.41,46.41,98340716.5,98340716.5,98340716.5,,3,-0.0349768225874421
