BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТНСэнНН ап,NNSBP,2,1399.4,695.4,695.4,704.0,704.0,699.7,704.0,2,,791.9,,0.0,1764296.1,0.0,,3,0.0
TQBR,2014-06-10,ТНСэнНН ап,NNSBP,2,7050.0,705.0,705.0,705.0,705.0,705.0,705.0,10,,791.5,,0.0,1771346.1,0.0,,3,0.0014204545454545
TQBR,2014-06-11,ТНСэнНН ап,NNSBP,1,3510.0,702.0,702.0,702.0,702.0,702.0,702.0,5,,791.3,,0.0,1774856.1,0.0,,3,-0.0042553191489361
TQBR,2014-06-16,ТНСэнНН ап,NNSBP,1,2100.0,700.0,700.0,700.0,700.0,700.0,700.0,3,,791.2,,0.0,1776956.1,0.0,,3,-0.0028490028490028
TQBR,2014-06-17,ТНСэнНН ап,NNSBP,1,49700.0,700.0,700.0,700.0,700.0,700.0,700.0,71,,788.4,,0.0,1826656.1,0.0,,3,0.0
TQBR,2014-06-18,ТНСэнНН ап,NNSBP,0,0.0,,,,700.0,,,0,,788.4,,0.0,1826656.1,0.0,,3,0.0
TQBR,2014-06-19,ТНСэнНН ап,NNSBP,6,15079.4,699.9,620.1,700.0,636.0,685.4,699.7,22,,787.4,,0.0,1841735.5,0.0,,3,0.0
TQBR,2014-06-20,ТНСэнНН ап,NNSBP,3,2587.9,630.1,630.0,697.8,697.8,647.0,697.8,4,,787.2,,0.0,1844323.4,0.0,,3,-0.0027154494783479
TQBR,2014-06-23,ТНСэнНН ап,NNSBP,1,1398.0,699.0,699.0,699.0,699.0,699.0,699.0,2,,787.1,,0.0,1845721.4,0.0,,3,0.001719690455718
TQBR,2014-06-24,ТНСэнНН ап,NNSBP,18,156927.8,699.9,699.9,703.0,701.9,700.6,703.0,224,,779.5,,0.0,2002649.2,0.0,,3,0.0057224606580829
