BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,iНаукаСвяз,NSVZ,0,0.0,,,,210.6,,,0,,185.56,,0,501004.7,0.0,,3,0.0
TQBR,2014-06-10,iНаукаСвяз,NSVZ,0,0.0,,,,210.6,,,0,,185.56,,0,501004.7,0.0,,3,0.0
TQBR,2014-06-11,iНаукаСвяз,NSVZ,0,0.0,,,,210.6,,,0,,185.56,,0,501004.7,0.0,,3,0.0
TQBR,2014-06-16,iНаукаСвяз,NSVZ,1,2050.0,205.0,205.0,205.0,205.0,205.0,205.0,10,,185.63,,0,503054.7,0.0,,3,0.0
TQBR,2014-06-17,iНаукаСвяз,NSVZ,0,0.0,,,,205.0,,,0,,185.63,,0,503054.7,0.0,,3,0.0
TQBR,2014-06-18,iНаукаСвяз,NSVZ,0,0.0,,,,205.0,,,0,,185.63,,0,503054.7,0.0,,3,0.0
TQBR,2014-06-19,iНаукаСвяз,NSVZ,2,4400.0,200.0,200.0,240.0,220.0,220.0,240.0,20,,185.88,,0,507454.7,0.0,,3,0.0
TQBR,2014-06-20,iНаукаСвяз,NSVZ,0,0.0,,,,220.0,,,0,,185.88,,0,507454.7,0.0,,3,0.0
TQBR,2014-06-23,iНаукаСвяз,NSVZ,0,0.0,,,,220.0,,,0,,185.88,,0,507454.7,0.0,,3,0.0
TQBR,2014-06-24,iНаукаСвяз,NSVZ,0,0.0,,,,220.0,,,0,,185.88,,0,507454.7,0.0,,3,0.0
TQBR,2014-06-25,iНаукаСвяз,NSVZ,0,0.0,,,,220.0,,,0,,185.88,,0,507454.7,0.0,,3,0.0
TQBR,2014-06-26,iНаукаСвяз,NSVZ,1,26400.0,220.0,220.0,220.0,220.0,220.0,220.0,120,,186.37,,0,505054.4,0.0,,3,0.0
TQBR,2014-06-27,iНаукаСвяз,NSVZ,2,4740.0,240.0,234.0,240.0,234.0,237.0,234.0,20,,186.74,,0,509794.4,0.0,,3,0.0636363636363636
TQBR,2014-06-30,iНаукаСвяз,NSVZ,1,2279.0,227.9,227.9,227.9,227.9,227.9,227.9,10,,186.89,,0,512073.4,0.0,,3,-0.026068376068376
TQBR,2014-07-01,iНаукаСвяз,NSVZ,0,0.0,,,,227.9,,,0,,186.89,,0,512073.4,0.0,,3,0.0
TQBR,2014-07-02,iНаукаСвяз,NSVZ,1,2499.9,249.99,249.99,249.99,249.99,249.99,249.99,10,,187.12,,0,514573.3,0.0,,3,0.0
TQBR,2014-07-03,iНаукаСвяз,NSVZ,1,2869.9,286.99,286.99,286.99,286.99,286.99,286.99,10,,187.48,,0,517443.2,0.0,,3,0.1480059202368094
TQBR,2014-07-04,iНаукаСвяз,NSVZ,2,28869.0,259.99,259.99,287.0,262.45,262.45,287.0,110,,188.61,,0,501697.4,0.0,,3,3.4844419666158765e-05
TQBR,2014-07-07,iНаукаСвяз,NSVZ,7,55223.0,286.0,239.9,296.0,239.9,276.12,239.9,200,,193.26,,0,525670.1,0.0,,3,-0.1641114982578397
TQBR,2014-07-08,iНаукаСвяз,NSVZ,2,5120.0,247.0,247.0,265.0,256.0,256.0,265.0,20,,193.72,,0,530790.1,0.0,,3,0.1046269278866194
TQBR,2014-07-09,iНаукаСвяз,NSVZ,4,9847.6,221.01,221.01,257.75,257.75,246.19,257.75,40,,194.47,,0,540637.7,0.0,,3,-0.0273584905660377
TQBR,2014-07-10,iНаукаСвяз,NSVZ,2,18308.8,258.98,258.98,277.0,257.75,261.55,277.0,70,,196.12,,0,558946.5,0.0,,3,0.0746847720659553
TQBR,2014-07-11,iНаукаСвяз,NSVZ,0,0.0,,,,257.75,,,0,,196.12,,0,558946.5,0.0,,3,0.0
TQBR,2014-07-14,iНаукаСвяз,NSVZ,0,0.0,,,,257.75,,,0,,196.12,,0,558946.5,0.0,,3,0.0
TQBR,2014-07-15,iНаукаСвяз,NSVZ,2,5749.7,279.98,279.98,294.99,257.75,287.49,294.99,20,,196.76,,0,564696.2,0.0,,3,0.0
TQBR,2014-07-16,iНаукаСвяз,NSVZ,1,85965.0,286.55,286.55,286.55,286.55,286.55,286.55,300,,204.21,,0,500307.0,0.0,,3,-0.0286111393606562
TQBR,2014-07-17,iНаукаСвяз,NSVZ,0,0.0,,,,286.55,,,0,,204.21,,0,500307.0,0.0,,3,0.0
TQBR,2014-07-18,iНаукаСвяз,NSVZ,1,6600.0,220.0,220.0,220.0,220.0,220.0,220.0,30,,204.4,,0,506907.0,0.0,,3,0.0
TQBR,2014-07-21,iНаукаСвяз,NSVZ,0,0.0,,,,220.0,,,0,,204.4,,0,506907.0,0.0,,3,0.0
TQBR,2014-07-22,iНаукаСвяз,NSVZ,3,27274.4,244.44,244.44,260.0,247.95,247.95,260.0,110,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-07-23,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-07-24,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-07-25,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-07-28,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-07-29,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-07-30,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-07-31,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-08-01,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-08-04,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-08-05,iНаукаСвяз,NSVZ,0,0.0,,,,247.95,,,0,,206.25,,0,534181.4,0.0,,3,0.0
TQBR,2014-08-06,iНаукаСвяз,NSVZ,1,3040.0,304.0,304.0,304.0,304.0,304.0,304.0,10,,206.62,,0,537221.4,0.0,,3,0.0
TQBR,2014-08-07,iНаукаСвяз,NSVZ,1,2890.0,289.0,289.0,289.0,289.0,289.0,289.0,10,,206.94,,0,540111.4,0.0,,3,-0.0493421052631578
TQBR,2014-08-08,iНаукаСвяз,NSVZ,0,0.0,,,,289.0,,,0,,206.94,,0,540111.4,0.0,,3,0.0
TQBR,2014-08-11,iНаукаСвяз,NSVZ,0,0.0,,,,289.0,,,0,,206.94,,0,540111.4,0.0,,3,0.0
TQBR,2014-08-12,iНаукаСвяз,NSVZ,3,9779.9,311.99,210.0,311.99,228.0,244.5,228.0,40,,207.51,,0,549891.3,0.0,,3,0.0
TQBR,2014-08-13,iНаукаСвяз,NSVZ,0,0.0,,,,228.0,,,0,,207.51,,0,549891.3,0.0,,3,0.0
TQBR,2014-08-14,iНаукаСвяз,NSVZ,0,0.0,,,,228.0,,,0,,207.51,,0,549891.3,0.0,,3,0.0
TQBR,2014-08-15,iНаукаСвяз,NSVZ,1,2280.5,228.05,228.05,228.05,228.05,228.05,228.05,10,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-18,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-19,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-20,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-21,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-22,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-25,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-26,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-27,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-28,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-08-29,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-09-01,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-09-02,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-09-03,iНаукаСвяз,NSVZ,0,0.0,,,,228.05,,,0,,207.58,,0,552171.8,0.0,,3,0.0
TQBR,2014-09-04,iНаукаСвяз,NSVZ,1,2000.0,200.0,200.0,200.0,200.0,200.0,200.0,10,,207.55,,0,554171.8,0.0,,3,0.0
TQBR,2014-09-05,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,207.55,,0,554171.8,0.0,,3,0.0
TQBR,2014-09-08,iНаукаСвяз,NSVZ,1,1999.9,199.99,199.99,199.99,199.99,199.99,199.99,10,,207.53,,0,556171.7,0.0,,3,0.0
TQBR,2014-09-09,iНаукаСвяз,NSVZ,0,0.0,,,,199.99,,,0,,207.53,,0,556171.7,0.0,,3,0.0
TQBR,2014-09-10,iНаукаСвяз,NSVZ,1,2020.1,202.01,202.01,202.01,202.01,202.01,202.01,10,,207.51,,0,558191.8,0.0,,3,0.0
TQBR,2014-09-11,iНаукаСвяз,NSVZ,0,0.0,,,,202.01,,,0,,207.51,,0,558191.8,0.0,,3,0.0
TQBR,2014-09-12,iНаукаСвяз,NSVZ,3,12596.4,209.92,209.92,210.0,209.94,209.94,210.0,60,,207.56,,0,570788.2,0.0,,3,0.0
TQBR,2014-09-15,iНаукаСвяз,NSVZ,0,0.0,,,,209.94,,,0,,207.56,,0,570788.2,0.0,,3,0.0
TQBR,2014-09-16,iНаукаСвяз,NSVZ,0,0.0,,,,209.94,,,0,,207.56,,0,570788.2,0.0,,3,0.0
TQBR,2014-09-17,iНаукаСвяз,NSVZ,0,0.0,,,,209.94,,,0,,207.56,,0,570788.2,0.0,,3,0.0
TQBR,2014-09-18,iНаукаСвяз,NSVZ,0,0.0,,,,209.94,,,0,,207.56,,0,570788.2,0.0,,3,0.0
TQBR,2014-09-19,iНаукаСвяз,NSVZ,6,22302.2,230.0,200.0,230.0,200.0,202.75,200.0,110,,207.37,,0,593090.4,0.0,,3,0.0
TQBR,2014-09-22,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,207.37,,0,593090.4,0.0,,3,0.0
TQBR,2014-09-23,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,207.37,,0,593090.4,0.0,,3,0.0
TQBR,2014-09-24,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,207.37,,0,593090.4,0.0,,3,0.0
TQBR,2014-09-25,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,207.37,,0,593090.4,0.0,,3,0.0
TQBR,2014-09-26,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,207.37,,0,593090.4,0.0,,3,0.0
TQBR,2014-09-29,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-30,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-01,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-02,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-03,iНаукаСвяз,NSVZ,0,0.0,,,,200.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-06,iНаукаСвяз,NSVZ,1,2070.0,207.0,207.0,207.0,207.0,207.0,207.0,10,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-07,iНаукаСвяз,NSVZ,0,0.0,,,,207.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-08,iНаукаСвяз,NSVZ,0,0.0,,,,207.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-09,iНаукаСвяз,NSVZ,0,0.0,,,,207.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-10,iНаукаСвяз,NSVZ,0,0.0,,,,207.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-10-13,iНаукаСвяз,NSVZ,3,7580.0,220.0,220.0,270.0,268.0,253.0,268.0,30,,,,0,0.0,0.0,,3,0.0
