BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ОГК-2 ао,OGKB,965,17902175.8,0.2338,0.2338,0.2388,0.2386,0.2372,0.2386,75472000,0.2372,0.2372,0.2372,17901942.0,17901942.0,17901942.0,,3,0.0
TQBR,2014-06-10,ОГК-2 ао,OGKB,1325,8117370.5,0.2377,0.2347,0.2385,0.2368,0.237,0.2374,34246000,0.237,0.237,0.237,8117370.5,8117370.5,8117370.5,,3,-0.0050293378038558
TQBR,2014-06-11,ОГК-2 ао,OGKB,1015,11639369.7,0.2359,0.2334,0.2379,0.2354,0.235,0.2354,49539000,0.235,0.235,0.235,11639369.7,11639369.7,11639369.7,,3,-0.008424599831508
TQBR,2014-06-16,ОГК-2 ао,OGKB,1307,15049150.7,0.2346,0.2292,0.2346,0.2306,0.2312,0.2306,65088000,0.2312,0.2312,0.2312,15033197.9,15033197.9,15033197.9,,3,-0.0203908241291418
TQBR,2014-06-17,ОГК-2 ао,OGKB,795,15305715.5,0.2254,0.2254,0.2326,0.2282,0.2302,0.2282,66496000,0.2302,0.2302,0.2302,15304137.7,15304137.7,15304137.7,,3,-0.01040763226366
TQBR,2014-06-18,ОГК-2 ао,OGKB,597,7257424.1,0.227,0.2268,0.2329,0.232,0.2316,0.232,31338000,0.2316,0.2316,0.2316,7257424.1,7257424.1,7257424.1,,3,0.0166520595968449
TQBR,2014-06-19,ОГК-2 ао,OGKB,1197,11498382.4,0.2335,0.23,0.2345,0.23,0.2321,0.23,49543000,0.2321,0.2321,0.2321,11486707.4,11486707.4,11486707.4,,3,-0.0086206896551724
TQBR,2014-06-20,ОГК-2 ао,OGKB,558,6078383.7,0.2309,0.2285,0.2321,0.23,0.2294,0.23,26500000,0.2294,0.2294,0.2294,6078383.7,6078383.7,6078383.7,,3,0.0
TQBR,2014-06-23,ОГК-2 ао,OGKB,416,6336235.8,0.2297,0.2271,0.2313,0.228,0.2292,0.228,27643000,0.2292,0.2292,0.2292,6336235.8,6336235.8,6336235.8,,3,-0.008695652173913
TQBR,2014-06-24,ОГК-2 ао,OGKB,730,9610833.8,0.2295,0.228,0.2317,0.231,0.2303,0.231,41740000,0.2303,0.2303,0.2303,9610833.8,9610833.8,9610833.8,,3,0.0131578947368421
TQBR,2014-06-25,ОГК-2 ао,OGKB,660,6709859.6,0.2292,0.2243,0.2301,0.2264,0.2275,0.2264,29493000,0.2275,0.2275,0.2275,6709859.6,6709859.6,6709859.6,,3,-0.01991341991342
TQBR,2014-06-26,ОГК-2 ао,OGKB,610,7781741.3,0.2265,0.2244,0.2269,0.2252,0.2255,0.2252,34508000,0.2255,0.2255,0.2255,7781741.3,7781741.3,7781741.3,,3,-0.0053003533568903
TQBR,2014-06-27,ОГК-2 ао,OGKB,627,5105639.1,0.225,0.2228,0.2265,0.226,0.225,0.226,22687000,0.225,0.225,0.225,5105639.1,5105639.1,5105639.1,,3,0.0035523978685612
TQBR,2014-06-30,ОГК-2 ао,OGKB,1171,5504027.5,0.2261,0.2217,0.2266,0.2222,0.2231,0.2222,24670000,0.2231,0.2231,0.2231,5504027.5,5504027.5,5504027.5,,3,-0.0168141592920353
TQBR,2014-07-01,ОГК-2 ао,OGKB,528,8904008.2,0.2223,0.2211,0.2243,0.2229,0.2227,0.2229,39984000,0.2227,0.2227,0.2227,8904008.2,8904008.2,8904008.2,,3,0.003150315031503
TQBR,2014-07-02,ОГК-2 ао,OGKB,267,2533526.6,0.2233,0.2215,0.2243,0.2243,0.2235,0.2243,11336000,0.2235,0.2235,0.2235,2533526.6,2533526.6,2533526.6,,3,0.006280843427546
TQBR,2014-07-03,ОГК-2 ао,OGKB,583,8449772.2,0.2228,0.2228,0.2253,0.224,0.2242,0.224,37682000,0.2242,0.2242,0.2242,8405212.2,8405212.2,8405212.2,,3,-0.0013374944271065
TQBR,2014-07-04,ОГК-2 ао,OGKB,648,12312252.8,0.2239,0.2214,0.2249,0.223,0.2229,0.223,55245000,0.2229,0.2229,0.2229,12310909.4,12310909.4,12310909.4,,3,-0.0044642857142857
TQBR,2014-07-07,ОГК-2 ао,OGKB,502,5038816.1,0.2215,0.2213,0.228,0.2277,0.2243,0.2277,22463000,0.2243,0.2243,0.2243,5038816.1,5038816.1,5038816.1,,3,0.0210762331838565
TQBR,2014-07-08,ОГК-2 ао,OGKB,1482,14677850.9,0.2275,0.2221,0.229,0.2232,0.2246,0.2232,65352000,0.2246,0.2246,0.2246,14677850.9,14677850.9,14677850.9,,3,-0.0197628458498023
TQBR,2014-07-09,ОГК-2 ао,OGKB,849,12459373.7,0.2227,0.2192,0.2237,0.2199,0.2213,0.2199,56308000,0.2213,0.2213,0.2213,12459373.7,12459373.7,12459373.7,,3,-0.0147849462365591
TQBR,2014-07-10,ОГК-2 ао,OGKB,793,14021051.8,0.2201,0.2163,0.2219,0.2184,0.2185,0.2184,64165000,0.2185,0.2185,0.2185,14021051.8,14021051.8,14021051.8,,3,-0.0068212824010914
TQBR,2014-07-11,ОГК-2 ао,OGKB,448,6134359.3,0.2173,0.2151,0.2185,0.2153,0.2162,0.2153,28373000,0.2162,0.2162,0.2162,6134359.3,6134359.3,6134359.3,,3,-0.0141941391941392
TQBR,2014-07-14,ОГК-2 ао,OGKB,664,6521103.7,0.216,0.2121,0.216,0.213,0.2136,0.213,30534000,0.2136,0.2136,0.2136,6521103.7,6521103.7,6521103.7,,3,-0.0106827682303762
TQBR,2014-07-15,ОГК-2 ао,OGKB,1064,33077754.8,0.213,0.2111,0.2179,0.2142,0.2135,0.2142,154916000,0.2135,0.2135,0.2135,33077754.8,33077754.8,33077754.8,,3,0.0056338028169014
TQBR,2014-07-16,ОГК-2 ао,OGKB,1598,18353340.4,0.2159,0.2116,0.2169,0.2125,0.2137,0.2125,85894000,0.2137,0.2137,0.2137,18353340.4,18353340.4,18353340.4,,3,-0.0079365079365079
TQBR,2014-07-17,ОГК-2 ао,OGKB,996,18097407.4,0.2115,0.2059,0.2115,0.2059,0.2082,0.2059,86905000,0.2082,0.2082,0.2082,18097407.4,18097407.4,18097407.4,,3,-0.0310588235294117
TQBR,2014-07-18,ОГК-2 ао,OGKB,788,7914232.3,0.204,0.2006,0.2063,0.2062,0.203,0.2062,38979000,0.203,0.203,0.203,7848952.3,7848952.3,7848952.3,,3,0.0014570179698882
TQBR,2014-07-21,ОГК-2 ао,OGKB,748,13266305.7,0.2059,0.2006,0.2059,0.2006,0.2027,0.2006,65433000,0.2027,0.2027,0.2027,13266305.7,13266305.7,13266305.7,,3,-0.0271580989330746
TQBR,2014-07-22,ОГК-2 ао,OGKB,561,9555968.2,0.203,0.2013,0.2053,0.2039,0.2033,0.2039,47012000,0.2033,0.2033,0.2033,9555968.2,9555968.2,9555968.2,,3,0.0164506480558324
TQBR,2014-07-23,ОГК-2 ао,OGKB,1337,23338772.9,0.2051,0.1988,0.2057,0.2018,0.2019,0.2018,115618000,0.2019,0.2019,0.2019,23338772.9,23338772.9,23338772.9,,3,-0.0102991662579695
