BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2020-12-14,OKEY-гдр,OKEY,5377,115147001.0,68.0,66.5,69.0,67.9,67.84,67.9,1697230,67.84,67.84,67.9,115147001.0,115147001.0,115147001.0,0,3,0.0
TQBR,2020-12-15,OKEY-гдр,OKEY,1432,21178261.9,67.98,66.88,68.51,67.8,67.86,67.8,312080,67.86,67.86,67.8,21178261.9,21178261.9,21178261.9,0,3,-0.0014727540500737
TQBR,2020-12-16,OKEY-гдр,OKEY,1218,35003528.4,68.4,66.6,68.55,66.87,67.2,66.87,520890,67.2,67.2,66.87,35003528.4,35003528.4,35003528.4,0,3,-0.0137168141592919
TQBR,2020-12-17,OKEY-гдр,OKEY,1367,15548566.6,66.9,65.5,67.7,65.8,66.41,65.8,234120,66.41,66.41,65.8,15548566.6,15548566.6,15548566.6,0,3,-0.0160011963511291
TQBR,2020-12-18,OKEY-гдр,OKEY,882,5550536.8,65.01,65.0,66.49,65.51,65.59,65.51,84620,65.59,65.59,65.51,5550536.8,5550536.8,5550536.8,0,3,-0.0044072948328266
TQBR,2020-12-21,OKEY-гдр,OKEY,1493,11564623.0,65.8,64.1,66.4,64.5,65.16,64.5,177480,65.16,65.16,64.5,11564623.0,11564623.0,11564623.0,0,3,-0.0154174935124409
TQBR,2020-12-22,OKEY-гдр,OKEY,1489,8337086.3,64.36,63.48,65.9,63.51,64.22,63.51,129830,64.22,64.22,63.51,8337086.3,8337086.3,8337086.3,0,3,-0.0153488372093023
TQBR,2020-12-23,OKEY-гдр,OKEY,1142,4885447.1,63.55,62.55,64.9,64.49,64.32,64.49,75950,64.32,64.32,64.49,4885447.1,4885447.1,4885447.1,0,3,0.0154306408439615
TQBR,2020-12-24,OKEY-гдр,OKEY,2766,23071177.3,64.5,61.9,64.51,62.72,62.75,62.75,367690,62.75,62.75,62.72,23071177.3,23071177.3,23071177.3,0,3,-0.0269809272755465
TQBR,2020-12-25,OKEY-гдр,OKEY,1334,8719531.6,62.51,62.51,64.4,64.25,63.28,64.25,137800,63.28,63.28,64.25,8719531.6,8719531.6,8719531.6,0,3,0.0239043824701195
TQBR,2020-12-28,OKEY-гдр,OKEY,1830,22277839.5,64.4,62.26,64.4,62.42,62.76,62.42,354980,62.76,62.76,62.42,22277839.5,22277839.5,22277839.5,0,3,-0.0284824902723735
TQBR,2020-12-29,OKEY-гдр,OKEY,1224,4891622.8,62.66,62.36,63.9,63.39,63.2,63.39,77400,63.2,63.2,63.39,4891622.8,4891622.8,4891622.8,0,3,0.0155398910605574
TQBR,2020-12-30,OKEY-гдр,OKEY,977,2960387.0,63.12,62.47,64.0,63.99,63.62,63.99,46530,63.62,63.62,63.99,2960387.0,2960387.0,2960387.0,0,3,0.0094652153336488
TQBR,2021-01-04,OKEY-гдр,OKEY,1229,5143983.2,63.33,63.3,65.23,64.0,64.28,64.01,80030,64.28,64.28,64.0,5143983.2,5143983.2,5143983.2,0,3,0.0003125488357556
TQBR,2021-01-05,OKEY-гдр,OKEY,1053,4265563.2,64.02,63.9,64.96,64.93,64.5,64.93,66130,64.5,64.5,64.93,4265563.2,4265563.2,4265563.2,0,3,0.0143727542571473
