BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ОМЗ-ап,OMZZP,16,24148.2,686.2,600.0,827.0,800.0,710.2,800.0,34,,888.7,,0,501240.9,0.0,,3,0.0
TQBR,2014-06-10,ОМЗ-ап,OMZZP,1,851.8,851.8,851.8,851.8,851.8,851.8,851.8,1,,888.7,,0,500322.7,0.0,,3,0.0647499999999999
TQBR,2014-06-11,ОМЗ-ап,OMZZP,1,820.0,820.0,820.0,820.0,820.0,820.0,820.0,1,,888.6,,0,500287.6,0.0,,3,-0.0373327072082648
TQBR,2014-06-16,ОМЗ-ап,OMZZP,0,0.0,,,,820.0,,,0,,888.6,,0,500287.6,0.0,,3,0.0
TQBR,2014-06-17,ОМЗ-ап,OMZZP,1,826.9,826.9,826.9,826.9,826.9,826.9,826.9,1,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-18,ОМЗ-ап,OMZZP,0,0.0,,,,826.9,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-19,ОМЗ-ап,OMZZP,1,761.1,761.1,761.1,761.1,761.1,761.1,761.1,1,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-20,ОМЗ-ап,OMZZP,1,2555.7,851.9,851.9,851.9,851.9,851.9,851.9,3,,,,0,0.0,0.0,,3,0.1193010116936013
TQBR,2014-06-23,ОМЗ-ап,OMZZP,2,1585.0,795.0,790.0,795.0,792.5,792.5,790.0,2,,,,0,0.0,0.0,,3,-0.072661110458974
TQBR,2014-06-24,ОМЗ-ап,OMZZP,0,0.0,,,,792.5,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-25,ОМЗ-ап,OMZZP,0,0.0,,,,792.5,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-26,ОМЗ-ап,OMZZP,3,4589.5,701.2,701.2,796.8,796.8,764.9,796.8,6,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-27,ОМЗ-ап,OMZZP,1,720.9,720.9,720.9,720.9,720.9,720.9,720.9,1,,,,0,0.0,0.0,,3,-0.0952560240963855
TQBR,2014-06-30,ОМЗ-ап,OMZZP,0,0.0,,,,720.9,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-01,ОМЗ-ап,OMZZP,14,19447.9,702.9,630.0,744.0,740.0,694.6,740.0,28,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-02,ОМЗ-ап,OMZZP,5,6799.5,751.9,751.9,760.0,760.0,755.5,760.0,9,,,,0,0.0,0.0,,3,0.027027027027027
TQBR,2014-07-03,ОМЗ-ап,OMZZP,0,0.0,,,,760.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-04,ОМЗ-ап,OMZZP,9,13831.4,765.9,765.9,840.0,813.6,813.6,840.0,17,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-07,ОМЗ-ап,OMZZP,0,0.0,,,,813.6,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-08,ОМЗ-ап,OMZZP,0,0.0,,,,813.6,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-09,ОМЗ-ап,OMZZP,1,864.0,864.0,864.0,864.0,864.0,864.0,864.0,1,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-10,ОМЗ-ап,OMZZP,0,0.0,,,,864.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-11,ОМЗ-ап,OMZZP,0,0.0,,,,864.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-14,ОМЗ-ап,OMZZP,2,1728.9,865.0,863.9,865.0,863.9,864.5,863.9,2,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-15,ОМЗ-ап,OMZZP,9,7074.0,777.0,735.9,807.8,807.5,786.0,807.5,9,,,,0,0.0,0.0,,3,-0.0652853339506887
TQBR,2014-07-16,ОМЗ-ап,OMZZP,1,706.0,706.0,706.0,706.0,706.0,706.0,706.0,1,,,,0,0.0,0.0,,3,-0.1256965944272446
TQBR,2014-07-17,ОМЗ-ап,OMZZP,0,0.0,,,,706.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-18,ОМЗ-ап,OMZZP,0,0.0,,,,706.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-21,ОМЗ-ап,OMZZP,0,0.0,,,,706.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-22,ОМЗ-ап,OMZZP,3,2380.2,711.3,711.3,845.0,823.9,793.4,823.9,3,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-23,ОМЗ-ап,OMZZP,0,0.0,,,,823.9,,,0,,,,0,0.0,0.0,,3,0.0
