BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2020-11-24,OZON-адр,OZON,106028,5341049182.0,2674.5,2674.5,3192.5,2820.0,2969.5,3033.0,1751752,2915.5,2915.5,2820.0,767567299.5,767567299.5,767567299.5,0,3,0.0
TQBR,2020-11-25,OZON-адр,OZON,99257,3953155589.5,3102.0,2888.0,3282.0,3030.0,3077.5,2954.0,1285058,3086.0,3086.0,3030.0,3471801468.0,3471801468.0,3471801468.0,0,3,-0.0260468183316848
TQBR,2020-11-26,OZON-адр,OZON,22603,572433740.5,3002.0,2900.5,3002.0,2950.5,2946.0,2944.0,194320,2946.5,2946.5,2950.5,505866908.0,505866908.0,505866908.0,0,3,-0.0033852403520649
TQBR,2020-11-27,OZON-адр,OZON,24688,1003868840.0,2967.5,2913.0,3082.0,3000.0,2985.0,3025.0,336314,2966.5,2966.5,3000.0,726261886.0,726261886.0,726261886.0,0,3,0.0275135869565217
TQBR,2020-11-30,OZON-адр,OZON,20002,638771333.5,2999.5,2967.5,3140.0,3047.5,3038.0,3071.0,210260,3014.5,3014.5,3047.5,420847624.0,420847624.0,420847624.0,0,3,0.0152066115702479
TQBR,2020-12-01,OZON-адр,OZON,15295,456113989.0,3048.0,3000.5,3097.0,3027.0,3030.0,3059.5,150540,3024.5,3024.5,3027.0,348835069.0,348835069.0,348835069.0,0,3,-0.0037447085639856
TQBR,2020-12-02,OZON-адр,OZON,16661,817860239.0,3030.0,3003.0,3230.0,3010.5,3093.0,3184.0,264443,3020.0,3020.0,3010.5,227286084.0,227286084.0,227286084.0,0,3,0.0406929236803399
TQBR,2020-12-03,OZON-адр,OZON,75694,3079827060.5,3120.5,3085.5,3649.0,3492.0,3369.0,3614.5,914180,3301.5,3301.5,3492.0,1936982214.0,1936982214.0,1936982214.0,0,3,0.1352072864321608
TQBR,2020-12-04,OZON-адр,OZON,102182,4073658159.5,3566.5,3428.5,3984.0,3450.5,3693.0,3556.0,1103055,3707.0,3707.0,3450.5,3169622170.5,3169622170.5,3169622170.5,0,3,-0.0161848111772029
TQBR,2020-12-07,OZON-адр,OZON,45127,1424032738.0,3570.0,3351.5,3675.0,3417.0,3519.0,3422.0,404941,3527.0,3527.0,3417.0,1156951479.5,1156951479.5,1156951479.5,0,3,-0.0376827896512935
TQBR,2020-12-08,OZON-адр,OZON,31444,1083920285.5,3425.0,3260.0,3495.0,3384.0,3385.0,3471.0,320213,3378.0,3378.0,3384.0,914114656.5,914114656.5,914114656.5,0,3,0.0143191116306253
TQBR,2020-12-09,OZON-адр,OZON,44725,1559692954.0,3549.5,3300.0,3600.0,3530.0,3459.5,3301.0,450862,3543.0,3543.0,3530.0,852619239.0,852619239.0,852619239.0,0,3,-0.0489772399884759
