BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ПавлАвт ао,PAZA,0,0,,,,173.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,ПавлАвт ао,PAZA,0,0,,,,173.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,ПавлАвт ао,PAZA,0,0,,,,173.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,ПавлАвт ао,PAZA,0,0,,,,173.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,ПавлАвт ао,PAZA,3,37503,150.2,150.0,150.2,150.0,150.0,150.0,250,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,ПавлАвт ао,PAZA,0,0,,,,150.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,ПавлАвт ао,PAZA,0,0,,,,150.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,ПавлАвт ао,PAZA,0,0,,,,150.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,ПавлАвт ао,PAZA,0,0,,,,150.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,ПавлАвт ао,PAZA,1,1500,150.0,150.0,150.0,150.0,150.0,150.0,10,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,ПавлАвт ао,PAZA,1,1255,125.5,125.5,125.5,125.5,125.5,125.5,10,,,,0,0,0.0,,3,-0.1633333333333333
TQBR,2014-06-26,ПавлАвт ао,PAZA,0,0,,,,125.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,ПавлАвт ао,PAZA,0,0,,,,125.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,ПавлАвт ао,PAZA,0,0,,,,125.5,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,ПавлАвт ао,PAZA,1,1283,128.3,128.3,128.3,128.3,128.3,128.3,10,,,,0,0,0.0,,3,0.0
TQBR,2014-07-02,ПавлАвт ао,PAZA,0,0,,,,128.3,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-03,ПавлАвт ао,PAZA,8,13687,150.2,150.1,199.9,179.8,171.1,179.8,80,,,,0,0,0.0,,3,0.0
TQBR,2014-07-04,ПавлАвт ао,PAZA,1,2379,237.9,237.9,237.9,237.9,237.9,237.9,10,,,,0,0,0.0,,3,0.3231368186874304
TQBR,2014-07-07,ПавлАвт ао,PAZA,0,0,,,,237.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-08,ПавлАвт ао,PAZA,0,0,,,,237.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-09,ПавлАвт ао,PAZA,0,0,,,,237.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-10,ПавлАвт ао,PAZA,0,0,,,,237.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-11,ПавлАвт ао,PAZA,0,0,,,,237.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-14,ПавлАвт ао,PAZA,0,0,,,,237.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-15,ПавлАвт ао,PAZA,49,220675,274.9,150.5,274.9,169.3,162.3,169.3,1360,,,,0,0,0.0,,3,0.0
TQBR,2014-07-16,ПавлАвт ао,PAZA,4,6480,162.0,162.0,162.0,162.0,162.0,162.0,40,,,,0,0,0.0,,3,-0.0431187241582989
TQBR,2014-07-17,ПавлАвт ао,PAZA,0,0,,,,162.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-18,ПавлАвт ао,PAZA,0,0,,,,162.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-21,ПавлАвт ао,PAZA,0,0,,,,162.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-22,ПавлАвт ао,PAZA,1,1620,162.0,162.0,162.0,162.0,162.0,162.0,10,,,,0,0,0.0,,3,0.0
TQBR,2014-07-23,ПавлАвт ао,PAZA,2,3020,143.0,143.0,159.0,151.0,151.0,159.0,20,,,,0,0,0.0,,3,-0.0185185185185185
TQBR,2014-07-24,ПавлАвт ао,PAZA,0,0,,,,151.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-25,ПавлАвт ао,PAZA,0,0,,,,151.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-28,ПавлАвт ао,PAZA,4,6300,131.0,131.0,184.0,151.0,157.5,183.0,40,,,,0,0,0.0,,3,0.0
TQBR,2014-07-29,ПавлАвт ао,PAZA,2,4146,138.8,137.9,138.8,138.2,138.2,137.9,30,,,,0,0,0.0,,3,-0.2464480874316939
TQBR,2014-07-30,ПавлАвт ао,PAZA,0,0,,,,138.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-31,ПавлАвт ао,PAZA,1,1550,155.0,155.0,155.0,155.0,155.0,155.0,10,,,,0,0,0.0,,3,0.0
TQBR,2014-08-01,ПавлАвт ао,PAZA,0,0,,,,155.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-04,ПавлАвт ао,PAZA,0,0,,,,155.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-05,ПавлАвт ао,PAZA,0,0,,,,155.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-06,ПавлАвт ао,PAZA,0,0,,,,155.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-07,ПавлАвт ао,PAZA,0,0,,,,155.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-08,ПавлАвт ао,PAZA,0,0,,,,155.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-11,ПавлАвт ао,PAZA,0,0,,,,155.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-12,ПавлАвт ао,PAZA,1,1549,154.9,154.9,154.9,154.9,154.9,154.9,10,,,,0,0,0.0,,3,0.0
TQBR,2014-08-13,ПавлАвт ао,PAZA,0,0,,,,154.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-14,ПавлАвт ао,PAZA,0,0,,,,154.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-15,ПавлАвт ао,PAZA,5,12675,159.0,158.0,160.0,160.0,158.4,160.0,80,,,,0,0,0.0,,3,0.0
TQBR,2014-08-18,ПавлАвт ао,PAZA,0,0,,,,160.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-19,ПавлАвт ао,PAZA,0,0,,,,160.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-20,ПавлАвт ао,PAZA,0,0,,,,160.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-21,ПавлАвт ао,PAZA,0,0,,,,160.0,,,0,,,,0,0,0.0,,3,0.0
