BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,ФосАгро ао,PHOR,0,0.0,,,,1168.8,,,0,1160.8,1160.8,1160.8,5011020.1,5011020.1,5011020.1,,3,0.0
TQBR,2013-07-09,ФосАгро ао,PHOR,0,0.0,,,,1172.0,,,0,1168.6,1168.6,1168.6,742085.4,742085.4,742085.4,,3,0.0
TQBR,2013-07-10,ФосАгро ао,PHOR,0,0.0,,,,1180.6,,,0,1180.5,1180.5,1180.5,1852256.3,1852256.3,1852256.3,,3,0.0
TQBR,2013-07-11,ФосАгро ао,PHOR,0,0.0,,,,1185.4,,,0,1192.8,1192.8,1192.8,5838962.7,5838962.7,5838962.7,,3,0.0
TQBR,2013-07-12,ФосАгро ао,PHOR,0,0.0,,,,1219.4,,,0,1207.2,1207.2,1207.2,6593759.2,6593759.2,6593759.2,,3,0.0
TQBR,2013-07-15,ФосАгро ао,PHOR,0,0.0,,,,1241.3,,,0,1237.3,1237.3,1237.3,5630935.4,5630935.4,5630935.4,,3,0.0
TQBR,2013-07-16,ФосАгро ао,PHOR,0,0.0,,,,1241.4,,,0,1246.3,1246.3,1246.3,6249039.3,6249039.3,6249039.3,,3,0.0
TQBR,2013-07-17,ФосАгро ао,PHOR,0,0.0,,,,1255.0,,,0,1252.8,1252.8,1252.8,1779033.5,1779033.5,1779033.5,,3,0.0
TQBR,2013-07-18,ФосАгро ао,PHOR,0,0.0,,,,1233.2,,,0,1238.9,1238.9,1238.9,7121376.6,7121376.6,7121376.6,,3,0.0
TQBR,2013-07-19,ФосАгро ао,PHOR,0,0.0,,,,1216.6,,,0,1219.0,1219.0,1219.0,3101228.2,3101228.2,3101228.2,,3,0.0
TQBR,2013-07-22,ФосАгро ао,PHOR,0,0.0,,,,1225.3,,,0,1207.6,1207.6,1207.6,1440695.6,1440695.6,1440695.6,,3,0.0
TQBR,2013-07-23,ФосАгро ао,PHOR,0,0.0,,,,1206.5,,,0,1217.8,1217.8,1217.8,1693917.7,1693917.7,1693917.7,,3,0.0
TQBR,2013-07-24,ФосАгро ао,PHOR,0,0.0,,,,1190.8,,,0,1197.2,1197.2,1197.2,1525169.2,1525169.2,1525169.2,,3,0.0
TQBR,2013-07-25,ФосАгро ао,PHOR,0,0.0,,,,1154.0,,,0,1177.4,1177.4,1177.4,5096936.5,5096936.5,5096936.5,,3,0.0
TQBR,2013-07-26,ФосАгро ао,PHOR,0,0.0,,,,1145.3,,,0,1139.8,1139.8,1139.8,5582542.6,5582542.6,5582542.6,,3,0.0
TQBR,2013-07-29,ФосАгро ао,PHOR,0,0.0,,,,1132.0,,,0,1143.6,1143.6,1143.6,2968877.1,2968877.1,2968877.1,,3,0.0
TQBR,2013-07-30,ФосАгро ао,PHOR,0,0.0,,,,1041.1,,,0,1047.6,1047.6,1047.6,40779978.3,40779978.3,40779978.3,,3,0.0
TQBR,2013-07-31,ФосАгро ао,PHOR,0,0.0,,,,972.8,,,0,999.5,999.5,999.5,15742013.2,15742013.2,15742013.2,,3,0.0
TQBR,2013-08-01,ФосАгро ао,PHOR,0,0.0,,,,985.3,,,0,971.1,971.1,971.1,28713856.0,28713856.0,28713856.0,,3,0.0
TQBR,2013-08-02,ФосАгро ао,PHOR,0,0.0,,,,976.0,,,0,977.7,977.7,977.7,9914922.2,9914922.2,9914922.2,,3,0.0
TQBR,2013-08-05,ФосАгро ао,PHOR,0,0.0,,,,996.0,,,0,997.5,997.5,997.5,14810199.7,14810199.7,14810199.7,,3,0.0
TQBR,2013-08-06,ФосАгро ао,PHOR,0,0.0,,,,957.2,,,0,969.0,969.0,969.0,53261784.1,53261784.1,53261784.1,,3,0.0
TQBR,2013-08-07,ФосАгро ао,PHOR,0,0.0,,,,962.4,,,0,956.6,956.6,956.6,19590789.1,19590789.1,19590789.1,,3,0.0
TQBR,2013-08-08,ФосАгро ао,PHOR,0,0.0,,,,966.7,,,0,967.9,967.9,967.9,4450481.9,4450481.9,4450481.9,,3,0.0
TQBR,2013-08-09,ФосАгро ао,PHOR,0,0.0,,,,982.3,,,0,972.9,972.9,972.9,37533254.5,37533254.5,37533254.5,,3,0.0
TQBR,2013-08-12,ФосАгро ао,PHOR,0,0.0,,,,991.6,,,0,979.0,979.0,979.0,2095985.5,2095985.5,2095985.5,,3,0.0
TQBR,2013-08-13,ФосАгро ао,PHOR,0,0.0,,,,1000.0,,,0,1002.1,1002.1,1002.1,25418452.9,25418452.9,25418452.9,,3,0.0
TQBR,2013-08-14,ФосАгро ао,PHOR,1,1247.8,623.9,623.9,623.9,996.9,623.9,623.9,2,1002.7,1002.7,1002.7,7621656.3,7621656.3,7621656.3,,3,0.0
TQBR,2013-08-15,ФосАгро ао,PHOR,6,29902.5,621.7,621.7,1371.8,974.4,996.8,1371.8,30,957.5,957.5,957.5,53771263.3,53771263.3,53771263.3,,3,1.1987497996473797
TQBR,2013-08-16,ФосАгро ао,PHOR,0,0.0,,,,965.0,,,0,969.5,969.5,969.5,4524571.4,4524571.4,4524571.4,,3,0.0
TQBR,2013-08-19,ФосАгро ао,PHOR,0,0.0,,,,949.4,,,0,953.2,953.2,953.2,5759491.8,5759491.8,5759491.8,,3,0.0
TQBR,2013-08-20,ФосАгро ао,PHOR,0,0.0,,,,919.2,,,0,916.8,916.8,916.8,27018950.7,27018950.7,27018950.7,,3,0.0
TQBR,2013-08-21,ФосАгро ао,PHOR,0,0.0,,,,931.1,,,0,922.7,922.7,922.7,10404219.4,10404219.4,10404219.4,,3,0.0
TQBR,2013-08-22,ФосАгро ао,PHOR,0,0.0,,,,917.5,,,0,926.3,926.3,926.3,20458431.0,20458431.0,20458431.0,,3,0.0
TQBR,2013-08-23,ФосАгро ао,PHOR,0,0.0,,,,926.8,,,0,921.4,921.4,921.4,7952757.2,7952757.2,7952757.2,,3,0.0
TQBR,2013-08-26,ФосАгро ао,PHOR,0,0.0,,,,915.8,,,0,919.5,919.5,919.5,2251903.2,2251903.2,2251903.2,,3,0.0
TQBR,2013-08-27,ФосАгро ао,PHOR,0,0.0,,,,912.3,,,0,909.7,909.7,909.7,16434853.9,16434853.9,16434853.9,,3,0.0
TQBR,2013-08-28,ФосАгро ао,PHOR,0,0.0,,,,914.5,,,0,915.4,915.4,915.4,9012651.6,9012651.6,9012651.6,,3,0.0
TQBR,2013-08-29,ФосАгро ао,PHOR,0,0.0,,,,919.9,,,0,918.9,918.9,918.9,24488385.5,24488385.5,24488385.5,,3,0.0
TQBR,2013-08-30,ФосАгро ао,PHOR,0,0.0,,,,920.1,,,0,919.8,919.8,919.8,3809833.3,3809833.3,3809833.3,,3,0.0
TQBR,2013-09-02,ФосАгро ао,PHOR,155,4259262.1,995.0,922.0,995.0,930.0,928.6,929.9,4587,928.6,928.6,928.6,4259262.1,4259262.1,4259262.1,,3,0.0
TQBR,2013-09-03,ФосАгро ао,PHOR,480,16048916.4,929.9,918.1,935.9,935.0,928.5,928.0,17285,928.5,928.5,928.5,16048916.4,16048916.4,16048916.4,,3,-0.0020432304548875
TQBR,2013-09-04,ФосАгро ао,PHOR,354,10247843.0,817.6,817.6,944.7,937.6,932.0,937.7,10996,932.1,932.1,932.1,10235579.0,10235579.0,10235579.0,,3,0.0104525862068966
TQBR,2013-09-05,ФосАгро ао,PHOR,411,4618845.7,930.0,930.0,947.0,946.7,940.9,946.8,4909,941.0,941.0,941.0,4557465.7,4557465.7,4557465.7,,3,0.0097045963527779
TQBR,2013-09-06,ФосАгро ао,PHOR,730,10113059.8,944.1,930.3,948.8,942.6,942.0,944.9,10736,942.0,942.0,942.0,10113059.8,10113059.8,10113059.8,,3,-0.0020067596113223
TQBR,2013-09-09,ФосАгро ао,PHOR,943,10719338.2,931.0,928.0,955.0,933.1,942.5,932.0,11373,942.6,942.6,942.6,10691408.2,10691408.2,10691408.2,,3,-0.0136522383320986
TQBR,2013-09-10,ФосАгро ао,PHOR,597,7462486.9,938.8,930.7,959.9,951.0,947.3,951.0,7878,947.3,947.3,947.3,7462486.9,7462486.9,7462486.9,,3,0.0203862660944206
TQBR,2013-09-11,ФосАгро ао,PHOR,611,7234452.3,954.8,930.0,958.0,938.3,938.8,938.5,7706,938.8,938.8,938.8,7234452.3,7234452.3,7234452.3,,3,-0.0131440588853838
TQBR,2013-09-12,ФосАгро ао,PHOR,407,4946886.3,944.7,921.5,944.8,936.5,932.7,935.3,5304,932.7,932.7,932.7,4945941.6,4945941.6,4945941.6,,3,-0.0034096963239211
TQBR,2013-09-13,ФосАгро ао,PHOR,512,8386104.0,782.9,782.9,964.7,949.3,950.4,949.0,8824,950.7,950.7,950.7,8374360.5,8374360.5,8374360.5,,3,0.0146477066181974
TQBR,2013-09-16,ФосАгро ао,PHOR,3144,22322617.7,944.4,938.5,989.5,977.7,968.9,976.9,23038,968.9,968.9,968.9,22322617.7,22322617.7,22322617.7,,3,0.0293993677555321
TQBR,2013-09-17,ФосАгро ао,PHOR,336,11021389.0,973.1,960.9,981.9,960.9,968.2,962.0,11383,968.2,968.2,968.2,11021389.0,11021389.0,11021389.0,,3,-0.0152523287951683
TQBR,2013-09-18,ФосАгро ао,PHOR,257,8660325.4,953.1,953.1,973.0,957.2,968.7,955.0,8940,968.7,968.7,968.7,8660325.4,8660325.4,8660325.4,,3,-0.0072765072765072
TQBR,2013-09-19,ФосАгро ао,PHOR,597,12265603.5,977.5,952.0,984.0,952.0,970.5,957.9,12639,970.3,970.3,970.3,12021228.5,12021228.5,12021228.5,,3,0.0030366492146596
TQBR,2013-09-20,ФосАгро ао,PHOR,894,7660577.7,951.0,951.0,980.0,966.2,964.2,965.0,7945,964.2,964.2,964.2,7658675.7,7658675.7,7658675.7,,3,0.0074120471865539
TQBR,2013-09-23,ФосАгро ао,PHOR,307,4349327.6,965.0,933.3,980.0,944.8,954.4,944.8,4557,954.4,954.4,954.4,4349327.6,4349327.6,4349327.6,,3,-0.0209326424870466
TQBR,2013-09-24,ФосАгро ао,PHOR,258,6790892.3,941.8,940.5,959.0,953.9,944.2,957.5,7192,944.2,944.2,944.2,6790892.3,6790892.3,6790892.3,,3,0.0134419983065199
TQBR,2013-09-25,ФосАгро ао,PHOR,305,3668375.3,950.2,940.4,959.8,954.6,949.6,955.2,3863,949.6,949.6,949.6,3668375.3,3668375.3,3668375.3,,3,-0.0024020887728459
TQBR,2013-09-26,ФосАгро ао,PHOR,604,9163423.1,957.4,948.2,979.0,969.5,967.4,976.3,9472,967.4,967.4,967.4,9163423.1,9163423.1,9163423.1,,3,0.0220896147403684
TQBR,2013-09-27,ФосАгро ао,PHOR,536,16923459.2,966.2,958.9,979.6,969.3,969.8,976.7,17451,969.8,969.8,969.8,16923459.2,16923459.2,16923459.2,,3,0.000409710130083
TQBR,2013-09-30,ФосАгро ао,PHOR,291,3842550.8,972.9,968.8,978.8,969.3,972.1,969.3,3953,972.1,972.1,972.1,3842550.8,3842550.8,3842550.8,,3,-0.0075765332241221
TQBR,2013-10-01,ФосАгро ао,PHOR,376,3562743.2,967.0,966.7,997.8,988.7,983.6,988.9,3622,983.6,983.6,983.6,3562743.2,3562743.2,3562743.2,,3,0.020220777880945
TQBR,2013-10-02,ФосАгро ао,PHOR,817,9739137.0,986.0,954.7,993.6,971.8,977.6,966.0,9962,977.6,977.6,977.6,9739137.0,9739137.0,9739137.0,,3,-0.0231570431792901
TQBR,2013-10-03,ФосАгро ао,PHOR,725,7837593.3,966.7,959.8,978.6,963.5,969.2,964.0,8087,969.2,969.2,969.2,7837593.3,7837593.3,7837593.3,,3,-0.0020703933747412
TQBR,2013-10-04,ФосАгро ао,PHOR,267,4110684.2,969.7,960.2,977.7,977.4,969.5,977.6,4240,969.5,969.5,969.5,4110684.2,4110684.2,4110684.2,,3,0.0141078838174274
