BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ПермьЭнС-п,PMSBP,2,2694.8,53.89,53.89,53.9,53.9,53.9,53.9,50,,51.48,,0,500883.4,0.0,,3,0.0
TQBR,2014-06-10,ПермьЭнС-п,PMSBP,0,0.0,,,,53.9,,,0,,51.48,,0,500883.4,0.0,,3,0.0
TQBR,2014-06-11,ПермьЭнС-п,PMSBP,4,5301.0,53.01,53.01,53.01,53.01,53.01,53.01,100,,51.52,,0,502789.4,0.0,,3,0.0
TQBR,2014-06-16,ПермьЭнС-п,PMSBP,5,5881.2,53.28,53.28,53.49,53.49,53.47,53.49,110,,51.54,,0,508670.6,0.0,,3,0.0090548953027731
TQBR,2014-06-17,ПермьЭнС-п,PMSBP,0,0.0,,,,53.49,,,0,,51.54,,0,508670.6,0.0,,3,0.0
TQBR,2014-06-18,ПермьЭнС-п,PMSBP,8,10463.7,53.5,52.0,53.5,52.02,52.32,52.0,200,,51.55,,0,519134.3,0.0,,3,0.0
TQBR,2014-06-19,ПермьЭнС-п,PMSBP,10,25436.6,52.01,51.3,52.01,51.5,51.91,51.3,490,,51.75,,0,515470.9,0.0,,3,-0.0134615384615385
TQBR,2014-06-20,ПермьЭнС-п,PMSBP,5,36752.6,51.94,51.0,51.94,51.03,51.05,51.0,720,,51.98,,0,511479.9,0.0,,3,-0.0058479532163742
TQBR,2014-06-23,ПермьЭнС-п,PMSBP,1,534.0,53.4,53.4,53.4,53.4,53.4,53.4,10,,51.98,,0,512013.9,0.0,,3,0.0470588235294117
TQBR,2014-06-24,ПермьЭнС-п,PMSBP,3,1581.4,52.7,52.7,52.73,52.71,52.71,52.73,30,,51.98,,0,513595.3,0.0,,3,-0.0125468164794007
TQBR,2014-06-25,ПермьЭнС-п,PMSBP,5,17685.0,52.02,51.99,52.5,51.99,52.01,51.99,340,,51.98,,0,531280.3,0.0,,3,-0.0140337568746443
TQBR,2014-06-26,ПермьЭнС-п,PMSBP,7,12998.1,51.96,51.96,52.0,52.0,51.99,52.0,250,,51.98,,0,544278.4,0.0,,3,0.0001923446816695
TQBR,2014-06-27,ПермьЭнС-п,PMSBP,1,25480.0,52.0,52.0,52.0,52.0,52.0,52.0,490,,51.98,,0,544278.4,0.0,,3,0.0
TQBR,2014-06-30,ПермьЭнС-п,PMSBP,25,63168.8,51.1,50.07,51.15,50.32,50.54,50.07,1250,,52.25,,0,522475.9,0.0,,3,-0.0371153846153846
TQBR,2014-07-01,ПермьЭнС-п,PMSBP,0,0.0,,,,50.32,,,0,,52.25,,0,522475.9,0.0,,3,0.0
TQBR,2014-07-02,ПермьЭнС-п,PMSBP,0,0.0,,,,50.32,,,0,,52.25,,0,522475.9,0.0,,3,0.0
TQBR,2014-07-03,ПермьЭнС-п,PMSBP,8,11161.6,52.95,50.51,52.95,50.63,50.73,50.51,220,,52.22,,0,533637.5,0.0,,3,0.0
TQBR,2014-07-04,ПермьЭнС-п,PMSBP,4,2094.9,52.41,52.36,52.41,52.36,52.37,52.36,40,,52.22,,0,535732.4,0.0,,3,0.03662641061176
TQBR,2014-07-07,ПермьЭнС-п,PMSBP,17,100128.2,50.11,50.0,50.25,50.04,50.06,50.04,2000,,51.74,,0,500801.1,0.0,,3,-0.0443086325439266
TQBR,2014-07-08,ПермьЭнС-п,PMSBP,0,0.0,,,,50.04,,,0,,51.74,,0,500801.1,0.0,,3,0.0
TQBR,2014-07-09,ПермьЭнС-п,PMSBP,0,0.0,,,,50.04,,,0,,51.74,,0,500801.1,0.0,,3,0.0
TQBR,2014-07-10,ПермьЭнС-п,PMSBP,4,3054.1,50.91,50.9,50.91,50.9,50.9,50.9,60,,51.73,,0,503855.2,0.0,,3,0.0
TQBR,2014-07-11,ПермьЭнС-п,PMSBP,0,0.0,,,,50.9,,,0,,51.73,,0,503855.2,0.0,,3,0.0
TQBR,2014-07-14,ПермьЭнС-п,PMSBP,2,10120.0,50.6,50.6,50.6,50.6,50.6,50.6,200,,51.71,,0,513975.2,0.0,,3,0.0
TQBR,2014-07-15,ПермьЭнС-п,PMSBP,1,4044.0,50.55,50.55,50.55,50.55,50.55,50.55,80,,51.66,,0,502119.2,0.0,,3,-0.0009881422924902
TQBR,2014-07-16,ПермьЭнС-п,PMSBP,0,0.0,,,,50.55,,,0,,51.66,,0,502119.2,0.0,,3,0.0
