BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-09-02,Polymetal,POLY,431,2545147.34,389.49,382.08,395.2,389.32,387.15,389.95,6574,387.15,387.15,387.15,2545147.34,2545147.34,2545147.34,,3,0.0
TQBR,2013-09-03,Polymetal,POLY,86,2459794.75,385.6,376.79,385.6,383.14,382.55,381.9,6430,382.55,382.55,382.55,2459794.75,2459794.75,2459794.75,,3,-0.0206436722656751
TQBR,2013-09-04,Polymetal,POLY,489,2955224.85,384.9,382.11,394.88,392.8,389.46,392.8,7588,389.46,389.46,389.46,2955224.85,2955224.85,2955224.85,,3,0.0285415030112595
TQBR,2013-09-05,Polymetal,POLY,41,1617145.33,387.87,387.87,394.6,391.4,392.04,391.4,4125,392.04,392.04,392.04,1617145.33,1617145.33,1617145.33,,3,-0.0035641547861507
TQBR,2013-09-06,Polymetal,POLY,222,6905506.95,389.0,380.01,402.0,394.46,392.72,398.0,17584,392.72,392.72,392.72,6905506.95,6905506.95,6905506.95,,3,0.0168625447112928
TQBR,2013-09-09,Polymetal,POLY,82,121868.53,398.49,396.55,406.94,397.64,403.54,399.93,302,,398.73,,0.0,529111.1,0.0,,3,0.0048492462311557
TQBR,2013-09-10,Polymetal,POLY,80,1071280.06,397.0,388.0,401.1,394.2,392.12,393.57,2732,392.12,392.12,392.12,1071280.06,1071280.06,1071280.06,,3,-0.0159027829870227
TQBR,2013-09-11,Polymetal,POLY,145,1270972.29,391.34,380.0,394.0,386.03,382.71,387.5,3321,382.71,382.71,382.71,1270972.29,1270972.29,1270972.29,,3,-0.015422923495185
TQBR,2013-09-12,Polymetal,POLY,134,2105291.22,385.0,377.73,386.99,383.45,383.06,383.4,5496,383.06,383.06,383.06,2105291.22,2105291.22,2105291.22,,3,-0.0105806451612903
TQBR,2013-09-13,Polymetal,POLY,256,3459393.25,381.6,362.83,383.0,362.83,370.5,363.0,9337,370.5,370.5,370.5,3459393.25,3459393.25,3459393.25,,3,-0.0532081377151799
TQBR,2013-09-16,Polymetal,POLY,677,11983749.66,365.0,335.17,368.2,350.0,343.04,344.5,34934,343.04,343.04,343.04,11983749.66,11983749.66,11983749.66,,3,-0.0509641873278236
TQBR,2013-09-17,Polymetal,POLY,317,15271322.7,344.06,335.06,346.97,341.25,342.28,340.0,44616,342.28,342.28,342.28,15271322.7,15271322.7,15271322.7,,3,-0.0130624092888243
TQBR,2013-09-18,Polymetal,POLY,550,15145185.76,337.92,336.18,352.0,344.18,345.58,344.18,43826,345.58,345.58,345.58,15145185.76,15145185.76,15145185.76,,3,0.0122941176470588
TQBR,2013-09-19,Polymetal,POLY,1219,16788105.18,346.85,337.5,395.0,369.34,367.63,374.4,45666,367.63,367.63,367.63,16787758.33,16787758.33,16787758.33,,3,0.0878028938346213
TQBR,2013-09-20,Polymetal,POLY,837,8947799.55,370.66,345.37,374.0,348.16,354.64,348.16,25231,354.64,354.64,354.64,8947799.55,8947799.55,8947799.55,,3,-0.0700854700854699
TQBR,2013-09-23,Polymetal,POLY,504,5597162.45,345.7,332.0,345.7,332.0,338.48,339.58,16536,338.48,338.48,338.48,5597162.45,5597162.45,5597162.45,,3,-0.0246438419117648
TQBR,2013-09-24,Polymetal,POLY,539,11762206.15,336.92,332.6,357.34,346.79,349.12,347.81,33691,349.12,349.12,349.12,11762206.15,11762206.15,11762206.15,,3,0.0242358207197126
TQBR,2013-09-25,Polymetal,POLY,317,8116471.41,346.89,336.15,347.51,344.55,341.53,344.95,23765,341.53,341.53,341.53,8116471.41,8116471.41,8116471.41,,3,-0.0082228803082142
TQBR,2013-09-26,Polymetal,POLY,327,9479416.44,342.98,342.98,354.75,354.39,350.61,354.3,27037,350.61,350.61,350.61,9479416.44,9479416.44,9479416.44,,3,0.0271053775909552
TQBR,2013-09-27,Polymetal,POLY,425,4222173.23,354.99,345.3,357.51,350.0,349.34,350.99,12086,349.34,349.34,349.34,4222173.23,4222173.23,4222173.23,,3,-0.0093423652272085
TQBR,2013-09-30,Polymetal,POLY,360,7385521.5,352.0,339.94,354.0,345.0,344.09,344.0,21464,344.09,344.09,344.09,7385521.5,7385521.5,7385521.5,,3,-0.0199150972962192
TQBR,2013-10-01,Polymetal,POLY,215,10006188.95,298.0,298.0,344.83,343.15,342.56,343.5,29210,342.59,342.59,342.59,10000228.95,10000228.95,10000228.95,,3,-0.001453488372093
TQBR,2013-10-02,Polymetal,POLY,820,11677715.69,340.8,330.0,340.8,333.81,333.88,331.0,34976,333.88,333.88,333.88,11677715.69,11677715.69,11677715.69,,3,-0.0363901018922852
TQBR,2013-10-03,Polymetal,POLY,733,10646661.06,334.6,323.5,362.37,324.8,330.49,323.5,32215,330.49,330.49,330.49,10646661.06,10646661.06,10646661.06,,3,-0.0226586102719033
TQBR,2013-10-04,Polymetal,POLY,462,6125210.96,326.69,317.56,326.81,325.0,321.43,326.0,19056,321.43,321.43,321.43,6125210.96,6125210.96,6125210.96,,3,0.0077279752704791
TQBR,2013-10-07,Polymetal,POLY,378,4290823.54,321.45,317.59,327.0,319.97,319.88,317.95,13414,319.88,319.88,319.88,4290823.54,4290823.54,4290823.54,,3,-0.0246932515337423
TQBR,2013-10-08,Polymetal,POLY,662,8391775.45,318.0,311.0,321.0,320.0,315.75,320.0,26577,315.75,315.75,315.75,8391775.45,8391775.45,8391775.45,,3,0.0064475546469571
TQBR,2013-10-09,Polymetal,POLY,547,8542348.66,316.78,311.0,319.97,318.0,315.43,318.0,27082,315.43,315.43,315.43,8542348.66,8542348.66,8542348.66,,3,-0.00625
TQBR,2013-10-10,Polymetal,POLY,669,9479473.2,316.0,308.3,317.01,316.6,313.78,316.16,30211,313.78,313.78,313.78,9479473.2,9479473.2,9479473.2,,3,-0.0057861635220125
TQBR,2013-10-11,Polymetal,POLY,930,14581634.67,317.2,300.0,317.2,300.0,304.25,301.99,47926,304.25,304.25,304.25,14581634.67,14581634.67,14581634.67,,3,-0.0448190789473684
TQBR,2013-10-14,Polymetal,POLY,935,8117723.13,299.8,287.46,309.99,309.0,294.01,309.09,27610,294.01,294.01,294.01,8117723.13,8117723.13,8117723.13,,3,0.0235107122752407
TQBR,2013-10-15,Polymetal,POLY,1899,40225061.17,310.0,284.6,321.4,285.01,298.45,285.0,134778,298.45,298.45,298.45,40225061.17,40225061.17,40225061.17,,3,-0.0779384645248955
TQBR,2013-10-16,Polymetal,POLY,1330,33485539.62,262.0,262.0,287.99,274.94,275.72,274.94,121448,275.72,275.72,275.72,33478989.62,33478989.62,33478989.62,,3,-0.035298245614035
TQBR,2013-10-17,Polymetal,POLY,1540,25857817.46,274.0,269.38,293.7,288.99,280.66,285.0,92131,280.66,280.66,280.66,25857817.46,25857817.46,25857817.46,,3,0.036589801411217
TQBR,2013-10-18,Polymetal,POLY,1225,30402475.45,285.15,285.15,312.4,309.18,304.29,308.52,99914,304.29,304.29,304.29,30402475.45,30402475.45,30402475.45,,3,0.0825263157894736
TQBR,2013-10-21,Polymetal,POLY,862,15047560.23,309.0,307.01,319.89,307.77,312.44,307.8,48162,312.44,312.44,312.44,15047560.23,15047560.23,15047560.23,,3,-0.0023337222870477
TQBR,2013-10-22,Polymetal,POLY,639,10354677.44,309.9,301.6,314.0,313.89,308.36,314.0,33580,308.36,308.36,308.36,10354677.44,10354677.44,10354677.44,,3,0.0201429499675113
TQBR,2013-10-23,Polymetal,POLY,532,6700679.11,314.0,307.59,316.73,308.35,312.07,309.01,21472,312.07,312.07,312.07,6700679.11,6700679.11,6700679.11,,3,-0.0158917197452229
TQBR,2013-10-24,Polymetal,POLY,213,2233737.39,307.5,305.79,312.0,308.55,309.0,309.47,7229,309.0,309.0,309.0,2233737.39,2233737.39,2233737.39,,3,0.0014886249635935
TQBR,2013-10-25,Polymetal,POLY,517,7681784.98,324.79,307.1,324.79,312.92,316.84,312.92,24245,316.84,316.84,316.84,7678537.08,7678537.08,7678537.08,,3,0.0111480918990531
