BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-06,iQIWI,QIWI,14,112064.8,1559.2,1450.5,1574.2,1574.1,1535.1,1574.1,73,,1539.7,,0.0,500405.3,0.0,,3,0.0
TQBR,2014-06-09,iQIWI,QIWI,32,475603.3,1460.5,1460.5,1645.0,1600.0,1596.0,1600.0,298,,1590.7,,0.0,536077.4,0.0,,3,0.0164538466425259
TQBR,2014-06-10,iQIWI,QIWI,44,215783.2,1612.5,1475.9,1635.0,1529.8,1586.6,1529.8,136,,1595.9,,0.0,513882.8,0.0,,3,-0.043875
TQBR,2014-06-11,iQIWI,QIWI,26,505755.0,1565.0,1475.0,1565.0,1527.2,1505.2,1530.0,336,1505.0,1505.0,1505.0,504190.0,504190.0,504190.0,,3,0.0001307360439273
TQBR,2014-06-16,iQIWI,QIWI,24,852249.4,1523.0,1500.0,1533.0,1500.0,1521.9,1500.0,560,1521.9,1521.9,1521.9,852249.4,852249.4,852249.4,,3,-0.0196078431372549
TQBR,2014-06-17,iQIWI,QIWI,47,1027410.9,1439.9,1439.9,1470.0,1444.9,1441.0,1444.9,713,1441.0,1441.0,1441.0,1027410.9,1027410.9,1027410.9,,3,-0.0367333333333332
TQBR,2014-06-18,iQIWI,QIWI,60,1360003.7,1410.0,1380.1,1439.9,1395.0,1405.0,1395.0,968,1405.0,1405.0,1405.0,1360003.7,1360003.7,1360003.7,,3,-0.0345352619558447
TQBR,2014-06-19,iQIWI,QIWI,21,145442.9,1390.0,1375.7,1395.0,1380.0,1385.2,1380.0,105,,1389.5,,0.0,553027.6,0.0,,3,-0.010752688172043
TQBR,2014-06-20,iQIWI,QIWI,125,1762469.7,1370.0,1370.0,1443.0,1380.4,1401.0,1382.5,1258,1401.0,1401.0,1401.0,1762469.7,1762469.7,1762469.7,,3,0.0018115942028985
TQBR,2014-06-23,iQIWI,QIWI,43,1085650.1,1385.0,1344.0,1390.0,1345.0,1365.6,1345.0,795,1365.6,1365.6,1365.6,1085650.1,1085650.1,1085650.1,,3,-0.0271247739602169
