BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Распадская,RASP,1477,39210576.4,21.35,20.91,21.75,20.98,21.33,20.98,1838580,21.33,21.33,21.33,39210576.4,39210576.4,39210576.4,,3,0.0
TQBR,2014-06-10,Распадская,RASP,1146,17466966.9,20.99,20.71,21.2,20.93,20.94,20.93,834270,20.94,20.94,20.94,17439260.1,17439260.1,17439260.1,,3,-0.0023832221163012
TQBR,2014-06-11,Распадская,RASP,1315,23021238.7,20.94,20.61,21.17,20.83,20.83,20.83,1105020,20.83,20.83,20.83,23021238.7,23021238.7,23021238.7,,3,-0.0047778308647874
TQBR,2014-06-16,Распадская,RASP,1491,30978606.0,20.1,20.04,20.7,20.41,20.4,20.41,1518880,20.4,20.4,20.4,30938406.0,30938406.0,30938406.0,,3,-0.0201632261161785
TQBR,2014-06-17,Распадская,RASP,1504,33872696.1,20.32,20.1,20.85,20.15,20.48,20.15,1653990,20.48,20.48,20.48,33861520.1,33861520.1,33861520.1,,3,-0.0127388535031847
TQBR,2014-06-18,Распадская,RASP,1000,17133596.3,20.22,20.18,20.61,20.45,20.47,20.45,837000,20.47,20.47,20.47,17133394.1,17133394.1,17133394.1,,3,0.0148883374689826
TQBR,2014-06-19,Распадская,RASP,2345,54922547.0,20.66,20.28,21.29,20.3,20.83,20.3,2637120,20.83,20.83,20.83,54803752.0,54803752.0,54803752.0,,3,-0.0073349633251833
TQBR,2014-06-20,Распадская,RASP,1433,27804622.4,20.4,20.02,20.56,20.1,20.29,20.1,1370390,20.29,20.29,20.29,27804622.4,27804622.4,27804622.4,,3,-0.0098522167487684
TQBR,2014-06-23,Распадская,RASP,1807,40325135.7,20.11,19.7,20.37,19.93,20.01,19.93,2015530,20.01,20.01,20.01,40085223.4,40085223.4,40085223.4,,3,-0.0084577114427861
TQBR,2014-06-24,Распадская,RASP,1606,48728857.4,20.0,19.97,20.38,20.16,20.2,20.16,2412110,20.2,20.2,20.2,48713257.4,48713257.4,48713257.4,,3,0.0115403913697943
TQBR,2014-06-25,Распадская,RASP,1582,31219057.2,20.02,19.5,20.2,19.7,19.87,19.7,1571540,19.86,19.86,19.86,31118957.2,31118957.2,31118957.2,,3,-0.0228174603174603
TQBR,2014-06-26,Распадская,RASP,1373,26227003.5,19.8,19.63,20.0,19.65,19.78,19.65,1325680,19.78,19.78,19.78,26127013.5,26127013.5,26127013.5,,3,-0.0025380710659898
TQBR,2014-06-27,Распадская,RASP,1339,23434416.4,19.7,19.6,19.97,19.7,19.76,19.7,1185980,19.76,19.76,19.76,23414519.4,23414519.4,23414519.4,,3,0.0025445292620865
TQBR,2014-06-30,Распадская,RASP,909,15141502.9,19.79,19.6,19.85,19.62,19.7,19.62,768510,19.7,19.7,19.7,15141502.9,15141502.9,15141502.9,,3,-0.0040609137055836
TQBR,2014-07-01,Распадская,RASP,1779,31580308.2,19.7,19.26,19.72,19.4,19.52,19.4,1617900,19.52,19.52,19.52,31580308.2,31580308.2,31580308.2,,3,-0.0112130479102957
TQBR,2014-07-02,Распадская,RASP,3215,82949702.5,19.5,18.89,19.52,19.0,19.12,19.0,4338200,19.12,19.12,19.12,82943462.5,82943462.5,82943462.5,,3,-0.0206185567010308
TQBR,2014-07-03,Распадская,RASP,1962,29966303.6,19.42,19.0,19.42,19.02,19.13,19.02,1566260,19.13,19.13,19.13,29966109.4,29966109.4,29966109.4,,3,0.0010526315789473
TQBR,2014-07-04,Распадская,RASP,5935,133184275.6,19.13,19.05,20.58,19.8,19.95,19.8,6675640,19.95,19.95,19.95,133183510.4,133183510.4,133183510.4,,3,0.0410094637223975
TQBR,2014-07-07,Распадская,RASP,2004,48733214.6,19.8,19.71,20.42,20.13,20.13,20.13,2420580,20.13,20.13,20.13,48433046.6,48433046.6,48433046.6,,3,0.0166666666666665
TQBR,2014-07-08,Распадская,RASP,1711,40091758.4,20.0,19.74,20.33,19.78,19.99,19.78,2005690,19.99,19.99,19.99,40050958.4,40050958.4,40050958.4,,3,-0.0173869846000992
TQBR,2014-07-09,Распадская,RASP,1333,26982817.0,19.58,19.41,19.95,19.45,19.63,19.45,1374580,19.63,19.63,19.63,26959125.2,26959125.2,26959125.2,,3,-0.0166835187057634
