BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-02,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-03,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-04,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-07,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-08,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-09,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-10,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-11,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-14,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-15,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-16,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-17,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-18,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-21,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-22,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-23,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-24,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-25,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-28,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-29,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-30,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-31,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-01,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-04,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-05,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-06,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-07,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-08,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-11,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-12,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-08-13,РДБанк ао,RDRB,0,0,,,,156.0,,,0,,,,0,0,0.0,,3,0.0
