BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-12-26,РГС СК ао,RGSS,8,5403968350.0,4.225,4.2,4.325,4.325,4.255,4.325,1270028000,4.255,4.255,4.255,5404182725.0,5404182725.0,5404182725.0,,3,0.0
TQBR,2013-12-27,РГС СК ао,RGSS,11,633628510.0,4.31,4.31,4.65,4.4899,4.4899,4.65,141123000,4.4899,4.4899,4.4899,633628510.0,633628510.0,633628510.0,,3,0.0751445086705202
TQBR,2013-12-30,РГС СК ао,RGSS,0,0.0,,,,4.4899,,,0,4.4899,4.4917,4.4899,633628510.0,627547100.0,633628510.0,,3,0.0
TQBR,2014-01-06,РГС СК ао,RGSS,0,0.0,,,,4.4899,,,0,4.4899,4.4917,4.4899,633628510.0,627547100.0,633628510.0,,3,0.0
TQBR,2014-01-08,РГС СК ао,RGSS,4,125040.0,4.305,4.305,4.5,4.305,4.3117,4.305,29000,4.2785,4.5679,4.2785,6037721900.0,290225060.0,6037721900.0,,3,0.0
TQBR,2014-01-09,РГС СК ао,RGSS,0,0.0,,,,4.305,,,0,4.4899,4.5679,4.4899,633753550.0,290225060.0,633753550.0,,3,0.0
TQBR,2014-01-10,РГС СК ао,RGSS,0,0.0,,,,4.305,,,0,4.2785,4.5679,4.2785,6037936275.0,290225060.0,6037936275.0,,3,0.0
TQBR,2014-01-13,РГС СК ао,RGSS,0,0.0,,,,4.305,,,0,4.2785,4.5679,4.2785,6037936275.0,290225060.0,6037936275.0,,3,0.0
TQBR,2014-01-14,РГС СК ао,RGSS,0,0.0,,,,4.305,,,0,4.2785,4.5679,4.2785,6037936275.0,290225060.0,6037936275.0,,3,0.0
TQBR,2014-01-15,РГС СК ао,RGSS,0,0.0,,,,4.305,,,0,4.2785,4.5679,4.2785,6037721900.0,290225060.0,6037721900.0,,3,0.0
TQBR,2014-01-16,РГС СК ао,RGSS,0,0.0,,,,4.305,,,0,4.4899,4.5679,4.4899,633753550.0,290225060.0,633753550.0,,3,0.0
TQBR,2014-01-17,РГС СК ао,RGSS,1,4412.5,4.4125,4.4125,4.4125,4.4125,4.4125,4.4125,1000,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-20,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-21,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-22,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-23,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-24,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-27,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-28,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-29,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-30,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-01-31,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-03,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-04,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-05,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-06,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-07,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-10,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-11,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-12,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-13,РГС СК ао,RGSS,0,0.0,,,,4.4125,,,0,,4.6027,,0.0,130053732.5,0.0,,3,0.0
TQBR,2014-02-14,РГС СК ао,RGSS,2,153720000.0,4.392,4.392,4.392,4.392,4.392,4.392,35000000,,4.4659,,0.0,225767922.5,0.0,,3,0.0
TQBR,2014-02-17,РГС СК ао,RGSS,11,448084000.0,4.3925,4.3925,4.3935,4.3932,4.393,4.3932,102000000,4.393,4.393,4.393,448084000.0,448084000.0,448084000.0,,3,0.0002732240437158
TQBR,2014-02-18,РГС СК ао,RGSS,0,0.0,,,,4.3932,,,0,4.393,4.393,4.393,448084000.0,426121500.0,448084000.0,,3,0.0
TQBR,2014-02-19,РГС СК ао,RGSS,12,281056000.0,4.39,4.39,4.393,4.3924,4.3915,4.3915,64000000,4.3915,4.3915,4.3915,281056000.0,281056000.0,281056000.0,,3,0.0
TQBR,2014-02-20,РГС СК ао,RGSS,13,313930312.5,4.395,4.395,4.43,4.427,4.42,4.42,71025000,4.42,4.42,4.42,313930312.5,313930312.5,313930312.5,,3,0.0064898098599567
TQBR,2014-02-21,РГС СК ао,RGSS,12,287742585.0,4.42,4.415,4.5225,4.5225,4.425,4.5225,65026000,4.425,4.425,4.425,287742585.0,287742585.0,287742585.0,,3,0.0231900452488687
TQBR,2014-02-24,РГС СК ао,RGSS,1,115812.5,4.6325,4.6325,4.6325,4.6325,4.6325,4.6325,25000,4.4251,4.4268,4.4251,287858397.5,230418397.5,287858397.5,,3,0.0243228302929796
TQBR,2014-02-25,РГС СК ао,RGSS,14,221778875.0,4.6325,4.4285,4.6325,4.431,4.4311,4.431,50050000,4.4311,4.4311,4.4311,221778875.0,221778875.0,221778875.0,,3,-0.043497031840259
TQBR,2014-02-26,РГС СК ао,RGSS,16,376142085.5,4.5225,4.421,4.5225,4.424,4.424,4.424,85023000,4.424,4.424,4.424,376142085.5,376142085.5,376142085.5,,3,-0.0015797788309635
TQBR,2014-02-27,РГС СК ао,RGSS,0,0.0,,,,4.424,,,0,4.424,4.4237,4.424,376142085.5,322928038.0,376142085.5,,3,0.0
TQBR,2014-02-28,РГС СК ао,RGSS,0,0.0,,,,4.424,,,0,4.424,4.4237,4.424,376142085.5,322928038.0,376142085.5,,3,0.0
TQBR,2014-03-03,РГС СК ао,RGSS,11,296255700.0,4.431,4.2,4.431,4.2,4.4217,4.2,67001000,4.4217,4.4217,4.4217,296255700.0,296255700.0,296255700.0,,3,0.0
TQBR,2014-03-04,РГС СК ао,RGSS,4,301739000.0,4.422,4.422,4.4447,4.4373,4.4373,4.4447,68000000,4.4296,4.4294,4.4296,597994700.0,411941200.0,597994700.0,,3,0.0582619047619047
TQBR,2014-03-05,РГС СК ао,RGSS,7,298605600.0,4.4566,4.4566,4.457,4.4569,4.4568,4.457,67000000,4.447,4.449,4.447,600344600.0,556124600.0,600344600.0,,3,0.0027673408778994
TQBR,2014-03-06,РГС СК ао,RGSS,10,289783000.0,4.4572,4.4572,4.4584,4.4583,4.4582,4.4582,65000000,4.4582,4.4582,4.4582,289783000.0,289783000.0,289783000.0,,3,0.0002692393986986
TQBR,2014-03-07,РГС СК ао,RGSS,6,294314800.0,4.4591,4.4585,4.4595,4.4593,4.4593,4.4585,66000000,4.4588,4.4589,4.4588,584097800.0,481564200.0,584097800.0,,3,6.729173208922638e-05
TQBR,2014-03-11,РГС СК ао,RGSS,6,289637400.0,4.4564,4.4555,4.4565,4.4555,4.456,4.4555,65000000,4.4577,4.4575,4.4577,583952200.0,525982900.0,583952200.0,,3,-0.0006728720421666
TQBR,2014-03-12,РГС СК ао,RGSS,5,267396000.0,4.457,4.4565,4.457,4.4566,4.4566,4.4565,60000000,4.4563,4.4562,4.4563,557033400.0,476818200.0,557033400.0,,3,0.0002244417012681
TQBR,2014-03-13,РГС СК ао,RGSS,7,289674825.0,4.4125,4.4125,4.4565,4.4564,4.4564,4.4563,65002000,4.4565,4.4565,4.4565,557070825.0,512501825.0,557070825.0,,3,-4.487826769896153e-05
TQBR,2014-03-14,РГС СК ао,RGSS,11,298966471.5,4.4715,4.396,4.4715,4.3964,4.3965,4.3965,68001000,4.3965,4.3965,4.3965,298966471.5,298966471.5,298966471.5,,3,-0.0134192042726028
TQBR,2014-03-17,РГС СК ао,RGSS,7,268168200.0,4.3965,4.3959,4.3965,4.3961,4.3962,4.3962,61000000,4.3964,4.3963,4.3964,567134671.5,386871200.0,567134671.5,,3,-6.823609689509857e-05
TQBR,2014-03-18,РГС СК ао,RGSS,11,263736000.0,4.3954,4.3952,4.396,4.3958,4.3956,4.3956,60000000,4.3956,4.3956,4.3956,263736000.0,263736000.0,263736000.0,,3,-0.0001364815067559
TQBR,2014-03-19,РГС СК ао,RGSS,12,285681500.0,4.395,4.395,4.3952,4.3951,4.3951,4.3951,65000000,4.3951,4.3951,4.3951,285681500.0,285681500.0,285681500.0,,3,-0.00011375011375
TQBR,2014-03-20,РГС СК ао,RGSS,10,294545400.0,4.3955,4.3955,4.3965,4.3963,4.3962,4.3962,67000000,4.3962,4.3962,4.3962,294545400.0,294545400.0,294545400.0,,3,0.000250278719483
TQBR,2014-03-21,РГС СК ао,RGSS,7,285889300.0,4.3986,4.392,4.3986,4.3983,4.3983,4.392,65000000,4.3972,4.3977,4.3972,580434700.0,408985500.0,580434700.0,,3,-0.0009553705472908
TQBR,2014-03-24,РГС СК ао,RGSS,13,264817156.5,4.3725,4.3725,4.408,4.4033,4.399,4.408,60199000,4.399,4.399,4.399,264817156.5,264817156.5,264817156.5,,3,0.0036429872495446
TQBR,2014-03-25,РГС СК ао,RGSS,1,35772.0,4.4715,4.4715,4.4715,4.4715,4.4715,4.4715,8000,4.399,4.4003,4.399,264852928.5,220920556.0,264852928.5,,3,0.0144056261343011
TQBR,2014-03-26,РГС СК ао,RGSS,0,0.0,,,,4.4715,,,0,4.399,4.4003,4.399,264852928.5,220920556.0,264852928.5,,3,0.0
TQBR,2014-03-27,РГС СК ао,RGSS,0,0.0,,,,4.4715,,,0,4.3987,4.4003,4.3987,550742228.5,220920556.0,550742228.5,,3,0.0
