BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Русолово,ROLO,0,0.0,,,,0.8597,,,0,,0.9412,,0.0,523314.3,0.0,,3,0.0
TQBR,2014-06-10,Русолово,ROLO,1,833.3,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,1000,,0.941,,0.0,524147.6,0.0,,3,0.0
TQBR,2014-06-11,Русолово,ROLO,5,3663.2,0.7301,0.7301,0.737,0.737,0.7326,0.737,5000,,0.9392,,0.0,527810.8,0.0,,3,-0.1155646225849034
TQBR,2014-06-16,Русолово,ROLO,44,2470246.8,0.8299,0.7601,1.0342,0.7857,0.9582,0.7809,2578000,0.9582,0.9582,0.9582,2470246.8,2470246.8,2470246.8,,3,0.0595658073270014
TQBR,2014-06-17,Русолово,ROLO,4,3804.1,0.7609,0.7607,0.7609,0.7608,0.7608,0.7607,5000,0.9578,0.958,0.9578,2474050.9,2439032.4,2474050.9,,3,-0.0258675886797285
TQBR,2014-06-18,Русолово,ROLO,6,4644.1,0.7939,0.77,0.7939,0.77,0.774,0.77,6000,,0.9576,,0.0,2443676.5,0.0,,3,0.0122255817010647
TQBR,2014-06-19,Русолово,ROLO,2,4000.0,0.8,0.8,0.8,0.8,0.8,0.8,5000,,0.9572,,0.0,2447676.5,0.0,,3,0.0389610389610389
TQBR,2014-06-20,Русолово,ROLO,0,0.0,,,,0.8,,,0,0.9571,0.9572,0.9571,2482695.0,2447676.5,2482695.0,,3,0.0
TQBR,2014-06-23,Русолово,ROLO,0,0.0,,,,0.8,,,0,,0.9572,,0.0,2447676.5,0.0,,3,0.0
TQBR,2014-06-24,Русолово,ROLO,8,17539.7,0.733,0.7301,0.733,0.7308,0.7308,0.7301,24000,,0.9551,,0.0,2465216.2,0.0,,3,0.0
TQBR,2014-06-25,Русолово,ROLO,13,16638.0,0.78,0.73,0.84,0.8134,0.7923,0.84,21000,,0.9538,,0.0,2481854.2,0.0,,3,0.1505273250239693
TQBR,2014-06-26,Русолово,ROLO,0,0.0,,,,0.8134,,,0,,0.9538,,0.0,2481854.2,0.0,,3,0.0
TQBR,2014-06-27,Русолово,ROLO,15,34417.0,0.7561,0.7555,0.777,0.77,0.7648,0.77,45000,,0.9506,,0.0,2516271.2,0.0,,3,0.0
TQBR,2014-06-30,Русолово,ROLO,0,0.0,,,,0.77,,,0,,0.9506,,0.0,2516271.2,0.0,,3,0.0
TQBR,2014-07-01,Русолово,ROLO,14,25237.2,0.8296,0.756,0.9999,0.756,0.9347,0.756,27000,,0.9505,,0.0,2541508.4,0.0,,3,0.0
TQBR,2014-07-02,Русолово,ROLO,10,27664.9,0.92,0.7641,0.9777,0.8621,0.954,0.7641,29000,,0.9505,,0.0,2569173.3,0.0,,3,0.0107142857142857
TQBR,2014-07-03,Русолово,ROLO,0,0.0,,,,0.8621,,,0,,0.9505,,0.0,2569173.3,0.0,,3,0.0
TQBR,2014-07-04,Русолово,ROLO,0,0.0,,,,0.8621,,,0,,0.9505,,0.0,2569173.3,0.0,,3,0.0
TQBR,2014-07-07,Русолово,ROLO,0,0.0,,,,0.8621,,,0,,0.9505,,0.0,2569173.3,0.0,,3,0.0
TQBR,2014-07-08,Русолово,ROLO,3,9669.9,0.94,0.94,0.97,0.8621,0.967,0.97,10000,,0.9506,,0.0,2578843.2,0.0,,3,0.0
TQBR,2014-07-09,Русолово,ROLO,0,0.0,,,,0.8621,,,0,,0.9506,,0.0,2578843.2,0.0,,3,0.0
