BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Росбанк ао,ROSB,7,3449.5,38.88,37.75,38.88,38.44,38.33,38.44,90,,37.92,,0.0,520673.6,0.0,,3,0.0
TQBR,2014-06-10,Росбанк ао,ROSB,37,97145.0,37.75,37.5,38.43,38.42,38.1,38.42,2550,,37.94,,0.0,519778.6,0.0,,3,-0.0005202913631632
TQBR,2014-06-11,Росбанк ао,ROSB,10,47527.8,38.46,38.0,38.47,38.0,38.02,38.0,1250,,37.94,,0.0,510306.4,0.0,,3,-0.0109318063508589
TQBR,2014-06-16,Росбанк ао,ROSB,2,1519.2,37.98,37.98,37.98,37.98,37.98,37.98,40,,37.94,,0.0,511825.6,0.0,,3,-0.0005263157894737
TQBR,2014-06-17,Росбанк ао,ROSB,21,276079.7,38.46,37.26,38.46,37.99,37.98,37.99,7270,,37.94,,0.0,527321.5,0.0,,3,0.0002632964718274
TQBR,2014-06-18,Росбанк ао,ROSB,33,779144.7,37.99,37.49,38.0,37.49,37.53,37.49,20760,37.53,37.53,37.53,779144.7,779144.7,779144.7,,3,-0.0131613582521716
TQBR,2014-06-19,Росбанк ао,ROSB,8,17618.9,37.35,37.35,37.5,37.49,37.49,37.49,470,37.53,37.5,37.53,796763.6,613867.3,796763.6,,3,0.0
TQBR,2014-06-20,Росбанк ао,ROSB,2,753.4,37.71,37.63,37.71,37.63,37.67,37.63,20,,37.5,,0.0,614620.7,0.0,,3,0.0037343291544411
TQBR,2014-06-23,Росбанк ао,ROSB,24,786740.9,37.29,37.21,37.29,37.25,37.25,37.25,21120,37.25,37.25,37.25,786740.9,786740.9,786740.9,,3,-0.0100983258038799
TQBR,2014-06-24,Росбанк ао,ROSB,38,743887.6,37.23,37.11,37.23,37.2,37.19,37.2,20000,37.19,37.19,37.19,743887.6,743887.6,743887.6,,3,-0.0013422818791945
TQBR,2014-06-25,Росбанк ао,ROSB,47,1326344.4,37.49,36.98,37.5,37.0,37.01,37.0,35840,37.01,37.01,37.01,1326344.4,1326344.4,1326344.4,,3,-0.0053763440860215
TQBR,2014-06-26,Росбанк ао,ROSB,14,32108.2,37.02,36.76,37.02,36.86,36.91,36.76,870,,37.0,,0.0,720394.2,0.0,,3,-0.0064864864864865
TQBR,2014-06-27,Росбанк ао,ROSB,1,372.1,37.21,37.21,37.21,37.21,37.21,37.21,10,,37.0,,0.0,720766.3,0.0,,3,0.0122415669205659
TQBR,2014-06-30,Росбанк ао,ROSB,7,29953.5,36.97,36.81,36.99,36.98,36.98,36.98,810,,37.0,,0.0,750719.8,0.0,,3,-0.0061811341037356
TQBR,2014-07-01,Росбанк ао,ROSB,36,89598.7,36.82,36.05,37.0,36.76,36.72,36.88,2440,,36.95,,0.0,540522.5,0.0,,3,-0.0027041644131961
TQBR,2014-07-02,Росбанк ао,ROSB,71,362165.2,37.0,36.05,38.24,36.55,36.55,36.55,9910,,36.61,,0.0,500880.4,0.0,,3,-0.008947939262473
TQBR,2014-07-03,Росбанк ао,ROSB,14,23372.2,37.16,36.08,37.17,36.78,36.52,36.78,640,,36.6,,0.0,501028.6,0.0,,3,0.0062927496580028
TQBR,2014-07-04,Росбанк ао,ROSB,55,107817.2,37.04,36.2,37.18,36.59,36.55,36.59,2950,,36.55,,0.0,500000.0,0.0,,3,-0.0051658510059814
TQBR,2014-07-07,Росбанк ао,ROSB,19,59062.6,36.49,36.37,36.99,36.65,36.46,36.65,1620,,36.48,,0.0,500521.1,0.0,,3,0.001639792292976
TQBR,2014-07-08,Росбанк ао,ROSB,12,16363.1,36.46,36.24,36.76,36.35,36.36,36.33,450,,36.47,,0.0,501505.6,0.0,,3,-0.008731241473397
TQBR,2014-07-09,Росбанк ао,ROSB,28,133603.7,36.29,35.93,36.29,35.95,36.01,35.94,3710,,36.37,,0.0,627802.3,0.0,,3,-0.0107349298100743
TQBR,2014-07-10,Росбанк ао,ROSB,28,46081.9,36.18,35.31,36.18,35.85,35.72,35.85,1290,,36.26,,0.0,500071.6,0.0,,3,-0.0025041736227044
TQBR,2014-07-11,Росбанк ао,ROSB,9,5753.8,36.7,35.7,36.7,35.93,35.96,35.93,160,,36.26,,0.0,505825.4,0.0,,3,0.0022315202231519
TQBR,2014-07-14,Росбанк ао,ROSB,14,34132.0,35.78,35.76,36.0,35.95,35.93,36.0,950,,36.22,,0.0,510736.3,0.0,,3,0.0019482326746451
TQBR,2014-07-15,Росбанк ао,ROSB,3,2156.7,35.89,35.89,36.0,36.0,35.95,36.0,60,,36.22,,0.0,512893.0,0.0,,3,0.0
TQBR,2014-07-16,Росбанк ао,ROSB,21,24945.1,35.99,35.51,35.99,35.61,35.64,35.61,700,,36.18,,0.0,501039.2,0.0,,3,-0.0108333333333333
TQBR,2014-07-17,Росбанк ао,ROSB,8,15260.2,35.96,35.3,35.96,35.47,35.49,35.47,430,,36.15,,0.0,502902.2,0.0,,3,-0.0039314799213704
TQBR,2014-07-18,Росбанк ао,ROSB,11,18692.2,35.22,35.22,35.64,35.25,35.27,35.23,530,,36.12,,0.0,501756.2,0.0,,3,-0.0067662813645334
TQBR,2014-07-21,Росбанк ао,ROSB,6,8957.2,35.86,35.18,35.99,35.45,35.83,35.45,250,,36.12,,0.0,500213.4,0.0,,3,0.0062446778313938
TQBR,2014-07-22,Росбанк ао,ROSB,8,15348.9,35.44,35.44,35.93,35.82,35.7,35.82,430,,36.09,,0.0,501964.7,0.0,,3,0.0104372355430182
TQBR,2014-07-23,Росбанк ао,ROSB,28,148742.7,35.44,34.9,35.91,34.96,35.08,34.9,4240,,35.67,,0.0,507178.6,0.0,,3,-0.0256839754327192
TQBR,2014-07-24,Росбанк ао,ROSB,16,17797.8,35.02,33.0,35.81,34.34,34.23,34.34,520,,35.62,,0.0,524976.4,0.0,,3,-0.0160458452722061
