BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,Ростел -ап,RTKMP,0,0.0,,,,73.34,,,0,74.06,74.06,74.06,11560520.0,11560520.0,11560520.0,,3,0.0
TQBR,2013-07-09,Ростел -ап,RTKMP,0,0.0,,,,75.23,,,0,74.91,74.91,74.91,23620607.0,23620607.0,23620607.0,,3,0.0
TQBR,2013-07-10,Ростел -ап,RTKMP,0,0.0,,,,74.56,,,0,74.84,74.84,74.84,2776664.0,2776664.0,2776664.0,,3,0.0
TQBR,2013-07-11,Ростел -ап,RTKMP,0,0.0,,,,75.18,,,0,75.23,75.23,75.23,5664985.0,5664985.0,5664985.0,,3,0.0
TQBR,2013-07-12,Ростел -ап,RTKMP,0,0.0,,,,77.24,,,0,75.91,75.91,75.91,58941845.0,58941845.0,58941845.0,,3,0.0
TQBR,2013-07-15,Ростел -ап,RTKMP,0,0.0,,,,76.69,,,0,77.58,77.58,77.58,13809638.0,13809638.0,13809638.0,,3,0.0
TQBR,2013-07-16,Ростел -ап,RTKMP,0,0.0,,,,78.0,,,0,77.87,77.87,77.87,48981957.0,48981957.0,48981957.0,,3,0.0
TQBR,2013-07-17,Ростел -ап,RTKMP,0,0.0,,,,79.51,,,0,78.85,78.85,78.85,43011994.0,43011994.0,43011994.0,,3,0.0
TQBR,2013-07-18,Ростел -ап,RTKMP,0,0.0,,,,78.18,,,0,78.76,78.76,78.76,22313470.0,22313470.0,22313470.0,,3,0.0
TQBR,2013-07-19,Ростел -ап,RTKMP,0,0.0,,,,77.53,,,0,77.84,77.84,77.84,41700464.0,41700464.0,41700464.0,,3,0.0
TQBR,2013-07-22,Ростел -ап,RTKMP,0,0.0,,,,77.31,,,0,77.27,77.27,77.27,12363625.0,12363625.0,12363625.0,,3,0.0
TQBR,2013-07-23,Ростел -ап,RTKMP,0,0.0,,,,78.39,,,0,78.3,78.3,78.3,10664345.0,10664345.0,10664345.0,,3,0.0
TQBR,2013-07-24,Ростел -ап,RTKMP,0,0.0,,,,78.63,,,0,78.69,78.69,78.69,13046704.0,13046704.0,13046704.0,,3,0.0
TQBR,2013-07-25,Ростел -ап,RTKMP,0,0.0,,,,79.04,,,0,78.81,78.81,78.81,9125992.0,9125992.0,9125992.0,,3,0.0
TQBR,2013-07-26,Ростел -ап,RTKMP,0,0.0,,,,78.88,,,0,78.52,78.52,78.52,10843771.0,10843771.0,10843771.0,,3,0.0
TQBR,2013-07-29,Ростел -ап,RTKMP,0,0.0,,,,80.82,,,0,79.84,79.84,79.84,35847647.0,35847647.0,35847647.0,,3,0.0
TQBR,2013-07-30,Ростел -ап,RTKMP,0,0.0,,,,79.75,,,0,80.9,80.9,80.9,22263965.0,22263965.0,22263965.0,,3,0.0
TQBR,2013-07-31,Ростел -ап,RTKMP,0,0.0,,,,77.81,,,0,78.18,78.18,78.18,46908262.0,46908262.0,46908262.0,,3,0.0
TQBR,2013-08-01,Ростел -ап,RTKMP,3,31100.0,78.0,77.5,78.0,77.46,77.75,77.5,400,77.94,77.94,77.94,52775870.0,52775870.0,52775870.0,,3,0.0
TQBR,2013-08-02,Ростел -ап,RTKMP,0,0.0,,,,77.7,,,0,77.26,77.26,77.26,36065700.0,36065700.0,36065700.0,,3,0.0
TQBR,2013-08-05,Ростел -ап,RTKMP,0,0.0,,,,78.04,,,0,78.05,78.05,78.05,6829214.0,6829214.0,6829214.0,,3,0.0
TQBR,2013-08-06,Ростел -ап,RTKMP,0,0.0,,,,78.87,,,0,78.84,78.84,78.84,8932929.0,8932929.0,8932929.0,,3,0.0
TQBR,2013-08-07,Ростел -ап,RTKMP,0,0.0,,,,78.87,,,0,78.62,78.62,78.62,8208142.0,8208142.0,8208142.0,,3,0.0
TQBR,2013-08-08,Ростел -ап,RTKMP,0,0.0,,,,77.75,,,0,77.83,77.83,77.83,6631498.0,6631498.0,6631498.0,,3,0.0
TQBR,2013-08-09,Ростел -ап,RTKMP,0,0.0,,,,77.79,,,0,77.7,77.7,77.7,4770984.0,4770984.0,4770984.0,,3,0.0
TQBR,2013-08-12,Ростел -ап,RTKMP,0,0.0,,,,76.79,,,0,76.34,76.34,76.34,33901915.0,33901915.0,33901915.0,,3,0.0
TQBR,2013-08-13,Ростел -ап,RTKMP,0,0.0,,,,76.97,,,0,77.43,77.43,77.43,18737552.0,18737552.0,18737552.0,,3,0.0
TQBR,2013-08-14,Ростел -ап,RTKMP,0,0.0,,,,77.95,,,0,77.7,77.7,77.7,5369305.0,5369305.0,5369305.0,,3,0.0
TQBR,2013-08-15,Ростел -ап,RTKMP,0,0.0,,,,77.31,,,0,77.38,77.38,77.38,6461030.0,6461030.0,6461030.0,,3,0.0
TQBR,2013-08-16,Ростел -ап,RTKMP,0,0.0,,,,76.75,,,0,77.96,77.96,77.96,19358478.0,19358478.0,19358478.0,,3,0.0
TQBR,2013-08-19,Ростел -ап,RTKMP,0,0.0,,,,76.16,,,0,76.21,76.21,76.21,11522938.0,11522938.0,11522938.0,,3,0.0
TQBR,2013-08-20,Ростел -ап,RTKMP,0,0.0,,,,75.98,,,0,75.98,75.98,75.98,8038695.0,8038695.0,8038695.0,,3,0.0
TQBR,2013-08-21,Ростел -ап,RTKMP,0,0.0,,,,75.86,,,0,75.81,75.81,75.81,7603507.0,7603507.0,7603507.0,,3,0.0
TQBR,2013-08-22,Ростел -ап,RTKMP,0,0.0,,,,77.47,,,0,76.13,76.13,76.13,12401855.0,12401855.0,12401855.0,,3,0.0
TQBR,2013-08-23,Ростел -ап,RTKMP,0,0.0,,,,77.48,,,0,77.27,77.27,77.27,4999622.0,4999622.0,4999622.0,,3,0.0
TQBR,2013-08-26,Ростел -ап,RTKMP,0,0.0,,,,76.41,,,0,76.66,76.66,76.66,6048669.0,6048669.0,6048669.0,,3,0.0
TQBR,2013-08-27,Ростел -ап,RTKMP,0,0.0,,,,75.5,,,0,75.84,75.84,75.84,11399060.0,11399060.0,11399060.0,,3,0.0
TQBR,2013-08-28,Ростел -ап,RTKMP,1,7540.0,75.4,75.4,75.4,74.44,75.4,75.4,100,74.5,74.5,74.5,37732808.0,37732808.0,37732808.0,,3,0.0
TQBR,2013-08-29,Ростел -ап,RTKMP,1,7450.0,74.5,74.5,74.5,73.99,74.5,74.5,100,75.3,75.3,75.3,15511186.0,15511186.0,15511186.0,,3,-0.0119363395225464
TQBR,2013-08-30,Ростел -ап,RTKMP,0,0.0,,,,72.27,,,0,72.85,72.85,72.85,27545437.0,27545437.0,27545437.0,,3,0.0
TQBR,2013-09-02,Ростел -ап,RTKMP,479,14219526.0,76.18,71.11,76.18,71.72,71.67,71.97,198400,71.66,71.66,71.66,14189054.0,14189054.0,14189054.0,,3,0.0
TQBR,2013-09-03,Ростел -ап,RTKMP,530,16028408.0,72.4,72.01,73.7,72.6,72.86,72.51,220000,72.86,72.86,72.86,16028408.0,16028408.0,16028408.0,,3,0.0075031263026261
TQBR,2013-09-04,Ростел -ап,RTKMP,350,24593260.0,72.7,71.98,73.52,73.0,72.25,73.25,340400,72.25,72.25,72.25,24593260.0,24593260.0,24593260.0,,3,0.0102054888980829
TQBR,2013-09-05,Ростел -ап,RTKMP,1035,42400344.0,73.25,71.72,73.98,72.68,72.32,72.85,586300,72.32,72.32,72.32,42400344.0,42400344.0,42400344.0,,3,-0.0054607508532423
TQBR,2013-09-06,Ростел -ап,RTKMP,565,47590977.0,72.9,72.3,73.22,72.84,72.8,72.99,653700,72.8,72.8,72.8,47590977.0,47590977.0,47590977.0,,3,0.0019217570350034
TQBR,2013-09-09,Ростел -ап,RTKMP,914,48065113.0,72.85,72.34,73.65,73.2,73.26,73.04,656100,73.26,73.26,73.26,48050543.0,48050543.0,48050543.0,,3,0.0006850253459379
TQBR,2013-09-10,Ростел -ап,RTKMP,841,47079923.0,73.38,73.25,74.74,73.48,74.14,73.39,635000,74.14,74.14,74.14,47079923.0,47079923.0,47079923.0,,3,0.0047918948521357
TQBR,2013-09-11,Ростел -ап,RTKMP,570,49938240.0,74.05,72.9,74.05,73.5,73.41,73.4,680300,73.41,73.41,73.41,49923430.0,49923430.0,49923430.0,,3,0.0001362583458237
TQBR,2013-09-12,Ростел -ап,RTKMP,969,49481615.0,73.59,72.34,74.5,72.55,73.73,72.49,671100,73.73,73.73,73.73,49481615.0,49481615.0,49481615.0,,3,-0.0123978201634878
TQBR,2013-09-13,Ростел -ап,RTKMP,619,26677535.0,72.6,71.82,73.2,72.15,72.45,72.03,368200,72.45,72.45,72.45,26677535.0,26677535.0,26677535.0,,3,-0.0063457028555661
TQBR,2013-09-16,Ростел -ап,RTKMP,1381,40911821.0,72.5,71.83,72.86,72.09,72.31,71.97,565800,72.31,72.31,72.31,40832071.0,40832071.0,40832071.0,,3,-0.0008329862557268
TQBR,2013-09-17,Ростел -ап,RTKMP,372,36277905.0,71.96,71.86,72.47,72.05,72.12,72.05,503000,72.12,72.12,72.12,36277905.0,36277905.0,36277905.0,,3,0.0011115742670556
TQBR,2013-09-18,Ростел -ап,RTKMP,444,23651136.0,72.04,71.56,72.23,71.65,71.95,71.67,328700,71.95,71.95,71.95,23651136.0,23651136.0,23651136.0,,3,-0.0052741151977792
TQBR,2013-09-19,Ростел -ап,RTKMP,1019,56882685.0,72.2,71.33,72.24,71.95,71.89,71.95,791300,71.89,71.89,71.89,56882685.0,56882685.0,56882685.0,,3,0.0039067950327891
TQBR,2013-09-20,Ростел -ап,RTKMP,723,33822245.0,71.94,70.59,72.14,71.46,71.64,71.47,472100,71.64,71.64,71.64,33822245.0,33822245.0,33822245.0,,3,-0.0066712995135511
TQBR,2013-09-23,Ростел -ап,RTKMP,557,27849246.0,71.29,70.31,71.68,70.5,70.95,70.49,392500,70.95,70.95,70.95,27849246.0,27849246.0,27849246.0,,3,-0.0137120470127326
TQBR,2013-09-24,Ростел -ап,RTKMP,630,40883314.0,70.15,69.4,70.84,70.35,70.13,70.35,583000,70.13,70.13,70.13,40728984.0,40728984.0,40728984.0,,3,-0.0019860973187686
TQBR,2013-09-25,Ростел -ап,RTKMP,582,31136646.0,70.54,70.36,71.59,70.85,70.94,71.16,438900,70.94,70.94,70.94,31136646.0,31136646.0,31136646.0,,3,0.0115138592750533
TQBR,2013-09-26,Ростел -ап,RTKMP,494,34619781.0,70.57,70.57,72.0,71.6,71.86,71.5,481800,71.86,71.86,71.86,34612724.0,34612724.0,34612724.0,,3,0.0047779651489601
TQBR,2013-09-27,Ростел -ап,RTKMP,393,18745211.0,71.8,71.14,71.84,71.46,71.52,71.31,262100,71.52,71.52,71.52,18745211.0,18745211.0,18745211.0,,3,-0.0026573426573426
TQBR,2013-09-30,Ростел -ап,RTKMP,219,7460554.0,71.24,70.81,71.52,70.94,71.26,70.98,104700,71.26,71.26,71.26,7460554.0,7460554.0,7460554.0,,3,-0.0046276819520403
TQBR,2013-10-01,Ростел -ап,RTKMP,231,7896844.0,71.23,70.2,71.26,71.09,70.95,71.1,111300,70.95,70.95,70.95,7896844.0,7896844.0,7896844.0,,3,0.0016906170752323
TQBR,2013-10-02,Ростел -ап,RTKMP,988,60073097.0,71.19,70.64,71.62,70.79,71.11,70.66,844800,71.11,71.11,71.11,60073097.0,60073097.0,60073097.0,,3,-0.0061884669479605
TQBR,2013-10-03,Ростел -ап,RTKMP,458,24255948.0,70.98,70.29,71.29,70.59,70.63,70.58,343400,70.63,70.63,70.63,24255948.0,24255948.0,24255948.0,,3,-0.0011321822813472
TQBR,2013-10-04,Ростел -ап,RTKMP,302,31119024.0,70.58,70.3,71.07,70.99,70.73,71.0,440000,70.73,70.73,70.73,31119024.0,31119024.0,31119024.0,,3,0.0059506942476622
TQBR,2013-10-07,Ростел -ап,RTKMP,255,43273287.0,71.0,70.94,71.34,71.15,71.08,71.1,608800,71.08,71.08,71.08,43251987.0,43251987.0,43251987.0,,3,0.0014084507042252
TQBR,2013-10-08,Ростел -ап,RTKMP,1112,331139435.0,71.27,71.27,72.25,71.85,72.05,71.84,4595800,72.05,72.05,72.05,331139435.0,331139435.0,331139435.0,,3,0.0104078762306611
TQBR,2013-10-09,Ростел -ап,RTKMP,421,63974300.0,71.98,71.69,72.14,71.88,71.97,71.85,888900,71.97,71.97,71.97,63974300.0,63974300.0,63974300.0,,3,0.0001391982182626
TQBR,2013-10-10,Ростел -ап,RTKMP,335,168000046.0,71.9,71.77,72.33,72.33,72.19,72.33,2327200,72.19,72.19,72.19,168000046.0,168000046.0,168000046.0,,3,0.0066805845511482
TQBR,2013-10-11,Ростел -ап,RTKMP,301,46265343.0,72.4,71.8,72.99,72.15,72.43,72.14,638800,72.43,72.43,72.43,46243623.0,46243623.0,46243623.0,,3,-0.0026268491635558
TQBR,2013-10-14,Ростел -ап,RTKMP,163,28511700.0,72.65,71.8,72.65,71.99,72.04,72.0,395800,72.04,72.04,72.04,28497170.0,28497170.0,28497170.0,,3,-0.0019406709176601
TQBR,2013-10-15,Ростел -ап,RTKMP,420,47810314.0,72.05,71.67,72.13,71.98,71.95,71.99,664500,71.95,71.95,71.95,47752674.0,47752674.0,47752674.0,,3,-0.0001388888888889
TQBR,2013-10-16,Ростел -ап,RTKMP,302,72545877.0,71.67,71.62,72.15,72.0,72.08,72.08,1006500,72.08,72.08,72.08,72545877.0,72545877.0,72545877.0,,3,0.0012501736352271
TQBR,2013-10-17,Ростел -ап,RTKMP,191,12480336.0,72.15,71.78,72.15,71.91,71.93,71.91,173500,71.93,71.93,71.93,12480336.0,12480336.0,12480336.0,,3,-0.0023584905660377
TQBR,2013-10-18,Ростел -ап,RTKMP,361,34986343.0,72.04,71.66,72.24,71.9,72.06,71.9,485500,72.06,72.06,72.06,34986343.0,34986343.0,34986343.0,,3,-0.0001390627172853
TQBR,2013-10-21,Ростел -ап,RTKMP,351,53736878.0,72.04,71.83,72.15,72.06,72.01,72.06,746200,72.01,72.01,72.01,53736878.0,53736878.0,53736878.0,,3,0.0022253129346313
TQBR,2013-10-22,Ростел -ап,RTKMP,175,16791619.0,72.14,71.82,72.14,71.95,71.91,71.94,233500,71.91,71.91,71.91,16791619.0,16791619.0,16791619.0,,3,-0.0016652789342215
TQBR,2013-10-23,Ростел -ап,RTKMP,265,33372040.0,72.0,71.72,72.06,71.94,71.98,71.94,463600,71.98,71.98,71.98,33372040.0,33372040.0,33372040.0,,3,0.0
TQBR,2013-10-24,Ростел -ап,RTKMP,706,201379914.0,71.82,71.79,72.48,72.2,72.29,72.15,2785800,72.29,72.29,72.29,201379914.0,201379914.0,201379914.0,,3,0.0029190992493745
TQBR,2013-10-25,Ростел -ап,RTKMP,773,272745827.0,72.26,72.26,73.05,73.05,72.72,73.04,3750700,72.72,72.72,72.72,272745827.0,272745827.0,272745827.0,,3,0.0123354123354123
TQBR,2013-10-28,Ростел -ап,RTKMP,586,47883299.0,73.1,72.12,73.55,72.12,72.76,72.51,658100,72.76,72.76,72.76,47883299.0,47883299.0,47883299.0,,3,-0.0072562979189485
TQBR,2013-10-29,Ростел -ап,RTKMP,451,90185694.0,72.49,72.04,72.5,72.33,72.37,72.42,1246200,72.37,72.37,72.37,90156698.0,90156698.0,90156698.0,,3,-0.0012412081092263
TQBR,2013-10-30,Ростел -ап,RTKMP,471,229262957.0,72.47,72.1,72.65,72.6,72.47,72.6,3163600,72.47,72.47,72.47,229262957.0,229262957.0,229262957.0,,3,0.0024855012427505
