BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,Ростел -ао,RTKM,0,0.0,,,,102.73,,,0,102.57,102.57,102.57,329510455.6,329510455.6,329510455.6,,3,0.0
TQBR,2013-07-09,Ростел -ао,RTKM,8,186795.0,105.0,103.0,105.0,103.49,103.78,103.0,1800,103.69,103.69,103.69,295684919.7,295684919.7,295684919.7,,3,0.0
TQBR,2013-07-10,Ростел -ао,RTKM,8,128060.0,113.6,102.0,113.6,101.66,106.72,102.0,1200,102.55,102.55,102.55,377164509.1,377164509.1,377164509.1,,3,-0.0097087378640776
TQBR,2013-07-11,Ростел -ао,RTKM,2,6189.3,103.08,103.08,103.17,103.2,103.16,103.17,60,102.95,102.95,102.95,305608058.9,305608058.9,305608058.9,,3,0.0114705882352941
TQBR,2013-07-12,Ростел -ао,RTKM,7,147198.0,103.38,103.38,107.5,108.33,105.14,107.5,1400,106.24,106.24,106.24,860648875.4,860648875.4,860648875.4,,3,0.0419695647959678
TQBR,2013-07-15,Ростел -ао,RTKM,3,43960.0,110.0,109.8,110.0,108.97,109.9,109.8,400,109.72,109.72,109.72,590867019.3,590867019.3,590867019.3,,3,0.0213953488372092
TQBR,2013-07-16,Ростел -ао,RTKM,4,315555.2,112.26,111.52,112.98,113.13,112.3,112.98,2810,111.85,111.85,111.85,1026573543.5,1026573543.5,1026573543.5,,3,0.0289617486338798
TQBR,2013-07-17,Ростел -ао,RTKM,4,184005.0,114.3,114.3,115.05,115.11,115.0,115.05,1600,114.22,114.22,114.22,839045342.6,839045342.6,839045342.6,,3,0.0183218268720126
TQBR,2013-07-18,Ростел -ао,RTKM,1,11560.0,115.6,115.6,115.6,115.64,115.6,115.6,100,115.71,115.71,115.71,567185878.3,567185878.3,567185878.3,,3,0.0047805302042589
TQBR,2013-07-19,Ростел -ао,RTKM,0,0.0,,,,115.44,,,0,115.18,115.18,115.18,307733515.8,307733515.8,307733515.8,,3,0.0
TQBR,2013-07-22,Ростел -ао,RTKM,0,0.0,,,,115.31,,,0,115.44,115.44,115.44,225695879.4,225695879.4,225695879.4,,3,0.0
TQBR,2013-07-23,Ростел -ао,RTKM,0,0.0,,,,117.42,,,0,116.95,116.95,116.95,526487112.2,526487112.2,526487112.2,,3,0.0
TQBR,2013-07-24,Ростел -ао,RTKM,1,21074.4,117.08,117.08,117.08,118.02,117.08,117.08,180,117.77,117.77,117.77,462613338.1,462613338.1,462613338.1,,3,0.0
TQBR,2013-07-25,Ростел -ао,RTKM,3,32724.6,117.32,116.07,117.32,116.84,116.87,116.07,280,117.09,117.09,117.09,389306650.7,389306650.7,389306650.7,,3,-0.0086265801161599
TQBR,2013-07-26,Ростел -ао,RTKM,0,0.0,,,,116.38,,,0,116.67,116.67,116.67,203957661.7,203957661.7,203957661.7,,3,0.0
TQBR,2013-07-29,Ростел -ао,RTKM,0,0.0,,,,116.07,,,0,116.91,116.91,116.91,401026672.4,401026672.4,401026672.4,,3,0.0
TQBR,2013-07-30,Ростел -ао,RTKM,0,0.0,,,,115.15,,,0,116.46,116.46,116.46,292032925.7,292032925.7,292032925.7,,3,0.0
TQBR,2013-07-31,Ростел -ао,RTKM,3,234500.0,132.97,112.01,132.97,111.57,117.25,112.01,2000,113.11,113.11,113.11,472594189.3,472594189.3,472594189.3,,3,0.0
TQBR,2013-08-01,Ростел -ао,RTKM,11,507495.0,112.0,112.0,113.17,114.72,112.78,113.17,4500,113.64,113.64,113.64,515269080.1,515269080.1,515269080.1,,3,0.010356218194804
TQBR,2013-08-02,Ростел -ао,RTKM,0,0.0,,,,112.95,,,0,113.17,113.17,113.17,353305843.7,353305843.7,353305843.7,,3,0.0
TQBR,2013-08-05,Ростел -ао,RTKM,0,0.0,,,,113.05,,,0,113.47,113.47,113.47,200070376.7,200070376.7,200070376.7,,3,0.0
TQBR,2013-08-06,Ростел -ао,RTKM,0,0.0,,,,111.49,,,0,112.55,112.55,112.55,838662728.0,838662728.0,838662728.0,,3,0.0
TQBR,2013-08-07,Ростел -ао,RTKM,7,620483.7,106.74,106.74,111.75,111.82,109.24,111.58,5680,110.49,110.49,110.49,320992547.0,320992547.0,320992547.0,,3,0.0
TQBR,2013-08-08,Ростел -ао,RTKM,0,0.0,,,,111.52,,,0,111.61,111.61,111.61,177194451.8,177194451.8,177194451.8,,3,0.0
TQBR,2013-08-09,Ростел -ао,RTKM,0,0.0,,,,113.33,,,0,112.06,112.06,112.06,149778204.8,149778204.8,149778204.8,,3,0.0
TQBR,2013-08-12,Ростел -ао,RTKM,16,700314.8,130.16,113.6,130.16,113.4,113.69,113.6,6160,113.38,113.38,113.38,98537570.2,98537570.2,98537570.2,,3,0.0
TQBR,2013-08-13,Ростел -ао,RTKM,0,0.0,,,,115.33,,,0,115.13,115.13,115.13,163939439.8,163939439.8,163939439.8,,3,0.0
TQBR,2013-08-14,Ростел -ао,RTKM,0,0.0,,,,115.39,,,0,115.6,115.6,115.6,193368616.0,193368616.0,193368616.0,,3,0.0
TQBR,2013-08-15,Ростел -ао,RTKM,0,0.0,,,,111.74,,,0,113.25,113.25,113.25,262601328.0,262601328.0,262601328.0,,3,0.0
TQBR,2013-08-16,Ростел -ао,RTKM,28,1835136.0,112.0,109.56,120.52,111.7,114.27,109.56,16060,114.05,114.05,114.05,942074636.72,942074636.72,942074636.72,,3,0.0
TQBR,2013-08-19,Ростел -ао,RTKM,24,847075.1,110.81,107.25,121.0,113.22,112.2,112.73,7550,112.11,112.11,112.11,381727384.8,381727384.8,381727384.8,,3,0.0289339174881343
TQBR,2013-08-20,Ростел -ао,RTKM,5,228294.0,117.99,112.61,117.99,114.22,115.3,112.61,1980,113.58,113.58,113.58,262638985.8,262638985.8,262638985.8,,3,-0.0010644903752328
TQBR,2013-08-21,Ростел -ао,RTKM,12,245035.5,112.38,112.37,115.21,115.58,113.44,114.0,2160,114.72,114.72,114.72,349782772.8,349782772.8,349782772.8,,3,0.0123434863688837
TQBR,2013-08-22,Ростел -ао,RTKM,13,815521.1,115.49,113.75,117.0,115.32,115.68,115.0,7050,115.84,115.84,115.84,285958731.6,285958731.6,285958731.6,,3,0.0087719298245614
