BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-10,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-11,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-16,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-17,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-18,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-19,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-20,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-23,ТНСэнРст,RTSB,0,0.0,,,,0.2731,,,0,,0.29496,,0.0,545680.9,0.0,,3,0.0
TQBR,2014-06-24,ТНСэнРст,RTSB,4,26403.0,0.29005,0.29005,0.3,0.3,0.29337,0.3,90000,,0.29489,,0.0,572083.9,0.0,,3,0.0
TQBR,2014-06-25,ТНСэнРст,RTSB,38,1534706.9,0.31995,0.3,0.41,0.34,0.35858,0.34,4280000,0.35858,0.35858,0.35858,1534706.9,1534706.9,1534706.9,,3,0.1333333333333334
TQBR,2014-06-26,ТНСэнРст,RTSB,8,123610.0,0.4,0.4,0.45,0.44146,0.44146,0.45,280000,0.36367,0.40497,0.36367,1658316.9,530510.0,1658316.9,,3,0.3235294117647058
TQBR,2014-06-27,ТНСэнРст,RTSB,0,0.0,,,,0.44146,,,0,0.36367,0.40497,0.36367,1658316.9,530510.0,1658316.9,,3,0.0
TQBR,2014-06-30,ТНСэнРст,RTSB,0,0.0,,,,0.44146,,,0,0.36231,0.40497,0.36231,1684719.9,530510.0,1684719.9,,3,0.0
TQBR,2014-07-01,ТНСэнРст,RTSB,4,13600.0,0.3,0.3,0.38999,0.355,0.34,0.32001,40000,0.36346,0.40304,0.36346,1671916.9,544110.0,1671916.9,,3,0.0
TQBR,2014-07-02,ТНСэнРст,RTSB,0,0.0,,,,0.355,,,0,,0.40304,,0.0,544110.0,0.0,,3,0.0
TQBR,2014-07-03,ТНСэнРст,RTSB,0,0.0,,,,0.355,,,0,0.36212,0.40304,0.36212,1698319.9,544110.0,1698319.9,,3,0.0
TQBR,2014-07-04,ТНСэнРст,RTSB,0,0.0,,,,0.355,,,0,0.36212,0.40304,0.36212,1698319.9,544110.0,1698319.9,,3,0.0
TQBR,2014-07-07,ТНСэнРст,RTSB,0,0.0,,,,0.355,,,0,,0.40304,,0.0,544110.0,0.0,,3,0.0
TQBR,2014-07-08,ТНСэнРст,RTSB,0,0.0,,,,0.355,,,0,,0.40304,,0.0,544110.0,0.0,,3,0.0
TQBR,2014-07-09,ТНСэнРст,RTSB,0,0.0,,,,0.355,,,0,,0.40304,,0.0,544110.0,0.0,,3,0.0
TQBR,2014-07-10,ТНСэнРст,RTSB,0,0.0,,,,0.355,,,0,,0.40304,,0.0,544110.0,0.0,,3,0.0
TQBR,2014-07-11,ТНСэнРст,RTSB,0,0.0,,,,0.355,,,0,,0.40304,,0.0,544110.0,0.0,,3,0.0
TQBR,2014-07-14,ТНСэнРст,RTSB,2,10120.0,0.332,0.332,0.34,0.34,0.33733,0.34,30000,,0.40162,,0.0,554230.0,0.0,,3,0.0
TQBR,2014-07-15,ТНСэнРст,RTSB,0,0.0,,,,0.34,,,0,,0.40162,,0.0,554230.0,0.0,,3,0.0
TQBR,2014-07-16,ТНСэнРст,RTSB,1,36521.1,0.33201,0.33201,0.33201,0.33201,0.33201,0.33201,110000,,0.39438,,0.0,508751.1,0.0,,3,0.0
TQBR,2014-07-17,ТНСэнРст,RTSB,2,6640.0,0.332,0.332,0.332,0.332,0.332,0.332,20000,,0.39343,,0.0,515391.1,0.0,,3,-3.0119574711635192e-05
TQBR,2014-07-18,ТНСэнРст,RTSB,0,0.0,,,,0.332,,,0,,0.39343,,0.0,515391.1,0.0,,3,0.0
TQBR,2014-07-21,ТНСэнРст,RTSB,0,0.0,,,,0.332,,,0,,0.39343,,0.0,515391.1,0.0,,3,0.0
TQBR,2014-07-22,ТНСэнРст,RTSB,2,7758.1,0.3879,0.3879,0.38791,0.38791,0.38791,0.38791,20000,,0.39335,,0.0,523149.2,0.0,,3,0.0
TQBR,2014-07-23,ТНСэнРст,RTSB,0,0.0,,,,0.38791,,,0,,0.39335,,0.0,523149.2,0.0,,3,0.0
TQBR,2014-07-24,ТНСэнРст,RTSB,0,0.0,,,,0.38791,,,0,,0.39335,,0.0,523149.2,0.0,,3,0.0
TQBR,2014-07-25,ТНСэнРст,RTSB,0,0.0,,,,0.38791,,,0,,0.39335,,0.0,523149.2,0.0,,3,0.0
TQBR,2014-07-28,ТНСэнРст,RTSB,0,0.0,,,,0.38791,,,0,,0.39335,,0.0,523149.2,0.0,,3,0.0
TQBR,2014-07-29,ТНСэнРст,RTSB,0,0.0,,,,0.38791,,,0,,0.39335,,0.0,523149.2,0.0,,3,0.0
TQBR,2014-07-30,ТНСэнРст,RTSB,1,3300.0,0.33,0.33,0.33,0.33,0.33,0.33,10000,,0.39287,,0.0,526449.2,0.0,,3,0.0
TQBR,2014-07-31,ТНСэнРст,RTSB,0,0.0,,,,0.33,,,0,,0.39287,,0.0,526449.2,0.0,,3,0.0
TQBR,2014-08-01,ТНСэнРст,RTSB,0,0.0,,,,0.33,,,0,,0.39287,,0.0,526449.2,0.0,,3,0.0
TQBR,2014-08-04,ТНСэнРст,RTSB,1,3400.1,0.34001,0.34001,0.34001,0.34001,0.34001,0.34001,10000,,0.39248,,0.0,529849.3,0.0,,3,0.0
TQBR,2014-08-05,ТНСэнРст,RTSB,0,0.0,,,,0.34001,,,0,,0.39248,,0.0,529849.3,0.0,,3,0.0
TQBR,2014-08-06,ТНСэнРст,RTSB,0,0.0,,,,0.34001,,,0,,0.39248,,0.0,529849.3,0.0,,3,0.0
TQBR,2014-08-07,ТНСэнРст,RTSB,0,0.0,,,,0.34001,,,0,,0.39248,,0.0,529849.3,0.0,,3,0.0
TQBR,2014-08-08,ТНСэнРст,RTSB,0,0.0,,,,0.34001,,,0,,0.39248,,0.0,529849.3,0.0,,3,0.0
TQBR,2014-08-11,ТНСэнРст,RTSB,0,0.0,,,,0.34001,,,0,,0.39248,,0.0,529849.3,0.0,,3,0.0
TQBR,2014-08-12,ТНСэнРст,RTSB,0,0.0,,,,0.34001,,,0,,0.39248,,0.0,529849.3,0.0,,3,0.0
TQBR,2014-08-13,ТНСэнРст,RTSB,0,0.0,,,,0.34001,,,0,,0.39248,,0.0,529849.3,0.0,,3,0.0
TQBR,2014-08-14,ТНСэнРст,RTSB,1,3300.0,0.33,0.33,0.33,0.33,0.33,0.33,10000,,0.39202,,0.0,533149.3,0.0,,3,0.0
TQBR,2014-08-15,ТНСэнРст,RTSB,2,198000.0,0.33,0.33,0.33,0.33,0.33,0.33,600000,,0.37304,,0.0,731149.3,0.0,,3,0.0
TQBR,2014-08-18,ТНСэнРст,RTSB,0,0.0,,,,0.33,,,0,,0.37304,,0.0,731149.3,0.0,,3,0.0
TQBR,2014-08-19,ТНСэнРст,RTSB,0,0.0,,,,0.33,,,0,,0.37304,,0.0,731149.3,0.0,,3,0.0
TQBR,2014-08-20,ТНСэнРст,RTSB,0,0.0,,,,0.33,,,0,,0.37304,,0.0,731149.3,0.0,,3,0.0
TQBR,2014-08-21,ТНСэнРст,RTSB,0,0.0,,,,0.33,,,0,,0.37304,,0.0,731149.3,0.0,,3,0.0
TQBR,2014-08-22,ТНСэнРст,RTSB,0,0.0,,,,0.33,,,0,,0.37304,,0.0,731149.3,0.0,,3,0.0
TQBR,2014-08-25,ТНСэнРст,RTSB,1,3500.0,0.35,0.35,0.35,0.35,0.35,0.35,10000,,0.37292,,0.0,734649.3,0.0,,3,0.0
TQBR,2014-08-26,ТНСэнРст,RTSB,0,0.0,,,,0.35,,,0,,0.37292,,0.0,734649.3,0.0,,3,0.0
TQBR,2014-08-27,ТНСэнРст,RTSB,0,0.0,,,,0.35,,,0,,0.37292,,0.0,734649.3,0.0,,3,0.0
TQBR,2014-08-28,ТНСэнРст,RTSB,10,38140.5,0.27,0.262,0.30001,0.3,0.27243,0.3,140000,,0.34863,,0.0,512489.8,0.0,,3,0.0
TQBR,2014-08-29,ТНСэнРст,RTSB,2,6280.0,0.314,0.314,0.314,0.314,0.314,0.314,20000,,0.34817,,0.0,518769.8,0.0,,3,0.0466666666666667
TQBR,2014-09-01,ТНСэнРст,RTSB,2,36002.3,0.30001,0.30001,0.30002,0.30002,0.30002,0.30002,120000,,0.34458,,0.0,554772.1,0.0,,3,-0.0445222929936305
TQBR,2014-09-02,ТНСэнРст,RTSB,3,10378.6,0.34591,0.34591,0.346,0.34595,0.34595,0.346,30000,,0.34521,,0.0,500550.7,0.0,,3,0.1532564495700285
TQBR,2014-09-03,ТНСэнРст,RTSB,0,0.0,,,,0.34595,,,0,,0.34521,,0.0,500550.7,0.0,,3,0.0
TQBR,2014-09-04,ТНСэнРст,RTSB,9,232642.0,0.38,0.35084,0.398,0.35084,0.3635,0.35084,640000,,0.3365,,0.0,524943.4,0.0,,3,0.0
TQBR,2014-09-05,ТНСэнРст,RTSB,0,0.0,,,,0.35084,,,0,,0.3365,,0.0,524943.4,0.0,,3,0.0
TQBR,2014-09-08,ТНСэнРст,RTSB,7,118800.4,0.32999,0.32999,0.33002,0.33001,0.33,0.33,360000,,0.33557,,0.0,610743.8,0.0,,3,0.0
TQBR,2014-09-09,ТНСэнРст,RTSB,0,0.0,,,,0.33001,,,0,,0.33557,,0.0,610743.8,0.0,,3,0.0
TQBR,2014-09-10,ТНСэнРст,RTSB,1,3999.9,0.39999,0.39999,0.39999,0.39999,0.39999,0.39999,10000,,0.33593,,0.0,614743.7,0.0,,3,0.0
TQBR,2014-09-11,ТНСэнРст,RTSB,0,0.0,,,,0.39999,,,0,,0.33593,,0.0,614743.7,0.0,,3,0.0
TQBR,2014-09-12,ТНСэнРст,RTSB,0,0.0,,,,0.39999,,,0,,0.33593,,0.0,614743.7,0.0,,3,0.0
TQBR,2014-09-15,ТНСэнРст,RTSB,0,0.0,,,,0.39999,,,0,,0.33593,,0.0,614743.7,0.0,,3,0.0
TQBR,2014-09-16,ТНСэнРст,RTSB,1,3400.1,0.34001,0.34001,0.34001,0.34001,0.34001,0.34001,10000,,0.33595,,0.0,618143.8,0.0,,3,0.0
TQBR,2014-09-17,ТНСэнРст,RTSB,3,112260.8,0.34001,0.34001,0.34019,0.34019,0.34018,0.34019,330000,,0.34529,,0.0,514484.0,0.0,,3,0.0005293961942296
TQBR,2014-09-18,ТНСэнРст,RTSB,0,0.0,,,,0.34019,,,0,,0.34529,,0.0,514484.0,0.0,,3,0.0
TQBR,2014-09-19,ТНСэнРст,RTSB,1,3999.7,0.39997,0.39997,0.39997,0.39997,0.39997,0.39997,10000,,0.34566,,0.0,518483.7,0.0,,3,0.0
TQBR,2014-09-22,ТНСэнРст,RTSB,0,0.0,,,,0.39997,,,0,,0.34566,,0.0,518483.7,0.0,,3,0.0
TQBR,2014-09-23,ТНСэнРст,RTSB,0,0.0,,,,0.39997,,,0,,0.34566,,0.0,518483.7,0.0,,3,0.0
TQBR,2014-09-24,ТНСэнРст,RTSB,4,13415.6,0.32513,0.32511,0.35231,0.33901,0.33539,0.33901,40000,,0.34539,,0.0,531899.3,0.0,,3,0.0
TQBR,2014-09-25,ТНСэнРст,RTSB,0,0.0,,,,0.33901,,,0,,0.34539,,0.0,531899.3,0.0,,3,0.0
