BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,РязЭнСб,RZSB,0,0,,,,1.998,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,РязЭнСб,RZSB,1,1900,1.9,1.9,1.9,1.9,1.9,1.9,1000,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,РязЭнСб,RZSB,0,0,,,,1.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,РязЭнСб,RZSB,0,0,,,,1.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,РязЭнСб,RZSB,0,0,,,,1.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,РязЭнСб,RZSB,0,0,,,,1.9,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,РязЭнСб,RZSB,1,1764,1.764,1.764,1.764,1.764,1.764,1.764,1000,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,РязЭнСб,RZSB,0,0,,,,1.764,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,РязЭнСб,RZSB,0,0,,,,1.764,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,РязЭнСб,RZSB,0,0,,,,1.764,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,РязЭнСб,RZSB,0,0,,,,1.764,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,РязЭнСб,RZSB,0,0,,,,1.764,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,РязЭнСб,RZSB,0,0,,,,1.764,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,РязЭнСб,RZSB,0,0,,,,1.764,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,РязЭнСб,RZSB,0,0,,,,1.764,,,0,,,,0,0,0.0,,3,0.0
