BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,СамарЭн-ап,SAGOP,4,87502,0.25,0.25,0.2501,0.25,0.25,0.25,350000,,0.2535,,0,502001,0.0,,3,0.0
TQBR,2014-06-10,СамарЭн-ап,SAGOP,3,9999,0.25,0.2499,0.25,0.25,0.25,0.25,40000,,0.2537,,0,502400,0.0,,3,0.0
TQBR,2014-06-11,СамарЭн-ап,SAGOP,1,117500,0.25,0.25,0.25,0.25,0.25,0.25,470000,,0.2534,,0,504223,0.0,,3,0.0
TQBR,2014-06-16,СамарЭн-ап,SAGOP,4,34708,0.2424,0.2424,0.25,0.243,0.2479,0.243,140000,,0.2528,,0,523331,0.0,,3,-0.028
TQBR,2014-06-17,СамарЭн-ап,SAGOP,14,659902,0.25,0.2402,0.25,0.25,0.25,0.25,2640000,0.25,0.25,0.25,659902,659902,659902.0,,3,0.0288065843621399
TQBR,2014-06-18,СамарЭн-ап,SAGOP,4,17110,0.255,0.2401,0.255,0.2402,0.2444,0.2401,70000,0.2498,0.2498,0.2498,677012,539512,677012.0,,3,-0.0395999999999999
TQBR,2014-06-19,СамарЭн-ап,SAGOP,13,750000,0.25,0.2499,0.2501,0.25,0.25,0.25,3000000,0.25,0.25,0.25,750000,750000,750000.0,,3,0.0412328196584756
TQBR,2014-06-20,СамарЭн-ап,SAGOP,1,2501,0.2501,0.2501,0.2501,0.2501,0.2501,0.2501,10000,0.25,0.25,0.25,752501,500002,752501.0,,3,0.0003999999999999
TQBR,2014-06-23,СамарЭн-ап,SAGOP,1,7500,0.25,0.25,0.25,0.25,0.25,0.25,30000,0.25,0.25,0.25,760001,507502,760001.0,,3,-0.0003998400639743
TQBR,2014-06-24,СамарЭн-ап,SAGOP,0,0,,,,0.25,,,0,0.2499,0.25,0.2499,777111,507502,777111.0,,3,0.0
TQBR,2014-06-25,СамарЭн-ап,SAGOP,7,57987,0.2412,0.2401,0.25,0.25,0.2416,0.25,240000,0.2494,0.2491,0.2494,817988,565489,817988.0,,3,0.0
