BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,СамарЭн-ао,SAGO,5,617500,0.25,0.25,0.25,0.25,0.25,0.25,2470000,0.2542,0.2531,0.2542,1070213,890820,1070213.0,,3,0.0
TQBR,2014-06-10,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,0.2542,0.2531,0.2542,1070213,890820,1070213.0,,3,0.0
TQBR,2014-06-11,СамарЭн-ао,SAGO,5,492500,0.25,0.25,0.25,0.25,0.25,0.25,1970000,0.25,0.25,0.25,1110000,1110000,1110000.0,,3,0.0
TQBR,2014-06-16,СамарЭн-ао,SAGO,1,2302,0.2302,0.2302,0.2302,0.2302,0.2302,0.2302,10000,0.25,0.2499,0.25,1112302,987302,1112302.0,,3,-0.0792
TQBR,2014-06-17,СамарЭн-ао,SAGO,8,219000,0.24,0.24,0.25,0.25,0.2407,0.25,910000,0.247,0.2464,0.247,713802,588802,713802.0,,3,0.0860121633362294
TQBR,2014-06-18,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,0.247,0.2464,0.247,713802,588802,713802.0,,3,0.0
TQBR,2014-06-19,СамарЭн-ао,SAGO,6,432500,0.25,0.25,0.25,0.25,0.25,0.25,1730000,0.2468,0.2489,0.2468,651500,500300,651500.0,,3,0.0
TQBR,2014-06-20,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,0.2467,0.2489,0.2467,653802,500300,653802.0,,3,0.0
TQBR,2014-06-23,СамарЭн-ао,SAGO,1,117500,0.25,0.25,0.25,0.25,0.25,0.25,470000,0.2473,0.25,0.2473,769000,562500,769000.0,,3,0.0
TQBR,2014-06-24,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,0.2488,0.25,0.2488,1881302,562500,1881302.0,,3,0.0
TQBR,2014-06-25,СамарЭн-ао,SAGO,2,162500,0.25,0.25,0.25,0.25,0.25,0.25,650000,0.2485,0.25,0.2485,1426302,715000,1426302.0,,3,0.0
TQBR,2014-06-26,СамарЭн-ао,SAGO,6,502671,0.25,0.25,0.2671,0.2671,0.2501,0.2671,2010000,0.2489,0.25,0.2489,1928973,907671,1928973.0,,3,0.0684
TQBR,2014-06-27,СамарЭн-ао,SAGO,0,0,,,,0.2671,,,0,0.2485,0.25,0.2485,1436473,907671,1436473.0,,3,0.0
TQBR,2014-06-30,СамарЭн-ао,SAGO,0,0,,,,0.2671,,,0,0.2486,0.25,0.2486,1434171,907671,1434171.0,,3,0.0
TQBR,2014-07-01,СамарЭн-ао,SAGO,8,29249,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,110000,0.2507,0.2509,0.2507,694420,531920,694420.0,,3,0.0
TQBR,2014-07-02,СамарЭн-ао,SAGO,16,1222465,0.266,0.266,0.27,0.27,0.2699,0.27,4530000,0.2699,0.2699,0.2699,1222465,1222465,1222465.0,,3,0.0154193305754042
TQBR,2014-07-03,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.2699,0.2699,0.2699,1222465,1193085,1222465.0,,3,0.0
TQBR,2014-07-04,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.2699,0.2699,0.2699,1222465,1193085,1222465.0,,3,0.0
TQBR,2014-07-07,СамарЭн-ао,SAGO,2,8101,0.2701,0.27,0.2701,0.27,0.27,0.27,30000,0.2698,0.27,0.2698,1259815,923395,1259815.0,,3,0.0
TQBR,2014-07-08,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.2699,0.27,0.2699,1230566,923395,1230566.0,,3,0.0
TQBR,2014-07-09,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.2698,0.27,0.2698,1259815,923395,1259815.0,,3,0.0
TQBR,2014-07-10,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.2698,0.27,0.2698,1259815,923395,1259815.0,,3,0.0
TQBR,2014-07-11,СамарЭн-ао,SAGO,2,22501,0.2501,0.25,0.2501,0.25,0.25,0.25,90000,0.2694,0.2695,0.2694,1282316,929702,1282316.0,,3,0.0
TQBR,2014-07-14,СамарЭн-ао,SAGO,1,256300,0.2563,0.2563,0.2563,0.2563,0.2563,0.2563,1000000,0.2671,0.2636,0.2671,1538616,643302,1538616.0,,3,0.0251999999999998
TQBR,2014-07-15,СамарЭн-ао,SAGO,0,0,,,,0.2563,,,0,0.2671,0.2636,0.2671,1509367,643302,1509367.0,,3,0.0
TQBR,2014-07-16,СамарЭн-ао,SAGO,2,4881,0.238,0.238,0.2501,0.2441,0.2441,0.2501,20000,,0.2633,,0,629283,0.0,,3,0.0
TQBR,2014-07-17,СамарЭн-ао,SAGO,0,0,,,,0.2441,,,0,,0.2633,,0,629283,0.0,,3,0.0
TQBR,2014-07-18,СамарЭн-ао,SAGO,14,668701,0.25,0.2499,0.27,0.25,0.2504,0.25,2670000,0.2504,0.2504,0.2504,668701,668701,668701.0,,3,0.0
TQBR,2014-07-21,СамарЭн-ао,SAGO,25,199999,0.25,0.2499,0.25,0.25,0.25,0.25,800000,,0.2505,,0,603701,0.0,,3,0.0
TQBR,2014-07-22,СамарЭн-ао,SAGO,2,4950,0.255,0.24,0.255,0.24,0.2475,0.24,20000,,0.2505,,0,608651,0.0,,3,-0.04
TQBR,2014-07-23,СамарЭн-ао,SAGO,1,4900,0.245,0.245,0.245,0.245,0.245,0.245,20000,,0.2505,,0,501051,0.0,,3,0.0208333333333333
TQBR,2014-07-24,СамарЭн-ао,SAGO,5,170000,0.25,0.25,0.25,0.25,0.25,0.25,680000,0.2503,0.2499,0.2503,1048550,527349,1048550.0,,3,0.0204081632653061
TQBR,2014-07-25,СамарЭн-ао,SAGO,7,163735,0.24,0.24,0.249,0.241,0.2408,0.249,680000,,0.2468,,0,501085,0.0,,3,-0.004
TQBR,2014-07-28,СамарЭн-ао,SAGO,0,0,,,,0.241,,,0,,0.2468,,0,501085,0.0,,3,0.0
TQBR,2014-07-29,СамарЭн-ао,SAGO,0,0,,,,0.241,,,0,,0.2468,,0,501085,0.0,,3,0.0
TQBR,2014-07-30,СамарЭн-ао,SAGO,4,312110,0.258,0.25,0.26,0.25,0.2579,0.25,1210000,0.2513,0.2513,0.2513,645845,640845,645845.0,,3,0.0
TQBR,2014-07-31,СамарЭн-ао,SAGO,1,2501,0.2501,0.2501,0.2501,0.2501,0.2501,0.2501,10000,,0.2513,,0,643346,0.0,,3,0.0003999999999999
TQBR,2014-08-01,СамарЭн-ао,SAGO,0,0,,,,0.2501,,,0,0.2509,0.2513,0.2509,858195,643346,858195.0,,3,0.0
TQBR,2014-08-04,СамарЭн-ао,SAGO,0,0,,,,0.2501,,,0,0.2512,0.2513,0.2512,658196,643346,658196.0,,3,0.0
TQBR,2014-08-05,СамарЭн-ао,SAGO,0,0,,,,0.2501,,,0,0.2512,0.2513,0.2512,653246,643346,653246.0,,3,0.0
TQBR,2014-08-06,СамарЭн-ао,SAGO,0,0,,,,0.2501,,,0,0.2513,0.2513,0.2513,648346,643346,648346.0,,3,0.0
TQBR,2014-08-07,СамарЭн-ао,SAGO,2,50000,0.25,0.25,0.25,0.25,0.25,0.25,200000,0.2516,0.2522,0.2516,528346,501946,528346.0,,3,0.0
TQBR,2014-08-08,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,,0.2522,,0,501946,0.0,,3,0.0
TQBR,2014-08-11,СамарЭн-ао,SAGO,2,4812,0.2311,0.2311,0.2501,0.2501,0.2406,0.2501,20000,,0.2522,,0,504358,0.0,,3,0.0
TQBR,2014-08-12,СамарЭн-ао,SAGO,0,0,,,,0.2501,,,0,,0.2522,,0,504358,0.0,,3,0.0
TQBR,2014-08-13,СамарЭн-ао,SAGO,0,0,,,,0.2501,,,0,,0.2522,,0,504358,0.0,,3,0.0
TQBR,2014-08-14,СамарЭн-ао,SAGO,2,5000,0.25,0.25,0.25,0.25,0.25,0.25,20000,,0.2522,,0,509358,0.0,,3,0.0
TQBR,2014-08-15,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,,0.2522,,0,509358,0.0,,3,0.0
TQBR,2014-08-18,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,,0.2522,,0,509358,0.0,,3,0.0
TQBR,2014-08-19,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,,0.2522,,0,509358,0.0,,3,0.0
TQBR,2014-08-20,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,,0.2522,,0,509358,0.0,,3,0.0
TQBR,2014-08-21,СамарЭн-ао,SAGO,4,392499,0.25,0.2499,0.25,0.25,0.25,0.25,1570000,,0.2531,,0,766922,0.0,,3,0.0
TQBR,2014-08-22,СамарЭн-ао,SAGO,0,0,,,,0.25,,,0,,0.2531,,0,766922,0.0,,3,0.0
TQBR,2014-08-25,СамарЭн-ао,SAGO,2,7204,0.2402,0.2401,0.2402,0.2401,0.2401,0.2401,30000,,0.253,,0,774126,0.0,,3,0.0
TQBR,2014-08-26,СамарЭн-ао,SAGO,0,0,,,,0.2401,,,0,,0.253,,0,774126,0.0,,3,0.0
TQBR,2014-08-27,СамарЭн-ао,SAGO,8,583200,0.27,0.27,0.27,0.27,0.27,0.27,2160000,0.2696,0.2696,0.2696,590404,590404,590404.0,,3,0.0
TQBR,2014-08-28,СамарЭн-ао,SAGO,5,99900,0.27,0.27,0.27,0.27,0.27,0.27,370000,0.27,0.27,0.27,683100,507600,683100.0,,3,0.0
TQBR,2014-08-29,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.27,0.27,0.27,683100,507600,683100.0,,3,0.0
TQBR,2014-09-01,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.27,0.27,0.27,683100,507600,683100.0,,3,0.0
TQBR,2014-09-02,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.27,0.27,0.27,683100,507600,683100.0,,3,0.0
TQBR,2014-09-03,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.2622,0.27,0.2622,1082803,507600,1082803.0,,3,0.0
TQBR,2014-09-04,СамарЭн-ао,SAGO,0,0,,,,0.27,,,0,0.2697,0.27,0.2697,690304,507600,690304.0,,3,0.0
