BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,СаратЭн-ап,SAREP,6,7144.8,0.03034,0.0303,0.039,0.039,0.03106,0.039,230000,,0.03752,,0,503455.8,0.0,,3,0.0
TQBR,2014-06-10,СаратЭн-ап,SAREP,4,10981.6,0.038,0.03608,0.038,0.03608,0.03787,0.03608,290000,,0.03785,,0,500769.8,0.0,,3,-0.0748717948717948
TQBR,2014-06-11,СаратЭн-ап,SAREP,1,18753.0,0.0399,0.0399,0.0399,0.0399,0.0399,0.0399,470000,,0.03792,,0,519522.8,0.0,,3,0.1058758314855875
TQBR,2014-06-16,СаратЭн-ап,SAREP,0,0.0,,,,0.0399,,,0,,0.03792,,0,519522.8,0.0,,3,0.0
TQBR,2014-06-17,СаратЭн-ап,SAREP,2,3500.0,0.035,0.035,0.035,0.035,0.035,0.035,100000,,0.0379,,0,523022.8,0.0,,3,0.0
TQBR,2014-06-18,СаратЭн-ап,SAREP,7,12406.2,0.0389,0.035,0.0389,0.03888,0.03545,0.03888,350000,,0.03823,,0,500052.2,0.0,,3,0.1108571428571427
TQBR,2014-06-19,СаратЭн-ап,SAREP,0,0.0,,,,0.03888,,,0,,0.03823,,0,500052.2,0.0,,3,0.0
TQBR,2014-06-20,СаратЭн-ап,SAREP,13,43501.0,0.04034,0.03333,0.04034,0.035,0.03452,0.035,1260000,,0.03788,,0,502627.4,0.0,,3,0.0
TQBR,2014-06-23,СаратЭн-ап,SAREP,0,0.0,,,,0.035,,,0,,0.03788,,0,502627.4,0.0,,3,0.0
TQBR,2014-06-24,СаратЭн-ап,SAREP,2,790.2,0.03951,0.03951,0.03951,0.03951,0.03951,0.03951,20000,,0.03788,,0,503417.6,0.0,,3,0.0
