BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-03-25,Сбербанк-п,SBERP,55,8950403.0,75.02,73.21,75.05,73.21,74.4,73.35,120300,74.39,74.39,74.39,1223179711.78,1223179711.78,1223179711.78,,3,0.0
TQBR,2013-03-26,Сбербанк-п,SBERP,106,15216505.0,72.64,71.34,74.06,72.25,72.77,72.3,209100,72.64,72.64,72.64,1228822882.29,1228822882.29,1228822882.29,,3,-0.0143149284253578
TQBR,2013-03-27,Сбербанк-п,SBERP,38,5565246.0,73.04,71.85,73.04,72.33,72.37,72.28,76900,72.35,72.35,72.35,923108161.15,923108161.15,923108161.15,,3,-0.0002766251728906
TQBR,2013-03-28,Сбербанк-п,SBERP,96,15626288.0,72.9,72.73,75.16,75.02,73.81,75.12,211700,74.01,74.01,74.01,1927474730.66,1927474730.66,1927474730.66,,3,0.0392916436081904
TQBR,2013-03-29,Сбербанк-п,SBERP,42,6897810.0,75.28,74.97,75.28,75.1,75.14,75.11,91800,75.1,75.1,75.1,476107059.32,476107059.32,476107059.32,,3,-0.0001331203407881
TQBR,2013-04-01,Сбербанк-п,SBERP,86,15674954.0,74.9,74.63,75.85,74.61,75.29,75.04,208200,75.12,75.12,75.12,643364966.47,643364966.47,643364966.47,,3,-0.0009319664492077
TQBR,2013-04-02,Сбербанк-п,SBERP,125,22505530.0,74.87,74.2,75.44,74.64,74.89,74.62,300500,74.83,74.83,74.83,986642044.73,986642044.73,986642044.73,,3,-0.0055970149253731
TQBR,2013-04-03,Сбербанк-п,SBERP,90,15859931.0,75.09,74.64,75.11,74.83,74.88,74.64,211800,74.85,74.85,74.85,567498209.7,567498209.7,567498209.7,,3,0.0002680246582685
TQBR,2013-04-04,Сбербанк-п,SBERP,370,62561762.0,74.3,72.36,75.81,74.56,74.76,74.87,836800,74.92,74.92,74.92,1209829323.06,1209829323.06,1209829323.06,,3,0.0030814576634512
TQBR,2013-04-05,Сбербанк-п,SBERP,318,51584491.0,74.89,73.21,74.89,73.31,74.03,73.57,696800,73.67,73.67,73.67,1274036835.06,1274036835.06,1274036835.06,,3,-0.0173634299452385
TQBR,2013-04-08,Сбербанк-п,SBERP,97,15941936.0,73.99,72.01,74.29,72.9,73.6,72.7,216600,73.6,73.6,73.6,1521624471.52,1521624471.52,1521624471.52,,3,-0.0118254723392685
TQBR,2013-04-09,Сбербанк-п,SBERP,346,59755089.0,73.0,72.48,73.77,73.85,73.55,73.58,812400,73.68,73.68,73.68,1550777655.08,1550777655.08,1550777655.08,,3,0.0121045392022007
TQBR,2013-04-10,Сбербанк-п,SBERP,308,44118287.0,72.0,71.1,73.0,73.87,71.49,71.42,617100,73.93,73.93,73.93,1026993114.29,1026993114.29,1026993114.29,,3,-0.0293558032073932
TQBR,2013-04-11,Сбербанк-п,SBERP,373,53048899.0,71.52,69.32,71.71,72.69,70.58,69.32,751600,72.98,72.98,72.98,1380037629.86,1380037629.86,1380037629.86,,3,-0.0294035284234109
TQBR,2013-04-12,Сбербанк-п,SBERP,165,21810505.0,69.29,68.32,69.88,69.51,69.42,69.47,314200,69.41,69.41,69.41,1577416310.99,1577416310.99,1577416310.99,,3,0.0021638776687825
TQBR,2013-04-15,Сбербанк-п,SBERP,313,43770967.0,68.47,66.54,68.49,67.54,67.49,67.77,648600,67.55,67.55,67.55,1210632574.55,1210632574.55,1210632574.55,,3,-0.02447099467396
TQBR,2013-04-16,Сбербанк-п,SBERP,205,30522821.0,67.08,67.0,68.18,67.63,67.72,67.59,450700,67.65,67.65,67.65,730224920.51,730224920.51,730224920.51,,3,-0.0026560424966798
TQBR,2013-04-17,Сбербанк-п,SBERP,159,23043544.0,68.12,67.48,68.63,67.91,67.87,67.67,339500,67.92,67.92,67.92,1082989932.31,1082989932.31,1082989932.31,,3,0.0011836070424618
TQBR,2013-04-18,Сбербанк-п,SBERP,328,53616301.0,67.93,67.55,69.72,68.48,68.62,68.39,781400,68.54,68.54,68.54,1652531214.44,1652531214.44,1652531214.44,,3,0.0106398699571449
TQBR,2013-04-19,Сбербанк-п,SBERP,187,30168251.0,69.27,68.82,70.3,70.19,69.38,70.3,434800,69.52,69.52,69.52,1004373915.63,1004373915.63,1004373915.63,,3,0.0279280596578446
TQBR,2013-04-22,Сбербанк-п,SBERP,166,27927208.0,70.83,69.65,71.42,69.84,70.63,69.65,395400,70.67,70.67,70.67,1108576399.06,1108576399.06,1108576399.06,,3,-0.0092460881934564
TQBR,2013-04-23,Сбербанк-п,SBERP,98,17168627.0,69.42,68.86,70.05,70.34,69.51,70.05,247000,69.61,69.61,69.61,677636672.87,677636672.87,677636672.87,,3,0.0057430007178749
TQBR,2013-04-24,Сбербанк-п,SBERP,81,13604861.0,70.7,70.41,71.5,70.64,70.9,70.53,191900,70.95,70.95,70.95,942343111.01,942343111.01,942343111.01,,3,0.0068522483940043
TQBR,2013-04-25,Сбербанк-п,SBERP,270,50028238.0,70.76,70.66,72.15,70.74,71.49,70.93,699800,71.33,71.33,71.33,1894434750.03,1894434750.03,1894434750.03,,3,0.0056713455267262
TQBR,2013-04-26,Сбербанк-п,SBERP,149,24535352.0,70.24,69.42,70.74,70.43,70.18,70.32,349600,70.15,70.15,70.15,809306957.37,809306957.37,809306957.37,,3,-0.0086000281968139
TQBR,2013-04-29,Сбербанк-п,SBERP,72,13400287.0,70.45,69.77,71.06,69.84,70.45,69.87,190200,70.27,70.27,70.27,346963151.51,346963151.51,346963151.51,,3,-0.0063993174061431
TQBR,2013-04-30,Сбербанк-п,SBERP,225,30194514.0,69.65,69.1,72.21,72.12,70.9,72.21,425900,70.74,70.74,70.74,1361875739.56,1361875739.56,1361875739.56,,3,0.0334907685702016
TQBR,2013-05-02,Сбербанк-п,SBERP,270,48144797.0,72.37,71.54,72.62,72.09,72.09,72.24,667800,72.17,72.17,72.17,550311641.92,550311641.92,550311641.92,,3,0.0004154549231408
TQBR,2013-05-03,Сбербанк-п,SBERP,222,33931027.0,72.8,71.88,73.23,72.86,72.47,72.77,468200,72.54,72.54,72.54,377536914.57,377536914.57,377536914.57,,3,0.0073366555924695
TQBR,2013-05-06,Сбербанк-п,SBERP,196,34479082.0,72.9,72.9,73.66,73.38,73.36,73.35,470000,73.26,73.26,73.26,541071292.23,541071292.23,541071292.23,,3,0.0079703174385048
TQBR,2013-05-07,Сбербанк-п,SBERP,119,15832757.0,73.22,73.19,74.91,74.81,73.88,74.73,214300,74.17,74.17,74.17,743261194.18,743261194.18,743261194.18,,3,0.0188139059304704
TQBR,2013-05-08,Сбербанк-п,SBERP,68,11078500.0,74.88,74.87,75.83,75.84,75.21,75.83,147300,75.3,75.3,75.3,772231905.49,772231905.49,772231905.49,,3,0.0147196574334269
TQBR,2013-05-10,Сбербанк-п,SBERP,162,25136048.0,75.84,73.05,75.84,75.38,75.28,75.39,333900,75.32,75.32,75.32,499644476.12,499644476.12,499644476.12,,3,-0.0058024528550705
TQBR,2013-05-13,Сбербанк-п,SBERP,241,34992555.0,74.71,74.48,75.81,75.73,74.91,75.81,467100,74.96,74.96,74.96,977198088.8,977198088.8,977198088.8,,3,0.0055710306406685
TQBR,2013-05-14,Сбербанк-п,SBERP,255,39886277.0,75.43,75.28,76.95,75.68,76.22,75.57,523300,76.09,76.09,76.09,879156278.5,879156278.5,879156278.5,,3,-0.0031658092599922
TQBR,2013-05-15,Сбербанк-п,SBERP,210,30352100.0,75.87,74.7,75.93,75.24,75.33,75.27,402900,75.25,75.25,75.25,849387243.91,849387243.91,849387243.91,,3,-0.0039698292973401
TQBR,2013-05-16,Сбербанк-п,SBERP,141,20044873.0,75.42,74.86,75.56,74.99,75.13,75.16,266800,75.24,75.24,75.24,1062100760.59,1062100760.59,1062100760.59,,3,-0.0014614056064833
TQBR,2013-05-17,Сбербанк-п,SBERP,138,23699994.0,75.36,74.89,76.48,76.19,75.6,75.91,313500,75.56,75.56,75.56,1049361785.26,1049361785.26,1049361785.26,,3,0.009978712080894
TQBR,2013-05-20,Сбербанк-п,SBERP,103,16303415.0,76.48,76.07,77.42,77.26,76.98,77.2,211800,76.97,76.97,76.97,749831995.17,749831995.17,749831995.17,,3,0.0169938084573838
TQBR,2013-05-21,Сбербанк-п,SBERP,92,13286789.0,76.9,76.35,78.16,78.18,77.25,78.13,172000,77.31,77.31,77.31,775392906.95,775392906.95,775392906.95,,3,0.0120466321243522
TQBR,2013-05-22,Сбербанк-п,SBERP,54,9022373.0,78.23,78.09,79.65,79.7,78.87,79.65,114400,79.09,79.09,79.09,984790084.37,984790084.37,984790084.37,,3,0.0194547548956868
TQBR,2013-05-23,Сбербанк-п,SBERP,144,23635495.0,77.41,75.82,77.57,76.51,76.56,76.5,308700,76.76,76.76,76.76,927472074.85,927472074.85,927472074.85,,3,-0.0395480225988701
TQBR,2013-05-24,Сбербанк-п,SBERP,234,41058888.0,76.9,75.08,77.31,75.78,75.88,75.54,541100,76.08,76.08,76.08,940257538.91,940257538.91,940257538.91,,3,-0.012549019607843
TQBR,2013-05-27,Сбербанк-п,SBERP,166,26487702.0,76.4,75.11,76.4,75.44,75.92,75.49,348900,75.69,75.69,75.69,543753336.77,543753336.77,543753336.77,,3,-0.0006619009796136
TQBR,2013-05-28,Сбербанк-п,SBERP,113,17635191.0,76.0,76.0,77.59,77.5,76.74,77.49,229800,76.91,76.91,76.91,783113500.9,783113500.9,783113500.9,,3,0.0264935753079878
TQBR,2013-05-29,Сбербанк-п,SBERP,409,59169879.0,77.13,75.69,77.13,75.99,76.33,76.08,775200,76.38,76.38,76.38,1299396524.8,1299396524.8,1299396524.8,,3,-0.0181958962446766
TQBR,2013-05-30,Сбербанк-п,SBERP,1021,158005643.0,75.96,75.27,78.54,76.99,77.16,77.1,2047700,77.27,77.27,77.27,2663843892.09,2663843892.09,2663843892.09,,3,0.0134069400630914
TQBR,2013-05-31,Сбербанк-п,SBERP,936,114567268.0,77.5,72.2,77.5,72.43,74.38,72.2,1540200,74.47,74.47,74.47,2405279822.38,2405279822.38,2405279822.38,,3,-0.0635538261997405
TQBR,2013-06-03,Сбербанк-п,SBERP,761,86268078.0,72.32,70.61,72.89,71.53,71.78,72.05,1201800,71.85,71.85,71.85,1307163247.22,1307163247.22,1307163247.22,,3,-0.0020775623268698
TQBR,2013-06-04,Сбербанк-п,SBERP,208,17253067.0,72.31,71.76,73.07,71.78,72.61,71.76,237600,72.44,72.44,72.44,718116548.2,718116548.2,718116548.2,,3,-0.0040249826509367
TQBR,2013-06-05,Сбербанк-п,SBERP,346,38337534.0,71.36,70.38,71.86,70.68,71.15,70.7,538800,71.0,71.0,71.0,675550881.76,675550881.76,675550881.76,,3,-0.0147714604236343
TQBR,2013-06-06,Сбербанк-п,SBERP,282,24493765.0,70.41,70.1,72.12,71.98,70.73,72.12,346300,71.1,71.1,71.1,685242863.74,685242863.74,685242863.74,,3,0.0200848656294201
TQBR,2013-06-07,Сбербанк-п,SBERP,211,22705207.0,72.12,70.01,74.12,73.39,73.08,73.41,310700,73.02,73.02,73.02,1018644711.95,1018644711.95,1018644711.95,,3,0.0178868552412644
TQBR,2013-06-10,Сбербанк-п,SBERP,139,20172502.0,73.72,72.96,74.18,73.27,73.57,73.27,274200,73.59,73.59,73.59,526952400.4,526952400.4,526952400.4,,3,-0.0019070971257321
TQBR,2013-06-11,Сбербанк-п,SBERP,341,44817109.0,72.79,70.25,73.59,70.5,71.56,70.59,626300,71.42,71.42,71.42,1031175345.28,1031175345.28,1031175345.28,,3,-0.0365770438105635
TQBR,2013-06-13,Сбербанк-п,SBERP,241,33395106.0,69.24,68.48,69.7,68.97,69.1,69.0,483300,69.04,69.04,69.04,1063482028.92,1063482028.92,1063482028.92,,3,-0.0225244368890778
TQBR,2013-06-14,Сбербанк-п,SBERP,202,30907571.0,69.92,69.36,70.44,70.22,69.74,70.23,443200,69.89,69.89,69.89,643820559.4,643820559.4,643820559.4,,3,0.0178260869565217
TQBR,2013-06-17,Сбербанк-п,SBERP,413,44227723.0,70.61,70.61,71.91,71.9,71.42,71.61,619300,71.56,71.56,71.56,720466901.48,720466901.48,720466901.48,,3,0.0196497223408799
TQBR,2013-06-18,Сбербанк-п,SBERP,833,55112473.0,71.57,71.45,72.88,72.57,72.5,72.39,760200,72.43,72.43,72.43,431748156.1,431748156.1,431748156.1,,3,0.0108923334729786
TQBR,2013-06-19,Сбербанк-п,SBERP,174,15112968.0,72.76,71.13,72.76,71.6,71.76,71.47,210600,71.68,71.68,71.68,391324019.76,391324019.76,391324019.76,,3,-0.0127089376985771
TQBR,2013-06-20,Сбербанк-п,SBERP,209,23036282.0,70.36,69.0,70.36,69.17,69.28,69.19,332500,69.28,69.28,69.28,784227171.34,784227171.34,784227171.34,,3,-0.0319014971316636
TQBR,2013-06-21,Сбербанк-п,SBERP,155,22628567.0,69.16,69.0,70.11,69.14,69.63,69.0,325000,69.6,69.6,69.6,841282481.02,841282481.02,841282481.02,,3,-0.0027460615695909
TQBR,2013-06-24,Сбербанк-п,SBERP,157,18011234.0,68.64,67.76,69.28,68.08,68.85,67.76,261600,68.71,68.71,68.71,497829564.06,497829564.06,497829564.06,,3,-0.0179710144927535
TQBR,2013-06-25,Сбербанк-п,SBERP,219,31757025.0,68.63,68.07,69.0,68.1,68.57,68.07,463100,68.51,68.51,68.51,602626515.71,602626515.71,602626515.71,,3,0.0045749704840612
TQBR,2013-06-26,Сбербанк-п,SBERP,319,31557531.0,68.18,67.9,69.95,69.78,68.96,69.86,457600,69.02,69.02,69.02,752960531.8,752960531.8,752960531.8,,3,0.0262964595269576
TQBR,2013-06-27,Сбербанк-п,SBERP,300,31333684.0,70.4,69.28,70.62,69.85,69.75,69.5,449200,69.89,69.89,69.89,563892523.52,563892523.52,563892523.52,,3,-0.0051531634697967
TQBR,2013-06-28,Сбербанк-п,SBERP,220,16980619.0,70.32,67.36,70.5,69.98,70.23,67.36,241800,70.05,70.05,70.05,530126586.29,530126586.29,530126586.29,,3,-0.0307913669064748
TQBR,2013-07-01,Сбербанк-п,SBERP,208,15127823.0,69.91,69.79,71.4,71.2,70.66,71.26,214100,70.66,70.66,70.66,359047564.31,359047564.31,359047564.31,,3,0.0578978622327791
TQBR,2013-07-02,Сбербанк-п,SBERP,82,10327890.0,71.09,70.63,71.73,71.06,71.03,70.82,145400,71.18,71.18,71.18,359242958.11,359242958.11,359242958.11,,3,-0.0061745719898963
