BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Селигдар,SELG,4,4626.2,5.939,5.689,5.939,5.814,5.783,5.818,800,,5.847,,0.0,944838.7,0.0,,3,0.0
TQBR,2014-06-10,Селигдар,SELG,22,36583.3,5.879,5.551,5.9,5.648,5.628,5.648,6500,,5.838,,0.0,981422.0,0.0,,3,-0.0292196631144723
TQBR,2014-06-11,Селигдар,SELG,31,36764.5,5.688,5.501,5.688,5.583,5.57,5.595,6600,,5.828,,0.0,1018186.5,0.0,,3,-0.0093838526912181
TQBR,2014-06-16,Селигдар,SELG,147,5253648.6,5.507,5.1,5.9,5.416,5.865,5.416,895700,5.865,5.865,5.865,5253648.6,5253648.6,5253648.6,,3,-0.0319928507596066
TQBR,2014-06-17,Селигдар,SELG,53,206612.3,5.399,5.383,5.538,5.537,5.452,5.538,37900,,5.852,,0.0,5307581.9,0.0,,3,0.0225258493353027
TQBR,2014-06-18,Селигдар,SELG,9,8776.6,5.478,5.477,5.538,5.538,5.485,5.538,1600,,5.852,,0.0,5316358.5,0.0,,3,0.0
TQBR,2014-06-19,Селигдар,SELG,151,5554394.0,5.52,5.403,5.97,5.884,5.948,5.884,933900,5.948,5.948,5.948,5554394.0,5554394.0,5554394.0,,3,0.0624774286746117
TQBR,2014-06-20,Селигдар,SELG,80,123192.8,5.818,5.56,5.85,5.735,5.784,5.8,21300,,5.965,,0.0,4837693.2,0.0,,3,-0.0142760027192387
TQBR,2014-06-23,Селигдар,SELG,13,12159.9,5.838,5.741,5.85,5.746,5.79,5.745,2100,,5.965,,0.0,4849853.1,0.0,,3,-0.0094827586206896
TQBR,2014-06-24,Селигдар,SELG,127,401027.5,5.657,5.505,5.88,5.799,5.68,5.799,70600,,5.703,,0.0,501304.1,0.0,,3,0.0093994778067885
TQBR,2014-06-25,Селигдар,SELG,2,1159.7,5.798,5.798,5.799,5.799,5.799,5.799,200,,5.703,,0.0,500124.2,0.0,,3,0.0
TQBR,2014-06-26,Селигдар,SELG,27,236609.6,5.783,5.783,5.87,5.833,5.828,5.866,40600,,5.728,,0.0,500043.5,0.0,,3,0.0115537161579581
TQBR,2014-06-27,Селигдар,SELG,48,164668.5,5.656,5.5,5.995,5.887,5.659,5.887,29100,,5.761,,0.0,500067.1,0.0,,3,0.003579952267303
TQBR,2014-06-30,Селигдар,SELG,254,1563653.6,5.899,4.999,5.899,4.999,5.118,4.999,305500,5.118,5.118,5.118,1563653.6,1563653.6,1563653.6,,3,-0.1508408357397656
TQBR,2014-07-01,Селигдар,SELG,216,767521.5,4.999,4.452,5.076,4.735,4.643,4.735,165300,4.641,4.641,4.641,763522.3,763522.3,763522.3,,3,-0.0528105621124223
TQBR,2014-07-02,Селигдар,SELG,231,2201092.4,4.702,4.348,5.0,4.83,4.918,4.83,447600,4.918,4.918,4.918,2201092.4,2201092.4,2201092.4,,3,0.0200633579725448
TQBR,2014-07-03,Селигдар,SELG,17,25975.5,4.869,4.804,4.919,4.808,4.81,4.808,5400,,4.993,,0.0,1548933.4,0.0,,3,-0.0045548654244306
TQBR,2014-07-04,Селигдар,SELG,104,240798.8,4.867,4.7,4.939,4.898,4.759,4.898,50600,,4.96,,0.0,1789732.2,0.0,,3,0.0187188019966721
TQBR,2014-07-07,Селигдар,SELG,151,252586.7,4.772,4.501,4.95,4.874,4.748,4.935,53200,,4.754,,0.0,501078.3,0.0,,3,0.0075541037158023
TQBR,2014-07-08,Селигдар,SELG,62,107657.7,4.947,4.773,4.95,4.878,4.871,4.898,22100,,4.775,,0.0,512324.7,0.0,,3,-0.0074974670719351
TQBR,2014-07-09,Селигдар,SELG,27,44884.2,5.02,4.756,5.02,4.8,4.826,4.8,9300,,4.779,,0.0,556706.9,0.0,,3,-0.0200081665986116
TQBR,2014-07-10,Селигдар,SELG,66,120677.2,5.048,4.771,5.048,4.913,4.866,4.913,24800,,4.806,,0.0,502268.1,0.0,,3,0.0235416666666667
TQBR,2014-07-11,Селигдар,SELG,22,103635.5,5.214,4.81,5.214,4.81,4.866,4.81,21300,,4.854,,0.0,501900.3,0.0,,3,-0.0209647872990027
TQBR,2014-07-14,Селигдар,SELG,33,143647.9,5.054,4.855,5.054,4.913,4.886,4.92,29400,,4.866,,0.0,503622.3,0.0,,3,0.0228690228690229
TQBR,2014-07-15,Селигдар,SELG,10,25530.3,4.917,4.863,4.92,4.915,4.91,4.915,5200,,4.865,,0.0,504485.1,0.0,,3,-0.0010162601626016
