BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2018-01-03,ЭсЭфАй ао,SFIN,360,25194450,773.5,762.0,781.5,780.0,772.0,780.0,32640,772.0,772.0,780.0,25194450,25194450,25194450.0,,3,0.0
TQBR,2018-01-04,ЭсЭфАй ао,SFIN,424,24988725,785.0,770.0,790.0,789.0,784.0,789.0,31870,784.0,784.0,789.0,24988725,24988725,24988725.0,,3,0.0115384615384615
TQBR,2018-01-05,ЭсЭфАй ао,SFIN,315,23379865,800.0,776.0,820.0,776.5,789.5,776.5,29620,789.5,789.5,776.5,23379865,23379865,23379865.0,,3,-0.0158428390367553
TQBR,2018-01-09,ЭсЭфАй ао,SFIN,675,117135760,762.0,762.0,783.5,770.0,774.0,770.0,151360,774.0,774.0,770.0,117135760,117135760,117135760.0,,3,-0.0083708950418544
TQBR,2018-01-10,ЭсЭфАй ао,SFIN,930,58188075,773.0,765.5,780.0,780.0,774.0,780.0,75160,774.0,774.0,780.0,58188075,58188075,58188075.0,,3,0.0129870129870129
TQBR,2018-01-11,ЭсЭфАй ао,SFIN,875,35203570,765.0,765.0,783.5,770.5,779.0,770.5,45180,779.0,779.0,770.5,35203570,35203570,35203570.0,,3,-0.0121794871794871
TQBR,2018-01-12,ЭсЭфАй ао,SFIN,908,36311600,782.5,770.0,782.5,779.0,778.0,779.0,46660,778.0,778.0,779.0,36311600,36311600,36311600.0,,3,0.0110317975340687
TQBR,2018-01-15,ЭсЭфАй ао,SFIN,1062,35610120,755.0,746.0,784.5,779.5,779.0,779.5,45720,779.0,779.0,779.5,35610120,35610120,35610120.0,,3,0.0006418485237483
TQBR,2018-01-16,ЭсЭфАй ао,SFIN,987,35917365,780.0,772.0,780.0,778.0,778.0,778.0,46180,778.0,778.0,778.0,35917365,35917365,35917365.0,,3,-0.0019243104554201
TQBR,2018-01-17,ЭсЭфАй ао,SFIN,749,35415920,752.0,649.5,785.5,761.5,756.0,761.5,46850,756.0,756.0,761.5,35415920,35415920,35415920.0,,3,-0.0212082262210796
TQBR,2018-01-18,ЭсЭфАй ао,SFIN,946,40875810,763.5,751.0,765.0,765.0,764.5,765.0,53480,764.5,764.5,765.0,40875810,40875810,40875810.0,,3,0.0045961917268548
TQBR,2018-01-19,ЭсЭфАй ао,SFIN,1000,35048815,767.0,767.0,773.0,767.5,769.5,767.0,45560,769.5,769.5,767.5,35048815,35048815,35048815.0,,3,0.0026143790849673
TQBR,2018-01-22,ЭсЭфАй ао,SFIN,940,35152350,769.0,749.5,770.0,749.5,769.0,749.5,45720,769.0,769.0,749.5,35152350,35152350,35152350.0,,3,-0.0228161668839634
TQBR,2018-01-23,ЭсЭфАй ао,SFIN,1059,35568105,769.5,767.0,770.0,769.0,768.5,769.0,46270,768.5,768.5,769.0,35568105,35568105,35568105.0,,3,0.0260173448965977
TQBR,2018-01-24,ЭсЭфАй ао,SFIN,988,35159255,765.5,753.0,765.5,763.5,763.5,764.0,46060,763.5,763.5,763.5,35159255,35159255,35159255.0,,3,-0.0065019505851755
TQBR,2018-01-25,ЭсЭфАй ао,SFIN,979,35845530,769.0,750.0,770.0,750.0,766.0,750.0,46810,766.0,766.0,750.0,35845530,35845530,35845530.0,,3,-0.0183246073298429
TQBR,2018-01-26,ЭсЭфАй ао,SFIN,1012,35857125,753.0,735.0,754.0,735.0,745.0,735.0,48120,745.0,745.0,735.0,35857125,35857125,35857125.0,,3,-0.02
TQBR,2018-01-29,ЭсЭфАй ао,SFIN,409,30090325,725.5,720.0,739.5,721.5,730.0,722.0,41230,730.0,730.0,721.5,30090325,30090325,30090325.0,,3,-0.0176870748299319
TQBR,2018-01-30,ЭсЭфАй ао,SFIN,979,36217645,724.0,724.0,754.0,754.0,742.5,754.0,48770,742.5,742.5,754.0,36217645,36217645,36217645.0,,3,0.0443213296398892
TQBR,2018-01-31,ЭсЭфАй ао,SFIN,966,49519760,759.0,751.0,760.0,760.0,759.5,751.0,65220,759.5,759.5,760.0,49519760,49519760,49519760.0,,3,-0.0039787798408488
TQBR,2018-02-01,ЭсЭфАй ао,SFIN,989,35021025,758.5,757.5,759.5,758.5,759.0,758.0,46150,759.0,759.0,758.5,35021025,35021025,35021025.0,,3,0.0093209054593874
TQBR,2018-02-02,ЭсЭфАй ао,SFIN,1011,35686335,757.5,757.5,762.0,762.0,760.0,762.0,46960,760.0,760.0,762.0,35686335,35686335,35686335.0,,3,0.0052770448548812
TQBR,2018-02-05,ЭсЭфАй ао,SFIN,1077,35299910,763.0,739.5,763.0,757.5,757.5,759.0,46590,757.5,757.5,757.5,35299910,35299910,35299910.0,,3,-0.0039370078740157
TQBR,2018-02-06,ЭсЭфАй ао,SFIN,1154,35598380,759.0,748.0,760.0,760.0,759.0,760.0,46890,759.0,759.0,760.0,35598380,35598380,35598380.0,,3,0.0013175230566534
TQBR,2018-02-07,ЭсЭфАй ао,SFIN,939,35186150,759.0,748.0,775.0,775.0,759.0,775.0,46350,759.0,759.0,775.0,35186150,35186150,35186150.0,,3,0.0197368421052631
TQBR,2018-02-08,ЭсЭфАй ао,SFIN,995,35358410,758.5,755.5,759.5,759.0,759.0,759.0,46600,759.0,759.0,759.0,35358410,35358410,35358410.0,,3,-0.0206451612903225
TQBR,2018-02-09,ЭсЭфАй ао,SFIN,1002,35321045,760.5,740.0,762.5,749.5,761.0,749.5,46420,761.0,761.0,749.5,35321045,35321045,35321045.0,,3,-0.0125164690382081
TQBR,2018-02-12,ЭсЭфАй ао,SFIN,1250,34173365,746.0,746.0,768.5,766.0,762.5,766.5,44810,762.5,762.5,766.0,34173365,34173365,34173365.0,,3,0.0226817878585723
TQBR,2018-02-13,ЭсЭфАй ао,SFIN,961,33867640,759.0,750.0,760.0,758.5,758.5,759.0,44650,758.5,758.5,758.5,33867640,33867640,33867640.0,,3,-0.009784735812133
TQBR,2018-02-14,ЭсЭфАй ао,SFIN,856,33634215,760.0,746.5,760.5,754.5,752.0,754.5,44730,752.0,752.0,754.5,33634215,33634215,33634215.0,,3,-0.0059288537549407
TQBR,2018-02-15,ЭсЭфАй ао,SFIN,880,33103990,754.0,744.5,754.5,754.5,749.5,754.5,44180,749.5,749.5,754.5,33103990,33103990,33103990.0,,3,0.0
TQBR,2018-02-16,ЭсЭфАй ао,SFIN,812,36879595,754.5,746.5,754.5,747.5,747.5,749.5,49340,747.5,747.5,747.5,36879595,36879595,36879595.0,,3,-0.0066269052352551
TQBR,2018-02-19,ЭсЭфАй ао,SFIN,821,36731000,736.0,730.0,748.5,730.0,747.5,730.0,49150,747.5,747.5,730.0,36731000,36731000,36731000.0,,3,-0.0260173448965977
TQBR,2018-02-20,ЭсЭфАй ао,SFIN,833,35595405,748.0,745.0,748.0,747.0,746.5,747.0,47670,746.5,746.5,747.0,35595405,35595405,35595405.0,,3,0.0232876712328767
TQBR,2018-02-21,ЭсЭфАй ао,SFIN,818,38737830,747.0,737.5,751.0,751.0,747.0,751.0,51850,747.0,747.0,751.0,38737830,38737830,38737830.0,,3,0.0053547523427041
TQBR,2018-02-22,ЭсЭфАй ао,SFIN,608,48295370,747.5,738.0,748.0,748.0,747.0,748.0,64660,747.0,747.0,748.0,48295370,48295370,48295370.0,,3,-0.0039946737683089
TQBR,2018-02-26,ЭсЭфАй ао,SFIN,662,30720115,747.0,745.5,748.0,748.0,746.5,748.0,41150,746.5,746.5,748.0,30720115,30720115,30720115.0,,3,0.0
TQBR,2018-02-27,ЭсЭфАй ао,SFIN,846,138929215,747.5,742.5,749.0,748.0,748.0,748.0,185780,748.0,748.0,748.0,138929215,138929215,138929215.0,,3,0.0
