BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-11-01,iSFTL-гдр,SFTL,5909,40548692.94,570.0,456.0,570.0,512.9,524.67,512.9,79258,511.6,511.6,512.9,40548692.94,40548692.94,40548692.94,0,3,0.0
TQBR,2021-11-02,iSFTL-гдр,SFTL,6488,57997914.2,521.0,472.01,523.0,520.95,512.2,522.0,113233,512.2,512.2,520.95,57997914.2,57997914.2,57997914.2,0,3,0.0177422499512576
TQBR,2021-11-03,iSFTL-гдр,SFTL,3989,31060090.81,527.0,509.0,529.72,511.6,515.2,511.6,60287,515.2,515.2,511.6,31060090.81,31060090.81,31060090.81,0,3,-0.0199233716475095
TQBR,2021-11-05,iSFTL-гдр,SFTL,4254,33012992.52,511.62,498.0,520.4,507.0,509.77,507.0,64760,509.77,509.77,507.0,33012992.52,33012992.52,33012992.52,0,3,-0.0089913995308835
TQBR,2021-11-08,iSFTL-гдр,SFTL,4207,30548448.42,507.0,502.0,519.5,512.32,512.54,512.32,59602,512.54,512.54,512.32,30548448.42,30548448.42,30548448.42,0,3,0.0104930966469428
TQBR,2021-11-09,iSFTL-гдр,SFTL,2881,17104474.23,508.51,508.01,519.6,508.28,509.85,508.28,33548,509.85,509.85,508.28,17104474.23,17104474.23,17104474.23,0,3,-0.0078856964397253
TQBR,2021-11-10,iSFTL-гдр,SFTL,4111,28349428.98,504.05,501.1,510.5,502.1,505.07,502.4,56130,505.07,505.07,502.1,28349428.98,28349428.98,28349428.98,0,3,-0.0115684268513417
TQBR,2021-11-11,iSFTL-гдр,SFTL,4288,39200906.0,503.55,487.1,508.0,504.26,500.62,504.26,78304,500.62,500.62,504.26,39200906.0,39200906.0,39200906.0,0,3,0.003702229299363
TQBR,2021-11-12,iSFTL-гдр,SFTL,2614,26737024.17,505.65,491.0,514.16,512.97,509.29,512.97,52498,509.3,509.3,512.97,26737024.17,26737024.17,26737024.17,0,3,0.0172728354420339
TQBR,2021-11-15,iSFTL-гдр,SFTL,2786,14631400.29,513.85,503.1,514.3,507.0,509.66,507.0,28708,509.66,509.66,507.0,14631400.29,14631400.29,14631400.29,0,3,-0.0116381074916662
TQBR,2021-11-16,iSFTL-гдр,SFTL,2322,19734356.94,513.7,505.0,513.99,509.11,510.49,509.11,38658,510.49,510.49,509.11,19734356.94,19734356.94,19734356.94,0,3,0.0041617357001972
TQBR,2021-11-17,iSFTL-гдр,SFTL,1902,13791704.92,505.5,500.0,511.16,500.72,504.54,501.27,27335,504.54,504.54,500.72,13791704.92,13791704.92,13791704.92,0,3,-0.0153994225216555
TQBR,2021-11-18,iSFTL-гдр,SFTL,2310,18780591.67,501.27,492.85,506.0,497.15,501.4,497.2,37456,501.4,501.4,497.15,18780591.67,18780591.67,18780591.67,0,3,-0.0081193767829712
TQBR,2021-11-19,iSFTL-гдр,SFTL,2893,26628060.64,497.2,485.0,504.0,487.2,494.74,493.99,53822,494.74,494.74,487.2,26628060.64,26628060.64,26628060.64,0,3,-0.0064561544650039
TQBR,2021-11-22,iSFTL-гдр,SFTL,4393,64217353.1,493.99,460.8,495.0,485.54,489.43,485.54,131209,489.43,489.43,485.54,64217353.1,64217353.1,64217353.1,0,3,-0.0171056094252919
TQBR,2021-11-23,iSFTL-гдр,SFTL,2382,22806748.39,498.5,471.0,498.5,489.01,486.2,486.66,46908,486.2,486.2,489.01,22806748.39,22806748.39,22806748.39,0,3,0.0023067100547843
