BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Газпрнефть,SIBN,548,26063299.3,148.07,145.53,149.49,148.92,148.53,148.92,175470,148.53,148.53,148.53,26063299.3,26063299.3,26063299.3,,3,0.0
TQBR,2014-06-10,Газпрнефть,SIBN,262,7794554.1,148.84,148.02,149.7,149.11,148.95,149.11,52330,148.95,148.95,148.95,7794554.1,7794554.1,7794554.1,,3,0.0012758528068763
TQBR,2014-06-11,Газпрнефть,SIBN,715,26262369.3,149.01,148.9,154.99,152.5,150.69,152.5,174280,150.69,150.69,150.69,26262369.3,26262369.3,26262369.3,,3,0.0227348937026355
TQBR,2014-06-16,Газпрнефть,SIBN,424,25120034.5,152.77,151.18,153.25,153.0,152.7,153.0,164510,152.7,152.7,152.7,25120034.5,25120034.5,25120034.5,,3,0.0032786885245901
TQBR,2014-06-17,Газпрнефть,SIBN,612,22076368.9,153.0,153.0,156.99,155.5,155.06,155.5,142370,155.06,155.06,155.06,22068718.9,22068718.9,22068718.9,,3,0.0163398692810457
TQBR,2014-06-18,Газпрнефть,SIBN,754,35915963.6,155.99,154.37,157.5,156.69,155.82,156.69,230500,155.82,155.82,155.82,35915963.6,35915963.6,35915963.6,,3,0.007652733118971
TQBR,2014-06-19,Газпрнефть,SIBN,1033,55215503.7,156.02,152.63,157.5,153.5,154.8,153.5,356680,154.8,154.8,154.8,55176498.7,55176498.7,55176498.7,,3,-0.0203586699853213
TQBR,2014-06-20,Газпрнефть,SIBN,1784,67064422.4,149.03,148.21,151.85,150.61,150.39,150.61,445940,150.39,150.39,150.39,66849819.2,66849819.2,66849819.2,,3,-0.0188273615635178
TQBR,2014-06-23,Газпрнефть,SIBN,1049,24002618.1,149.98,148.3,152.88,151.59,150.52,151.59,159460,150.53,150.53,150.53,23962123.5,23962123.5,23962123.5,,3,0.0065068720536484
TQBR,2014-06-24,Газпрнефть,SIBN,516,12223363.5,150.45,150.45,152.25,151.18,151.49,151.18,80690,151.49,151.49,151.49,12218850.0,12218850.0,12218850.0,,3,-0.0027046638960353
