BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Сургнфгз-п,SNGSP,3810,348435218.3,27.5,27.313,27.59,27.48,27.492,27.48,12674200,27.492,27.492,27.492,348426968.3,348426968.3,348426968.3,,3,0.0
TQBR,2014-06-10,Сургнфгз-п,SNGSP,8798,385641688.8,27.394,27.311,27.58,27.55,27.475,27.55,14035900,27.475,27.475,27.475,385573203.8,385573203.8,385573203.8,,3,0.0025473071324599
TQBR,2014-06-11,Сургнфгз-п,SNGSP,9358,760214606.6,27.472,27.444,28.15,28.15,27.94,28.15,27208800,27.94,27.94,27.94,760159662.6,760159662.6,760159662.6,,3,0.0217785843920144
TQBR,2014-06-16,Сургнфгз-п,SNGSP,25833,1913160272.0,28.3,27.87,28.3,28.27,28.11,28.27,68059900,28.11,28.11,28.11,1912792372.0,1912792372.0,1912792372.0,,3,0.0042628774422735
TQBR,2014-06-17,Сургнфгз-п,SNGSP,9308,629284373.3,28.986,28.2,28.986,28.2,28.472,28.2,22101600,28.472,28.472,28.472,629278576.1,629278576.1,629278576.1,,3,-0.0024761230986912
TQBR,2014-06-18,Сургнфгз-п,SNGSP,12454,1091428151.6,28.2,28.2,29.1,29.1,28.792,29.1,37906800,28.793,28.793,28.793,1091236391.6,1091236391.6,1091236391.6,,3,0.0319148936170213
TQBR,2014-06-19,Сургнфгз-п,SNGSP,11068,854800596.8,29.475,28.364,29.475,28.411,28.816,28.411,29664000,28.815,28.815,28.815,853783709.3,853783709.3,853783709.3,,3,-0.0236769759450171
TQBR,2014-06-20,Сургнфгз-п,SNGSP,8789,595141043.9,28.551,27.859,28.551,27.859,28.124,27.859,21161600,28.123,28.123,28.123,594855533.9,594855533.9,594855533.9,,3,-0.0194290943648586
TQBR,2014-06-23,Сургнфгз-п,SNGSP,6697,568601512.8,28.001,27.998,28.489,28.25,28.272,28.25,20111600,28.272,28.272,28.272,568321502.8,568321502.8,568321502.8,,3,0.0140349617717792
TQBR,2014-06-24,Сургнфгз-п,SNGSP,11886,808779571.4,26.994,26.994,28.979,28.75,28.691,28.75,28189100,28.691,28.691,28.691,808671595.4,808671595.4,808671595.4,,3,0.0176991150442477
TQBR,2014-06-25,Сургнфгз-п,SNGSP,7303,523318201.4,28.502,28.126,29.099,28.16,28.584,28.16,18307800,28.584,28.584,28.584,523118687.4,523118687.4,523118687.4,,3,-0.0205217391304347
TQBR,2014-06-26,Сургнфгз-п,SNGSP,8562,554222690.1,28.381,27.962,28.59,28.185,28.253,28.185,19616400,28.253,28.253,28.253,554109166.1,554109166.1,554109166.1,,3,0.000887784090909
TQBR,2014-06-27,Сургнфгз-п,SNGSP,6881,403099191.7,28.499,28.044,28.499,28.255,28.26,28.255,14263700,28.257,28.257,28.257,397296795.3,397296795.3,397296795.3,,3,0.0024835905623558
