BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-11-19,СПБ Биржа,SPBE,33022,967252229.6,1005.1,875.6,1104.3,915.0,857.2,936.4,1061849,910.7,910.7,915.0,940412335.4,940412335.4,940412335.4,0,3,0.0
TQBR,2021-11-22,СПБ Биржа,SPBE,7928,388017911.7,938.0,910.0,969.8,936.1,940.2,969.4,412446,939.7,939.7,936.1,354623856.1,354623856.1,354623856.1,0,3,0.0352413498504912
TQBR,2021-11-23,СПБ Биржа,SPBE,2801,94303048.8,960.0,945.3,962.5,959.9,954.2,958.0,98786,954.8,954.8,959.9,90509187.0,90509187.0,90509187.0,0,3,-0.0117598514545079
TQBR,2021-11-24,СПБ Биржа,SPBE,4782,218669536.3,959.8,938.0,1008.7,990.0,973.3,1007.8,224679,971.2,971.2,990.0,201704949.4,201704949.4,201704949.4,0,3,0.051983298538622
TQBR,2021-11-25,СПБ Биржа,SPBE,4088,108132161.5,990.0,980.0,1050.1,1012.0,1007.2,1040.5,107351,997.7,997.7,1012.0,78259324.4,78259324.4,78259324.4,0,3,0.032446914070252
TQBR,2021-11-26,СПБ Биржа,SPBE,9506,446919815.5,1035.0,991.4,1070.0,1030.0,1026.0,1036.0,435589,1025.8,1025.8,1030.0,436398649.6,436398649.6,436398649.6,0,3,-0.004324843825084
TQBR,2021-11-29,СПБ Биржа,SPBE,12485,304846168.8,1036.0,997.8,1036.0,1015.0,1009.9,1026.7,301776,1009.8,1009.8,1015.0,286175450.4,286175450.4,286175450.4,0,3,-0.0089768339768339
TQBR,2021-11-30,СПБ Биржа,SPBE,4226,187513125.0,1019.9,979.9,1029.4,984.0,1005.7,997.0,186565,1005.7,1005.7,984.0,177621043.4,177621043.4,177621043.4,0,3,-0.0289276322197331
TQBR,2021-12-01,СПБ Биржа,SPBE,3729,129834192.7,999.9,975.0,1015.0,998.0,1004.7,1008.3,129165,1005.2,1005.2,998.0,123418747.8,123418747.8,123418747.8,0,3,0.011334002006018
TQBR,2021-12-02,СПБ Биржа,SPBE,7226,166130959.6,1009.9,976.6,1009.9,981.5,991.7,983.5,167633,991.6,991.6,981.5,151354885.7,151354885.7,151354885.7,0,3,-0.0245958544084101
TQBR,2021-12-03,СПБ Биржа,SPBE,4095,167969768.2,983.2,952.0,993.0,967.9,972.9,975.0,172654,972.9,972.9,967.9,164045443.1,164045443.1,164045443.1,0,3,-0.0086426029486527
TQBR,2021-12-06,СПБ Биржа,SPBE,1886,67301262.5,974.8,940.4,974.8,944.0,953.9,973.1,70557,953.0,953.0,944.0,39676378.0,39676378.0,39676378.0,0,3,-0.0019487179487179
TQBR,2021-12-07,СПБ Биржа,SPBE,1613,94415038.3,975.0,960.7,1004.5,1000.0,983.2,1000.0,96032,982.4,982.4,1000.0,89616243.5,89616243.5,89616243.5,0,3,0.0276436131949439
