BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,СОЛЛЕРС,SVAV,751,33633402,647.6,625.0,649.6,648.0,641.7,648.0,52410,641.7,641.7,641.7,33626926,33626926,33626926.0,,3,0.0
TQBR,2014-06-10,СОЛЛЕРС,SVAV,806,23222914,590.0,587.1,598.0,593.0,592.6,593.0,39190,592.6,592.6,592.6,23051814,23051814,23051814.0,,3,-0.0848765432098765
TQBR,2014-06-11,СОЛЛЕРС,SVAV,487,24529686,593.0,575.0,594.3,583.3,579.5,584.0,42330,579.5,579.5,579.5,24529686,24529686,24529686.0,,3,-0.0151770657672849
TQBR,2014-06-16,СОЛЛЕРС,SVAV,1001,21942198,580.2,560.0,589.9,575.4,568.3,575.4,38610,568.3,568.3,568.3,21942198,21942198,21942198.0,,3,-0.0147260273972603
TQBR,2014-06-17,СОЛЛЕРС,SVAV,529,10326483,572.1,560.0,572.2,569.5,567.4,569.5,18200,567.4,567.4,567.4,10326483,10326483,10326483.0,,3,-0.0102537365311087
TQBR,2014-06-18,СОЛЛЕРС,SVAV,169,3411804,566.4,565.0,569.7,565.0,566.7,565.0,6020,566.7,566.7,566.7,3411804,3411804,3411804.0,,3,-0.0079016681299385
TQBR,2014-06-19,СОЛЛЕРС,SVAV,156,4075387,568.7,561.2,570.0,567.6,566.0,567.6,7200,566.0,566.0,566.0,4075387,4075387,4075387.0,,3,0.0046017699115044
TQBR,2014-06-20,СОЛЛЕРС,SVAV,98,1761485,564.2,561.8,572.9,571.0,568.2,571.0,3100,568.2,568.2,568.2,1761485,1761485,1761485.0,,3,0.0059901338971106
TQBR,2014-06-23,СОЛЛЕРС,SVAV,144,3987967,567.3,562.0,579.4,575.8,575.5,575.8,6930,575.5,575.5,575.5,3987967,3987967,3987967.0,,3,0.0084063047285463
TQBR,2014-06-24,СОЛЛЕРС,SVAV,332,12983678,579.4,576.3,588.6,585.5,582.0,585.5,22310,582.0,582.0,582.0,12983678,12983678,12983678.0,,3,0.0168461271274748
TQBR,2014-06-25,СОЛЛЕРС,SVAV,267,6861296,581.6,569.9,589.9,580.1,580.0,580.1,11830,580.0,580.0,580.0,6861296,6861296,6861296.0,,3,-0.0092228864218616
TQBR,2014-06-26,СОЛЛЕРС,SVAV,300,7119026,581.8,580.0,588.9,588.4,585.4,588.4,12160,585.4,585.4,585.4,7119026,7119026,7119026.0,,3,0.0143078779520771
TQBR,2014-06-27,СОЛЛЕРС,SVAV,250,9351627,589.0,585.1,596.8,595.0,590.0,595.0,15850,590.0,590.0,590.0,9351627,9351627,9351627.0,,3,0.0112168592794018
TQBR,2014-06-30,СОЛЛЕРС,SVAV,325,9810296,597.0,575.0,597.0,595.0,592.4,595.0,16560,592.4,592.4,592.4,9804326,9804326,9804326.0,,3,0.0
TQBR,2014-07-01,СОЛЛЕРС,SVAV,140,5040786,597.8,593.5,597.9,597.3,595.8,597.3,8460,595.8,595.8,595.8,5040786,5040786,5040786.0,,3,0.0038655462184873
TQBR,2014-07-02,СОЛЛЕРС,SVAV,150,1402928,598.0,594.9,598.0,597.2,597.0,597.0,2350,597.0,597.0,597.0,1402928,1402928,1402928.0,,3,-0.0005022601707683
TQBR,2014-07-03,СОЛЛЕРС,SVAV,175,2161610,598.9,596.1,599.0,597.9,597.1,597.6,3620,597.1,597.1,597.1,2161610,2161610,2161610.0,,3,0.0010050251256281
TQBR,2014-07-04,СОЛЛЕРС,SVAV,176,13561650,597.3,592.0,598.0,597.0,596.9,597.0,22720,596.9,596.9,596.9,13561650,13561650,13561650.0,,3,-0.001004016064257
TQBR,2014-07-07,СОЛЛЕРС,SVAV,117,2988290,617.1,582.5,617.1,595.9,595.3,595.9,5020,595.3,595.3,595.3,2988290,2988290,2988290.0,,3,-0.0018425460636516
TQBR,2014-07-08,СОЛЛЕРС,SVAV,301,9753947,598.5,588.1,618.0,618.0,610.0,618.0,15990,610.0,610.0,610.0,9753947,9753947,9753947.0,,3,0.03708675952341
TQBR,2014-07-09,СОЛЛЕРС,SVAV,170,4661834,617.0,611.0,617.0,616.0,614.2,616.0,7590,614.2,614.2,614.2,4661834,4661834,4661834.0,,3,-0.0032362459546925
TQBR,2014-07-10,СОЛЛЕРС,SVAV,185,7598854,617.5,602.3,618.0,615.1,611.3,615.1,12430,611.3,611.3,611.3,7598854,7598854,7598854.0,,3,-0.0014610389610389
TQBR,2014-07-11,СОЛЛЕРС,SVAV,149,4801111,617.9,600.0,620.0,600.0,610.1,600.0,7870,610.1,610.1,610.1,4801111,4801111,4801111.0,,3,-0.0245488538449033
TQBR,2014-07-14,СОЛЛЕРС,SVAV,73,2770119,602.4,602.3,612.0,610.7,610.2,611.0,4540,610.2,610.2,610.2,2770119,2770119,2770119.0,,3,0.0183333333333333
TQBR,2014-07-15,СОЛЛЕРС,SVAV,222,8209279,609.9,609.9,642.0,617.4,629.5,617.4,13040,629.5,629.5,629.5,8209279,8209279,8209279.0,,3,0.0104746317512274
TQBR,2014-07-16,СОЛЛЕРС,SVAV,219,2763966,623.3,610.1,623.4,621.0,615.6,621.0,4490,615.6,615.6,615.6,2763966,2763966,2763966.0,,3,0.0058309037900875
TQBR,2014-07-17,СОЛЛЕРС,SVAV,131,4277774,620.0,605.2,621.0,609.0,607.6,609.0,7040,607.6,607.6,607.6,4277774,4277774,4277774.0,,3,-0.0193236714975845
TQBR,2014-07-18,СОЛЛЕРС,SVAV,139,1784865,606.4,595.0,607.5,597.0,598.9,597.0,2980,598.9,598.9,598.9,1784865,1784865,1784865.0,,3,-0.0197044334975369
TQBR,2014-07-21,СОЛЛЕРС,SVAV,248,5984981,596.0,575.0,598.5,580.0,581.1,580.0,10300,581.1,581.1,581.1,5984981,5984981,5984981.0,,3,-0.0284757118927973
TQBR,2014-07-22,СОЛЛЕРС,SVAV,329,12226195,584.4,576.0,585.3,582.9,580.5,582.9,21060,580.5,580.5,580.5,12226195,12226195,12226195.0,,3,0.0049999999999999
TQBR,2014-07-23,СОЛЛЕРС,SVAV,73,1104859,578.2,577.1,585.8,583.3,581.5,583.3,1900,581.5,581.5,581.5,1104859,1104859,1104859.0,,3,0.0006862240521529
TQBR,2014-07-24,СОЛЛЕРС,SVAV,91,1875760,584.6,572.2,585.5,574.8,577.2,574.8,3250,577.2,577.2,577.2,1875760,1875760,1875760.0,,3,-0.0145722612720726
TQBR,2014-07-25,СОЛЛЕРС,SVAV,291,10996435,572.5,536.0,573.4,536.0,555.1,536.0,19810,555.1,555.1,555.1,10996435,10996435,10996435.0,,3,-0.0675017397355601
TQBR,2014-07-28,СОЛЛЕРС,SVAV,646,12364786,536.0,500.0,536.0,500.0,514.1,500.0,24050,514.1,514.1,514.1,12364786,12364786,12364786.0,,3,-0.0671641791044776
TQBR,2014-07-29,СОЛЛЕРС,SVAV,461,6994175,503.3,486.5,503.5,493.5,493.6,493.5,14170,493.6,493.6,493.6,6994175,6994175,6994175.0,,3,-0.013
TQBR,2014-07-30,СОЛЛЕРС,SVAV,229,8200572,493.5,493.5,518.5,515.0,513.2,515.0,15980,513.2,513.2,513.2,8200572,8200572,8200572.0,,3,0.0435663627152988
TQBR,2014-07-31,СОЛЛЕРС,SVAV,207,8627515,516.0,510.0,557.9,535.4,533.6,535.4,16170,533.6,533.6,533.6,8627515,8627515,8627515.0,,3,0.0396116504854368
TQBR,2014-08-01,СОЛЛЕРС,SVAV,267,7157307,496.6,496.6,541.9,534.6,532.5,535.0,13440,532.6,532.6,532.6,7152341,7152341,7152341.0,,3,-0.0007471049682479
TQBR,2014-08-04,СОЛЛЕРС,SVAV,97,2316279,539.9,531.0,540.1,536.0,536.2,536.0,4320,536.2,536.2,536.2,2316279,2316279,2316279.0,,3,0.0018691588785046
TQBR,2014-08-05,СОЛЛЕРС,SVAV,115,2202991,543.4,522.0,543.4,522.7,525.8,522.7,4190,525.8,525.8,525.8,2202991,2202991,2202991.0,,3,-0.0248134328358208
TQBR,2014-08-06,СОЛЛЕРС,SVAV,105,2505934,519.7,517.4,529.8,521.5,524.3,521.5,4780,524.3,524.3,524.3,2505934,2505934,2505934.0,,3,-0.0022957719533193
TQBR,2014-08-07,СОЛЛЕРС,SVAV,165,2803582,523.0,508.1,523.0,516.0,514.4,516.0,5450,514.4,514.4,514.4,2803582,2803582,2803582.0,,3,-0.0105465004793863
TQBR,2014-08-08,СОЛЛЕРС,SVAV,276,4051494,525.0,505.3,525.0,511.0,509.6,511.0,7950,509.6,509.6,509.6,4051494,4051494,4051494.0,,3,-0.0096899224806201
TQBR,2014-08-11,СОЛЛЕРС,SVAV,133,11124860,511.0,509.9,540.0,527.9,522.5,527.9,21290,522.5,522.5,522.5,11119750,11119750,11119750.0,,3,0.0330724070450097
TQBR,2014-08-12,СОЛЛЕРС,SVAV,116,3274664,526.2,513.2,527.9,515.8,519.0,515.8,6310,519.0,519.0,519.0,3274664,3274664,3274664.0,,3,-0.0229210077666225
TQBR,2014-08-13,СОЛЛЕРС,SVAV,125,3298116,526.8,507.3,531.9,517.6,518.6,517.6,6360,518.6,518.6,518.6,3298116,3298116,3298116.0,,3,0.003489724699496
TQBR,2014-08-14,СОЛЛЕРС,SVAV,440,13748953,512.7,512.7,545.5,530.0,530.8,530.0,25900,530.8,530.8,530.8,13748953,13748953,13748953.0,,3,0.0239567233384852
TQBR,2014-08-15,СОЛЛЕРС,SVAV,127,5456075,525.9,521.4,531.9,528.6,526.1,529.5,10370,526.1,526.1,526.1,5456075,5456075,5456075.0,,3,-0.000943396226415
TQBR,2014-08-18,СОЛЛЕРС,SVAV,109,1650073,534.0,525.0,536.5,527.9,530.6,527.9,3110,530.6,530.6,530.6,1650073,1650073,1650073.0,,3,-0.0030217186024551
TQBR,2014-08-19,СОЛЛЕРС,SVAV,136,6693518,525.0,522.1,540.0,538.7,534.2,538.7,12530,534.2,534.2,534.2,6693518,6693518,6693518.0,,3,0.0204584201553325
TQBR,2014-08-20,СОЛЛЕРС,SVAV,224,9845033,542.1,536.6,553.6,544.0,546.3,544.0,18020,546.3,546.3,546.3,9845033,9845033,9845033.0,,3,0.0098385000928159
TQBR,2014-08-21,СОЛЛЕРС,SVAV,180,5515721,544.4,544.3,557.3,557.2,552.1,557.2,9990,552.1,552.1,552.1,5515721,5515721,5515721.0,,3,0.024264705882353
TQBR,2014-08-22,СОЛЛЕРС,SVAV,223,4009110,559.0,555.0,563.9,562.9,558.4,562.9,7180,558.4,558.4,558.4,4009110,4009110,4009110.0,,3,0.0102297200287148
TQBR,2014-08-25,СОЛЛЕРС,SVAV,128,2990772,512.5,512.5,570.8,569.0,563.2,569.0,5310,564.7,564.7,564.7,2913897,2913897,2913897.0,,3,0.0108367383194173
TQBR,2014-08-26,СОЛЛЕРС,SVAV,120,2435393,568.9,568.9,576.0,573.5,573.0,573.5,4250,573.0,573.0,573.0,2429704,2429704,2429704.0,,3,0.007908611599297
TQBR,2014-08-27,СОЛЛЕРС,SVAV,243,4741678,574.9,574.9,586.0,580.1,581.8,580.1,8150,581.8,581.8,581.8,4741678,4741678,4741678.0,,3,0.0115082824760244
TQBR,2014-08-28,СОЛЛЕРС,SVAV,548,16778162,551.8,530.1,587.0,560.0,569.5,560.0,29460,569.6,569.6,569.6,16689874,16689874,16689874.0,,3,-0.0346491984140665
TQBR,2014-08-29,СОЛЛЕРС,SVAV,233,5544066,555.8,530.0,567.0,530.0,550.0,530.0,10080,550.0,550.0,550.0,5544066,5544066,5544066.0,,3,-0.0535714285714285
TQBR,2014-09-01,СОЛЛЕРС,SVAV,197,4339836,530.5,530.0,550.0,536.3,540.5,539.8,8030,540.5,540.5,540.5,4339836,4339836,4339836.0,,3,0.0184905660377357
TQBR,2014-09-02,СОЛЛЕРС,SVAV,157,2964098,538.6,530.7,559.9,539.9,541.9,539.9,5470,541.9,541.9,541.9,2964098,2964098,2964098.0,,3,0.0001852537977028
TQBR,2014-09-03,СОЛЛЕРС,SVAV,326,13658051,548.7,539.6,556.0,544.7,546.3,544.7,25000,546.3,546.3,546.3,13658051,13658051,13658051.0,,3,0.008890535284312
TQBR,2014-09-04,СОЛЛЕРС,SVAV,134,2075830,546.0,532.7,547.6,538.0,540.6,538.0,3840,540.6,540.6,540.6,2075830,2075830,2075830.0,,3,-0.012300348815862
TQBR,2014-09-05,СОЛЛЕРС,SVAV,305,11729880,542.3,529.0,542.3,533.6,531.5,533.6,22070,531.5,531.5,531.5,11729880,11729880,11729880.0,,3,-0.0081784386617099
TQBR,2014-09-08,СОЛЛЕРС,SVAV,141,10457814,534.0,525.3,534.3,526.8,530.9,526.8,19700,530.9,530.9,530.9,10457814,10457814,10457814.0,,3,-0.0127436281859071
TQBR,2014-09-09,СОЛЛЕРС,SVAV,479,18883968,533.4,498.5,533.4,502.0,511.2,502.0,36940,511.2,511.2,511.2,18883968,18883968,18883968.0,,3,-0.0470766894457098
TQBR,2014-09-10,СОЛЛЕРС,SVAV,1605,31864890,505.6,486.0,515.0,487.8,496.6,487.8,64160,496.6,496.6,496.6,31864890,31864890,31864890.0,,3,-0.0282868525896414
TQBR,2014-09-11,СОЛЛЕРС,SVAV,460,8540737,494.3,488.0,496.0,488.6,490.3,488.6,17420,490.3,490.3,490.3,8540737,8540737,8540737.0,,3,0.001640016400164
TQBR,2014-09-12,СОЛЛЕРС,SVAV,420,15231769,491.8,490.3,509.8,495.5,497.3,495.5,30630,497.3,497.3,497.3,15231769,15231769,15231769.0,,3,0.0141219811706917
TQBR,2014-09-15,СОЛЛЕРС,SVAV,1295,21314296,498.0,476.0,500.0,477.3,483.9,477.3,44050,483.9,483.9,483.9,21314296,21314296,21314296.0,,3,-0.0367305751765892
TQBR,2014-09-16,СОЛЛЕРС,SVAV,1173,22300204,429.9,429.9,481.0,464.3,461.2,464.3,48350,461.3,461.3,461.3,22235719,22235719,22235719.0,,3,-0.0272365388644458
TQBR,2014-09-17,СОЛЛЕРС,SVAV,568,20404626,463.2,438.1,463.2,438.1,442.5,438.1,46110,442.5,442.5,442.5,20399994,20399994,20399994.0,,3,-0.0564290329528321
