BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-01-15,Светофор,SVET,0,0.0,,,,,69.0,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-01-18,Светофор,SVET,629,5110201.6,70.0,70.0,105.14,105.13,89.05,105.13,55470,92.13,92.13,105.13,5110201.6,5110201.6,5110201.6,0,3,0.0
TQBR,2021-01-19,Светофор,SVET,4236,45319454.5,114.0,114.0,147.14,147.14,140.12,147.14,317130,142.9,142.9,147.14,45319454.5,45319454.5,45319454.5,0,3,0.3996004946257014
TQBR,2021-01-20,Светофор,SVET,2921,23994191.6,150.0,133.0,150.0,138.82,140.74,138.82,169000,141.98,141.98,138.82,23994191.6,23994191.6,23994191.6,0,3,-0.0565447872774228
TQBR,2021-01-21,Светофор,SVET,2430,27192099.2,139.0,138.82,145.0,142.25,141.68,142.25,191550,141.96,141.96,142.25,27192099.2,27192099.2,27192099.2,0,3,0.0247082552946261
TQBR,2021-01-22,Светофор,SVET,909,5953060.6,145.9,128.2,145.9,131.56,132.06,131.5,45080,132.06,132.06,131.56,5953060.6,5953060.6,5953060.6,0,3,-0.0755711775043936
TQBR,2021-01-25,Светофор,SVET,354,2545367.4,131.02,131.02,136.0,132.04,132.43,132.04,19220,132.43,132.43,132.04,2545367.4,2545367.4,2545367.4,0,3,0.0041064638783269
TQBR,2021-01-26,Светофор,SVET,819,6523521.7,130.2,122.0,130.77,123.14,123.88,123.14,52660,123.88,123.88,123.14,6523521.7,6523521.7,6523521.7,0,3,-0.0674038170251438
TQBR,2021-01-27,Светофор,SVET,207,1276583.6,123.0,123.0,128.0,123.71,123.94,123.7,10300,123.94,123.94,123.71,1276583.6,1276583.6,1276583.6,0,3,0.0045476693194737
TQBR,2021-01-28,Светофор,SVET,400,4654264.8,124.0,116.9,124.88,121.0,120.36,121.0,38670,120.36,120.36,121.0,4654264.8,4654264.8,4654264.8,0,3,-0.0218270008084074
TQBR,2021-01-29,Светофор,SVET,215,2076760.6,121.97,117.0,122.0,118.51,118.94,118.51,17460,118.94,118.94,118.51,2076760.6,2076760.6,2076760.6,0,3,-0.0205785123966941
TQBR,2021-02-01,Светофор,SVET,307,2869224.8,118.0,115.45,119.0,116.01,116.4,116.0,24650,116.4,116.4,116.01,2869224.8,2869224.8,2869224.8,0,3,-0.0211796472871488
