BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,Татнфт 3ап,TATNP,0,0.0,,,,97.49,,,0,96.97,96.97,96.97,83155298.2,83155298.2,83155298.2,,3,0.0
TQBR,2013-07-09,Татнфт 3ап,TATNP,0,0.0,,,,97.23,,,0,97.64,97.64,97.64,18676625.2,18676625.2,18676625.2,,3,0.0
TQBR,2013-07-10,Татнфт 3ап,TATNP,0,0.0,,,,97.19,,,0,97.05,97.05,97.05,13448865.1,13448865.1,13448865.1,,3,0.0
TQBR,2013-07-11,Татнфт 3ап,TATNP,0,0.0,,,,97.64,,,0,97.81,97.81,97.81,46792029.9,46792029.9,46792029.9,,3,0.0
TQBR,2013-07-12,Татнфт 3ап,TATNP,0,0.0,,,,98.0,,,0,97.7,97.7,97.7,47484101.7,47484101.7,47484101.7,,3,0.0
TQBR,2013-07-15,Татнфт 3ап,TATNP,0,0.0,,,,97.95,,,0,98.25,98.25,98.25,16423151.6,16423151.6,16423151.6,,3,0.0
TQBR,2013-07-16,Татнфт 3ап,TATNP,0,0.0,,,,98.69,,,0,98.83,98.83,98.83,10623391.8,10623391.8,10623391.8,,3,0.0
TQBR,2013-07-17,Татнфт 3ап,TATNP,0,0.0,,,,99.86,,,0,99.22,99.22,99.22,17096293.5,17096293.5,17096293.5,,3,0.0
TQBR,2013-07-18,Татнфт 3ап,TATNP,0,0.0,,,,98.9,,,0,99.28,99.28,99.28,35227080.3,35227080.3,35227080.3,,3,0.0
TQBR,2013-07-19,Татнфт 3ап,TATNP,1,989.5,98.95,98.95,98.95,98.76,98.95,98.95,10,98.69,98.69,98.69,13217435.0,13217435.0,13217435.0,,3,0.0
TQBR,2013-07-22,Татнфт 3ап,TATNP,0,0.0,,,,99.31,,,0,98.61,98.61,98.61,5961717.9,5961717.9,5961717.9,,3,0.0
TQBR,2013-07-23,Татнфт 3ап,TATNP,0,0.0,,,,100.19,,,0,100.07,100.07,100.07,31065120.8,31065120.8,31065120.8,,3,0.0
TQBR,2013-07-24,Татнфт 3ап,TATNP,0,0.0,,,,98.9,,,0,99.27,99.27,99.27,24312108.1,24312108.1,24312108.1,,3,0.0
TQBR,2013-07-25,Татнфт 3ап,TATNP,0,0.0,,,,99.21,,,0,99.13,99.13,99.13,8814331.3,8814331.3,8814331.3,,3,0.0
TQBR,2013-07-26,Татнфт 3ап,TATNP,0,0.0,,,,99.44,,,0,99.37,99.37,99.37,9737783.4,9737783.4,9737783.4,,3,0.0
TQBR,2013-07-29,Татнфт 3ап,TATNP,0,0.0,,,,100.33,,,0,100.63,100.63,100.63,10486099.6,10486099.6,10486099.6,,3,0.0
TQBR,2013-07-30,Татнфт 3ап,TATNP,0,0.0,,,,100.17,,,0,100.82,100.82,100.82,13846433.2,13846433.2,13846433.2,,3,0.0
TQBR,2013-07-31,Татнфт 3ап,TATNP,0,0.0,,,,99.64,,,0,100.04,100.04,100.04,15546545.3,15546545.3,15546545.3,,3,0.0
TQBR,2013-08-01,Татнфт 3ап,TATNP,0,0.0,,,,101.13,,,0,100.99,100.99,100.99,15241682.9,15241682.9,15241682.9,,3,0.0
TQBR,2013-08-02,Татнфт 3ап,TATNP,0,0.0,,,,102.5,,,0,101.62,101.62,101.62,76476275.1,76476275.1,76476275.1,,3,0.0
TQBR,2013-08-05,Татнфт 3ап,TATNP,0,0.0,,,,102.95,,,0,102.6,102.6,102.6,3729581.7,3729581.7,3729581.7,,3,0.0
TQBR,2013-08-06,Татнфт 3ап,TATNP,0,0.0,,,,103.0,,,0,102.94,102.94,102.94,86631644.3,86631644.3,86631644.3,,3,0.0
TQBR,2013-08-07,Татнфт 3ап,TATNP,0,0.0,,,,102.91,,,0,102.9,102.9,102.9,14935428.5,14935428.5,14935428.5,,3,0.0
TQBR,2013-08-08,Татнфт 3ап,TATNP,0,0.0,,,,103.32,,,0,102.98,102.98,102.98,95980784.0,95980784.0,95980784.0,,3,0.0
TQBR,2013-08-09,Татнфт 3ап,TATNP,0,0.0,,,,103.12,,,0,102.98,102.98,102.98,15453795.6,15453795.6,15453795.6,,3,0.0
TQBR,2013-08-12,Татнфт 3ап,TATNP,0,0.0,,,,103.1,,,0,102.99,102.99,102.99,6065964.0,6065964.0,6065964.0,,3,0.0
TQBR,2013-08-13,Татнфт 3ап,TATNP,0,0.0,,,,103.86,,,0,103.52,103.52,103.52,11386834.2,11386834.2,11386834.2,,3,0.0
TQBR,2013-08-14,Татнфт 3ап,TATNP,0,0.0,,,,103.5,,,0,103.73,103.73,103.73,4202171.1,4202171.1,4202171.1,,3,0.0
TQBR,2013-08-15,Татнфт 3ап,TATNP,0,0.0,,,,103.51,,,0,103.59,103.59,103.59,5158569.1,5158569.1,5158569.1,,3,0.0
TQBR,2013-08-16,Татнфт 3ап,TATNP,0,0.0,,,,102.98,,,0,102.94,102.94,102.94,13743118.3,13743118.3,13743118.3,,3,0.0
TQBR,2013-08-19,Татнфт 3ап,TATNP,0,0.0,,,,102.95,,,0,103.04,103.04,103.04,44086642.1,44086642.1,44086642.1,,3,0.0
TQBR,2013-08-20,Татнфт 3ап,TATNP,0,0.0,,,,103.0,,,0,102.79,102.79,102.79,14083789.6,14083789.6,14083789.6,,3,0.0
TQBR,2013-08-21,Татнфт 3ап,TATNP,0,0.0,,,,103.25,,,0,103.14,103.14,103.14,38452431.0,38452431.0,38452431.0,,3,0.0
TQBR,2013-08-22,Татнфт 3ап,TATNP,0,0.0,,,,104.95,,,0,103.97,103.97,103.97,35752373.8,35752373.8,35752373.8,,3,0.0
TQBR,2013-08-23,Татнфт 3ап,TATNP,0,0.0,,,,104.43,,,0,103.93,103.93,103.93,1295946.4,1295946.4,1295946.4,,3,0.0
TQBR,2013-08-26,Татнфт 3ап,TATNP,0,0.0,,,,103.36,,,0,103.8,103.8,103.8,2036487.4,2036487.4,2036487.4,,3,0.0
TQBR,2013-08-27,Татнфт 3ап,TATNP,0,0.0,,,,102.05,,,0,103.2,103.2,103.2,9890423.8,9890423.8,9890423.8,,3,0.0
TQBR,2013-08-28,Татнфт 3ап,TATNP,0,0.0,,,,103.48,,,0,102.67,102.67,102.67,25895950.1,25895950.1,25895950.1,,3,0.0
TQBR,2013-08-29,Татнфт 3ап,TATNP,0,0.0,,,,103.44,,,0,103.18,103.18,103.18,4727675.9,4727675.9,4727675.9,,3,0.0
TQBR,2013-08-30,Татнфт 3ап,TATNP,0,0.0,,,,103.62,,,0,103.86,103.86,103.86,15407870.4,15407870.4,15407870.4,,3,0.0
TQBR,2013-09-02,Татнфт 3ап,TATNP,348,27179512.1,104.25,103.1,105.48,104.2,104.94,104.24,259010,104.94,104.94,104.94,27179512.1,27179512.1,27179512.1,,3,0.0
TQBR,2013-09-03,Татнфт 3ап,TATNP,547,34437498.7,104.87,103.5,105.49,105.48,105.01,105.3,327960,105.01,105.01,105.01,34437498.7,34437498.7,34437498.7,,3,0.0101688411358403
TQBR,2013-09-04,Татнфт 3ап,TATNP,237,6565504.5,105.3,103.58,105.75,105.46,104.76,105.51,62670,104.76,104.76,104.76,6565504.5,6565504.5,6565504.5,,3,0.001994301994302
TQBR,2013-09-05,Татнфт 3ап,TATNP,506,38641853.2,105.73,104.02,108.23,108.0,105.9,107.99,364890,105.9,105.9,105.9,38641853.2,38641853.2,38641853.2,,3,0.0235048810539284
TQBR,2013-09-06,Татнфт 3ап,TATNP,682,17615259.6,107.0,106.51,109.5,108.0,108.2,107.8,162810,108.2,108.2,108.2,17615259.6,17615259.6,17615259.6,,3,-0.0017594221687193
TQBR,2013-09-09,Татнфт 3ап,TATNP,783,11326350.1,108.5,107.11,109.99,109.5,108.87,109.5,104040,108.87,108.87,108.87,11326350.1,11326350.1,11326350.1,,3,0.0157699443413729
TQBR,2013-09-10,Татнфт 3ап,TATNP,759,32389432.2,109.74,107.92,109.74,108.67,108.81,109.0,297680,108.81,108.81,108.81,32389432.2,32389432.2,32389432.2,,3,-0.0045662100456621
TQBR,2013-09-11,Татнфт 3ап,TATNP,517,15153416.7,109.0,107.8,109.0,108.89,108.83,108.89,139240,108.83,108.83,108.83,15153416.7,15153416.7,15153416.7,,3,-0.0010091743119266
TQBR,2013-09-12,Татнфт 3ап,TATNP,575,36502453.7,108.35,105.02,109.15,109.0,108.96,109.14,335020,108.96,108.96,108.96,36502453.7,36502453.7,36502453.7,,3,0.0022958949398475
TQBR,2013-09-13,Татнфт 3ап,TATNP,567,30420410.0,109.13,108.55,109.49,108.98,109.05,109.0,278970,109.05,109.05,109.05,30420410.0,30420410.0,30420410.0,,3,-0.0012827560930914
TQBR,2013-09-16,Татнфт 3ап,TATNP,2567,81320643.3,109.0,108.11,109.87,109.42,109.12,109.09,745250,109.12,109.12,109.12,81320643.3,81320643.3,81320643.3,,3,0.0008256880733945
TQBR,2013-09-17,Татнфт 3ап,TATNP,297,131201122.1,108.8,108.38,109.05,108.52,108.98,109.0,1203930,108.98,108.98,108.98,131201122.1,131201122.1,131201122.1,,3,-0.0008250068750573
TQBR,2013-09-18,Татнфт 3ап,TATNP,635,64046152.7,109.79,107.22,109.79,107.79,109.07,108.51,587200,109.07,109.07,109.07,64045054.8,64045054.8,64045054.8,,3,-0.0044954128440366
