BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,Татнфт 3ао,TATN,0,0.0,,,,194.55,,,0,195.53,195.53,195.53,216015116.6,216015116.6,216015116.6,,3,0.0
TQBR,2013-07-09,Татнфт 3ао,TATN,0,0.0,,,,192.45,,,0,193.1,193.1,193.1,189888218.3,189888218.3,189888218.3,,3,0.0
TQBR,2013-07-10,Татнфт 3ао,TATN,1,1991.8,199.18,199.18,199.18,190.7,199.18,199.18,10,191.2,191.2,191.2,200736223.44,200736223.44,200736223.44,,3,0.0
TQBR,2013-07-11,Татнфт 3ао,TATN,2,37753.2,198.18,198.18,199.17,198.96,198.7,199.17,190,195.76,195.76,195.76,333828498.42,333828498.42,333828498.42,,3,-5.0205843960334e-05
TQBR,2013-07-12,Татнфт 3ао,TATN,1,20129.0,201.29,201.29,201.29,203.66,201.29,201.29,100,202.27,202.27,202.27,445656400.4,445656400.4,445656400.4,,3,0.010644173319275
TQBR,2013-07-15,Татнфт 3ао,TATN,0,0.0,,,,206.37,,,0,205.71,205.71,205.71,243444662.2,243444662.2,243444662.2,,3,0.0
TQBR,2013-07-16,Татнфт 3ао,TATN,0,0.0,,,,205.78,,,0,206.34,206.34,206.34,310460325.0,310460325.0,310460325.0,,3,0.0
TQBR,2013-07-17,Татнфт 3ао,TATN,5,165900.0,207.3,206.0,210.0,210.88,207.38,210.0,800,208.31,208.31,208.31,335788687.5,335788687.5,335788687.5,,3,0.0
TQBR,2013-07-18,Татнфт 3ао,TATN,4,83598.0,208.0,208.0,209.99,210.42,209.0,209.99,400,209.66,209.66,209.66,241153749.0,241153749.0,241153749.0,,3,-4.761904761900431e-05
TQBR,2013-07-19,Татнфт 3ао,TATN,18,462299.2,210.59,210.0,214.7,211.33,212.06,211.0,2180,211.62,211.62,211.62,195527014.3,195527014.3,195527014.3,,3,0.0048097528453735
TQBR,2013-07-22,Татнфт 3ао,TATN,3,85600.0,215.0,213.0,215.0,211.06,214.0,213.0,400,210.75,210.75,210.75,230565438.7,230565438.7,230565438.7,,3,0.0094786729857819
TQBR,2013-07-23,Татнфт 3ао,TATN,4,84240.0,211.2,210.0,211.2,210.45,210.6,210.0,400,210.81,210.81,210.81,226412731.2,226412731.2,226412731.2,,3,-0.0140845070422535
TQBR,2013-07-24,Татнфт 3ао,TATN,3,82800.0,207.0,207.0,207.0,206.37,207.0,207.0,400,206.86,206.86,206.86,285112314.7,285112314.7,285112314.7,,3,-0.0142857142857142
TQBR,2013-07-25,Татнфт 3ао,TATN,2,41200.0,206.0,206.0,206.0,206.47,206.0,206.0,200,205.21,205.21,205.21,199496510.6,199496510.6,199496510.6,,3,-0.0048309178743961
TQBR,2013-07-26,Татнфт 3ао,TATN,7,164200.0,209.0,203.0,209.0,203.59,205.25,204.0,800,205.79,205.79,205.79,176922331.9,176922331.9,176922331.9,,3,-0.0097087378640776
TQBR,2013-07-29,Татнфт 3ао,TATN,0,0.0,,,,202.43,,,0,202.48,202.48,202.48,168361028.3,168361028.3,168361028.3,,3,0.0
TQBR,2013-07-30,Татнфт 3ао,TATN,2,82100.0,205.0,205.0,205.5,203.03,205.25,205.5,400,204.82,204.82,204.82,261982839.5,261982839.5,261982839.5,,3,0.0
TQBR,2013-07-31,Татнфт 3ао,TATN,0,0.0,,,,203.68,,,0,204.05,204.05,204.05,370338996.1,370338996.1,370338996.1,,3,0.0
TQBR,2013-08-01,Татнфт 3ао,TATN,1,41200.0,206.0,206.0,206.0,206.88,206.0,206.0,200,205.27,205.27,205.27,275285300.1,275285300.1,275285300.1,,3,0.0
TQBR,2013-08-02,Татнфт 3ао,TATN,0,0.0,,,,205.57,,,0,206.25,206.25,206.25,229415146.66,229415146.66,229415146.66,,3,0.0
TQBR,2013-08-05,Татнфт 3ао,TATN,2,41800.0,209.0,209.0,209.0,208.18,209.0,209.0,200,208.24,208.24,208.24,197282331.65,197282331.65,197282331.65,,3,0.0
TQBR,2013-08-06,Татнфт 3ао,TATN,10,251028.0,205.7,201.0,209.0,200.75,202.44,201.13,1240,204.61,204.61,204.61,311256566.0,311256566.0,311256566.0,,3,-0.0376555023923445
TQBR,2013-08-07,Татнфт 3ао,TATN,3,64681.8,189.09,189.09,203.0,200.95,202.13,203.0,320,201.51,201.51,201.51,222418866.3,222418866.3,222418866.3,,3,0.0092974692984637
TQBR,2013-08-08,Татнфт 3ао,TATN,2,40300.0,201.5,201.5,201.5,204.08,201.5,201.5,200,202.41,202.41,202.41,192181050.3,192181050.3,192181050.3,,3,-0.0073891625615763
TQBR,2013-08-09,Татнфт 3ао,TATN,4,122700.0,205.0,203.5,205.0,206.74,204.5,205.0,600,205.15,205.15,205.15,163921209.5,163921209.5,163921209.5,,3,0.0173697270471464
TQBR,2013-08-12,Татнфт 3ао,TATN,0,0.0,,,,206.22,,,0,206.14,206.14,206.14,129467847.4,129467847.4,129467847.4,,3,0.0
TQBR,2013-08-13,Татнфт 3ао,TATN,7,188100.0,208.0,208.0,209.8,209.78,209.0,209.0,900,209.02,209.02,209.02,275762101.5,275762101.5,275762101.5,,3,0.0
TQBR,2013-08-14,Татнфт 3ао,TATN,3,94835.0,210.0,210.0,212.6,212.76,210.74,212.6,450,210.86,210.86,210.86,268858980.7,268858980.7,268858980.7,,3,0.017224880382775
TQBR,2013-08-15,Татнфт 3ао,TATN,6,143872.0,207.6,204.0,207.6,204.72,205.53,204.0,700,208.24,208.24,208.24,327920754.1,327920754.1,327920754.1,,3,-0.0404515522107243
TQBR,2013-08-16,Татнфт 3ао,TATN,0,0.0,,,,203.13,,,0,204.4,204.4,204.4,317838171.3,317838171.3,317838171.3,,3,0.0
TQBR,2013-08-19,Татнфт 3ао,TATN,5,175260.0,204.4,204.4,208.0,207.75,206.19,208.0,850,205.53,205.53,205.53,298246483.9,298246483.9,298246483.9,,3,0.0
TQBR,2013-08-20,Татнфт 3ао,TATN,3,86376.0,204.5,204.5,207.8,207.73,205.66,207.8,420,205.81,205.81,205.81,198126755.1,198126755.1,198126755.1,,3,-0.0009615384615384
TQBR,2013-08-21,Татнфт 3ао,TATN,7,87374.2,204.21,204.21,209.0,207.97,208.03,208.0,420,208.28,208.28,208.28,201813056.2,201813056.2,201813056.2,,3,0.0009624639076034
TQBR,2013-08-22,Татнфт 3ао,TATN,3,123900.0,210.0,210.0,210.0,209.74,210.0,210.0,590,209.34,209.34,209.34,293834551.8,293834551.8,293834551.8,,3,0.0096153846153846
TQBR,2013-08-23,Татнфт 3ао,TATN,0,0.0,,,,209.74,,,0,209.04,209.04,209.04,193138630.6,193138630.6,193138630.6,,3,0.0
TQBR,2013-08-26,Татнфт 3ао,TATN,4,8416.9,210.31,210.31,210.5,209.15,210.42,210.48,40,209.5,209.5,209.5,76248816.4,76248816.4,76248816.4,,3,0.0
TQBR,2013-08-27,Татнфт 3ао,TATN,50,4248572.1,207.09,204.0,207.09,204.64,206.74,204.0,20550,205.86,205.86,205.86,220507368.5,220507368.5,220507368.5,,3,-0.0307867730900797
TQBR,2013-08-28,Татнфт 3ао,TATN,8,46404.2,202.1,201.1,205.79,203.28,201.76,203.53,230,202.65,202.65,202.65,349140486.1,349140486.1,349140486.1,,3,-0.0023039215686274
TQBR,2013-08-29,Татнфт 3ао,TATN,67,4568066.1,203.0,201.11,208.76,205.61,204.21,206.5,22370,204.21,204.21,204.21,284293133.62,284293133.62,284293133.62,,3,0.0145924433744411
TQBR,2013-08-30,Татнфт 3ао,TATN,43,414429.3,204.01,201.4,214.69,208.8,207.21,201.4,2000,207.39,207.39,207.39,312391279.9,312391279.9,312391279.9,,3,-0.0246973365617433
TQBR,2013-09-02,Татнфт 3ао,TATN,3276,166719112.4,209.12,207.19,210.6,207.19,209.08,207.5,797410,209.08,209.08,209.08,166677288.4,166677288.4,166677288.4,,3,0.0302879841112214
TQBR,2013-09-03,Татнфт 3ао,TATN,3516,169994980.6,207.6,205.06,208.88,205.55,207.02,207.32,821150,207.02,207.02,207.02,169932700.6,169932700.6,169932700.6,,3,-0.0008674698795181
TQBR,2013-09-04,Татнфт 3ао,TATN,2229,74623559.9,206.82,205.37,208.0,207.56,206.69,207.99,361040,206.69,206.69,206.69,74623559.9,74623559.9,74623559.9,,3,0.003231719081613
TQBR,2013-09-05,Татнфт 3ао,TATN,5588,402469124.3,206.92,206.92,213.65,212.43,210.81,213.65,1909150,210.81,210.81,210.81,402282896.3,402282896.3,402282896.3,,3,0.0272128467714793
TQBR,2013-09-06,Татнфт 3ао,TATN,12083,485680701.4,212.84,212.6,219.81,217.66,217.17,216.92,2236390,217.17,217.17,217.17,485818545.4,485818545.4,485818545.4,,3,0.0153054060379123
TQBR,2013-09-09,Татнфт 3ао,TATN,4997,280538830.3,218.93,218.24,221.0,220.0,219.58,220.0,1277620,219.58,219.58,219.58,280424986.7,280424986.7,280424986.7,,3,0.0141987829614605
TQBR,2013-09-10,Татнфт 3ао,TATN,7711,581498433.1,220.0,219.13,222.89,222.49,221.06,221.85,2630450,221.06,221.06,221.06,581269633.1,581269633.1,581269633.1,,3,0.0084090909090908
TQBR,2013-09-11,Татнфт 3ао,TATN,6025,308046643.2,222.22,218.1,222.22,220.5,220.19,221.64,1399030,220.18,220.18,220.18,307911089.0,307911089.0,307911089.0,,3,-0.000946585530764
TQBR,2013-09-12,Татнфт 3ао,TATN,4985,326009078.7,221.39,216.75,221.39,218.43,219.03,219.0,1488390,219.03,219.03,219.03,325975870.2,325975870.2,325975870.2,,3,-0.0119112073632917
TQBR,2013-09-13,Татнфт 3ао,TATN,4253,195172739.4,218.98,217.51,220.88,219.1,219.3,219.38,889970,219.3,219.3,219.3,195058869.8,195058869.8,195058869.8,,3,0.0017351598173515
TQBR,2013-09-16,Татнфт 3ао,TATN,7645,442369851.2,221.0,219.93,222.37,221.53,221.16,221.65,2000230,221.16,221.16,221.16,443467917.59,443467917.59,443467917.59,,3,0.010347342510712
TQBR,2013-09-17,Татнфт 3ао,TATN,4450,394484901.1,221.09,219.84,224.99,224.99,221.53,223.0,1780690,221.54,221.54,221.54,395733491.7,395733491.7,395733491.7,,3,0.0060906835100383
TQBR,2013-09-18,Татнфт 3ао,TATN,4544,356239997.1,222.93,219.57,223.98,219.89,221.83,220.45,1605950,221.83,221.83,221.83,356217704.1,356217704.1,356217704.1,,3,-0.0114349775784753
TQBR,2013-09-19,Татнфт 3ао,TATN,8764,704001930.1,223.95,221.36,225.0,224.0,222.79,223.3,3159990,222.78,222.78,222.78,704284785.6,704284785.6,704284785.6,,3,0.0129281016103425
TQBR,2013-09-20,Татнфт 3ао,TATN,6832,515561364.2,223.12,222.01,225.99,224.75,224.2,225.62,2299530,224.2,224.2,224.2,517237350.6,517237350.6,517237350.6,,3,0.0103896103896103
TQBR,2013-09-23,Татнфт 3ао,TATN,7421,480630715.2,225.04,219.08,225.04,220.0,221.4,220.83,2170870,221.4,221.4,221.4,482257800.27,482257800.27,482257800.27,,3,-0.0212303873770055
TQBR,2013-09-24,Татнфт 3ао,TATN,7776,413580725.0,219.53,218.35,220.97,220.58,219.57,219.0,1883610,219.57,219.57,219.57,413815195.36,413815195.36,413815195.36,,3,-0.0082869175383779
TQBR,2013-09-25,Татнфт 3ао,TATN,6171,464016063.8,219.3,216.74,220.5,218.59,218.23,217.34,2126240,218.23,218.23,218.23,464316989.47,464316989.47,464316989.47,,3,-0.007579908675799
TQBR,2013-09-26,Татнфт 3ао,TATN,8728,571546578.2,218.0,214.1,220.0,215.0,216.38,215.68,2641440,216.38,216.38,216.38,571640493.2,571640493.2,571640493.2,,3,-0.007637802521395
TQBR,2013-09-27,Татнфт 3ао,TATN,7731,418036048.5,218.0,214.26,218.0,216.05,215.82,216.4,1936960,215.82,215.82,215.82,418245473.5,418245473.5,418245473.5,,3,0.0033382789317507
TQBR,2013-09-30,Татнфт 3ао,TATN,5689,397740949.5,215.94,210.5,217.45,210.5,213.87,212.92,1859760,213.88,213.88,213.88,400198946.7,400198946.7,400198946.7,,3,-0.0160813308687616
TQBR,2013-10-01,Татнфт 3ао,TATN,6521,379820242.1,212.56,210.27,214.23,213.82,212.3,213.45,1789060,212.3,212.3,212.3,380719721.34,380719721.34,380719721.34,,3,0.0024891978207777
TQBR,2013-10-02,Татнфт 3ао,TATN,4891,325008941.7,214.79,208.03,214.79,208.21,210.56,208.21,1543510,210.58,210.58,210.58,329235910.54,329235910.54,329235910.54,,3,-0.0245490747247598
TQBR,2013-10-03,Татнфт 3ао,TATN,7145,366738457.5,208.93,208.19,210.92,209.05,209.76,209.05,1748410,209.76,209.76,209.76,366652457.07,366652457.07,366652457.07,,3,0.0040343883579078
TQBR,2013-10-04,Татнфт 3ао,TATN,3055,311553055.9,209.05,208.31,211.26,210.62,209.59,211.25,1486480,209.59,209.59,209.59,311553055.9,311553055.9,311553055.9,,3,0.0105237981344175
