BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2019-10-28,TCS-гдр,TCSG,3420,245462320.4,1186.0,1186.0,1212.0,1206.0,1198.8,1206.0,204766,1198.8,1198.8,1206.0,245462320.4,245462320.4,245462320.4,,3,0.0
TQBR,2019-10-29,TCS-гдр,TCSG,1923,82888163.2,1202.0,1200.2,1226.0,1219.8,1212.2,1219.8,68382,1212.2,1212.2,1219.8,82888163.2,82888163.2,82888163.2,,3,0.0114427860696517
TQBR,2019-10-30,TCS-гдр,TCSG,1395,44656578.0,1225.0,1212.8,1227.0,1217.0,1217.2,1217.0,36691,1217.0,1217.0,1217.0,44656578.0,44656578.0,44656578.0,,3,-0.0022954582718478
TQBR,2019-10-31,TCS-гдр,TCSG,778,23469279.2,1221.4,1210.2,1223.8,1216.0,1214.4,1216.0,19326,1214.4,1214.4,1216.0,23469279.2,23469279.2,23469279.2,,3,-0.000821692686935
TQBR,2019-11-01,TCS-гдр,TCSG,826,20215418.4,1218.4,1212.6,1219.0,1214.0,1216.0,1214.0,16625,1216.0,1216.0,1214.0,20215418.4,20215418.4,20215418.4,,3,-0.0016447368421052
TQBR,2019-11-05,TCS-гдр,TCSG,1423,73869925.4,1217.8,1197.4,1220.0,1198.0,1204.2,1198.0,61347,1204.2,1204.2,1198.0,73869925.4,73869925.4,73869925.4,,3,-0.0131795716639209
TQBR,2019-11-06,TCS-гдр,TCSG,789,26181538.0,1209.8,1190.0,1214.0,1209.8,1205.6,1208.6,21717,1205.6,1205.6,1209.8,26181538.0,26181538.0,26181538.0,,3,0.0088480801335558
TQBR,2019-11-07,TCS-гдр,TCSG,764,46531750.0,1220.0,1201.2,1225.8,1225.8,1217.4,1225.8,38222,1217.4,1217.4,1225.8,46531750.0,46531750.0,46531750.0,,3,0.0142313420486513
TQBR,2019-11-08,TCS-гдр,TCSG,1007,24803493.0,1226.2,1216.0,1251.2,1221.2,1225.0,1222.8,20250,1224.8,1224.8,1221.2,24803493.0,24803493.0,24803493.0,,3,-0.0024473813020068
TQBR,2019-11-11,TCS-гдр,TCSG,511,8679139.2,1229.8,1216.2,1230.0,1222.0,1223.4,1222.0,7094,1223.4,1223.4,1222.0,8679139.2,8679139.2,8679139.2,,3,-0.0006542361792606
