BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТГК-2 ап,TGKBP,6,36504,0.001107,0.001103,0.001169,0.001104,0.001106,0.001103,33000000,,0.0011,,0,556731,0.0,,3,0.0
TQBR,2014-06-10,ТГК-2 ап,TGKBP,29,72094,0.001195,0.001099,0.001199,0.001099,0.001144,0.001099,63000000,,0.001117,,0,500549,0.0,,3,-0.0036264732547598
TQBR,2014-06-11,ТГК-2 ап,TGKBP,10,43398,0.001102,0.001071,0.001103,0.001071,0.001085,0.001071,40000000,,0.001121,,0,508825,0.0,,3,-0.0254777070063694
TQBR,2014-06-16,ТГК-2 ап,TGKBP,6,10623,0.00105,0.001002,0.001097,0.00109,0.001062,0.00109,10000000,,0.001123,,0,502936,0.0,,3,0.0177404295051355
TQBR,2014-06-17,ТГК-2 ап,TGKBP,3,4320,0.00109,0.00105,0.00109,0.00107,0.00108,0.00109,4000000,,0.001122,,0,500485,0.0,,3,0.0
TQBR,2014-06-18,ТГК-2 ап,TGKBP,13,23213,0.00105,0.00105,0.001143,0.001051,0.001055,0.001051,22000000,,0.001123,,0,500820,0.0,,3,-0.0357798165137614
TQBR,2014-06-19,ТГК-2 ап,TGKBP,8,15747,0.001045,0.001045,0.001092,0.001059,0.00105,0.001059,15000000,,0.001124,,0,500130,0.0,,3,0.0076117982873453
TQBR,2014-06-20,ТГК-2 ап,TGKBP,7,20557,0.00103,0.001022,0.001054,0.001024,0.001028,0.001022,20000000,,0.001121,,0,500901,0.0,,3,-0.0349386213408877
TQBR,2014-06-23,ТГК-2 ап,TGKBP,8,56157,0.001003,0.001,0.001045,0.001045,0.001003,0.001045,56000000,,0.001104,,0,500264,0.0,,3,0.022504892367906
TQBR,2014-06-24,ТГК-2 ап,TGKBP,0,0,,,,0.001045,,,0,,0.001104,,0,500264,0.0,,3,0.0
TQBR,2014-06-25,ТГК-2 ап,TGKBP,18,57976,0.001001,0.000951,0.001048,0.001048,0.000983,0.001048,59000000,,0.001081,,0,501441,0.0,,3,0.0
TQBR,2014-06-26,ТГК-2 ап,TGKBP,0,0,,,,0.001048,,,0,,0.001081,,0,501441,0.0,,3,0.0
TQBR,2014-06-27,ТГК-2 ап,TGKBP,0,0,,,,0.001048,,,0,,0.001081,,0,501441,0.0,,3,0.0
TQBR,2014-06-30,ТГК-2 ап,TGKBP,0,0,,,,0.001048,,,0,,0.001081,,0,501441,0.0,,3,0.0
TQBR,2014-07-01,ТГК-2 ап,TGKBP,7,12095,0.001013,0.000955,0.001034,0.000997,0.001008,0.000997,12000000,,0.001078,,0,500085,0.0,,3,0.0
TQBR,2014-07-02,ТГК-2 ап,TGKBP,34,85810,0.00097,0.000951,0.001044,0.000962,0.000975,0.000962,88000000,,0.001048,,0,504060,0.0,,3,-0.0351053159478436
TQBR,2014-07-03,ТГК-2 ап,TGKBP,40,290713,0.001028,0.000976,0.001028,0.00102,0.00102,0.00102,285000000,,0.001006,,0,501748,0.0,,3,0.0602910602910604
TQBR,2014-07-04,ТГК-2 ап,TGKBP,1,6120,0.00102,0.00102,0.00102,0.00102,0.00102,0.00102,6000000,,0.001006,,0,503844,0.0,,3,0.0
TQBR,2014-07-07,ТГК-2 ап,TGKBP,5,16191,0.001076,0.001076,0.001088,0.001079,0.001079,0.001088,15000000,,0.001008,,0,520035,0.0,,3,0.0666666666666665
