BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТГК-2,TGKB,13,44736,0.001099,0.001057,0.001108,0.001104,0.001091,0.001108,41000000,,0.001074,,0,586218,0.0,,3,0.0
TQBR,2014-06-10,ТГК-2,TGKB,72,266673,0.001247,0.001056,0.001247,0.001095,0.00117,0.001095,228000000,,0.001073,,0,500973,0.0,,3,-0.0117328519855595
TQBR,2014-06-11,ТГК-2,TGKB,38,82794,0.00104,0.001039,0.001119,0.001092,0.001104,0.001093,75000000,,0.001078,,0,500399,0.0,,3,-0.0018264840182648
TQBR,2014-06-16,ТГК-2,TGKB,6,6454,0.001092,0.001032,0.001093,0.001093,0.001076,0.001093,6000000,,0.001078,,0,502549,0.0,,3,0.0
TQBR,2014-06-17,ТГК-2,TGKB,26,191018,0.001114,0.001015,0.001114,0.00104,0.001027,0.00104,186000000,,0.001061,,0,536758,0.0,,3,-0.0484903934126258
TQBR,2014-06-18,ТГК-2,TGKB,24,261024,0.001063,0.001,0.001063,0.001024,0.001012,0.001043,258000000,,0.001026,,0,500530,0.0,,3,0.0028846153846155
TQBR,2014-06-19,ТГК-2,TGKB,9,41189,0.00106,0.001016,0.00106,0.001031,0.001056,0.001038,39000000,,0.001022,,0,501871,0.0,,3,-0.0047938638542665
TQBR,2014-06-20,ТГК-2,TGKB,13,32099,0.001002,0.001002,0.0011,0.001044,0.00107,0.001044,30000000,,0.001022,,0,505092,0.0,,3,0.0057803468208091
TQBR,2014-06-23,ТГК-2,TGKB,2,2055,0.001043,0.001012,0.001043,0.001012,0.001028,0.001012,2000000,,0.001022,,0,507147,0.0,,3,-0.0306513409961684
TQBR,2014-06-24,ТГК-2,TGKB,20,50826,0.001012,0.000988,0.001021,0.001012,0.000997,0.001021,51000000,,0.001018,,0,500956,0.0,,3,0.0088932806324109
TQBR,2014-06-25,ТГК-2,TGKB,27,139928,0.001034,0.00098,0.001034,0.000987,0.000985,0.000987,142000000,,0.001008,,0,509250,0.0,,3,-0.0333006856023505
TQBR,2014-06-26,ТГК-2,TGKB,77,196001,0.000972,0.000964,0.001,0.000989,0.00098,0.000989,200000000,,0.000997,,0,643170,0.0,,3,0.0020263424518744
TQBR,2014-06-27,ТГК-2,TGKB,14,60936,0.000984,0.000975,0.000989,0.000989,0.000983,0.000989,62000000,,0.000994,,0,518794,0.0,,3,0.0
TQBR,2014-06-30,ТГК-2,TGKB,32,182884,0.000977,0.000966,0.001,0.000992,0.000978,0.000979,187000000,,0.00098,,0,537828,0.0,,3,-0.0101112234580384
TQBR,2014-07-01,ТГК-2,TGKB,24,58433,0.000979,0.00096,0.000994,0.000976,0.000974,0.000976,60000000,,0.000979,,0,545301,0.0,,3,-0.0030643513789581
TQBR,2014-07-02,ТГК-2,TGKB,26,57556,0.00098,0.00097,0.00098,0.000978,0.000976,0.000978,59000000,,0.00098,,0,500794,0.0,,3,0.0020491803278687
TQBR,2014-07-03,ТГК-2,TGKB,34,53577,0.000994,0.000979,0.001001,0.000995,0.000992,0.000998,54000000,,0.00098,,0,503735,0.0,,3,0.0204498977505113
TQBR,2014-07-04,ТГК-2,TGKB,51,111943,0.000998,0.000982,0.001019,0.001016,0.000999,0.001019,112000000,,0.000984,,0,506684,0.0,,3,0.0210420841683366
TQBR,2014-07-07,ТГК-2,TGKB,114,359934,0.001018,0.00101,0.001096,0.001085,0.001052,0.001085,342000000,,0.001036,,0,500522,0.0,,3,0.0647693817468106
TQBR,2014-07-08,ТГК-2,TGKB,46,176086,0.001032,0.001022,0.00111,0.001086,0.00108,0.00109,163000000,,0.001062,,0,527868,0.0,,3,0.0046082949308755
TQBR,2014-07-09,ТГК-2,TGKB,2,9594,0.001066,0.001066,0.001066,0.001066,0.001066,0.001066,9000000,,0.001062,,0,537462,0.0,,3,-0.0220183486238531
TQBR,2014-07-10,ТГК-2,TGKB,13,49436,0.001062,0.001014,0.001062,0.001015,0.00103,0.001015,48000000,,0.001064,,0,531058,0.0,,3,-0.0478424015009381
TQBR,2014-07-11,ТГК-2,TGKB,43,431248,0.001009,0.000955,0.001017,0.001,0.000996,0.001,433000000,,0.001002,,0,501178,0.0,,3,-0.0147783251231527
TQBR,2014-07-14,ТГК-2,TGKB,3,252240,0.000971,0.00097,0.001009,0.001009,0.00097,0.001009,260000000,0.000986,0.000983,0.000986,683488,504417,683488.0,,3,0.0089999999999998
TQBR,2014-07-15,ТГК-2,TGKB,11,20177,0.001007,0.001007,0.001009,0.001009,0.001009,0.001009,20000000,,0.000984,,0,500823,0.0,,3,0.0
TQBR,2014-07-16,ТГК-2,TGKB,4,7996,0.001013,0.000977,0.001013,0.000977,0.001,0.000977,8000000,,0.000984,,0,500114,0.0,,3,-0.0317145688800792
TQBR,2014-07-17,ТГК-2,TGKB,14,26453,0.000982,0.000967,0.000995,0.000988,0.00098,0.000995,27000000,,0.000984,,0,506866,0.0,,3,0.0184237461617195
TQBR,2014-07-18,ТГК-2,TGKB,14,26905,0.000944,0.000944,0.000978,0.00096,0.000961,0.00097,28000000,,0.000983,,0,533771,0.0,,3,-0.0251256281407034
TQBR,2014-07-21,ТГК-2,TGKB,37,261787,0.000953,0.0009,0.00097,0.000941,0.000915,0.000941,286000000,,0.000947,,0,594587,0.0,,3,-0.0298969072164949
TQBR,2014-07-22,ТГК-2,TGKB,38,1120221,0.00092,0.0009,0.000978,0.000946,0.000919,0.000946,1219000000,0.000919,0.000919,0.000919,1120221,1120221,1120221.0,,3,0.0053134962805526
TQBR,2014-07-23,ТГК-2,TGKB,7,9432,0.000947,0.000942,0.000947,0.000943,0.000943,0.000943,10000000,0.000919,0.000907,0.000919,1129653,506115,1129653.0,,3,-0.0031712473572938
TQBR,2014-07-24,ТГК-2,TGKB,5,4714,0.000943,0.00094,0.000945,0.000943,0.000943,0.000945,5000000,,0.000907,,0,510829,0.0,,3,0.002120890774125
TQBR,2014-07-25,ТГК-2,TGKB,6,5558,0.000941,0.000916,0.000941,0.000937,0.000926,0.000937,6000000,,0.000908,,0,516387,0.0,,3,-0.0084656084656084
TQBR,2014-07-28,ТГК-2,TGKB,2,1870,0.000933,0.000933,0.000937,0.000935,0.000935,0.000937,2000000,,0.000908,,0,518257,0.0,,3,0.0
TQBR,2014-07-29,ТГК-2,TGKB,30,44502,0.000935,0.0009,0.000935,0.000905,0.000908,0.0009,49000000,,0.000904,,0,501006,0.0,,3,-0.03948772678762
TQBR,2014-07-30,ТГК-2,TGKB,20,27200,0.000928,0.000902,0.000928,0.00091,0.000907,0.000917,30000000,,0.000904,,0,528206,0.0,,3,0.0188888888888888
TQBR,2014-07-31,ТГК-2,TGKB,7,12065,0.001074,0.000906,0.001074,0.00092,0.000928,0.00092,13000000,,0.000905,,0,539197,0.0,,3,0.0032715376226827
TQBR,2014-08-01,ТГК-2,TGKB,16,35841,0.000906,0.000906,0.000922,0.00092,0.000919,0.00092,39000000,,0.000906,,0,575038,0.0,,3,0.0
TQBR,2014-08-04,ТГК-2,TGKB,14,27360,0.000917,0.000906,0.000923,0.000913,0.000912,0.000908,30000000,,0.000905,,0,507792,0.0,,3,-0.0130434782608696
TQBR,2014-08-05,ТГК-2,TGKB,44,76359,0.000943,0.000903,0.000965,0.000913,0.000931,0.000913,82000000,,0.000909,,0,551721,0.0,,3,0.0055066079295154
TQBR,2014-08-06,ТГК-2,TGKB,62,81763,0.000903,0.00088,0.000911,0.000881,0.000889,0.00088,92000000,,0.000907,,0,543484,0.0,,3,-0.0361445783132529
TQBR,2014-08-07,ТГК-2,TGKB,46,90387,0.000888,0.00088,0.000891,0.000884,0.000886,0.000884,102000000,,0.000904,,0,633871,0.0,,3,0.0045454545454545
TQBR,2014-08-08,ТГК-2,TGKB,102,171149,0.000873,0.000873,0.000939,0.000913,0.000901,0.000913,190000000,,0.000903,,0,500187,0.0,,3,0.0328054298642533
TQBR,2014-08-11,ТГК-2,TGKB,19,69482,0.000917,0.0009,0.00093,0.000902,0.000902,0.000902,77000000,,0.000901,,0,501004,0.0,,3,-0.0120481927710842
TQBR,2014-08-12,ТГК-2,TGKB,7,7239,0.000919,0.000901,0.000919,0.000902,0.000905,0.000905,8000000,,0.000901,,0,500931,0.0,,3,0.0033259423503325
TQBR,2014-08-13,ТГК-2,TGKB,124,383224,0.000914,0.000543,0.000915,0.000898,0.000861,0.000901,445000000,,0.000871,,0,500815,0.0,,3,-0.0044198895027624
TQBR,2014-08-14,ТГК-2,TGKB,23,63393,0.0009,0.00088,0.000904,0.0009,0.000893,0.0009,71000000,,0.000869,,0,500719,0.0,,3,-0.0011098779134295
TQBR,2014-08-15,ТГК-2,TGKB,13,19088,0.000888,0.000888,0.000918,0.000903,0.000909,0.000903,21000000,,0.00087,,0,505353,0.0,,3,0.0033333333333334
TQBR,2014-08-18,ТГК-2,TGKB,16,64373,0.000897,0.00088,0.000897,0.000889,0.000882,0.000889,73000000,,0.000867,,0,504787,0.0,,3,-0.0155038759689922
TQBR,2014-08-19,ТГК-2,TGKB,17,31122,0.00089,0.000876,0.000897,0.000888,0.000889,0.000888,35000000,,0.000869,,0,535909,0.0,,3,-0.0011248593925759
TQBR,2014-08-20,ТГК-2,TGKB,3,6151,0.000885,0.000876,0.000886,0.000876,0.000879,0.000876,7000000,,0.000869,,0,542060,0.0,,3,-0.0135135135135134
TQBR,2014-08-21,ТГК-2,TGKB,14,32579,0.000876,0.000868,0.000895,0.000888,0.000881,0.000887,37000000,,0.000869,,0,574639,0.0,,3,0.0125570776255707
