BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТГК-14,TGKN,2,21424,0.001648,0.001648,0.001648,0.001648,0.001648,0.001648,13000000,,0.001587,,0,503169,0.0,,3,0.0
TQBR,2014-06-10,ТГК-14,TGKN,4,17815,0.0016,0.001595,0.001648,0.001648,0.00162,0.001648,11000000,,0.001588,,0,520984,0.0,,3,0.0
TQBR,2014-06-11,ТГК-14,TGKN,12,97039,0.001646,0.001646,0.001689,0.00168,0.001673,0.00168,58000000,,0.001599,,0,503535,0.0,,3,0.0194174757281554
TQBR,2014-06-16,ТГК-14,TGKN,6,199385,0.001603,0.00159,0.001603,0.001595,0.001595,0.00159,125000000,,0.001614,,0,514863,0.0,,3,-0.0535714285714285
TQBR,2014-06-17,ТГК-14,TGKN,1,1536,0.001536,0.001536,0.001536,0.001536,0.001536,0.001536,1000000,,0.001614,,0,516399,0.0,,3,-0.0339622641509434
TQBR,2014-06-18,ТГК-14,TGKN,3,6340,0.001599,0.001541,0.0016,0.001541,0.001585,0.001541,4000000,,0.001613,,0,522739,0.0,,3,0.0032552083333333
TQBR,2014-06-19,ТГК-14,TGKN,10,123753,0.001534,0.0015,0.001534,0.0015,0.001509,0.0015,82000000,,0.001592,,0,646492,0.0,,3,-0.026606099935107
TQBR,2014-06-20,ТГК-14,TGKN,6,11114,0.001579,0.001579,0.0016,0.001588,0.001588,0.0016,7000000,,0.001592,,0,657606,0.0,,3,0.0666666666666667
TQBR,2014-06-23,ТГК-14,TGKN,0,0,,,,0.001588,,,0,,0.001592,,0,657606,0.0,,3,0.0
TQBR,2014-06-24,ТГК-14,TGKN,11,62392,0.001522,0.001521,0.001523,0.001521,0.001522,0.001521,41000000,,0.001577,,0,501559,0.0,,3,0.0
