BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТРК ао,TORS,1,5000,0.5,0.5,0.5,0.5,0.5,0.5,10000,,0.4775,,0,573050,0.0,,3,0.0
TQBR,2014-06-10,ТРК ао,TORS,4,95000,0.5,0.5,0.5,0.5,0.5,0.5,190000,,0.4825,,0,545250,0.0,,3,0.0
TQBR,2014-06-11,ТРК ао,TORS,2,160100,0.5,0.5,0.51,0.51,0.5003,0.51,320000,,0.5001,,0,525100,0.0,,3,0.02
TQBR,2014-06-16,ТРК ао,TORS,1,50000,0.5,0.5,0.5,0.5,0.5,0.5,100000,0.5001,0.5001,0.5001,560100,560100,560100.0,,3,-0.0196078431372549
TQBR,2014-06-17,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,0.0
TQBR,2014-06-18,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,0.0
TQBR,2014-06-19,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,0.0
TQBR,2014-06-20,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,0.0
TQBR,2014-06-23,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,0.0
TQBR,2014-06-24,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,0.0
TQBR,2014-06-25,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,560100,0.0,,3,0.0
TQBR,2014-06-26,ТРК ао,TORS,2,25000,0.5,0.5,0.5,0.5,0.5,0.5,50000,,0.5001,,0,570100,0.0,,3,0.0
TQBR,2014-06-27,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,570100,0.0,,3,0.0
TQBR,2014-06-30,ТРК ао,TORS,1,5000,0.5,0.5,0.5,0.5,0.5,0.5,10000,,0.5001,,0,575100,0.0,,3,0.0
TQBR,2014-07-01,ТРК ао,TORS,0,0,,,,0.5,,,0,,0.5001,,0,575100,0.0,,3,0.0
